Unnamed: 0,1_한성여객종점,2_노원평생학습관,3_서울시립북서울미술관,4_중계역,5_중계역2번출구,6_중계3단지목련아파트,7_목련아파트상가,8_중계목화아파트4단지,9_노원경찰서,10_하계1동주민센터,11_골마을근린공원,12_하계역,13_하계우성아파트,14_하계극동아파트,15_월계보건지소,16_인덕대학,17_월계주공108동앞롯데캐슬루나아파트,18_오현초등학교,19_꿈의숲주차장입구,20_북서울꿈의숲,21_송중동한일유엔아이,22_창문여고앞,23_숭곡초등학교입구,24_월곡뉴타운,25_길음뉴타운,26_미아리고개.미아리예술극장,27_돈암사거리.성신여대입구,28_삼선교.한성대학교,29_혜화동로터리.여운형활동터,30_명륜3가.성대입구,31_창경궁.서울대학교병원,32_원남동,33_광장시장,34_을지로4가,35_을지로3가,36_을지로2가.기업은행본점.서울노동청,37_롯데백화점,38_북창동.남대문시장,39_숭례문(가상),40_숭례문,41_서울역버스환승센터,42_갈월동,43_숙대입구역,44_삼각지역,45_KT용산지사,46_신용산역,47_한강대교북단.LG유플러스,48_이촌동동부센트레빌,49_이촌1동충신교회앞,50_이촌동한강맨션.이촌역,51_신용산초등학교,52_이촌동점보아파트,53_금강병원.반도아파트,54_서빙고신동아아파트,55_서빙고역1번출구,56_한강중학교,57_용산구청.크라운호텔,58_용산구청.크라운호텔,59_한강중학교,60_금호베스트빌앞,61_서빙고초등학교,62_서빙고역교차로,63_서빙고역1번출구,64_서빙고신동아아파트,65_이촌동현대아파트,66_이촌동강촌아파트,67_신용산초등학교,68_이촌동한가람아파트.이촌역,69_이촌동두산위브트레지움.한강대우아파트,70_한강대교북단.LG유플러스,71_신용산역,72_KT용산지사,73_삼각지역,74_숙대입구역,75_갈월동,76_서울역버스환승센터.강우규의거터,77_남대문시장앞.이회영활동터,78_롯데영프라자,79_을지로입구.로얄호텔,80_을지로2가.파인에빈뉴,81_을지로3가,82_을지로4가.베스트웨스턴국도,83_을지로5가.중부시장,84_을지로6가.국립중앙의료원,85_광희동,86_퇴계로6가,87_을지로5가.훈련원종합체육관,88_방산시장.훈련원종합체육관,89_종로5가,90_종로5가.효제초등학교,91_종로5가.효제동.김상옥의거터,92_방송통신대.이화장,93_혜화역.마로니에공원,94_혜화역.동성중고(장면총리가옥),95_삼선교.한성대학교.조소앙활동터,96_돈암사거리.성신여대입구,97_미아리고개.미아리예술극장,98_길음뉴타운,99_월곡뉴타운,100_숭곡초교입구,101_창문여고,102_동방고개,103_장위동그린빌아파트,104_북서울꿈의숲,105_장월초등학교,106_롯데캐슬루나아파트,107_인덕대앞,108_월계보건지소,109_하계시영아파트,110_하계장미아파트,111_하계미성아파트.을지병원,112_한성여객종점,113_대진고등학교,114_서울온천,115_노원경찰서.혜성여고,116_하계현대아파트,117_롯데마트,118_상명초등학교,119_중계건영2차아파트,120_중계역,121_하계한신청구아파트,122_한성여객종점
2022-03-05 04:00:00,0,0,1,3,0,5,6,7,10,9,12,11,14,15,16,15,17,21,0,15,22,23,22,24,24,23,22,20,0,19,16,12,10,9,8,7,8,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,1,2,1,2,3,6,4,6,6,8,9,6,10,11,17,14,15,18,18,18,15,17,16,15,12,13,11,12,11,10,9,8,6,5,6,4,6,7,6,7,4,5,7,8,7,6,6,5,4,3,0,3,1,0,0,2,1,0,1,0,0,2,3,2,3,6,0,0,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,0,3,3,4,4,5,7,9,10,8,10,14,15,13,14,14,13,11,13,11,11,10,11,8,7,6,6,3,8,2,3,3,2,0,1,2,2,2,1,0,0,8,7,3,2,4,4,3,2,1,1,0,1,2,0,0,2,3,2,0,3,2,2,3,3,0,0,0,0,3,2,1,0,2,4,3,4,0,2,2,2,3,0,0,0,2,3,3,3,4,5,5,6,0,0,7,0,6,5,0,0,4,4,4,1,0,3,0,1,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,0,2,1,3,2,5,7,8,7,7,9,10,10,11,12,15,17,16,17,20,20,19,15,16,16,14,13,11,11,8,7,5,4,8,5,3,0,0,2,3,3,3,0,1,2,0,1,2,0,3,0,2,3,1,2,1,2,0,1,1,2,2,3,5,4,4,4,4,4,5,3,3,1,2,3,2,3,5,6,3,5,0,2,0,6,0,0,1,0,0,4,2,3,5,6,7,11,9,9,10,8,11,12,12,16,22,15,6,7,3,5,3,1,0,1,1,0,1,0,0
2022-03-05 08:00:00,0,0,0,1,2,3,7,10,15,16,15,16,20,23,23,21,24,27,27,30,30,31,31,31,31,30,23,19,19,19,18,16,10,9,7,6,3,1,1,3,4,5,4,7,0,4,8,7,4,4,4,7,6,2,4,2,1,1,0,0,0,0,0,6,2,7,6,4,8,9,8,4,3,7,5,5,5,2,1,2,0,2,3,2,0,3,3,2,4,0,2,3,3,3,7,7,10,15,17,16,16,17,17,17,19,13,23,26,21,14,14,11,10,8,3,2,1,0,0,0,0,0
2022-03-05 09:00:00,0,0,2,1,5,6,6,8,12,14,15,15,19,21,26,29,37,42,41,45,45,40,38,32,28,26,25,21,21,18,16,18,15,12,8,9,8,7,2,6,5,7,6,6,7,8,14,12,10,8,8,7,6,3,4,3,1,3,6,0,0,0,2,6,8,9,7,7,9,10,7,8,5,8,11,11,7,2,6,6,5,2,3,0,4,4,3,4,3,4,3,3,3,5,8,9,10,13,14,14,16,15,14,16,15,17,19,17,13,9,11,10,9,5,3,3,1,0,0,0,0,0
2022-03-05 10:00:00,0,0,0,0,1,2,4,7,9,12,13,12,19,21,26,27,29,33,35,34,34,29,32,31,27,26,21,22,19,14,13,15,13,11,11,9,7,7,0,6,5,4,6,6,5,4,5,4,7,12,10,8,7,5,5,5,3,5,8,0,0,2,5,8,9,12,12,15,16,14,16,14,10,12,11,8,10,4,0,5,4,6,5,4,6,3,0,5,4,4,2,3,6,5,8,9,11,12,14,14,16,15,16,16,16,15,14,15,12,7,8,3,4,4,2,1,1,1,1,0,0,0
2022-03-05 11:00:00,0,0,2,0,3,1,5,6,11,19,22,16,24,26,26,27,28,33,34,36,35,37,33,31,29,30,25,27,22,21,19,16,14,8,11,8,6,8,0,7,8,1,9,3,9,7,8,9,8,9,9,8,7,8,4,1,2,4,4,2,0,6,6,12,20,23,21,24,26,27,22,20,18,12,16,17,17,13,14,14,14,13,6,10,8,3,8,9,8,8,9,8,8,12,11,13,19,24,26,28,33,23,32,33,26,23,28,25,23,11,13,12,8,7,4,1,0,2,0,0,0,0
2022-03-05 12:00:00,0,1,2,1,2,3,5,7,8,10,11,16,19,21,23,23,26,28,31,34,34,34,35,26,24,23,21,22,16,14,12,14,11,11,9,8,8,9,0,8,6,2,7,10,12,15,16,16,13,11,9,13,12,10,5,4,4,3,4,0,2,6,3,20,23,21,20,19,25,21,15,15,14,11,10,10,7,6,5,5,4,4,0,5,6,8,6,5,8,10,8,11,12,13,18,20,20,23,26,26,27,27,27,26,34,34,31,32,27,18,19,13,7,13,6,5,3,2,1,1,0,0
2022-03-05 13:00:00,0,0,2,1,2,2,4,6,9,12,17,15,22,23,21,20,21,31,34,33,31,31,32,29,23,21,18,16,13,13,13,12,12,6,7,7,7,8,0,8,8,9,6,4,4,10,9,8,7,7,8,6,6,5,5,3,2,4,1,0,0,3,2,7,8,12,13,14,19,18,15,13,12,10,12,13,13,12,13,11,13,14,16,9,17,18,6,12,19,13,15,20,24,23,22,26,27,26,29,29,31,29,29,26,22,21,21,21,18,12,10,9,8,6,6,5,3,2,0,1,0,0
2022-03-05 14:00:00,0,0,2,3,3,5,8,6,9,13,15,19,25,26,28,29,27,27,28,30,29,30,30,30,27,24,18,18,15,15,12,13,14,13,9,9,10,10,7,8,12,12,14,5,12,17,19,18,12,13,13,9,9,10,6,4,3,4,5,3,1,0,8,12,16,18,17,20,25,15,13,14,13,16,18,8,16,13,14,11,14,11,13,14,9,10,15,12,16,10,10,12,15,21,21,22,24,28,30,33,32,30,21,28,26,26,23,22,19,13,9,0,7,6,6,4,2,2,0,0,0,0
2022-03-05 15:00:00,1,4,5,4,8,0,8,9,15,34,35,35,45,46,47,46,47,47,48,50,48,45,38,36,30,24,21,19,14,13,10,11,12,11,9,7,9,10,9,8,10,14,20,22,19,26,29,13,25,15,13,11,8,9,7,1,4,3,5,2,0,2,5,7,10,12,15,18,20,17,14,14,10,9,5,7,15,18,15,14,16,14,13,11,16,17,7,9,20,22,9,22,18,22,24,27,27,30,29,28,28,26,22,24,21,23,23,20,20,13,10,9,8,9,6,4,4,2,1,1,0,0
2022-03-05 16:00:00,0,2,6,1,2,3,7,8,11,14,14,15,21,23,25,25,27,28,26,28,28,28,29,29,23,21,17,19,16,19,17,14,13,13,11,8,10,10,0,0,13,13,12,14,13,21,24,22,19,13,9,7,6,6,3,1,4,3,7,2,0,7,6,9,8,11,13,15,20,19,18,15,13,14,17,14,10,9,10,17,15,14,14,8,13,13,9,10,13,15,17,18,23,25,25,28,30,30,31,33,35,31,28,25,23,23,22,21,16,12,13,12,10,6,4,3,4,2,2,0,0,0
2022-03-05 17:00:00,1,0,2,3,4,3,6,6,8,8,12,16,22,23,25,26,28,27,29,34,33,29,24,24,21,23,22,19,14,12,11,12,15,14,8,8,15,13,7,6,13,15,13,11,9,20,23,18,17,10,9,9,8,5,7,5,4,5,4,4,0,7,8,11,12,16,19,22,24,25,25,20,18,12,14,13,14,12,13,14,15,11,14,13,11,12,14,17,20,21,18,20,22,24,27,35,30,22,26,24,21,21,19,23,22,22,22,17,15,10,11,8,9,8,7,4,2,0,0,0,0,0
2022-03-05 18:00:00,0,0,1,2,5,3,9,8,11,8,15,15,22,22,23,17,14,19,13,20,20,21,21,24,22,18,11,8,10,8,7,7,8,7,8,8,6,9,2,3,15,14,11,11,10,17,14,7,11,9,9,4,2,0,0,1,2,3,3,0,1,2,3,5,7,11,10,12,15,12,9,7,7,5,4,5,7,10,6,8,10,10,11,3,6,15,17,17,16,17,19,12,14,19,18,17,29,30,26,26,27,28,25,31,29,32,28,27,22,16,12,11,9,5,4,1,3,5,3,0,0,0
2022-03-05 19:00:00,1,0,1,1,3,2,4,5,7,5,7,11,17,18,17,14,12,11,11,13,12,13,16,14,13,13,12,11,9,10,7,0,9,6,4,4,10,12,0,6,13,14,11,10,10,20,20,22,19,13,13,6,4,2,3,1,2,0,0,0,0,0,0,10,5,11,10,8,11,7,7,6,4,6,3,4,5,5,6,4,5,6,4,5,6,6,7,8,10,12,0,14,13,18,16,25,18,18,21,22,24,22,21,18,16,20,17,15,12,11,9,8,9,8,5,1,1,1,0,0,0,0
2022-03-05 20:00:00,1,0,0,0,3,0,5,3,9,4,8,13,17,17,15,15,14,13,14,12,12,13,11,13,10,11,9,8,6,5,7,7,6,4,7,6,9,1,8,10,8,7,8,7,7,11,13,11,12,8,5,3,1,1,2,2,4,3,0,0,0,0,2,2,1,5,9,6,7,5,2,3,4,5,5,3,2,5,6,6,8,8,0,11,9,8,7,9,7,7,10,13,17,20,21,24,24,25,27,30,26,22,20,19,17,19,17,15,12,10,9,7,5,5,3,3,4,2,1,0,0,0
2022-03-05 21:00:00,1,0,1,0,2,0,2,2,3,5,6,10,12,13,15,13,12,11,10,11,10,9,9,7,7,5,6,5,5,5,0,0,5,1,4,5,8,0,0,7,6,6,5,4,1,14,15,10,9,10,8,4,0,0,7,1,3,4,0,1,3,0,0,4,5,1,8,9,10,8,8,6,4,3,2,5,1,7,3,8,7,8,6,9,10,7,8,0,11,10,8,10,17,19,23,30,28,33,36,36,31,28,25,22,23,21,17,15,11,9,7,6,5,4,6,3,3,2,2,0,1,0
2022-03-05 22:00:00,0,0,1,0,1,0,3,0,3,6,7,11,16,17,17,14,12,9,6,8,8,7,7,7,7,2,6,3,2,5,2,4,2,4,7,8,5,3,3,3,4,3,3,4,5,7,6,4,8,7,3,5,7,5,4,1,3,0,3,0,0,1,2,2,0,5,7,10,6,8,7,6,7,5,5,6,4,6,6,10,13,15,14,8,8,14,8,9,13,14,13,17,16,17,20,28,29,28,28,25,30,31,27,21,18,13,17,13,9,8,8,6,7,5,4,3,2,1,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,1,0,5,0,0,0,0,11,12,8,8,11,9,7,6,6,9,10,10,9,7,7,6,3,2,2,1,1,0,1,3,0,0,0,1,0,1,4,3,5,5,6,3,5,6,7,4,1,2,0,2,3,4,9,9,4,1,10,3,13,0,11,12,13,12,19,26,26,29,21,30,16,27,21,20,17,18,16,15,13,14,11,5,9,7,2,5,3,2,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
