Unnamed: 0,1_성북생태체험관,2_정릉초교,3_정릉동풍림상가앞,4_정릉동풍림아파트.청소년문화의집,5_북한산보국문역2번출구,6_성북청수도서관.정릉4동성당,7_정릉시장입구,8_정릉우체국앞,9_정릉입구,10_아리랑고개.아리랑시네미디어센터,11_돈암2동주민센터입구.흥천사,12_성신여대입구역,13_돈암시장입구,14_성북구청.성북경찰서,15_보문역,16_보문동성당,17_보문동주민센터,18_신설동로터리,19_동묘앞,20_동묘역.롯데캐슬천지인,21_숭인1동주민센터.창신역4번출구,22_보문역,23_성북구청.성북경찰서,24_돈암시장입구,25_성신여대입구역,26_돈암2동주민센터입구.흥천사,27_아리랑고개.아리랑시네미디어센터,28_정릉입구,29_정릉우체국앞,30_정릉시장입구,31_성북청수도서관.정릉4동성당,32_북한산보국문역1번출구,33_정릉대림아파트.청소년문화의집,34_정릉동풍림상가앞,35_풍림아파트삼거리,36_정릉초교,37_성북생태체험관
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,3,5,5,6,6,5,6,7,6,6,6,7,6,5,3,3,6,8,9,7,8,7,5,4,3,2,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,5,3,3,4,6,5,9,8,5,2,4,3,0,2,2,2,3,3,3,4,2,3,3,2,1,2,2,1,3,0,1,0,0,0
2022-03-05 07:00:00,0,4,6,9,5,7,9,10,10,13,14,9,3,8,7,8,4,3,1,2,2,3,3,2,2,3,4,1,2,5,1,3,4,2,2,1,0
2022-03-05 08:00:00,2,5,14,9,12,9,13,14,18,21,20,16,9,8,5,4,5,4,3,4,5,5,4,3,6,1,3,4,4,2,2,4,1,2,1,0,0
2022-03-05 09:00:00,3,8,22,23,18,17,13,14,15,17,16,14,10,8,5,7,9,3,3,4,4,7,7,6,7,6,6,5,5,10,12,15,8,4,2,1,0
2022-03-05 10:00:00,2,8,23,24,15,16,20,20,19,22,20,12,7,10,10,4,9,6,5,5,7,7,8,6,11,14,9,9,9,10,8,14,10,8,6,2,0
2022-03-05 11:00:00,1,6,19,23,21,21,24,25,25,29,23,11,9,10,5,7,6,10,6,5,5,6,8,15,19,18,17,13,14,17,18,24,22,20,16,8,0
2022-03-05 12:00:00,4,10,17,19,16,17,14,16,23,23,23,18,11,12,10,12,13,8,9,9,10,14,17,24,25,21,21,15,14,21,20,26,23,14,8,5,0
2022-03-05 13:00:00,2,11,13,15,12,12,12,15,17,23,20,15,14,14,13,15,8,9,7,9,11,11,12,15,18,18,17,14,14,17,18,24,21,13,6,4,0
2022-03-05 14:00:00,2,10,17,12,14,11,12,13,14,15,14,10,11,9,10,8,8,8,8,12,12,11,13,11,14,16,15,13,18,22,23,27,24,16,10,2,0
2022-03-05 15:00:00,2,4,8,10,11,12,13,15,15,21,20,10,8,8,9,12,12,8,8,13,16,17,18,23,22,21,16,20,19,19,18,23,16,10,9,2,0
2022-03-05 16:00:00,3,5,11,14,9,10,10,12,12,11,12,14,7,6,7,6,8,9,7,14,11,10,8,13,15,17,17,15,14,14,15,19,17,14,8,3,0
2022-03-05 17:00:00,2,4,8,12,14,15,15,18,10,17,15,12,7,8,6,6,3,4,5,9,11,13,13,19,22,21,18,19,21,30,29,36,30,21,14,3,0
2022-03-05 18:00:00,0,2,6,8,9,9,9,11,13,15,14,11,12,11,9,7,6,9,12,11,10,11,14,20,22,22,18,18,19,28,25,36,26,14,9,2,0
2022-03-05 19:00:00,0,1,2,4,2,2,5,8,8,9,11,11,8,3,6,6,9,9,7,9,11,12,11,12,19,18,14,13,13,14,24,28,19,12,9,2,0
2022-03-05 20:00:00,0,3,6,7,6,3,5,5,6,5,5,3,5,4,3,3,2,3,5,7,6,8,8,12,15,14,15,14,11,11,13,20,15,9,8,3,0
2022-03-05 21:00:00,0,0,1,3,2,1,5,4,3,4,6,5,9,3,8,5,4,4,3,5,6,7,5,9,17,12,10,10,9,19,18,22,17,12,7,3,0
2022-03-05 22:00:00,0,1,1,2,2,3,4,5,5,4,4,4,6,6,8,6,5,3,4,9,7,6,7,16,21,22,17,15,12,14,18,24,19,14,12,4,0
2022-03-05 23:00:00,0,0,1,1,2,3,3,4,0,1,2,2,7,7,5,8,5,9,6,4,4,8,11,15,22,19,15,9,8,13,6,18,15,11,7,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,1,1,3,2,2,1,3,2,1,5,3,4,3,0,4,3,1,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,0,2,2,2,0,4,3,4,6,4,2,2,2,2,0,1,1,0,0,1,2,0,1,0,0,0,0,1,0,0,3,2,1,0,0,0
2022-03-06 07:00:00,1,2,3,6,2,2,4,4,4,3,5,4,3,3,3,4,4,2,1,1,1,2,2,0,3,0,2,2,1,2,1,3,1,1,0,0,0
2022-03-06 08:00:00,1,3,8,9,9,8,9,10,11,13,13,10,8,6,3,3,3,2,2,7,8,4,3,3,3,1,3,4,5,2,0,3,1,1,0,0,0
2022-03-06 09:00:00,1,8,13,11,10,11,12,10,10,12,13,8,8,9,9,7,5,3,1,5,9,10,14,8,15,4,13,12,6,5,5,11,0,9,7,1,0
2022-03-06 10:00:00,1,5,9,12,11,13,15,16,17,18,22,16,16,12,9,8,8,4,5,5,6,8,10,10,11,12,11,13,11,14,12,14,12,10,4,6,0
2022-03-06 11:00:00,1,8,14,15,9,11,12,15,16,20,19,14,10,10,11,10,9,11,9,9,8,5,12,10,9,10,11,12,12,17,17,17,9,15,13,6,0
2022-03-06 12:00:00,4,7,13,14,10,11,13,12,12,14,15,12,14,11,10,12,7,5,6,6,7,8,7,9,14,13,13,12,12,14,15,18,14,16,15,8,0
2022-03-06 13:00:00,5,8,13,15,12,13,15,17,19,22,19,16,10,10,12,13,9,7,3,7,6,9,9,13,17,16,14,15,13,17,14,21,16,13,11,4,0
2022-03-06 14:00:00,6,9,12,13,11,8,13,14,11,16,15,11,9,7,7,9,8,7,5,10,16,17,15,11,8,10,8,8,11,13,13,15,13,12,8,4,0
2022-03-06 15:00:00,3,6,12,14,11,12,12,15,15,14,14,13,10,8,9,10,6,7,10,10,8,5,8,14,11,13,13,12,9,13,14,18,15,10,7,3,0
2022-03-06 16:00:00,4,8,16,20,17,18,21,24,22,21,23,16,12,10,7,6,6,6,12,14,14,14,19,20,22,19,15,12,14,15,15,17,12,11,6,4,0
2022-03-06 17:00:00,2,4,7,9,9,8,10,15,14,16,15,9,12,13,12,9,8,8,12,14,16,16,15,25,26,28,26,28,25,23,19,22,20,13,10,3,0
2022-03-06 18:00:00,2,1,9,11,7,8,11,8,10,11,10,9,7,4,6,3,6,6,6,8,10,10,11,14,21,21,20,18,18,20,20,29,21,15,12,3,0
2022-03-06 19:00:00,1,4,6,7,6,4,5,7,7,8,7,6,12,11,7,5,4,2,4,4,4,5,7,16,20,21,19,19,20,20,21,24,19,13,8,2,0
2022-03-06 20:00:00,0,1,2,4,0,0,2,5,6,4,3,2,5,2,4,3,2,5,3,6,4,5,6,12,15,14,9,9,11,13,12,17,14,7,4,2,0
2022-03-06 21:00:00,0,1,3,3,2,1,2,3,3,4,4,3,8,6,4,3,3,5,4,7,8,6,6,11,17,15,18,14,10,13,15,18,17,10,9,3,0
2022-03-06 22:00:00,0,1,2,1,2,4,5,4,4,6,5,5,6,6,7,6,6,6,4,4,4,5,6,12,10,11,17,16,11,8,8,10,13,9,6,2,0
2022-03-06 23:00:00,0,0,2,0,3,4,3,3,3,3,2,3,4,6,5,7,3,6,5,6,5,12,13,14,21,13,19,18,11,16,16,17,13,5,3,1,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,1,4,6,6,4,4,6,7,8,10,10,7,9,6,9,5,3,3,5,8,6,7,6,2,5,3,2,2,2,0,1,0,0,1,0,0,0
2022-03-07 06:00:00,2,6,13,14,7,9,11,12,11,16,16,9,6,9,4,4,3,2,2,3,4,3,1,0,1,4,8,7,4,1,3,1,0,0,2,0,0
2022-03-07 07:00:00,5,19,30,37,28,20,25,30,29,43,40,32,23,17,12,13,12,5,4,4,4,7,5,2,4,2,5,6,7,5,5,6,4,3,1,0,0
2022-03-07 08:00:00,2,16,26,31,18,20,25,28,28,41,36,26,23,18,17,14,12,6,5,5,6,15,6,7,7,7,7,7,9,5,9,20,35,33,32,8,0
2022-03-07 09:00:00,1,6,19,22,16,18,18,22,24,26,26,16,11,11,9,10,7,7,5,5,5,5,6,6,7,6,6,4,3,5,4,7,5,4,3,0,0
2022-03-07 10:00:00,1,6,17,21,22,16,18,22,21,25,23,17,13,12,8,6,7,5,3,3,4,8,6,8,13,12,9,10,8,7,5,8,6,3,1,1,0
2022-03-07 11:00:00,1,8,14,16,11,12,13,12,13,13,14,11,9,10,9,11,10,6,3,8,11,10,13,14,16,17,15,14,14,14,12,15,11,8,6,4,0
2022-03-07 12:00:00,7,15,20,21,17,16,11,12,9,14,13,9,5,6,4,5,4,3,5,10,11,10,10,18,18,17,17,15,14,17,19,23,17,14,10,5,0
2022-03-07 13:00:00,1,7,10,11,9,13,14,14,15,14,15,11,8,8,5,3,4,6,4,6,5,5,3,7,9,11,12,12,10,15,16,18,17,13,9,4,0
2022-03-07 14:00:00,2,6,12,14,10,11,11,10,13,15,13,9,7,7,6,4,6,3,3,6,6,6,8,11,11,13,12,13,9,11,11,15,10,7,3,1,0
2022-03-07 15:00:00,0,3,7,9,10,11,12,15,17,16,15,9,8,10,8,13,14,7,6,10,14,14,26,36,37,22,33,31,22,34,20,37,27,21,15,4,0
