Unnamed: 0,1_삼화상운차고지,2_인덕삼거리,3_신도브래뉴.한전노원변전소,4_월계삼거리,5_광운대학교,6_광운전자공업고등학교,7_벼루말교,8_장위래미안아파트,9_꿈의숲아이파크아파트,10_장곡초교사거리,11_장곡초교,12_국민은행장위동지점,13_장위1동치안센터,14_장위1동주민센터,15_장위동고개,16_장위동입구,17_월곡1동주민센터,18_밤나무골시장,19_월곡동두산아파트,20_생명의전화,21_KT월곡지사,22_종암경찰서,23_종암동주민센터,24_숭례초교,25_고대앞,26_우신향병원,27_종암초등학교앞,28_용두시장앞,29_서울시동부병원,30_동아제약앞,31_e편한세상청계센트럴포레아파트,32_텐즈힐아파트.청계벽산아파트,33_상왕십리역.센트라스아파트,34_상왕십리역,35_왕십리센트라스아파트,36_왕십리교회,37_왕십리도선동주민센터,38_도선고등학교.꽃재교회,39_청계벽산아파트.텐즈힐아파트,40_동아제약앞,41_서울시동부병원,42_용두시장앞,43_안암오거리,44_우신향병원,45_고려대학교앞,46_숭례초등학교,47_종암동주민센터,48_종암경찰서,49_KT월곡지사,50_종암SK아파트,51_성북구보건소,52_생명의전화,53_월곡동두산아파트,54_월곡삼성래미안아파트,55_월곡1동주민센터,56_창문여고,57_장위동고개,58_장위1동주민센터,59_장위1동치안센터,60_국민은행장위동지점,61_장곡초교,62_장곡초교사거리,63_꿈의숲아이파크아파트,64_장위래미안아파트,65_벼루말교,66_광운중학교,67_광운대학교,68_월계삼거리,69_신도브래뉴.한전노원변전소,70_인덕삼거리,71_삼화상운차고지,6_광운중.광운인공지능고등학교,22_종암사거리입구,48_종암사거리입구,66_광운중.광운인공지능고등학교
2022-03-05 04:00:00,0,1,0,0,1,0.0,0,0,1,0,1,3,4,5,5,0,7,7,8,9,6,4.0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,
2022-03-05 05:00:00,1,0,0,0,0,0.0,0,1,2,1,2,0,0,3,4,2,6,7,9,0,10,5.0,2,3,4,0,4,3,1,2,1,1,2,2,2,1,2,0,3,4,2,3,0,4,3,1,0,3.0,0,0,0,0,4,0,0,1,0,2,0,2,0,0,3,0,0,0.0,0,1,0,0,0,,,,
2022-03-05 06:00:00,0,0,0,1,0,1.0,3,0,0,3,0,0,4,3,5,4,3,4,6,5,3,7.0,8,8,4,9,8,6,4,3,0,4,2,2,2,3,1,0,4,1,7,6,2,5,2,3,3,1.0,0,0,0,1,0,2,1,0,1,1,0,0,0,1,2,2,0,0.0,0,1,1,0,0,,,,
2022-03-05 07:00:00,1,1,2,3,2,1.0,0,2,4,4,4,3,5,5,6,8,11,12,7,6,11,9.0,9,7,10,0,9,8,7,5,4,6,5,4,3,2,0,0,3,5,4,0,3,2,2,4,5,4.0,3,0,2,2,0,0,0,2,1,0,3,3,0,0,3,2,1,0.0,0,0,0,0,0,,,,
2022-03-05 08:00:00,0,2,2,3,1,3.0,0,4,4,4,6,8,10,12,15,15,19,20,18,16,17,14.0,15,17,15,19,18,17,16,17,17,18,8,7,3,2,6,3,5,6,8,7,7,6,8,8,6,5.0,5,6,6,7,6,2,8,9,5,4,3,2,2,1,3,2,0,0.0,1,0,0,0,0,,,,
2022-03-05 09:00:00,0,0,0,4,3,4.0,3,3,4,5,5,7,8,11,14,15,13,14,15,10,14,8.0,7,7,6,10,11,10,5,7,11,12,10,5,4,1,0,3,4,5,6,4,10,8,7,4,3,4.0,5,4,6,8,5,3,7,9,10,7,5,6,4,3,4,0,4,0.0,1,0,0,0,0,,,,
2022-03-05 10:00:00,0,2,3,2,3,2.0,0,5,6,6,3,6,5,7,8,8,9,10,9,8,13,10.0,9,11,9,9,13,12,9,10,8,8,7,2,2,0,4,4,5,5,5,7,5,6,6,8,9,9.0,7,0,8,10,3,5,9,7,6,9,8,4,4,4,4,5,6,8.0,7,1,0,0,0,,,,
2022-03-05 11:00:00,0,3,0,8,8,8.0,2,8,6,7,8,10,12,13,13,14,12,14,13,13,14,14.0,14,15,16,11,19,18,12,18,21,20,16,3,1,0,2,6,7,6,9,8,7,3,8,9,10,12.0,0,7,14,13,15,13,15,14,11,6,0,5,4,5,4,7,8,7.0,4,2,0,0,0,,,,
2022-03-05 12:00:00,0,1,0,4,1,3.0,0,4,5,7,8,7,6,10,11,7,13,10,12,14,15,15.0,15,15,15,16,15,16,14,15,10,13,8,8,6,5,4,0,4,5,6,7,4,3,5,6,5,6.0,0,7,8,9,9,7,8,12,8,8,7,7,3,6,4,0,5,2.0,3,1,0,0,0,,,,
2022-03-05 13:00:00,0,2,0,3,4,4.0,3,2,1,0,4,6,7,10,13,12,11,12,11,9,8,7.0,8,7,7,8,8,7,8,7,8,9,6,6,6,3,5,0,6,5,8,9,4,6,8,9,13,11.0,10,7,11,11,13,12,12,13,10,6,4,7,0,3,3,2,0,1.0,1,0,0,0,0,,,,
