Unnamed: 0,1_7단지영업소(가상),2_온곡중학교노원정보도서관,3_상계초등학교,4_노원역9번출구,5_상계주공3단지,6_상계주공2단지,7_상계주공1단지,8_어린이교통공원,9_마들근린공원.노원에코센터,10_창동주공17단지,11_창동주공4단지,12_도봉문화정보도서관,13_창림초교창동신창아파트앞,14_국립현대미술관창동레지던시,15_신창.창동시장,16_창동서울탁주앞,17_번동사거리,18_북부시장입구,19_강북경찰서입구,20_수유사거리,21_수유시장.성신여대미아캠퍼스앞,22_미아역.신일중고,23_도봉세무서.성북시장,24_미아사거리역,25_월곡뉴타운,26_길음뉴타운,27_미아리고개.미아리예술극장,28_돈암사거리.성신여대입구,29_삼선교.한성대학교,30_혜화동로터리.여운형활동터,31_명륜3가.성대입구,32_창경궁.서울대학교병원,33_현대그룹빌딩,34_이화동(이화장),35_충신동,36_동대문,37_종로5가.효제초등학교,38_종로5가.효제동.김상옥의거터,39_방송통신대.이화장,40_혜화역.마로니에공원,41_혜화역.동성중고(장면총리가옥),42_삼선교.한성대학교.조소앙활동터,43_돈암사거리.성신여대입구,44_미아리고개.미아리예술극장,45_길음뉴타운,46_월곡뉴타운,47_미아사거리역,48_도봉세무서.성북시장,49_미아역.신일중고,50_수유시장.성신여대미아캠퍼스앞,51_수유사거리,52_강북경찰서입구,53_북부시장입구,54_번동사거리,55_창동서울탁주앞,56_창동.신창시장,57_국립현대미술관창동레지던시,58_창림초교창동신창아파트앞,59_도봉문화정보도서관,60_창동주공4단지,61_창동주공17단지,62_마들근린공원.노원에코센터,63_중계역1번출구,64_백병원,65_상계주공4단지,66_상계주공6단지,67_노원역1번출구,68_상계초등학교,69_7단지영업소(가상)
2022-03-05 04:00:00,1,1,3,2,6,2,3,0,7,7,9,6,14,16,17,18,19,16,13,17,15,12,11,11,12,12,11,10,9,7,7,6,5,2,4,12,14,0,14,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,3,3,0,1,4,3,6,6,2,8,10,9,11,10,12,11,11,9,10,9,7,8,12,7,10,8,7,6,5,4,3,1,10,10,11,11,0,12,16,18,19,20,23,23,22,23,28,28,29,30,31,30,31,32,33,30,24,11,21,12,7,6,4,1,0,0
2022-03-05 06:00:00,0,0,2,3,1,2,2,5,7,7,6,4,6,5,10,12,11,11,10,10,8,9,8,7,7,9,10,8,5,7,4,6,5,3,1,1,0,0,1,2,1,0,2,5,8,10,9,9,6,6,6,7,6,7,6,10,8,9,10,7,8,7,3,2,3,0,0,0,0
2022-03-05 07:00:00,0,2,1,3,7,7,3,10,9,10,11,12,15,19,23,28,29,27,26,22,24,17,16,15,13,14,8,6,3,5,6,7,5,1,4,1,1,0,0,2,0,6,6,7,6,3,6,7,6,7,6,6,8,11,10,13,17,14,16,17,18,16,5,5,4,3,1,0,0
2022-03-05 08:00:00,0,1,1,2,3,4,6,10,12,13,14,12,12,14,15,21,19,19,20,18,17,14,14,14,11,13,15,18,15,12,8,3,3,1,0,0,1,2,2,2,3,5,3,4,5,6,10,10,13,13,15,16,21,21,23,23,24,27,25,24,28,26,9,8,7,3,1,0,0
2022-03-05 09:00:00,0,2,2,4,6,9,11,15,17,21,25,26,23,27,27,27,26,29,25,20,20,18,17,18,18,19,25,23,18,14,10,7,5,4,2,1,2,0,2,3,2,4,4,5,4,6,8,7,9,11,12,11,12,14,15,16,20,26,25,25,27,28,19,14,13,8,1,0,0
2022-03-05 10:00:00,0,1,1,5,6,7,8,13,14,14,16,14,19,25,27,36,37,35,33,29,27,25,24,23,21,21,20,18,16,11,9,8,5,4,3,2,4,5,4,5,4,1,5,5,5,6,7,8,9,9,9,8,10,11,14,16,17,21,19,22,24,26,21,18,16,6,2,0,0
2022-03-05 11:00:00,0,0,1,5,7,8,11,21,19,20,16,15,15,21,23,22,21,23,22,19,18,14,16,16,13,14,15,11,9,8,6,6,5,4,5,3,3,0,4,5,4,7,8,7,8,7,11,13,12,11,16,17,11,13,12,12,14,16,14,16,20,20,15,14,15,8,1,0,0
2022-03-05 12:00:00,0,1,1,9,13,12,15,19,18,22,23,22,22,22,21,26,28,30,28,26,21,21,19,13,12,11,12,8,13,3,11,10,7,3,2,3,3,3,5,5,6,11,12,11,14,17,16,15,17,19,20,17,20,20,16,25,24,28,26,26,25,26,20,19,20,10,2,0,0
2022-03-05 13:00:00,0,1,1,7,13,14,13,19,24,25,25,24,22,21,24,23,24,24,24,17,22,21,21,17,14,19,17,14,13,10,5,3,5,3,5,2,5,5,4,7,8,11,16,20,20,17,16,21,19,25,26,24,26,25,21,26,27,30,31,30,29,29,15,14,17,10,1,0,0
2022-03-05 14:00:00,0,1,2,8,13,13,13,28,27,31,25,23,23,19,21,20,19,21,18,15,17,17,16,14,16,17,14,15,11,9,8,8,9,7,7,6,7,5,8,10,9,8,21,24,23,20,20,19,20,22,20,18,17,13,14,14,16,19,17,18,29,25,15,16,13,5,1,0,0
2022-03-05 15:00:00,2,1,3,18,23,24,23,28,28,27,29,31,29,28,22,25,23,24,25,18,16,15,14,19,12,10,9,8,6,5,5,4,0,2,4,6,11,8,10,12,15,19,18,20,19,20,21,21,21,26,24,23,24,25,25,27,29,32,29,32,35,21,17,16,17,9,1,0,0
2022-03-05 16:00:00,0,2,3,9,13,16,19,30,28,28,28,26,22,21,16,18,12,19,20,17,19,18,18,13,9,9,8,6,4,4,4,1,2,3,3,6,8,9,7,11,13,16,15,15,14,14,22,21,21,23,27,26,25,20,21,20,20,22,21,22,21,32,18,18,16,10,1,0,0
2022-03-05 17:00:00,0,1,3,8,11,12,16,26,25,21,21,19,17,20,18,20,22,28,29,27,22,20,19,13,11,9,8,6,5,4,3,2,0,3,2,3,6,5,3,12,12,11,13,16,18,14,20,20,22,23,27,26,25,26,21,25,25,28,23,29,28,27,20,17,15,6,2,0,0
2022-03-05 18:00:00,0,0,1,9,11,11,17,23,23,22,21,20,18,20,20,23,23,21,19,18,20,18,16,9,10,9,11,9,9,6,4,0,5,2,3,6,9,8,11,10,15,18,22,23,23,23,28,25,27,29,32,27,28,27,27,25,27,25,24,25,23,22,13,12,9,7,1,0,0
