Unnamed: 0,1_정릉북한산국립공원입구,2_정릉산장아파트,3_정릉4동주민센터.경국사,4_삼덕단지.성북구립최만린미술관,5_정릉3동주민센터앞,6_고려대사범대학부속고등학교,7_청덕초교,8_국민대학교앞,9_롯데아파트,10_일성아파트,11_평창동주민센터,12_평창파출소,13_갑을씨티텔앞,14_세검정초등학교,15_상명대입구.석파랑,16_하림각,17_자하문터널입구.석파정,18_부암동주민센터.무계원,19_자하문고개.윤동주문학관,20_청운중학교,21_경복고교,22_신교동,23_통인시장종로구보건소,24_경복궁역,25_경복궁,26_안국동,27_조계사,28_종로1가,29_KT광화문지사,30_경복궁역,31_통인시장종로구보건소,32_효자동,33_경복고교,34_청운중학교,35_자하문고개.윤동주문학관,36_부암동주민센터.무계원,37_자하문터널입구.석파정,38_하림각,39_상명대입구.세검정교회,40_세검정.상명대,41_세검정초등학교,42_화정박물관,43_서울예술고등학교.평창동주민센터,44_예능교회,45_벽산평창힐스아파트,46_롯데아파트,47_평창동삼성아파트,48_국민대앞,49_청덕초등학교,50_정릉3동주민센터앞,51_삼덕단지.성북구립최만린미술관,52_정릉4동주민센터.경국사,53_정릉대우아파트,54_정릉북한산국립공원입구
2022-03-05 04:00:00,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,1,3,3,0,1,0,1,1,0,2,0,0,3,2,2,0,1,0,0,0,1,4,1,1,1,0,3,3,2,0,0,0,1,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0
2022-03-05 06:00:00,2,1,2,3,0,5,3,0,4,0,2,2,4,3,3,6,0,7,8,3,5,3,4,3,2,1,0,3,2,5,1,4,2,1,1,0,3,2,0,1,2,1,0,2,0,0,3,2,1,1,1,1,0,0
2022-03-05 07:00:00,0,4,4,5,3,6,7,4,7,3,3,4,8,8,9,4,6,7,5,7,6,7,7,5,4,3,2,4,8,14,12,10,8,2,5,2,1,1,0,1,2,1,1,0,0,0,0,1,2,3,2,0,0,0
2022-03-05 08:00:00,2,3,4,5,4,5,4,4,6,6,7,10,6,14,12,8,11,11,6,0,7,11,10,6,6,3,3,2,6,10,4,10,8,7,6,5,4,2,0,7,5,1,4,2,0,1,2,0,3,0,1,2,0,0
2022-03-05 09:00:00,2,3,4,5,3,5,6,7,8,7,6,11,10,12,11,10,12,16,18,12,11,18,13,10,7,4,4,6,10,15,14,12,9,11,7,6,7,6,5,4,2,3,4,1,3,2,2,6,5,1,1,4,3,0
2022-03-05 10:00:00,3,6,4,6,7,6,7,6,8,9,9,13,14,15,13,12,11,15,16,15,10,15,14,12,8,9,10,8,12,16,15,14,9,10,13,14,15,17,8,10,13,10,9,10,9,6,5,5,5,4,0,3,2,0
2022-03-05 11:00:00,3,5,5,6,9,7,9,10,11,10,13,17,18,19,22,23,20,27,29,21,28,27,21,13,9,6,4,5,8,18,18,15,11,14,11,10,12,7,8,11,12,9,7,6,7,3,2,5,6,4,2,3,1,0
2022-03-05 12:00:00,2,5,5,9,6,11,6,9,7,9,12,14,15,15,16,16,17,17,22,0,21,23,22,14,10,7,9,10,16,15,15,13,11,12,10,9,11,10,9,8,6,3,5,6,5,6,5,4,0,5,0,7,6,0
2022-03-05 13:00:00,4,4,5,5,8,6,7,7,10,11,13,21,20,21,24,24,22,23,34,26,35,34,23,18,13,10,9,14,17,17,18,19,12,0,11,13,14,7,12,13,12,11,9,9,7,3,5,5,4,6,4,3,2,0
2022-03-05 14:00:00,5,4,2,2,6,0,6,8,8,8,11,15,17,18,21,23,25,28,32,35,34,33,33,28,22,10,7,13,21,30,28,26,17,24,17,15,15,16,16,16,16,15,11,10,9,3,3,11,10,7,8,4,2,0
2022-03-05 15:00:00,2,3,4,3,5,2,4,6,7,1,10,16,14,15,17,18,0,24,41,16,39,38,27,16,12,10,9,11,16,20,15,18,13,19,13,15,16,15,14,11,12,8,8,7,6,4,8,5,4,4,2,2,0,0
2022-03-05 16:00:00,2,3,1,5,6,4,10,6,11,13,12,13,14,16,18,19,17,22,30,0,23,29,26,23,16,17,15,19,10,16,15,14,17,14,15,17,21,20,21,21,21,20,15,14,4,12,6,10,8,6,4,4,0,0
2022-03-05 17:00:00,3,5,5,4,6,4,7,5,7,6,7,11,12,14,17,18,6,20,26,22,29,30,27,18,13,11,7,14,29,31,25,25,27,22,12,22,24,16,25,24,18,16,14,13,11,11,0,13,7,5,4,4,1,0
2022-03-05 18:00:00,2,3,2,4,2,3,5,4,5,2,7,9,0,8,7,10,12,11,9,0,12,12,16,12,8,10,11,12,19,30,29,27,21,26,26,22,22,23,19,22,21,17,13,11,9,7,5,8,6,5,3,2,1,0
2022-03-05 19:00:00,2,5,6,4,2,2,1,3,4,0,5,7,0,9,7,6,11,12,14,16,15,17,16,12,11,9,8,11,17,17,15,23,22,22,20,21,20,19,16,15,15,16,10,6,11,9,8,7,5,7,6,2,2,0
2022-03-05 20:00:00,1,2,2,0,1,2,7,2,0,2,3,5,6,2,0,7,5,9,3,0,0,12,9,8,5,3,7,7,8,16,14,15,11,5,14,14,12,15,8,9,13,10,5,0,0,5,0,2,3,3,3,2,1,0
2022-03-05 21:00:00,0,1,0,0,3,0,0,0,2,3,2,4,0,7,6,4,3,7,5,0,6,7,7,5,2,5,5,10,13,17,12,18,10,5,9,21,20,4,6,21,20,19,16,14,11,11,10,11,11,7,4,3,2,0
2022-03-05 22:00:00,0,1,2,0,0,0,1,1,0,0,3,3,0,2,0,0,0,0,0,0,1,2,0,3,0,2,2,6,10,15,16,10,0,14,11,10,12,11,10,8,8,10,5,9,7,4,3,6,3,4,2,1,1,0
2022-03-05 23:00:00,0,0,0,1,2,0,2,3,0,4,4,5,0,4,4,4,0,3,0,0,2,0,2,3,0,2,1,5,7,16,15,11,8,0,10,8,5,6,9,6,0,5,3,4,1,3,2,3,2,1,2,1,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,1,0,2,0,0,0,1,0,0,2,2,1,2,0,0,0,0,0,0,3,0,0,1,0,0,1,1,3,1,2,3,0,2,3,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0
2022-03-06 06:00:00,3,4,5,4,3,6,0,0,0,0,5,6,0,7,3,4,0,2,0,2,2,0,2,0,1,0,0,2,3,3,0,0,2,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0
2022-03-06 07:00:00,1,0,2,1,1,3,4,4,2,5,4,0,2,4,6,0,0,3,0,3,2,4,2,5,3,2,2,2,7,11,8,3,4,0,3,2,0,3,2,0,1,0,0,0,1,0,1,0,0,2,3,1,0,0
2022-03-06 08:00:00,2,3,4,3,4,4,0,4,4,0,1,5,3,5,3,5,6,7,8,7,5,7,6,5,3,1,0,3,5,7,5,0,5,4,3,2,0,0,0,0,3,2,3,0,0,0,0,1,0,2,3,1,1,0
2022-03-06 09:00:00,4,6,8,6,6,6,8,2,7,8,9,11,9,8,9,12,12,11,15,0,6,15,11,5,3,4,3,5,6,12,10,9,6,8,5,7,7,9,4,0,6,6,4,5,0,5,4,5,0,4,4,4,0,0
2022-03-06 10:00:00,3,6,10,9,10,11,10,9,6,11,13,14,13,10,12,13,14,14,15,0,12,15,13,8,8,4,2,5,10,21,14,11,18,11,8,7,0,6,5,5,3,0,5,5,0,3,2,4,1,3,3,0,1,0
2022-03-06 11:00:00,2,3,4,5,5,5,4,6,9,10,13,14,6,15,12,13,14,14,20,15,17,25,24,15,11,9,4,2,7,14,8,11,10,9,12,8,4,0,6,5,6,4,3,0,2,1,0,2,4,2,4,3,0,0
2022-03-06 12:00:00,1,1,3,3,4,0,4,7,8,9,6,14,5,15,11,16,11,18,24,0,24,21,22,16,13,9,5,8,14,29,27,27,25,21,14,16,13,11,10,12,14,11,8,11,8,5,6,5,6,5,5,4,1,0
2022-03-06 13:00:00,2,5,8,10,11,8,13,14,18,17,19,18,15,21,23,15,22,24,30,29,25,28,23,12,10,8,5,5,14,24,14,26,26,24,14,15,15,16,14,10,13,9,9,5,7,6,6,6,5,4,1,1,0,0
2022-03-06 14:00:00,6,8,1,8,9,8,5,4,10,11,11,10,11,16,19,12,14,29,38,0,37,21,33,15,14,9,8,13,10,29,26,25,22,19,6,8,11,8,10,11,10,6,8,6,5,3,5,4,5,4,3,0,1,0
2022-03-06 15:00:00,2,4,3,5,7,8,8,7,7,9,12,13,14,16,17,16,17,26,28,0,27,28,27,15,9,6,6,8,16,20,21,18,16,14,18,16,12,12,2,14,12,6,14,13,12,9,7,5,7,6,5,1,4,0
2022-03-06 16:00:00,2,5,0,3,7,6,1,8,11,9,14,13,13,15,16,18,17,18,27,26,28,24,30,24,21,15,12,10,13,16,15,16,20,10,14,12,14,15,14,15,15,13,11,12,11,9,8,8,7,4,6,4,1,0
2022-03-06 17:00:00,3,4,8,2,7,0,7,8,10,11,13,14,7,18,13,17,16,15,27,15,30,31,29,25,18,25,20,10,16,28,35,34,32,25,20,20,19,19,18,18,14,9,10,8,9,7,10,8,7,6,5,4,2,0
2022-03-06 18:00:00,2,3,4,3,5,5,3,6,7,6,9,9,3,8,5,10,11,15,22,0,7,12,19,15,13,12,12,11,12,18,18,19,11,18,16,16,17,16,14,13,12,10,8,10,6,7,4,7,4,4,6,5,3,0
2022-03-06 19:00:00,0,1,0,1,2,3,3,1,0,5,7,7,8,7,0,8,11,11,10,4,9,8,11,8,6,5,5,6,10,13,11,21,18,0,5,20,19,18,9,13,13,11,9,8,7,5,0,4,6,3,2,1,0,0
2022-03-06 20:00:00,1,0,1,2,2,1,0,0,1,1,2,3,0,3,0,0,0,3,2,0,4,2,4,6,0,2,3,7,12,19,12,18,11,0,17,18,10,16,9,8,17,12,10,9,2,8,6,10,10,5,3,2,1,0
2022-03-06 21:00:00,0,1,2,4,3,0,0,0,0,0,4,1,1,2,4,1,3,0,4,0,3,3,4,6,2,4,4,10,11,17,17,16,17,15,8,14,13,9,10,11,12,10,8,9,7,5,8,7,7,6,2,2,1,0
