Unnamed: 0,1_선일교통(가상),2_강북청소년수련관,3_무량사입구,4_국립4.19민주묘지,5_국립4.19민주묘지입구사거리,6_인수동장미원,7_가오리역,8_우이초등학교,9_화계사입구,10_빨래골입구,11_롯데마트삼양점.래미안1차아파트,12_삼양초등학교,13_강북청소년문화정보도서관입구,14_삼양동사거리,15_송천초등학교.미아뉴타운입구,16_미아초교,17_길음동동부아파트,18_길음뉴타운,19_미아리고개.미아리예술극장,20_돈암사거리.성신여대입구,21_삼선교.한성대학교,22_혜화동로터리.여운형활동터,23_명륜3가.성대입구,24_창경궁.서울대학교병원,25_원남동,26_광장시장,27_중구청앞.덕수중학교,28_충무로역8번출구.대한극장앞,29_퇴계로3가.한옥마을.한국의집,30_퇴계로2가.명동역,31_남대문시장.회현역,32_숭례문.한국일보,33_서울역버스환승센터,34_남대문시장.회현역,35_명동입구,36_퇴계로3가.한옥마을.한국의집,37_충무로역2번출구.대한극장앞,38_퇴계로5가.제일병원,39_을지로5가.훈련원종합체육관,40_방산시장.훈련원종합체육관,41_종로5가,42_종로5가.효제초등학교,43_종로5가.효제동.김상옥의거터,44_방송통신대.이화장,45_혜화역.마로니에공원,46_혜화역.동성중고(장면총리가옥),47_삼선교.한성대학교.조소앙활동터,48_돈암사거리.성신여대입구,49_미아리고개.미아리예술극장,50_돈암동삼성아파트입구,51_길음동동부아파트,52_미아초교,53_송천초등학교.미아뉴타운입구,54_삼양동사거리,55_강북청소년문화정보도서관입구,56_삼양초등학교,57_롯데마트삼양점.래미안1차아파트,58_빨래골입구,59_화계사입구,60_우이초등학교,61_가오리역,62_인수동장미원,63_국립4.19민주묘지입구사거리,64_국립4.19민주묘지,65_무량사입구,66_강북청소년수련관,67_선일교통종점(가상)
2022-03-05 04:00:00,0,2,1,4,6,7,9,11,6,13,12,11,8,13,14,12,13,11,11,12,11,11,9,10,9,9,9,9,8,6,5,2,6,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,3,2,2,1,3,5,4,4,7,10,9,11,11,11,14,14,13,13,14,11,10,8,7,8,6,5,6,4,3,3,4,2,5,2,6,5,6,5,6,6,7,6,12,14,5,12,12,13,14,13,13,12,5,5,0,12,7,5,2,4,0,3,1,0,0,0
2022-03-05 06:00:00,0,1,2,3,5,6,7,9,8,10,8,10,9,10,12,13,12,12,13,9,10,11,8,7,6,4,2,3,1,1,1,1,2,2,1,3,1,4,1,5,0,4,0,0,5,4,4,4,5,6,5,7,7,8,5,4,8,7,4,6,4,3,2,1,0,0,0
2022-03-05 07:00:00,0,2,3,1,4,7,9,10,9,14,16,16,15,11,15,18,14,16,12,12,12,11,10,9,8,6,4,5,4,5,2,1,1,3,4,4,3,0,0,1,3,0,0,2,4,0,4,3,4,4,5,7,7,6,5,0,3,2,3,4,4,1,5,4,0,0,0
2022-03-05 08:00:00,0,3,5,6,4,9,13,14,13,17,19,12,19,20,20,23,23,19,19,20,14,12,13,12,8,10,6,5,1,1,2,1,1,2,0,3,4,2,4,5,3,2,4,1,3,5,4,5,6,5,6,7,7,7,7,6,8,7,5,3,6,4,3,1,3,0,0
2022-03-05 09:00:00,0,5,4,4,7,11,12,14,14,15,15,18,20,25,27,34,35,36,33,25,21,18,17,17,16,10,8,9,8,6,3,2,2,3,1,2,3,4,5,5,2,3,4,7,6,8,10,14,8,16,17,15,14,12,5,11,11,13,7,11,9,10,8,5,3,0,0
2022-03-05 10:00:00,0,6,2,3,4,13,15,17,17,19,18,17,16,20,23,29,28,23,20,19,20,19,18,18,17,12,9,8,7,5,3,4,7,6,7,5,5,7,7,8,5,5,1,7,8,6,6,8,9,9,8,8,10,8,6,7,9,7,6,0,7,6,6,5,4,0,0
2022-03-05 11:00:00,0,3,8,8,10,12,14,13,16,21,24,26,27,28,28,26,27,25,24,22,18,16,14,14,14,14,13,12,13,6,1,2,7,8,5,5,7,7,10,3,8,7,7,4,6,8,8,13,12,18,17,16,17,18,15,5,14,10,9,7,10,10,7,2,4,0,0
2022-03-05 12:00:00,0,5,8,8,9,13,15,18,17,21,18,20,16,15,22,23,24,22,17,15,14,14,13,13,13,13,8,6,5,4,4,3,6,7,10,7,8,10,12,9,16,9,12,15,11,14,15,16,18,17,18,18,17,11,11,10,12,12,11,15,14,15,11,10,5,0,0
2022-03-05 13:00:00,0,4,2,5,5,6,8,11,12,14,14,8,14,19,25,21,21,20,20,23,18,11,10,9,9,8,6,9,7,4,2,4,11,12,8,11,12,11,12,10,8,12,11,13,14,15,17,24,25,21,20,18,19,19,18,12,14,13,11,13,14,16,13,8,6,0,0
