Unnamed: 0,1_정릉북한산국립공원입구,2_정릉산장아파트,3_정릉4동주민센터.경국사,4_북한산보국문역2번출구,5_성북청수도서관.정릉4동성당,6_정릉시장입구,7_정릉우체국앞,8_숭덕초교,9_정릉길음시장,10_돈암동삼성아파트입구,11_돈암1동주민센터,12_종암사거리,13_종암경찰서,14_종암동주민센터,15_숭례초교,16_고려대역.고대앞삼거리,17_홍파초등학교,18_제기동주민센터.서울약령시앞,19_경동시장,20_경동시장사거리,21_동대문구청.용신동주민센터,22_마장축산물시장,23_도선사거리,24_성동구청,25_무학여고,26_응봉동주민센터,27_응봉동현대아파트,28_삼성래미안아파트앞,29_금남시장앞.백범학원터,30_금옥초등학교앞,31_옥수삼성아파트.래미안옥수리버젠,32_옥정중학교입구,33_한남시범아파트,34_한남동,35_순천향대학병원,36_한강진역.블루스퀘어,37_한남동새마을금고,38_이태원119안전센터,39_이태원역1번출구.해밀턴호텔,40_용산구청.이태원시장,41_녹사평역,42_전쟁기념관,43_용산꿈나무종합타운.보건분소,44_효창공원앞역,45_용마루고개(서울자동차고등학교),46_용마루고개.신공덕삼성아파트,47_공덕오거리,48_공덕역.2번.출구,49_동도중학교.서울디자인고등학교,50_대흥역,51_광성중고등학교,52_서강대학교,53_신촌로터리,54_현대백화점,55_동교동삼거리연희동방면,56_연희동대우아파트,57_연희교차로,58_연희3거리,59_한성화교중고교.서대문소방서,60_서대문자연사박물관입구,61_서대문구청.보건소.구의회,62_서대문구보건소별관,63_정원여중,64_홍은현대아파트.스위스그랜드호텔,65_유진상가,66_문화촌현대아파트,67_서울여자간호대학,68_유원하나아파트,69_홍지문.옥천암,70_세검정.상명대,71_세검정초등학교,72_화정박물관,73_서울예술고등학교.평창동주민센터,74_예능교회,75_벽산평창힐스아파트,76_롯데아파트,77_평창동삼성아파트,78_국민대앞,79_청덕초등학교,80_북악중학교,81_봉국사,82_정릉우체국앞,83_정릉시장입구,84_성북청수도서관.정릉4동성당,85_북한산보국문역1번출구,86_정릉4동주민센터.경국사,87_정릉대우아파트,88_정릉북한산국립공원입구,13_종암사거리입구,44_효창공원앞역.이봉창역사울림관
2022-03-05 04:00:00,0,3,0,4,7,4,9,12,8,10,4,12,9.0,14,15,14,13,9,7,10,9,7,6,5,7,0,9,1,14,0,15,15,0,7,3,5,0,0,7,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,2,4,1,0,3,3,6,6,7,7,8,6,8.0,9,9,6,5,8,7,6,7,4,8,5,4,0,2,1,3,4,0,4,3,2,2,2,0,3,0,5,7,3,5,6.0,8,7,6,3,5,6,0,5,4,6,5,5,4,6,3,4,0,8,6,4,7,2,5,4,0,3,4,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,
2022-03-05 06:00:00,2,3,2,2,3,5,7,7,7,4,0,4,4.0,9,6,7,10,7,6,7,5,5,6,6,4,4,4,4,3,4,3,4,2,4,7,4,5,6,2,5,4,1,4,3.0,0,3,3,5,3,2,2,0,1,4,4,5,7,6,4,4,0,4,3,3,4,3,6,7,5,4,5,3,5,2,3,1,0,2,2,1,0,1,3,2,3,2,2,0,,
2022-03-05 07:00:00,3,4,6,5,6,11,10,11,13,12,14,7,14.0,14,8,10,11,9,8,6,6,5,4,5,4,2,5,4,5,4,5,9,8,5,8,7,5,5,6,8,4,7,5,6.0,2,6,6,6,3,6,0,5,4,5,10,6,6,8,7,5,4,4,5,3,5,5,7,0,1,4,7,5,4,5,6,2,4,3,2,1,2,2,3,2,1,1,0,0,,
2022-03-05 08:00:00,6,10,12,13,14,17,18,22,21,21,20,21,20.0,15,15,14,13,12,12,9,12,12,9,7,11,10,13,9,14,15,13,14,15,13,12,7,12,7,6,6,5,6,7,5.0,5,7,8,9,8,9,8,9,8,9,14,14,12,11,11,10,9,10,12,11,12,9,8,9,1,3,9,8,7,6,0,4,5,5,4,3,1,3,4,0,6,5,3,0,,
2022-03-05 09:00:00,4,14,17,14,14,14,14,19,20,19,0,18,17.0,19,17,18,12,16,11,10,12,10,12,10,9,13,15,14,13,12,7,11,9,9,25,23,20,13,19,20,19,16,15,16.0,15,13,11,11,15,14,9,12,7,6,9,12,12,13,12,11,14,15,14,13,12,11,12,8,0,7,6,10,8,4,3,7,0,3,6,3,5,4,6,5,7,0,6,0,,
2022-03-05 10:00:00,3,12,10,12,15,18,14,21,24,19,15,18,19.0,24,17,16,17,23,19,21,21,25,24,15,14,12,13,15,12,13,12,13,11,12,25,26,22,23,21,21,22,15,14,15.0,16,14,15,15,13,13,12,11,10,13,14,15,13,9,7,7,9,8,0,9,8,11,11,10,10,9,7,1,9,0,0,8,8,7,3,4,1,3,5,3,6,3,3,0,,
2022-03-05 11:00:00,4,7,8,8,9,10,12,15,16,18,18,16,18.0,18,21,19,15,16,19,22,22,14,20,14,16,15,15,15,14,12,12,17,18,16,38,32,21,18,16,15,16,12,12,14.0,17,15,16,12,15,17,18,17,21,20,19,19,16,17,16,16,17,15,16,16,13,12,11,10,12,8,13,10,8,7,6,7,6,6,7,9,9,8,11,8,6,7,5,0,,
2022-03-05 12:00:00,8,12,13,11,12,15,18,19,17,17,16,15,14.0,15,14,14,15,13,15,17,16,12,17,13,17,18,19,18,19,20,19,19,19,20,35,31,30,29,24,21,19,17,14,14.0,15,16,17,18,20,22,20,22,15,17,22,16,15,13,16,16,17,21,20,16,14,13,11,8,9,8,10,9,8,0,7,6,4,7,6,4,4,3,7,8,3,6,4,0,,
2022-03-05 13:00:00,9,19,17,18,24,24,21,24,23,20,17,17,15.0,13,14,12,14,14,15,17,18,14,15,17,17,17,18,20,20,18,18,22,21,22,36,33,27,27,24,27,26,25,23,27.0,27,29,27,27,24,21,20,17,15,17,17,22,20,18,15,16,16,14,14,14,12,13,14,15,16,14,14,9,7,8,7,6,7,4,8,6,0,7,6,7,9,11,7,0,,
