Unnamed: 0,1_성북생태체험관,2_정릉초교,3_정릉동풍림상가앞,4_정릉동풍림아파트.청소년문화의집,5_솔샘사거리,6_삼덕단지.성북구립최만린미술관,7_정릉3동주민센터앞,8_봉국사,9_정릉2동주민센터,10_숭덕초교,11_정릉길음시장,12_길음시장,13_길음역,14_길음뉴타운10단지.라온유아파트,15_숭덕초교,16_정릉2동주민센터,17_봉국사,18_정릉3동주민센터앞,19_삼덕단지.성북구립최만린미술관,20_솔샘사거리,21_정릉대림아파트.청소년문화의집,22_정릉동풍림상가앞,23_풍림아파트삼거리,24_정릉초교,25_성북생태체험관
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,2,1,0,2,3,0,0,2,3,3,3,0,0,2,0,1,4,3,1,0,0,0,0
2022-03-05 06:00:00,0,1,1,2,3,1,4,0,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,2,2,2,1,2,0,0,2,2,1,4,3,1,0,1,2,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,2,3,4,2,3,6,1,4,5,4,1,2,0,1,3,0,4,3,1,0,0,0,0,0
2022-03-05 09:00:00,0,2,4,5,3,6,8,9,11,10,12,2,6,3,4,6,0,6,7,5,4,1,0,0,0
2022-03-05 10:00:00,0,4,11,13,4,5,7,0,8,8,5,2,20,21,5,6,7,21,5,6,20,5,19,3,0
2022-03-05 11:00:00,0,2,6,7,6,9,14,0,13,8,7,2,2,1,5,1,0,4,3,3,0,0,2,0,0
2022-03-05 12:00:00,2,3,9,10,7,8,7,2,4,6,4,3,4,4,5,6,7,5,6,3,5,3,2,0,0
2022-03-05 13:00:00,2,5,6,5,3,3,5,0,4,4,5,4,6,6,8,9,3,8,7,9,7,4,0,0,0
2022-03-05 14:00:00,0,4,5,7,4,3,5,0,0,4,3,3,2,5,1,5,0,7,4,5,3,2,1,1,0
2022-03-05 15:00:00,0,1,2,4,0,1,7,0,8,7,8,4,15,16,6,19,18,11,9,11,8,2,2,0,0
2022-03-05 16:00:00,1,4,5,5,4,4,6,7,6,5,6,3,6,7,0,9,6,11,6,8,4,7,4,1,0
2022-03-05 17:00:00,0,1,8,0,2,3,4,3,5,1,0,3,8,10,8,13,0,12,10,10,8,5,4,1,0
2022-03-05 18:00:00,0,0,2,0,3,1,3,0,0,2,3,2,7,9,11,11,12,9,7,9,8,5,4,1,0
2022-03-05 19:00:00,0,5,6,2,1,0,3,1,4,3,0,2,7,4,6,8,4,5,6,5,4,4,1,1,0
2022-03-05 20:00:00,0,3,4,6,0,2,3,0,1,0,0,3,5,5,0,7,0,6,2,2,0,4,0,3,0
2022-03-05 21:00:00,0,0,0,1,1,0,1,0,2,3,2,2,4,0,6,7,8,6,3,3,0,0,2,0,0
2022-03-05 22:00:00,0,0,0,0,1,0,1,1,2,1,0,4,8,8,9,9,7,8,7,9,7,4,2,2,0
2022-03-05 23:00:00,0,1,0,1,0,0,0,0,2,0,1,2,6,5,2,5,4,9,3,3,7,2,1,2,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,1,1,0,2,0,0,0,1,3,4,5,0,4,0,3,0,0,0,0,0
2022-03-06 06:00:00,0,0,1,2,0,2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2022-03-06 07:00:00,0,2,0,3,0,1,2,0,1,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0
2022-03-06 08:00:00,0,3,8,0,6,7,4,1,4,5,3,1,3,2,1,2,0,2,1,1,0,0,0,0,0
