Unnamed: 0,1_수유중학교혜화여고,2_서울정인학교,3_구세군강북종합사회복지관입구,4_미양중고등학교.팔팔·미송경로당,5_삼각산동SK아파트북한산시티미양초등학교,6_삼각산119안전센터,7_강북구보건소삼각산분소,8_삼각산동삼각산아이원아파트정문,9_삼각산동삼각산아이원아파트후문,10_삼각산고.래미안트리베라,11_미아초교,12_길음동동부아파트,13_길음역,14_성북우체국현대백화점,15_미아사거리역.롯데백화점,16_삼양동사거리입구,17_성암국제무역고등학교,18_삼양동사거리,19_삼양동사거리,20_송천초등학교.미아뉴타운입구,21_삼각산고.래미안트리베라,22_삼각산동삼각산아이원아파트후문,23_삼각산동삼각산아이원아파트정문,24_강북구보건소삼각산분소,25_삼각산119안전센터,26_삼양동벽산라이브파크미양초등학교,27_미양중고등학교.팔팔·미송경로당,28_구세군강북종합사회복지관입구,29_우광타운,30_혜화여고
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,1,1,2,1,3,5,8,0,0,3,3,3,0,0,0,2,2,3,4,0,3,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,0,1,0,1,4,4,6,4,7,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-03-05 08:00:00,1,2,2,0,1,3,7,8,10,11,10,9,3,2,3,0,1,0,0,2,1,2,1,1,0,0,0,0,0,0
2022-03-05 09:00:00,2,3,4,0,7,5,11,12,12,18,15,14,7,3,6,8,0,7,6,2,4,3,1,0,1,0,0,1,0,0
2022-03-05 10:00:00,2,3,3,3,3,3,2,6,12,9,13,11,5,4,3,0,4,2,3,0,2,3,1,0,1,1,0,0,0,0
2022-03-05 11:00:00,2,3,4,6,1,4,8,2,14,16,0,16,10,6,9,8,8,7,8,0,8,6,2,0,0,2,0,0,1,0
2022-03-05 12:00:00,1,2,0,1,1,1,6,8,13,13,13,13,10,9,16,17,0,11,4,3,10,9,3,3,2,3,1,0,0,0
2022-03-05 13:00:00,1,2,2,3,5,7,7,10,14,14,15,14,7,4,10,6,14,12,13,11,10,12,11,10,8,7,5,4,0,0
2022-03-05 14:00:00,1,0,1,2,2,2,4,6,8,3,6,6,4,5,8,7,8,2,8,0,6,6,5,5,3,0,1,1,0,0
2022-03-05 15:00:00,2,0,2,3,7,11,12,9,11,12,4,8,6,8,12,11,0,6,11,9,6,8,6,2,0,2,1,0,0,0
2022-03-05 16:00:00,1,1,1,2,4,4,6,6,9,6,9,0,6,4,14,14,12,9,12,10,16,11,8,5,1,2,0,0,0,0
2022-03-05 17:00:00,0,0,1,0,3,4,6,7,8,9,1,9,6,6,31,29,27,17,19,15,13,10,5,2,0,3,2,2,1,0
