Unnamed: 0,1_국민대앞,2_고려대사범대학부속고등학교후문,3_국민대후문,4_정릉연립,5_솔샘사거리,6_정릉대림아파트.청소년문화의집,7_정릉동풍림아파트,8_SK아파트.벽산아파트상가,9_삼각산동SK아파트북한산시티미양초등학교,10_두산위브아파트입구,11_동북프라자,12_삼양동사거리,13_성암국제무역고등학교,14_삼양동사거리입구,15_미아사거리역,16_성북우체국현대백화점,17_미아사거리역,18_삼양동사거리입구,19_성암국제무역고등학교,20_삼양동사거리,21_동북시장,22_두산위브아파트입구,23_삼양동벽산라이브파크미양초등학교,24_SK아파트.벽산아파트상가,25_정릉동풍림아파트.청소년문화의집,26_솔샘사거리,27_국민커뮤니티센터,28_국민대후문,29_고려대사범대학부속고등학교후문,30_국민대앞
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,0,2,3,5,6,9,9,5,0,0,1,0,2,1,0,3,0,0,3,0,0,0,2,0
2022-03-05 06:00:00,1,0,0,0,2,1,2,2,3,4,3,4,2,2,0,1,3,0,0,3,1,0,2,2,1,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,1,0,1,1,3,0,3,5,6,4,4,0,0,5,0,0,3,2,1,0,2,2,0,0,0,0,0
2022-03-05 08:00:00,2,0,3,0,3,4,5,7,8,13,11,13,15,11,0,0,5,4,4,3,4,6,4,5,6,4,0,0,0,0
2022-03-05 09:00:00,2,0,0,3,3,2,6,8,10,10,9,8,12,9,1,1,4,0,2,5,4,5,5,4,7,4,3,1,3,0
2022-03-05 10:00:00,1,0,2,0,3,4,3,5,6,12,16,18,17,13,2,0,2,2,3,5,6,5,0,5,3,1,0,0,0,0
2022-03-05 11:00:00,2,3,0,2,3,4,8,7,8,12,10,7,9,5,2,4,12,11,5,6,7,7,6,11,8,5,0,4,0,0
2022-03-05 12:00:00,0,0,0,0,3,4,5,6,8,7,11,11,7,3,0,2,4,3,0,0,8,5,5,6,4,3,4,0,3,0
2022-03-05 13:00:00,1,2,1,3,5,6,7,8,3,9,14,16,19,15,2,2,7,6,7,5,9,8,4,6,5,3,2,0,1,0
2022-03-05 14:00:00,1,2,1,4,3,6,8,7,7,8,11,12,15,11,4,1,16,0,6,13,11,13,11,9,9,4,0,3,0,0
2022-03-05 15:00:00,3,4,6,0,6,0,5,2,2,3,4,3,0,7,1,6,6,7,6,7,8,7,6,3,1,4,0,3,2,0
2022-03-05 16:00:00,6,8,0,0,9,7,11,10,0,11,12,18,12,12,1,3,21,19,17,16,12,10,5,9,7,3,2,1,0,0
2022-03-05 17:00:00,1,0,2,0,6,8,8,7,9,14,17,17,16,13,3,4,10,9,8,11,14,14,9,14,11,6,0,5,1,0
2022-03-05 18:00:00,3,1,0,2,3,3,4,3,5,8,9,8,10,9,5,3,5,6,9,9,12,11,8,9,7,3,1,0,0,0
2022-03-05 19:00:00,2,2,0,4,6,3,7,7,3,8,7,8,8,9,1,2,10,0,9,5,12,9,8,8,6,4,0,0,2,0
2022-03-05 20:00:00,1,0,0,0,2,0,2,4,4,5,7,7,8,7,2,6,16,16,17,15,13,12,9,5,4,1,1,0,0,0
2022-03-05 21:00:00,1,0,0,0,1,0,1,0,1,2,3,4,5,4,0,1,8,9,8,7,3,1,0,3,1,3,0,1,0,0
2022-03-05 22:00:00,2,0,0,0,2,3,2,3,0,5,1,6,2,5,1,1,9,8,7,6,9,8,7,8,5,1,0,0,0,0
2022-03-05 23:00:00,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,7,6,0,5,2,4,2,1,2,1,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,1,0,0,0,0,0,1,0,2,2,3,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,1,0,0,0,1,0,0,0,1,0,1,2,4,2,1,0,1,2,0,0,2,3,4,1,2,1,2,3,2,0
2022-03-06 08:00:00,1,0,2,0,1,0,2,1,4,5,2,7,1,2,0,1,5,5,2,4,3,4,3,5,6,4,0,0,0,0
2022-03-06 09:00:00,2,3,0,3,3,2,4,1,4,8,11,12,11,6,0,0,1,0,0,0,1,2,1,2,1,0,0,1,1,0
2022-03-06 10:00:00,1,0,0,0,0,0,2,5,6,11,15,17,15,12,1,0,2,0,3,2,4,3,0,2,4,2,0,0,0,0
2022-03-06 11:00:00,0,0,0,0,0,0,2,0,3,7,8,10,10,8,2,2,3,2,3,2,3,1,4,2,2,1,1,0,0,0
2022-03-06 12:00:00,1,2,0,0,1,3,3,6,7,11,17,20,18,13,3,0,11,9,8,8,9,4,5,10,9,8,6,0,5,0
2022-03-06 13:00:00,3,0,0,0,6,7,3,5,9,17,18,17,18,14,5,2,6,6,5,6,9,8,9,12,7,9,8,6,4,0
2022-03-06 14:00:00,2,0,1,0,0,3,4,6,10,13,6,11,7,8,2,1,8,4,0,6,8,11,9,7,5,3,0,4,1,0
2022-03-06 15:00:00,4,0,0,5,6,5,5,3,0,2,3,6,0,4,0,0,10,4,9,8,7,8,6,5,4,3,0,2,0,0
2022-03-06 16:00:00,5,6,0,0,7,6,7,4,3,4,4,5,0,0,1,1,10,16,15,11,11,12,9,7,6,4,3,2,0,0
2022-03-06 17:00:00,5,6,2,0,5,5,4,5,5,8,8,12,12,10,0,2,8,8,9,9,6,4,0,3,2,2,1,0,1,0
2022-03-06 18:00:00,0,2,0,0,4,1,0,2,2,2,4,7,4,6,3,1,11,8,12,11,10,8,6,3,2,1,0,0,1,0
2022-03-06 19:00:00,3,5,1,0,0,6,0,4,3,4,6,4,0,0,0,5,9,8,7,7,9,9,8,7,3,4,2,1,0,0
2022-03-06 20:00:00,2,0,0,0,1,0,2,1,0,2,3,0,0,1,1,3,11,10,6,9,9,7,4,6,2,0,1,0,0,0
2022-03-06 21:00:00,1,0,0,0,2,1,0,1,2,2,5,6,0,5,0,0,6,5,6,5,7,0,8,5,3,0,0,1,0,0
2022-03-06 22:00:00,1,0,0,0,2,0,1,0,0,0,1,2,3,1,0,0,11,5,10,8,7,2,1,6,5,4,0,1,0,0
2022-03-06 23:00:00,1,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,2,2,0,3,4,0,0,1,0,3,1,0,1,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
