Unnamed: 0,1_선일교통(가상),2_강북청소년수련관,3_무량사입구,4_국립4.19민주묘지,5_국립4.19민주묘지입구사거리,6_북부성모병원,7_수유2동주민센터우이시장,8_광산사거리,9_강북구청,10_수유역.강북구청,11_대한병원,12_수유중앙시장,13_광산사거리,14_쌍문초등학교,15_숭미초등학교,16_둘리뮤지엄.대우이안극동아파트,17_세그루학원,18_방학3동주민센터,19_방학동신동아타워,20_방학동신동아아파트,21_국민은행방학지점,22_신한은행방학동지점,23_방학사거리,24_창동아이파크,25_창동쌍용아파트,26_자운고등학교앞,27_창동동아청솔아파트,28_창동농협물류센터,29_창동역동측,30_창동동아아파트,31_창동주공19단지,32_창동주공18단지,33_서울외국어고등학교,34_녹천역,35_서울외국어고등학교,36_창동주공18단지,37_창동주공19단지,38_창동동아아파트,39_창동역동측(도봉방면),40_창동농협물류센터,41_창동동아청솔아파트,42_자운고등학교앞,43_창동쌍용.성원아파트,44_서울문화고등학교,45_방학사거리,46_신한은행방학동지점,47_국민은행방학지점,48_방학동신동아아파트,49_방학3동신동아프라자,50_방학3동주민센터,51_세그루학원,52_둘리뮤지엄.대우이안극동아파트,53_숭미초등학교,54_쌍문초등학교,55_강북중학교,56_강북구청,57_수유역.강북구청,58_대한병원,59_수유중앙시장,60_광산사거리,61_수유2동주민센터우이시장,62_북부성모의원,63_국립4.19민주묘지입구사거리,64_국립4.19민주묘지,65_무량사입구,66_강북청소년수련관,67_선일교통종점(가상)
2022-03-05 04:00:00,0,0,0,1,2,3,4,6,5,6,7,0,8,10,9,0,10,12,14,0,0,13,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,2,3,5,5,6,7,4,4,3,4,4,7,5,9,8,6,8,9,10,7,12,12,7,0,5,8,4,0,2,1,1,1,1,2,1,1,1,4,0,0,2,3,0,2,0,1,3,5,5,7,0,10,11,3,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,3,2,3,3,4,6,8,7,6,0,2,7,3,0,8,2,9,5,3,4,5,3,4,5,3,3,2,1,0,2,0,0,1,2,0,1,1,2,0,0,0,4,1,3,3,0,1,5,4,6,7,3,8,3,7,4,2,0,1,3,2,1,0,0,0,0
2022-03-05 07:00:00,0,4,5,4,6,7,10,11,8,3,2,4,6,7,9,10,10,8,9,10,9,5,4,5,8,0,0,6,1,0,0,0,0,1,3,6,7,0,2,0,1,0,3,3,4,2,2,2,3,7,9,11,12,13,14,11,7,2,1,2,5,4,3,2,0,0,0
2022-03-05 08:00:00,0,2,3,4,7,12,18,20,15,4,3,3,6,5,6,5,4,5,6,6,7,9,8,9,12,8,9,10,1,0,0,0,0,3,6,9,11,10,6,8,2,3,5,7,6,5,3,5,6,8,10,11,12,12,12,10,7,6,4,8,9,1,9,6,3,0,0
2022-03-05 09:00:00,0,9,12,13,12,13,17,15,10,3,3,4,6,3,11,10,6,10,11,14,13,12,11,12,13,11,10,9,3,2,0,0,0,3,9,13,4,6,3,4,5,3,6,8,9,9,8,7,10,12,13,15,14,13,14,11,8,1,2,3,4,3,4,3,2,0,0
2022-03-05 10:00:00,0,7,9,7,10,9,14,15,12,5,4,4,3,7,5,6,8,10,11,13,6,8,11,8,14,10,8,9,2,2,1,1,1,4,7,9,12,10,6,7,10,4,13,5,12,11,9,6,4,7,8,12,14,16,15,14,6,7,6,5,5,3,6,5,1,0,0
2022-03-05 11:00:00,0,7,8,8,10,13,14,11,12,7,6,7,6,7,8,7,6,6,5,5,6,6,8,7,10,8,7,9,6,1,4,0,0,3,3,5,7,6,6,7,6,8,6,9,15,14,15,13,12,12,16,17,12,16,16,12,8,5,5,6,10,9,7,2,1,0,0
2022-03-05 12:00:00,1,3,5,7,11,12,15,17,14,10,8,9,12,12,15,17,18,11,12,11,9,8,10,10,12,11,12,10,5,4,2,0,2,4,6,7,7,8,5,9,8,7,6,8,11,12,13,15,14,14,18,19,24,26,27,20,14,14,8,14,13,9,11,8,4,0,0
2022-03-05 13:00:00,0,5,10,12,14,15,19,19,13,12,7,13,12,9,10,11,11,20,11,16,15,15,14,16,8,8,15,9,4,5,0,4,2,7,3,3,6,5,7,12,7,9,13,15,13,8,7,9,8,14,17,15,18,21,25,17,11,5,5,9,8,8,7,3,3,0,0
