Unnamed: 0,1_상진운수종점(기점가상),2_상진운수종점,3_석관중고등학교앞,4_석관동코오롱아파트,5_한천로쌍용아파트앞,6_이문동쌍용아파트,7_신이문역,8_쌍용아파트,9_이문동현대아파트,10_중화2동주민센터,11_지하철7호선중화역3번출구,12_지하철7호선중화역2번출구,13_중흥초등학교,14_이화연립경동제일교회앞,15_쌍용아파트신내테크노타운앞,16_엘지아파트앞,17_신현중학교,18_중랑구청,19_신내동성3차아파트,20_신내동성1.2차아파트,21_신내9단지아파트.서울의료원,22_중랑소방서,23_신내7단지아파트홈플러스,24_봉화산역2번출구,25_신내우체국.5단지두산대림아파트,26_구립도서관체육관,27_신내4단지아파트,28_태릉고등학교.원묵초등학교,29_지하철6호선화랑대역,30_예수사랑교회,31_화랑타운아파트,32_공릉우방아파트,33_원자력병원,34_효성화운트빌원자력병원후문,35_태릉현대아파트,36_청솔아파트,37_지하철6호선화랑대역,38_태릉고등학교.원묵초등학교,39_신내4단지아파트,40_구립도서관체육관,41_신내우체국.5단지두산대림아파트,42_봉화산역3번출구,43_신내7단지아파트홈플러스,44_중랑소방서,45_신내8단지아파트.서울의료원,46_신내9단지아파트,47_신내10단지아파트,48_중랑구청,49_신현중학교,50_엘지아파트앞,51_쌍용아파트신내테크노타운앞,52_이화연립경동제일교회앞,53_중흥초등학교,54_지하철7호선중화역2번출구,55_지하철7호선중화역3번출구,56_중화2동주민센터,57_이문동현대아파트앞,58_신이문역,59_쌍용아파트,60_이문동쌍용아파트,61_한천로쌍용아파트앞,62_석관동코오롱아파트,63_석관고등학교,64_상진운수종점
2022-03-05 04:00:00,1,0,1,2,2,2,1,2,3,2,3,0,2,2,1,2,0,4,4,2,0,3,0,2,0,3,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,1,4,2,5,8,9,10,8,9,9,6,8,3,9,8,6,7,6,4,0,4,3,2,4,2,3,1,0,0,1,1,2,2,2,0,0,1,1,3,2,0,1,3,4,7,5,6,7,8,10,8,9,13,11,3,0,0,1,0,0,0
2022-03-05 06:00:00,2,0,1,3,3,4,4,5,4,3,8,9,3,7,6,1,5,3,5,4,3,0,3,2,0,0,0,0,1,2,0,1,1,1,3,4,3,2,2,0,1,1,0,0,5,4,6,5,4,5,6,6,5,5,4,6,3,2,0,0,2,1,0,0
2022-03-05 07:00:00,1,1,2,3,2,0,5,6,4,3,5,6,4,5,6,3,3,6,8,6,8,5,7,2,1,0,0,0,3,2,2,1,1,1,2,3,1,0,3,2,2,3,3,2,4,6,7,11,8,9,9,10,11,7,4,8,2,4,0,1,0,1,0,0
2022-03-05 08:00:00,2,0,3,8,10,4,15,16,18,15,10,14,12,11,12,8,12,7,7,9,8,8,6,4,3,3,3,3,2,4,0,1,1,0,3,6,6,0,5,0,1,1,6,6,9,10,11,11,11,15,17,19,15,11,10,10,0,4,2,3,5,3,2,0
2022-03-05 09:00:00,1,0,2,4,6,0,8,10,10,9,6,7,7,5,6,3,5,6,6,6,7,1,6,5,2,4,0,0,2,1,1,0,2,1,3,3,3,1,3,4,5,8,4,6,8,10,11,14,10,15,12,16,15,10,12,14,9,6,3,7,5,2,1,0
2022-03-05 10:00:00,1,0,3,4,5,0,6,11,12,10,9,8,9,10,8,7,6,5,6,7,7,8,6,4,2,5,6,0,3,5,3,1,2,3,5,7,8,7,8,7,6,7,8,7,12,8,14,13,10,11,10,11,11,9,11,13,12,4,0,3,2,1,0,0
2022-03-05 11:00:00,0,0,2,5,6,0,11,13,12,11,13,15,14,12,6,0,10,6,6,6,7,8,7,3,4,2,2,1,0,4,0,2,3,4,7,0,6,5,4,4,5,7,11,3,10,11,9,15,13,13,15,15,13,8,8,9,6,4,1,0,2,1,0,0
2022-03-05 12:00:00,0,0,1,1,4,0,6,7,12,12,11,15,16,15,14,4,10,10,12,14,21,0,15,10,7,6,11,9,7,4,2,2,3,2,6,8,7,0,8,4,9,14,13,10,8,9,11,16,15,9,14,15,14,9,11,12,9,5,4,4,5,2,0,0
2022-03-05 13:00:00,1,0,5,3,6,5,11,0,10,9,14,17,18,16,15,14,9,8,11,7,12,7,8,7,8,7,6,4,4,3,0,3,2,1,5,3,4,0,5,5,4,8,9,4,14,10,11,12,12,5,8,6,11,8,10,10,11,2,0,0,0,0,0,0
2022-03-05 14:00:00,1,0,4,4,6,0,10,11,12,11,14,17,16,16,16,15,8,8,7,7,7,7,7,5,5,6,5,0,4,2,2,1,4,5,8,4,7,0,6,5,4,7,2,5,6,5,5,9,6,8,11,9,9,8,9,6,8,6,0,5,2,1,0,0
2022-03-05 15:00:00,1,0,3,5,6,3,10,11,8,0,15,21,20,20,17,18,15,15,13,12,10,4,6,3,2,4,0,2,3,3,2,1,4,0,5,6,6,3,6,7,6,8,9,7,7,9,8,7,7,6,9,10,8,6,13,14,12,5,4,0,1,1,0,0
2022-03-05 16:00:00,1,0,3,7,8,3,10,10,10,7,10,11,6,8,9,11,10,9,8,10,8,6,6,4,5,5,0,0,1,4,2,3,2,3,4,2,4,0,3,3,3,13,4,6,13,12,11,10,12,4,14,13,10,8,12,13,12,5,7,1,5,3,2,0
2022-03-05 17:00:00,1,0,2,3,3,4,13,17,19,16,10,10,9,7,5,7,6,9,5,8,6,6,7,8,5,9,5,2,9,8,3,2,3,1,3,4,5,2,4,2,7,8,7,8,7,6,6,6,7,7,8,8,7,5,12,11,10,6,8,7,2,1,0,0
2022-03-05 18:00:00,1,0,3,4,1,3,14,7,14,13,17,20,19,17,14,13,12,11,9,7,8,0,5,4,4,5,6,2,5,2,4,1,3,0,6,0,3,0,3,7,0,6,11,3,8,6,5,8,10,8,10,11,8,4,12,16,16,5,2,4,4,3,1,0
2022-03-05 19:00:00,1,0,3,4,2,0,13,15,10,11,17,19,18,14,11,12,11,8,6,4,5,1,2,9,9,1,7,0,6,5,4,2,1,2,2,0,4,0,2,0,0,8,8,5,6,4,6,7,6,5,6,7,5,3,11,7,9,7,9,3,6,2,1,0
2022-03-05 20:00:00,1,0,3,2,2,1,8,6,7,6,11,13,12,10,8,5,4,6,6,7,2,5,4,2,2,1,1,0,1,2,1,0,2,0,3,0,2,1,2,0,0,5,7,2,4,5,5,5,5,5,6,6,6,4,12,2,9,7,4,0,4,2,1,0
2022-03-05 21:00:00,2,1,2,2,3,0,8,8,7,5,11,11,6,10,9,8,6,6,4,2,2,0,3,3,0,2,0,1,5,0,4,2,2,0,1,3,2,1,3,4,2,9,3,8,7,4,3,5,0,3,3,4,3,2,9,10,6,8,6,5,3,1,0,0
2022-03-05 22:00:00,0,1,1,2,3,2,9,5,10,10,8,9,9,7,9,8,7,5,4,5,5,4,3,4,2,0,2,0,3,1,2,1,2,4,2,3,4,1,3,3,2,7,5,4,6,5,4,4,3,3,5,2,4,3,11,7,9,6,1,3,1,2,1,0
2022-03-05 23:00:00,0,0,1,0,1,2,6,7,8,6,11,12,5,11,5,7,6,6,4,2,1,1,0,1,0,0,0,0,1,2,0,0,1,2,0,2,3,0,0,0,4,8,6,5,9,7,0,5,1,0,5,4,0,3,6,4,4,4,0,3,2,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,1,0,2,2,3,3,4,4,3,1,2,1,0,2,3,3,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,1,1,2,3,1,6,2,4,2,4,5,5,3,2,4,4,4,4,3,4,3,2,2,0,0,0,1,1,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,3,2,2,0,3,1,2,3,2,1,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,1,0,1,0,2,1,3,0,5,1,2,0,6,0,4,2,2,2,1,0,1,2,0,0,0,2,1,1,0,0,1,2,1,1,2,0,0,2,0,1,0,3,0,2,3,5,0,3,2,4,4,2,4,4,3,2,0,0,1,0,0,0
2022-03-06 07:00:00,1,2,3,4,2,2,4,3,5,5,5,0,0,1,4,1,2,3,2,3,4,2,1,3,0,1,0,0,1,1,0,1,1,2,1,1,1,0,1,0,0,3,0,0,2,5,4,7,8,7,8,2,9,4,3,5,1,1,0,0,0,0,0,0
2022-03-06 08:00:00,2,0,3,3,4,0,5,6,5,4,4,5,5,8,9,2,2,5,6,7,9,10,9,7,5,0,0,0,3,1,0,0,1,2,4,5,3,4,2,3,3,5,4,3,4,4,6,6,0,1,6,6,7,5,7,8,6,4,0,0,3,2,0,0
2022-03-06 09:00:00,0,0,2,5,2,1,6,8,7,6,5,4,7,8,7,7,5,5,6,9,10,7,8,5,4,3,3,2,0,3,1,0,1,2,3,3,4,0,5,5,6,7,6,3,5,7,9,8,10,10,5,10,9,7,7,8,2,1,0,0,1,0,0,0
2022-03-06 10:00:00,1,0,2,4,5,3,7,9,9,10,10,6,7,8,7,8,8,7,7,7,10,8,4,9,10,8,8,9,6,5,4,1,1,2,4,4,5,4,4,3,0,8,11,10,10,11,10,11,14,11,13,13,15,11,14,11,11,3,2,1,1,2,0,0
2022-03-06 11:00:00,1,0,2,2,2,3,7,8,9,9,6,9,13,9,0,8,7,6,7,7,10,9,6,6,4,3,3,3,5,1,2,0,3,4,4,4,3,0,5,5,4,6,7,0,6,5,5,7,11,10,12,6,10,8,9,10,8,3,1,1,3,1,0,0
2022-03-06 12:00:00,4,0,3,3,7,8,11,15,17,13,8,5,5,0,7,0,4,8,7,8,7,6,5,3,0,4,1,0,3,2,1,1,2,2,7,8,3,0,2,1,1,5,1,4,6,8,7,6,7,7,8,10,9,6,8,10,5,4,2,2,0,1,0,0
2022-03-06 13:00:00,1,0,3,3,0,2,8,11,9,10,13,7,13,14,11,9,9,4,5,6,5,5,6,5,0,1,4,2,5,7,5,3,1,2,3,1,2,4,5,3,0,4,6,5,4,2,6,8,9,5,10,1,7,9,8,10,8,4,4,3,0,3,2,0
2022-03-06 14:00:00,1,1,2,0,2,0,6,5,6,5,5,6,6,6,5,6,5,8,7,3,6,5,6,8,4,7,8,1,6,3,0,2,4,5,4,3,5,3,2,4,0,8,7,4,3,5,5,4,4,4,6,5,5,6,12,8,12,4,3,0,2,1,0,0
2022-03-06 15:00:00,1,0,2,2,0,0,7,5,5,6,11,12,14,14,13,10,8,7,6,9,11,0,12,11,2,7,5,6,3,5,2,3,4,0,5,5,7,0,7,5,6,9,9,6,8,10,8,10,4,5,11,7,10,6,6,7,7,1,2,1,0,1,0,0
2022-03-06 16:00:00,1,0,2,2,3,0,10,10,8,7,12,11,3,9,8,5,5,5,7,9,7,6,9,5,4,3,2,1,4,2,0,2,4,4,1,3,5,0,3,6,4,13,14,6,15,13,8,12,11,12,13,14,14,8,10,7,8,6,0,2,5,3,0,0
2022-03-06 17:00:00,0,0,2,1,3,2,7,8,8,9,18,12,20,18,17,14,12,8,7,4,6,3,7,6,5,3,2,0,4,0,0,0,2,1,4,3,5,0,4,4,3,7,6,4,4,3,3,5,6,5,6,7,5,6,9,9,10,6,2,3,5,2,1,0
2022-03-06 18:00:00,1,1,1,3,2,1,10,12,13,12,10,10,9,6,8,10,5,7,7,6,3,4,4,7,2,3,8,8,6,5,4,2,4,3,4,5,6,0,2,3,4,10,11,10,8,6,5,7,9,8,8,7,7,6,10,11,10,6,5,3,1,0,1,0
2022-03-06 19:00:00,0,0,1,2,0,0,8,7,10,7,12,13,11,4,5,3,8,4,5,5,4,0,5,4,0,0,0,1,2,1,1,0,4,0,2,0,1,0,1,2,3,11,0,9,6,5,5,6,7,7,8,7,11,7,12,13,11,4,5,4,3,2,0,0
