Unnamed: 0,1_도봉산입구,2_도봉고등학교,3_도봉동한신아파트,4_도봉역,5_노원교,6_성대야구장노원교앞,7_서울북부지방법원.검찰청.성우아파트,8_도봉시장,9_도봉구청,10_방학1동대상타운현대삼성아파트,11_서울문화고등학교,12_방학사거리,13_도봉보건소,14_창5동현대아파트,15_창동주공1단지아파트,16_창동고등학교,17_쌍문역,18_한신아파트101동앞,19_창2동한일아파트,20_창동청구빌라,21_창동대우아파트입구,22_국립현대미술관창동레지던시,23_신창.창동시장,24_창동서울탁주앞,25_금용아파트,26_창2동주민센터.보건지소,27_태영데시앙아파트,28_수유3동우체국,29_수유역.강북구청,30_삼성화재강북지점,31_수유역.노스페이스문화센터,32_수유3동우체국,33_태영데시앙아파트,34_창2동주민센터.보건지소,35_창번2교앞,36_창동서울탁주앞,37_창동.신창시장,38_국립현대미술관창동레지던시,39_창동대우아파트입구,40_창동청구빌라,41_창1동제1공영주차장입구,42_KT도봉지점,43_쌍문역,44_창동고등학교,45_창동주공1단지,46_창5동현대1차아파트,47_도봉보건소,48_방학사거리.바로선병원,49_서울문화고등학교,50_방학1동대상타운현대삼성아파트,51_도봉구청,52_서원아파트,53_도봉시장,54_서울북부지방법원.검찰청.성우아파트,55_도봉동서광아파트,56_노원교,57_도봉역,58_도봉동한신아파트,59_김근태기념도서관.도봉고등학교,60_도봉산입구
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,1,0,0,1,2,4,7,8,9,12,0,10,0,0,0,0,0,0,1,2,0,3,5,6,0,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,0,1,0,0,1,0,2,2,3,0,4,3,3,0,1,1,1,0,0,0,1,2,3,3,5,6,5,4,0,0,1,2,3,4,3,2,1,0,0,0,2,0,0,0,0
2022-03-05 07:00:00,0,1,0,1,2,1,3,2,2,0,3,4,2,4,1,2,6,0,3,2,5,4,4,6,7,13,0,12,0,1,2,1,1,0,2,1,2,3,3,5,6,5,3,2,1,2,1,2,1,0,4,0,1,3,2,3,0,0,0,0
2022-03-05 08:00:00,1,0,1,2,0,0,1,3,5,6,8,7,3,5,0,5,6,1,0,3,5,4,4,7,8,10,6,7,1,0,0,1,0,0,1,2,5,7,8,7,8,8,5,5,6,5,5,3,4,2,2,3,0,0,2,0,1,1,1,0
2022-03-05 09:00:00,0,3,2,0,0,0,0,0,2,3,5,2,1,4,3,4,6,7,0,4,7,5,8,12,13,7,12,11,2,1,6,0,1,0,5,3,5,6,7,8,8,9,5,4,4,0,3,3,3,3,5,1,1,6,0,1,3,5,2,0
2022-03-05 10:00:00,0,1,0,3,0,0,5,1,2,6,5,2,3,1,3,2,7,5,6,7,4,6,10,12,10,15,13,11,2,0,5,3,0,0,0,7,5,10,12,13,7,6,5,5,4,6,8,7,4,6,8,0,9,8,0,4,3,2,5,0
2022-03-05 11:00:00,3,3,4,4,0,2,3,3,2,4,2,0,3,4,4,4,6,3,3,5,6,5,8,12,10,16,16,11,1,0,6,4,6,4,1,4,8,10,12,0,13,10,5,1,5,7,7,8,0,4,2,2,0,1,0,3,0,2,1,0
2022-03-05 12:00:00,2,1,1,3,3,5,6,5,4,0,7,6,7,2,3,4,5,5,0,0,5,5,7,12,14,12,15,11,1,1,7,2,3,6,5,6,9,9,9,9,11,6,6,6,6,5,6,5,4,4,5,2,0,2,0,1,2,0,1,0
2022-03-05 13:00:00,2,3,3,4,3,3,3,4,4,5,4,3,6,5,4,3,8,7,7,10,8,8,9,10,10,11,10,8,1,2,11,9,5,7,7,4,5,8,10,10,9,8,4,3,4,5,5,3,3,4,3,0,2,2,1,1,0,0,2,0
2022-03-05 14:00:00,3,4,5,4,1,3,4,5,6,0,7,8,7,8,4,0,10,10,0,7,8,8,10,9,8,0,10,8,2,3,12,13,11,9,6,6,3,4,5,4,5,4,5,4,3,2,3,0,2,3,5,0,0,4,2,0,3,2,0,0
2022-03-05 15:00:00,6,3,2,0,0,7,4,6,2,0,3,4,5,9,9,9,11,12,8,10,8,12,10,9,0,12,12,11,1,0,5,0,3,4,5,3,3,6,4,10,5,10,5,5,4,5,4,5,0,0,3,0,3,0,0,3,3,1,0,0
2022-03-05 16:00:00,2,3,0,0,0,2,0,3,8,4,9,8,6,8,9,8,10,9,8,4,7,6,7,9,9,10,9,7,2,2,13,13,10,12,11,7,8,9,11,11,10,8,6,0,3,7,6,0,7,4,5,3,3,2,1,3,2,0,0,0
2022-03-05 17:00:00,0,3,2,2,1,4,4,1,6,2,6,5,6,10,9,9,11,12,8,13,10,7,5,9,0,11,7,4,0,3,11,13,12,8,10,7,6,6,6,7,4,6,3,0,1,3,4,3,2,4,5,4,0,3,2,3,2,1,0,0
