Unnamed: 0,1_청백아파트1단지,2_대우아파트,3_청백아파트3단지4단지,4_염광중학교후문,5_염광고등학교,6_월계주공1단지상가,7_월계종합사회복지관,8_월계주공1단지,9_인덕대학교,10_인덕삼거리,11_신도브래뉴.한전노원변전소,12_광운대역,13_월계현대아파트,14_물류센터,15_석계역1번출구.B,16_물류센터,17_월계현대아파트,18_광운대역,19_월계역신도브래뉴아파트앞,20_인덕대학교,21_월계주공2단지,22_월계종합사회복지관,23_월계공단,24_염광고등학교,25_월계중학교,26_청백아파트3단지4단지,27_대우아파트
2022-03-05 04:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,1,7,0,7,5,8,11,10,12,5,8,7,6,2,2,0,1,3,0,0,0,0,1,0,0,0
2022-03-05 06:00:00,1,4,5,6,4,3,2,7,0,2,0,4,3,5,1,0,0,0,0,0,1,0,3,4,3,0,0
2022-03-05 07:00:00,5,6,11,0,9,9,10,12,13,14,5,10,11,7,3,0,0,4,0,2,4,3,0,1,0,0,0
2022-03-05 08:00:00,3,0,5,3,6,9,11,13,10,11,12,8,11,9,2,4,0,5,4,0,3,0,4,3,2,2,0
2022-03-05 09:00:00,5,4,8,5,9,11,12,17,12,15,18,13,13,8,7,5,1,5,5,4,5,4,3,2,0,1,0
2022-03-05 10:00:00,3,4,8,8,10,11,13,15,14,17,9,14,5,7,4,5,4,5,0,4,3,2,3,1,0,0,0
2022-03-05 11:00:00,5,7,11,0,12,16,16,20,21,23,21,15,13,14,12,9,14,16,8,8,7,6,7,6,0,2,0
2022-03-05 12:00:00,3,4,10,9,11,13,14,15,14,11,11,7,6,6,11,11,13,15,15,13,12,10,12,11,10,2,0
2022-03-05 13:00:00,3,7,11,0,11,10,11,13,15,14,15,8,12,9,12,13,11,11,0,10,8,7,7,7,5,1,0
2022-03-05 14:00:00,3,5,8,4,8,8,0,10,0,11,9,11,11,6,9,10,11,11,8,4,8,7,6,4,3,1,0
2022-03-05 15:00:00,1,4,9,8,7,7,8,9,9,10,8,9,10,12,9,12,13,17,13,17,15,7,16,9,3,0,0
2022-03-05 16:00:00,3,5,11,0,10,12,13,14,15,17,16,12,11,9,8,9,10,12,12,9,8,6,7,5,6,2,0
2022-03-05 17:00:00,2,3,8,6,9,11,9,8,5,9,7,10,9,7,15,13,18,18,14,18,15,9,10,8,7,2,0
2022-03-05 18:00:00,4,6,12,0,13,7,9,14,0,16,0,12,10,9,9,7,9,10,7,8,4,6,10,11,9,1,0
2022-03-05 19:00:00,3,0,5,0,0,0,0,4,0,2,4,5,0,3,12,9,0,16,17,14,10,0,6,4,3,0,0
2022-03-05 20:00:00,2,1,2,0,2,3,0,1,2,2,0,3,2,3,9,10,9,14,13,11,7,2,6,5,9,3,0
2022-03-05 21:00:00,1,3,2,0,1,3,4,3,1,0,0,3,1,0,12,12,11,14,13,12,10,8,8,7,6,2,0
2022-03-05 22:00:00,0,1,1,0,1,2,2,1,0,3,0,3,0,1,11,10,9,13,12,11,9,9,8,7,6,2,0
2022-03-05 23:00:00,0,0,1,0,2,0,0,3,1,7,0,4,6,3,10,10,2,15,15,7,11,8,6,5,3,2,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,2,3,2,0,3,3,0,6,0,5,0,5,4,3,2,0,0,3,0,2,0,0,1,1,0,0,0
2022-03-06 06:00:00,2,1,6,0,5,6,4,10,6,9,0,5,0,1,2,0,0,0,0,2,1,0,0,1,0,0,0
2022-03-06 07:00:00,6,2,5,7,9,4,0,5,8,6,0,5,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0
2022-03-06 08:00:00,3,1,3,4,4,6,5,8,6,4,7,8,1,7,1,0,1,3,0,0,2,1,0,0,0,0,0
2022-03-06 09:00:00,3,5,10,11,13,15,9,16,12,14,0,8,7,0,4,5,4,3,0,0,2,0,0,1,0,0,0
2022-03-06 10:00:00,6,8,11,0,12,13,14,19,18,15,10,9,4,3,3,3,2,5,4,3,2,0,1,1,0,0,0
2022-03-06 11:00:00,3,4,7,0,6,7,9,12,10,0,0,7,9,8,3,4,0,7,5,6,3,0,2,3,0,1,0
2022-03-06 12:00:00,5,7,10,0,13,12,14,17,19,20,4,13,14,11,7,8,7,9,0,1,6,5,4,3,2,1,0
2022-03-06 13:00:00,1,3,5,0,5,3,0,8,7,8,0,7,2,6,6,0,1,7,3,0,4,3,3,1,0,0,0
2022-03-06 14:00:00,1,3,9,0,9,8,0,10,7,10,9,7,5,6,6,7,7,8,7,5,6,0,5,5,1,1,0
2022-03-06 15:00:00,2,3,6,6,7,9,9,8,10,9,7,6,5,4,6,8,4,11,12,9,9,5,6,4,3,2,0
2022-03-06 16:00:00,3,4,6,0,6,7,6,9,8,9,9,7,7,6,10,11,6,13,10,10,8,7,6,4,2,0,0
