Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_영신여자고등학교입구,5_노원문화예술회관.불암초등학교,6_기업은행중계동지점,7_은행사거리,8_중계주공10단지.중계건영3차아파트,9_노원구민체육센터,10_목련아파트상가,11_중계목화아파트4단지,12_용동초등학교,13_2001아울렛중계점,14_노원구민의전당,15_하계역,16_하계우성아파트,17_하계극동아파트,18_월계보건지소,19_월계사슴아파트2단지,20_월계역,21_녹천초등학교월계이마트,22_월계삼호4차아파트,23_월계삼호아파트,24_월계미륭아파트,25_월계미성아파트,26_한천초등학교,27_한진한화그랑빌아파트,28_한진한화그랑빌아파트,29_석계역2번출구,30_석계역1번출구.A,31_석계역굴다리앞,32_석계역,33_한천초등학교,34_월계미성아파트,35_월계미륭아파트,36_월계삼호아파트,37_월계삼호4차아파트,38_녹천초등학교월계이마트,39_월계역,40_월계사슴아파트3단지,41_월계보건지소,42_하계시영아파트,43_하계장미아파트,44_하계역,45_서울시립북서울미술관,46_2001아울렛중계점,47_용동초등학교,48_하계현대아파트,49_롯데마트,50_노원구민체육센터,51_롯데우성아파트,52_은행사거리,53_신한은행중계본동지점,54_노원문화예술회관.불암초등학교,55_불암고등학교,56_노원우체국,57_중계본동종점(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,3,4,0,4,0,0,5,0,6,3,4,3,2,1,2,2,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,2,0,3,1,0,0,4,0,0,2,1,0,2,0,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,2,4,6,7,7,6,8,0,0,9,10,5,7,3,0,3,2,3,4,1,2,0,1,1,0,0,0,0,1,0,0,2,2,0,3,3,0,4,0,3,4,1,5,0,0,5,0,6,5,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,3,4,7,9,5,10,12,7,0,7,9,12,9,3,0,1,3,0,2,1,0,3,0,2,4,3,2,0,3,0,0,0,4,5,6,7,0,0,8,10,9,11,12,5,3,13,0,0,0,12,4,0,1,0,0,0
2022-03-05 09:00:00,1,3,1,4,6,5,6,8,5,6,6,7,0,4,5,3,2,3,6,5,4,5,6,1,6,7,0,6,5,1,0,4,5,5,8,8,9,0,12,1,15,16,16,14,15,0,16,15,13,2,12,4,2,1,0,0,0
2022-03-05 10:00:00,0,2,4,5,6,5,8,10,5,4,9,8,7,7,6,3,4,5,4,8,3,4,8,0,9,2,8,5,3,0,2,0,2,3,4,10,13,13,15,16,18,19,16,14,15,14,16,0,0,0,14,4,1,1,0,0,0
2022-03-05 11:00:00,2,3,7,12,13,16,17,5,18,18,3,7,0,8,7,0,6,5,4,5,4,6,5,4,8,9,10,5,9,4,5,5,6,0,9,10,7,8,10,9,11,11,11,9,11,13,6,0,7,12,11,6,7,6,0,3,0
2022-03-05 12:00:00,1,3,5,8,0,10,13,14,0,16,15,19,18,15,10,10,3,6,0,9,5,7,0,5,10,6,7,8,7,5,4,4,7,0,8,10,14,0,0,14,11,14,19,16,17,18,15,0,18,17,15,6,5,4,3,1,0
2022-03-05 13:00:00,3,3,8,11,13,17,23,25,26,22,24,21,21,19,16,17,2,8,0,19,12,12,13,0,14,14,15,15,11,5,4,5,8,7,9,4,13,0,12,13,9,12,15,16,15,10,9,8,6,9,5,2,3,2,0,0,0
