Unnamed: 0,1_월계동진아교통,2_월계삼호4차아파트,3_월계삼호아파트,4_월계미륭아파트,5_월계미성아파트,6_한천초등학교,7_한진한화그랑빌아파트,8_한진한화그랑빌아파트,9_석계역2번출구,10_석계역1번출구.A,11_석계역굴다리앞,12_석계역,13_태릉입구역,14_태릉입구역7번출구.서울생활사박물관,15_주유소앞다운복지관,16_화랑대역1번출구,17_예수사랑교회,18_화랑타운아파트,19_공릉우방아파트,20_공릉해링턴플레이스,21_서울과학기술대학교후문,22_삼익선경아파트,23_서울온천,24_노원경찰서.혜성여고,25_동천학교,26_서라벌고등학교,27_불암중학교,28_중계주공10단지.중계건영3차아파트,29_노원구민체육센터,30_상명고등학교.성원아파트,31_상계중학교정문,32_중앙하이츠2차아파트,33_와우패션클럽,34_롯데백화점노원점,35_노원역1번출구,36_상계6.7동주민센터,37_상계중학교,38_상명고등학교,39_노원구민체육센터,40_롯데우성아파트,41_불암중학교,42_서라벌고등학교,43_동천학교,44_노원경찰서,45_하계1동주민센터,46_대진고등학교.하계우방아파트,47_서울과학기술대학교후문,48_효성화운트빌원자력병원후문,49_태릉현대아파트,50_청솔아파트,51_화랑대역2번출구,52_경춘선숲길.토끼굴앞,53_서울생활사박물관.농협앞,54_태릉입구역,55_한진한화그랑빌아파트,56_석계역2번출구,57_석계역1번출구.A,58_석계역굴다리앞,59_석계역,60_한천초등학교,61_월계미성아파트,62_월계미륭아파트,63_월계삼호아파트,64_월계삼호4차아파트,65_월계동진아교통
2022-03-05 04:00:00,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,1,2,4,1,0,3,3,3,3,5,2,3,2,2,2,3,0,5,1,3,4,3,3,3,2,4,3,0,2,0,3,2,2,4,2,0,2,4,5,6,0,5,5,4,2,3,3,7,1,6,0,5,4,0,2,1,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,1,2,1,3,0,0,3,2,1,0,2,1,2,3,3,2,1,1,2,3,2,4,0,2,6,2,2,3,3,1,1,4,2,1,4,0,3,4,3,2,5,4,7,6,7,7,6,5,0,2,6,7,4,2,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,2,2,3,3,4,2,3,3,2,3,4,3,0,4,1,5,8,4,8,3,2,4,4,2,7,1,6,6,6,3,7,8,3,1,3,5,2,5,3,0,2,0,6,6,6,6,5,6,10,10,6,3,7,6,7,7,2,0,3,0,2,1,1,0,0
2022-03-05 08:00:00,1,3,3,5,4,6,8,9,5,4,5,7,2,7,8,9,14,16,17,16,15,16,14,13,14,0,12,11,11,13,14,16,8,4,11,6,9,7,8,8,7,0,7,8,8,9,7,9,15,13,9,4,7,8,5,3,2,0,3,0,2,3,0,0,0
2022-03-05 09:00:00,0,2,2,5,4,6,9,7,7,6,2,5,6,7,7,9,14,14,18,22,11,23,22,25,29,0,25,21,23,27,30,15,9,4,8,8,4,11,11,10,11,5,12,10,10,11,4,10,10,9,7,6,6,4,2,3,4,5,6,0,1,5,4,2,0
2022-03-05 10:00:00,4,2,5,6,10,6,10,9,2,9,8,12,7,9,7,8,13,9,13,15,14,19,18,19,20,19,18,21,21,19,29,26,10,6,9,8,6,11,4,10,5,1,7,10,12,14,12,16,19,16,13,11,9,8,7,5,3,0,4,0,0,0,3,2,0
2022-03-05 11:00:00,4,5,8,7,10,11,12,11,8,8,10,11,8,11,12,12,15,19,20,19,8,19,20,21,24,13,24,24,20,27,30,29,18,9,19,18,19,17,14,12,9,10,14,13,14,16,15,14,17,17,15,13,14,10,9,8,8,6,10,5,3,5,3,4,0
2022-03-05 12:00:00,3,3,4,6,5,7,7,10,8,10,4,4,3,11,6,12,18,17,25,24,23,20,18,20,21,11,20,24,24,18,22,17,12,11,13,18,21,21,20,21,12,11,21,18,17,20,18,14,20,17,12,11,9,7,6,6,4,5,6,7,0,3,5,3,0
2022-03-05 13:00:00,2,3,4,7,9,4,0,3,3,6,3,7,6,10,10,13,15,12,16,14,14,18,20,20,20,13,19,21,22,23,24,22,10,9,22,17,18,20,20,26,15,25,24,26,25,24,22,21,27,29,28,28,21,14,8,11,6,5,7,6,4,1,4,3,0
2022-03-05 14:00:00,6,4,1,7,7,12,12,10,9,8,9,6,7,11,9,12,17,18,23,24,20,23,20,23,27,26,24,24,24,25,26,25,13,14,24,22,23,21,20,17,19,19,18,19,23,19,12,18,14,13,10,10,8,9,6,5,7,5,5,4,2,3,1,4,0
2022-03-05 15:00:00,5,6,7,7,8,9,10,10,9,8,7,10,8,12,11,12,15,16,24,32,31,29,24,28,29,7,34,30,25,28,29,26,14,16,23,22,24,26,25,26,17,25,23,24,21,23,20,22,25,21,17,9,14,13,12,11,8,2,9,5,6,4,3,1,0
2022-03-05 16:00:00,6,5,7,6,8,9,8,7,7,13,15,16,15,18,17,23,24,23,22,23,21,21,23,24,26,15,28,29,30,24,29,24,15,11,33,33,29,28,28,29,28,20,24,25,23,23,22,23,21,20,16,14,13,14,13,12,6,2,9,5,8,7,6,1,0
2022-03-05 17:00:00,8,11,14,15,15,17,16,15,13,9,10,11,10,17,15,18,29,28,29,24,29,28,30,30,30,30,29,33,35,23,26,25,15,14,24,23,21,20,18,17,16,11,15,28,20,21,19,17,12,12,11,15,12,7,8,6,7,5,7,6,5,4,2,1,0
2022-03-05 18:00:00,7,3,5,4,5,0,1,4,1,8,8,9,8,16,19,22,24,22,16,20,19,15,20,21,23,16,22,24,28,27,25,33,11,14,26,25,26,24,30,32,31,30,29,27,26,24,23,16,14,12,8,14,14,13,12,11,9,11,6,10,5,11,9,6,0
2022-03-05 19:00:00,6,3,6,8,9,10,0,7,9,10,10,7,9,15,13,16,20,18,14,13,12,15,20,24,27,5,30,30,30,8,30,25,20,19,33,32,33,31,24,26,25,24,23,20,19,16,15,12,9,8,5,7,6,5,4,3,5,0,6,6,4,4,1,2,0
2022-03-05 20:00:00,5,0,1,5,6,0,5,4,4,6,6,7,6,17,8,21,18,14,18,11,18,11,12,12,7,11,11,10,10,11,3,7,6,9,21,20,19,17,24,25,24,23,20,18,15,16,16,14,13,11,9,5,6,6,5,5,6,0,7,5,4,3,2,1,0
2022-03-05 21:00:00,2,4,5,0,4,5,0,2,4,8,7,8,6,11,9,13,13,13,9,7,7,9,8,6,5,1,5,4,2,4,5,4,6,12,27,25,26,21,19,18,17,16,7,13,9,10,5,6,6,6,6,7,6,5,4,5,6,7,8,6,5,6,5,4,0
2022-03-05 22:00:00,5,0,0,0,2,6,4,4,2,8,7,9,6,15,11,14,13,11,10,8,8,7,6,6,5,5,6,5,4,3,5,4,7,13,25,26,21,22,26,29,26,11,25,25,23,21,20,13,9,6,6,0,5,6,5,4,5,4,7,4,2,3,2,0,0
2022-03-05 23:00:00,1,1,0,0,0,0,0,0,0,7,9,5,6,9,11,21,13,17,9,7,8,8,5,7,5,3,4,4,5,4,4,6,12,13,25,13,23,22,19,16,13,11,6,11,10,8,7,6,4,3,4,0,3,7,1,3,3,4,6,5,3,1,1,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,2,0,2,0,0,2,3,1,2,3,0,1,2,1,2,2,0,1,1,2,4,1,0,1,1,3,2,2,1,2,2,5,1,6,7,8,9,0,1,9,2,9,8,4,5,4,5,0,0,4,0,3,1,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,1,2,1,2,0,0,2,1,3,4,0,2,3,2,3,4,3,4,0,0,2,3,0,2,0,3,0,4,0,1,3,2,1,4,2,0,1,3,0,3,1,2,2,4,3,2,3,4,3,2,3,1,2,1,0,2,1,1,1,0,0,0,0,0
2022-03-06 07:00:00,1,0,0,1,0,2,1,2,0,2,0,2,1,3,0,4,4,3,5,5,3,3,2,10,10,3,4,5,3,4,4,4,1,3,3,3,3,4,2,5,2,1,6,8,9,9,1,8,5,5,4,0,4,4,0,3,2,1,1,0,0,0,0,1,0
2022-03-06 08:00:00,2,4,5,1,2,0,6,1,5,2,0,2,1,3,2,4,5,6,7,7,6,8,6,7,9,7,10,9,10,9,9,8,5,2,9,13,12,7,9,10,2,2,3,7,5,6,3,7,7,6,5,4,3,4,0,3,2,2,1,0,1,2,0,0,0
2022-03-06 09:00:00,0,3,4,5,3,6,7,0,2,5,4,4,3,5,5,6,7,8,13,14,9,15,13,13,14,5,13,13,14,14,15,14,8,4,7,8,2,8,9,8,4,5,8,6,3,10,6,7,9,9,5,6,5,4,0,4,4,0,5,2,0,3,3,0,0
2022-03-06 10:00:00,3,4,0,2,5,6,0,7,3,4,0,4,3,6,6,7,9,10,14,14,13,14,13,14,18,17,16,15,18,23,22,18,8,5,11,11,12,6,11,10,9,5,10,11,13,15,12,14,18,18,16,3,9,7,6,4,2,2,2,3,1,0,1,0,0
2022-03-06 11:00:00,1,2,1,4,6,1,2,5,3,3,8,9,2,8,8,11,12,13,9,9,2,8,10,13,15,8,17,17,16,13,0,13,10,6,10,10,9,10,12,12,11,0,8,11,7,11,9,12,14,12,13,11,7,8,3,6,5,1,7,3,0,3,0,6,1
2022-03-06 12:00:00,2,4,5,6,8,8,5,6,3,6,9,10,11,8,10,11,13,22,29,31,12,32,28,15,29,11,28,20,23,24,22,22,8,4,9,11,15,16,17,20,22,11,12,20,17,18,16,15,18,16,14,13,12,10,6,6,7,8,10,9,8,1,6,1,0
2022-03-06 13:00:00,3,4,6,4,6,7,8,10,8,7,7,9,6,9,7,10,12,12,14,12,11,20,17,16,17,12,19,21,17,23,24,19,14,5,17,13,18,13,12,18,13,12,13,12,13,17,15,15,11,12,9,3,8,6,8,6,4,6,0,0,0,3,2,1,0
2022-03-06 14:00:00,4,2,3,2,3,3,4,2,2,6,5,6,5,8,9,10,16,14,15,14,8,17,16,17,19,18,15,15,18,19,19,18,10,5,17,18,16,7,16,14,13,8,12,10,12,13,9,14,12,9,7,10,9,6,5,5,7,6,9,6,4,5,1,0,0
2022-03-06 15:00:00,7,8,9,1,4,4,2,3,2,11,12,15,14,16,16,21,21,18,15,14,14,16,20,17,16,15,17,16,19,18,17,16,12,13,22,23,21,20,19,12,11,10,16,12,14,15,13,17,12,12,8,6,6,6,8,4,9,0,10,3,9,6,3,5,0
2022-03-06 16:00:00,2,3,4,6,11,0,4,5,9,10,12,9,7,10,11,15,16,14,15,9,6,12,17,18,16,7,17,17,20,25,25,22,15,12,16,17,20,19,22,19,18,25,26,16,25,28,14,22,21,22,16,13,18,12,11,12,6,0,7,3,6,1,3,2,0
2022-03-06 17:00:00,2,4,5,7,4,0,8,5,2,9,0,10,8,12,13,17,19,16,17,19,13,20,20,18,16,17,17,18,23,22,25,21,8,7,16,17,16,11,11,15,13,11,11,16,17,19,10,15,14,12,8,12,9,10,9,8,4,5,7,8,7,4,0,0,0
2022-03-06 18:00:00,9,5,0,8,5,10,0,11,4,13,4,0,11,18,18,20,18,16,13,12,11,12,15,15,15,8,14,16,17,16,17,16,16,12,23,24,23,21,21,22,19,18,17,17,16,17,16,15,13,12,8,6,6,4,6,5,6,0,9,9,0,7,6,6,0
2022-03-06 19:00:00,8,8,2,9,1,1,0,7,5,9,11,12,8,15,0,16,17,16,13,10,8,7,9,7,9,1,14,14,13,14,15,13,11,10,23,22,18,22,19,17,22,16,20,21,19,18,8,13,12,9,6,4,4,4,2,2,5,3,4,4,3,1,2,1,0
2022-03-06 20:00:00,4,0,5,2,2,4,3,3,5,7,8,8,7,14,10,14,16,14,14,6,15,11,7,6,7,3,8,10,5,4,9,9,9,8,21,18,19,17,15,16,13,12,10,10,11,8,3,10,11,5,4,2,1,4,3,3,3,0,4,5,4,3,0,0,0
2022-03-06 21:00:00,5,1,1,4,0,6,0,3,2,7,8,6,7,14,13,15,14,9,9,11,2,9,8,4,7,3,6,5,6,5,4,4,8,7,17,11,18,18,17,19,16,4,15,13,8,11,10,8,8,6,3,5,6,5,4,3,6,4,7,5,3,3,2,0,0
2022-03-06 22:00:00,3,4,4,0,3,2,0,3,2,12,6,7,5,16,4,13,15,14,12,11,10,11,11,9,4,8,6,7,6,4,3,2,6,8,22,23,25,20,16,17,18,17,15,15,14,13,8,10,8,6,4,0,4,7,2,6,6,0,10,8,7,5,0,3,0
2022-03-06 23:00:00,3,0,0,1,0,1,2,0,1,5,0,6,3,10,6,8,8,7,7,3,4,5,4,4,2,0,3,2,6,5,3,1,3,4,22,23,22,9,20,19,18,16,9,12,13,10,8,7,5,0,4,2,4,5,2,1,4,5,6,5,3,2,1,2,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,1,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,3,1,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,2,2,3,3,2,0,2,2,1,3,5,5,3,4,4,3,8,7,5,3,6,4,3,4,5,2,3,5,6,7,10,8,2,2,3,4,0,0,6,8,9,8,10,12,13,16,15,15,14,13,8,0,5,4,0,2,1,0,2,0,0,0,0,0,0
2022-03-07 06:00:00,1,2,3,4,5,5,8,4,3,3,3,2,2,4,1,4,10,8,9,8,2,6,5,4,6,5,8,10,11,11,13,13,3,2,5,6,4,4,4,6,9,5,9,10,11,18,0,23,25,21,18,5,9,4,2,6,3,5,1,3,1,1,0,0,0
