Unnamed: 0,1_삼화상운(기점가상),2_염광고등학교,3_신창중학교후문,4_유원극동아파트,5_쌍용스윗닷홈아파트,6_초안아파트.흥화브라운빌아파트,7_한승미메이드아파트,8_창3동염광아트빌,9_북서울농협창동지점,10_신화초교입구,11_창번교,12_창동서울탁주앞,13_번동사거리,14_북부시장입구,15_강북경찰서입구,16_수유사거리,17_수유역.노스페이스문화센터,18_강북구청사거리,19_수송초등학교,20_번동사거리,21_창번교앞,22_신화초교입구,23_북서울농협창동지점,24_창3동염광아트빌,25_한승미메이드아파트,26_초안아파트.흥화브라운빌아파트,27_쌍용스윗닷홈아파트,28_유원극동아파트,29_신창중학교후문,30_염광고등학교,31_월계주공1단지상가,32_월계종합사회복지관,33_월계주공1단지,34_인덕대학교,35_인덕삼거리,36_신도브래뉴.한전노원변전소,37_광운대역,38_월계현대아파트,39_물류센터,40_석계역1번출구.B,41_물류센터,42_월계현대아파트,43_광운대역,44_신도브래뉴.한전노원변전소,45_인덕삼거리,46_인덕대학교,47_월계주공2단지,48_월계종합사회복지관,49_월계공단,50_염광고등학교(가상)
2022-03-05 04:00:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,5,0,6,4,6,7,0,3,6,0,7,6,5,5,3,4,6,8,3,8,0,9,7,8,0,0,7,5,0,2,6,6,0,5,0,4,1,0,2,1,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,1,1,2,2,0,0,3,4,0,3,3,3,3,4,4,3,2,3,4,5,6,0,7,6,4,5,7,5,6,5,0,4,2,3,3,0,4,0,0,0,3,2,1,0,0
2022-03-05 07:00:00,0,1,0,0,1,2,3,5,0,4,6,5,4,4,6,4,3,1,0,0,4,0,5,5,6,7,0,0,0,0,2,4,7,3,6,2,5,4,1,1,2,2,3,0,0,2,1,0,0,0
2022-03-05 08:00:00,1,3,0,3,2,4,5,6,6,8,9,8,9,10,9,7,2,3,1,3,0,2,4,7,8,12,13,14,12,8,10,12,13,12,11,12,8,7,5,2,0,0,2,1,1,0,2,1,0,0
2022-03-05 09:00:00,0,2,3,2,2,6,8,11,6,12,13,7,0,7,2,11,3,5,3,5,4,6,6,7,8,10,9,10,0,11,13,15,16,0,15,6,10,11,7,1,0,0,2,0,3,0,2,1,0,0
2022-03-05 10:00:00,0,4,0,3,1,6,7,8,9,13,8,13,0,12,11,8,6,4,4,5,4,8,4,6,0,10,11,12,11,7,10,10,11,14,9,10,9,10,9,2,3,0,4,0,3,2,2,1,0,0
2022-03-05 11:00:00,3,4,4,3,5,6,7,8,10,11,7,7,8,9,8,9,6,8,9,6,3,8,7,9,10,12,13,14,0,10,10,14,16,16,14,0,10,3,8,5,4,6,9,8,7,6,2,2,0,0
2022-03-05 12:00:00,0,6,0,8,0,9,2,10,14,10,5,16,16,0,14,16,11,4,12,12,12,13,13,15,16,17,17,17,9,18,20,19,18,17,14,15,14,10,12,2,3,3,7,6,0,2,1,0,0,0
2022-03-05 13:00:00,0,4,0,0,2,2,4,6,10,11,12,13,0,8,8,12,10,12,8,6,7,7,8,6,7,7,7,10,0,7,6,8,12,7,12,13,7,6,5,5,6,7,9,6,8,5,5,3,2,0
