Unnamed: 0,1_월계동진아교통,2_월계삼호4차아파트,3_월계삼호아파트,4_월계미륭아파트,5_월계미성아파트,6_한천초등학교,7_한진한화그랑빌아파트,8_한진한화그랑빌아파트,9_석계역2번출구,10_석계역1번출구.A,11_석계역굴다리앞,12_석계역,13_공릉1동삼익아파트,14_대주아파트,15_공릉대아2차아파트,16_공릉신도2차아파트,17_공릉대동2차아파트,18_노원문화원,19_용원초등학교,20_하계장미아파트,21_하계역,22_서울시립북서울미술관,23_중계역,24_중계역2번출구,25_중계3단지목련아파트,26_을지중학교,27_청암중.고등학교,28_원광초등학교,29_중계1동주민센터,30_중계주공5단지514동,31_중계1동신안아파트,32_을지중학교,33_상명초등학교,34_중계건영2차아파트,35_중계역,36_노원구민의전당,37_하계역,38_하계장미아파트,39_공릉삼익아파트,40_영화교회,41_공릉1단지후문,42_공릉2단지,43_용원초등학교,44_노원문화원,45_공릉대동2차아파트,46_공릉신도2차아파트,47_공릉행복발전소,48_공릉초등학교,49_한진한화그랑빌아파트,50_석계역2번출구,51_석계역1번출구.A,52_석계역굴다리앞,53_석계역,54_한천초등학교,55_월계미성아파트,56_월계미륭아파트,57_월계삼호아파트,58_월계삼호4차아파트,59_월계동진아교통
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,2,0,0,0,0,1,0,1,1,2,0,0,0,2,0,0,2,0,0,3,2,1,1,0,0,2,3,2,4,3,1,3,0,0,1,0,2,0,3,3,4,0,0,3,0,3,2,1,0,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,2,2,2,0,0,1,1,0,1,0,0,0,1,0,1,2,2,3,2,1,4,2,0,1,2,5,2,6,7,6,2,1,2,3,0,2,0,0,3,5,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,2,3,1,2,3,0,2,1,2,1,1,2,0,3,0,3,2,2,3,0,1,4,0,3,2,4,6,9,9,10,11,9,2,3,1,0,0,0,2,3,7,8,7,8,7,5,6,5,1,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,2,4,1,0,4,5,6,5,7,2,4,9,7,0,8,6,5,8,9,8,8,11,11,10,9,6,9,10,11,12,8,12,7,5,4,3,0,5,4,3,7,12,12,0,10,5,3,10,4,3,0,2,0,0,1,0,0,0
2022-03-05 09:00:00,1,0,4,5,1,1,0,2,2,3,0,4,0,2,3,3,2,3,5,4,5,6,4,13,14,12,11,13,10,8,12,15,14,10,7,3,2,1,2,3,0,8,11,12,4,10,4,11,10,8,2,0,1,0,2,0,0,0,0
2022-03-05 10:00:00,2,1,3,3,4,5,6,2,4,4,5,6,2,6,3,0,4,5,8,10,11,12,13,19,17,14,12,15,10,14,21,23,20,10,7,7,4,6,3,4,5,6,9,11,10,7,6,0,6,4,2,2,4,0,0,3,0,0,0
2022-03-05 11:00:00,1,1,0,0,4,5,4,4,2,5,7,8,5,4,5,3,5,5,7,8,9,6,7,13,12,11,11,11,19,22,23,23,21,13,11,12,13,13,12,0,0,8,9,7,5,5,4,6,5,4,3,0,3,0,2,1,0,1,0
2022-03-05 12:00:00,1,2,3,4,4,5,3,4,5,5,6,6,7,7,7,5,8,6,14,14,15,16,18,20,19,18,13,18,15,20,22,23,24,17,15,9,9,3,6,7,6,7,7,6,10,9,11,6,10,3,2,0,4,2,3,0,0,2,0
2022-03-05 13:00:00,0,0,1,2,4,0,3,6,4,7,11,5,12,13,9,14,14,13,15,15,15,17,22,27,28,26,23,22,18,22,23,26,23,13,10,11,11,10,8,3,6,9,11,9,10,9,10,9,5,6,6,0,7,1,4,0,0,0,0
