Unnamed: 0,1_월계동진아교통,2_월계삼호4차아파트,3_월계삼호아파트,4_월계미륭아파트,5_월계미성아파트,6_한천초등학교,7_한진한화그랑빌아파트,8_한진한화그랑빌아파트,9_석계역2번출구,10_석계역1번출구.A,11_석계역굴다리앞,12_석계역,13_한천초등학교,14_월계미성아파트,15_월계미륭아파트,16_공릉역,17_공연초등학교,18_현대성우아파트,19_삼익아파트.한보아파트,20_원자력병원,21_한보아파트.삼익아파트,22_동신아파트,23_공연초등학교,24_공릉역,25_월계미륭아파트,26_월계미성아파트,27_한천초등학교,28_한진한화그랑빌아파트,29_한진한화그랑빌아파트,30_석계역2번출구,31_석계역1번출구.A,32_석계역굴다리앞,33_석계역,34_한천초등학교,35_월계미성아파트,36_월계미륭아파트,37_월계삼호아파트,38_월계삼호4차아파트,39_월계동진아교통
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,3,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,2,1,0,0,1,4,5,4,4,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,3,2,2,2,2,7,5,5,2,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,0,0,3,6,6,4,4,4,1,4,5,3,4,0,0,0,0,0,0,0,0,0
2022-03-05 09:00:00,2,0,4,5,5,6,0,0,5,4,0,3,2,4,5,3,1,2,0,1,8,9,7,5,2,4,0,0,4,5,3,0,1,0,0,0,0,0,0
2022-03-05 10:00:00,1,2,0,2,4,4,5,4,3,2,0,3,4,5,7,6,3,2,0,1,4,6,10,8,6,3,0,0,0,5,1,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,6,3,3,5,2,6,3,6,3,3,2,5,6,7,8,3,3,0,1,2,7,8,7,5,4,0,0,0,3,2,2,0,0,2,1,1,0,0,0
2022-03-05 12:00:00,7,8,0,0,11,0,6,8,7,3,4,4,5,5,6,7,3,3,2,1,5,6,0,5,5,6,7,0,3,5,3,2,1,0,0,0,2,0,0
2022-03-05 13:00:00,5,4,5,2,5,6,0,13,11,9,0,5,5,0,5,7,4,4,2,0,6,11,10,10,5,9,0,0,8,5,7,0,7,0,5,4,1,1,0
2022-03-05 14:00:00,10,3,8,5,4,6,10,9,8,8,0,6,0,0,7,8,6,4,2,3,5,10,5,5,5,0,6,0,1,5,3,0,0,2,2,0,0,0,0
2022-03-05 15:00:00,9,10,0,9,9,7,6,7,5,10,3,9,8,9,11,9,7,6,4,5,6,8,9,7,2,0,1,0,0,3,7,0,4,3,5,3,2,1,0
2022-03-05 16:00:00,14,0,13,11,13,13,14,13,10,7,0,11,8,12,13,15,5,9,1,2,8,5,4,8,7,0,4,6,2,4,2,0,1,1,0,0,0,0,0
2022-03-05 17:00:00,8,0,5,9,7,13,7,10,3,12,0,13,12,9,0,11,0,1,3,1,4,0,4,3,2,0,0,0,4,3,3,4,6,5,4,3,2,0,0
2022-03-05 18:00:00,6,7,0,6,0,1,5,8,7,10,10,12,13,12,13,14,12,9,1,2,2,3,3,5,3,0,2,0,0,1,4,0,0,2,1,0,0,0,0
2022-03-05 19:00:00,12,0,7,0,2,0,0,5,2,9,0,11,9,8,7,8,5,2,0,0,2,5,6,6,5,3,0,0,3,2,2,1,0,0,2,0,0,0,0
2022-03-05 20:00:00,6,0,3,13,0,12,4,5,10,5,0,0,0,0,0,5,4,3,0,2,1,0,0,4,2,0,0,0,0,0,1,0,3,1,0,0,0,0,0
2022-03-05 21:00:00,7,0,6,0,0,5,6,4,1,6,0,2,1,0,0,5,3,2,1,2,4,7,8,6,3,0,0,2,0,2,3,0,3,0,0,1,0,0,0
2022-03-05 22:00:00,7,8,0,7,0,6,0,0,5,7,0,0,0,1,0,9,7,3,3,2,4,3,1,5,3,0,1,0,0,0,4,0,5,3,0,3,1,1,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,3,2,0,0,0,0,2,3,2,0,0,0,0,1,4,0,0,0,2,1,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
