Unnamed: 0,1_흥안운수상계4동종점,2_흥안운수종점,3_불암현대아파트,4_동아불암아파트,5_불암대림아파트,6_상계벽산아파트,7_상계중앙시장입구,8_상계2동주민센터,9_노원역9번출구,10_노원구청,11_창4동주민센터,12_서울북부지방법원등기국,13_창동주공3단지,14_창1동주민센터,15_도봉문화정보도서관,16_창림초교창동신창아파트앞,17_국립현대미술관창동레지던시,18_신창.창동시장,19_창동서울탁주앞,20_금용아파트,21_창2동주민센터.보건지소,22_태영데시앙아파트,23_수유3동우체국,24_수유(강북구청)역,25_수유역,26_삼성화재강북지점,27_수유역.노스페이스문화센터,28_수유3동우체국,29_태영데시앙아파트,30_창2동주민센터.보건지소,31_창번2교앞,32_창동서울탁주앞,33_창동.신창시장,34_국립현대미술관창동레지던시,35_창림초교창동신창아파트앞,36_서울가든아파트앞,37_창1동주민센터,38_창동주공3단지,39_서울북부지방법원등기국,40_창4동주민센터,41_노원구청,42_노원역1번출구,43_상계2동주민센터,44_상계중앙시장입구,45_상계역,46_불암대림아파트,47_상계시장,48_동아불암아파트,49_흥안운수종점,50_흥안운수상계4동종점
2022-03-05 04:00:00,1,3,0,4,3,7,8,7,6,0,5,0,0,0,0,0,0,4,3,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,2,3,5,8,4,4,2,5,4,0,0,0,3,0,4,5,0,4,0,3,1,0,5,8,0,0,11,0,15,16,19,20,4,0,21,19,17,8,4,0,3,5,0,0,4,2,0
2022-03-05 06:00:00,1,2,2,0,1,2,0,0,0,1,2,1,0,1,0,0,2,1,2,0,2,3,1,0,0,0,2,0,0,1,0,1,2,1,0,0,1,2,1,0,1,0,1,0,8,5,1,0,0,0
2022-03-05 07:00:00,0,1,0,3,4,0,5,2,2,2,1,0,2,0,1,2,3,5,6,8,9,8,6,0,0,1,4,6,8,6,5,2,2,4,5,2,0,5,4,4,2,2,1,2,0,1,0,2,0,0
2022-03-05 08:00:00,2,1,2,3,4,3,8,3,5,2,3,0,6,5,5,4,4,6,11,12,13,12,7,0,0,1,5,6,7,6,7,6,2,6,7,6,0,8,9,8,6,4,2,3,2,0,0,0,0,0
2022-03-05 09:00:00,5,4,4,8,10,10,12,11,4,2,0,3,3,4,0,0,5,7,9,10,12,16,12,0,0,0,1,0,0,0,1,1,3,4,6,0,0,6,7,6,5,5,4,2,1,0,1,0,0,0
2022-03-05 10:00:00,5,5,8,0,11,4,9,7,8,9,8,0,7,5,0,3,6,7,9,10,12,13,11,0,0,0,0,2,1,2,3,3,6,6,7,0,7,0,0,6,5,4,3,1,4,3,2,0,2,0
2022-03-05 11:00:00,1,2,3,8,9,4,6,4,4,5,4,5,0,5,4,2,3,0,4,5,8,7,5,0,1,0,6,3,5,2,3,2,2,5,6,0,0,5,7,7,6,4,5,5,10,9,7,4,1,0
2022-03-05 12:00:00,2,4,5,12,0,9,9,8,8,8,6,7,8,0,0,0,9,6,9,12,14,15,6,0,0,0,4,6,5,6,7,7,5,7,6,8,7,0,9,4,4,8,8,4,6,5,4,4,1,0
2022-03-05 13:00:00,4,5,9,13,12,11,11,9,5,10,12,10,9,7,0,1,7,8,8,0,9,0,12,0,0,0,5,6,7,5,6,5,6,4,7,8,0,9,11,9,6,7,8,7,7,6,4,4,2,0
