Unnamed: 0,1_흥안운수상계4동종점,2_흥안운수종점,3_불암현대아파트,4_동아불암아파트,5_불암대림아파트,6_상계벽산아파트,7_상계동주유소,8_상계119안전센터,9_상계중학교,10_상명고등학교,11_상명초등학교,12_중계건영2차아파트,13_백병원,14_상계주공4단지,15_상계주공6단지,16_도봉면허시험장,17_상계주공7단지,18_상계주공9단지,19_상계주공12단지,20_상계주공14단지,21_노원초등학교,22_수락산역3번출구,23_두산아파트.도심공항수락터미널,24_노원교,25_도봉역,26_서울북부지방법원.검찰청.도봉역성황당,27_도봉견인차량보관소,28_천주교도봉동교회,29_오봉초등학교,30_방학2동공영주차장,31_방학2동주민센터,32_방학중학교,33_신방학중학교앞,34_방학3동신동아프라자,35_방학3동주민센터,36_쌍문동성원아파트,37_쌍문동한양.현대아파트,38_쌍문동청구아파트,39_방학동삼익세라믹,40_방학동신우빌라,41_방학동도깨비시장입구,42_거성학마을아파트,43_도봉새마을금고본점,44_방학역,45_도봉견인차량보관소,46_서울북부지방법원.검찰청.도봉역성황당,47_도봉역,48_노원교,49_두산아파트.도심공항수락터미널,50_수락산역,51_노일초등학교,52_상계주공15단지,53_상계주공11단지,54_상계주공10단지,55_대림아파트상가,56_도봉면허시험장,57_상계주공3단지,58_상계주공2단지,59_상계주공1단지,60_중계역2번출구,61_중계3단지목련아파트,62_상명고등학교.성원아파트,63_코오롱아파트.양지대림아파트,64_상계119안전센터,65_상계동주유소,66_상계역,67_불암대림아파트,68_상계시장,69_동아불암아파트,70_흥안운수종점,71_흥안운수상계4동종점
2022-03-05 04:00:00,2,5,0,4,5,10,11,12,0,8,7,6,3,0,3,5,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,3,2,0,3,0,6,0,3,4,4,2,1,8,8,4,7,6,4,8,5,8,6,5,5,0,0,0,0,4,3,3,2,5,4,5,7,8,10,11,6,11,9,0,5,4,5,7,3,3,3,4,0,0,5,4,4,0,5,0,0,0,6,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,0,2,0,2,0,3,0,2,5,2,1,2,1,3,3,0,2,4,5,6,7,6,6,5,1,4,3,0,2,2,1,1,2,3,2,2,0,3,2,6,7,6,4,7,4,6,2,3,4,5,0,1,3,0,2,2,2,3,4,4,2,3,2,5,1,4,2,0,0
2022-03-05 07:00:00,4,2,3,2,2,4,5,8,9,10,6,4,2,0,3,3,3,0,2,4,6,5,6,0,5,4,8,2,3,7,8,6,4,3,2,6,6,6,3,5,6,8,3,7,9,3,13,10,2,5,4,5,3,4,3,3,1,1,2,4,6,4,5,5,2,1,0,0,2,0,0
2022-03-05 08:00:00,6,7,8,12,13,12,13,16,15,6,17,10,7,5,5,3,2,3,5,5,4,5,5,0,5,7,7,6,6,5,4,4,4,3,4,5,8,10,11,11,14,16,15,13,13,15,18,15,14,9,9,7,3,4,6,4,3,2,5,7,7,7,6,7,4,3,2,3,1,2,0
2022-03-05 09:00:00,5,7,8,9,12,12,14,16,7,15,19,11,11,10,10,5,9,8,7,8,10,8,7,5,7,10,4,8,5,7,6,7,5,4,5,5,5,8,6,5,8,11,10,9,7,11,15,13,11,9,8,7,6,0,8,7,4,5,4,8,10,9,5,4,4,3,0,1,4,1,0
2022-03-05 10:00:00,1,3,3,7,7,8,8,12,11,10,9,9,9,10,9,10,8,10,10,10,10,11,16,7,13,8,6,5,4,1,5,5,5,4,2,5,6,7,5,9,10,13,14,12,9,13,16,14,13,8,8,7,10,10,8,7,8,7,9,12,12,12,10,11,8,5,4,3,5,1,0
2022-03-05 11:00:00,4,6,7,11,8,5,6,8,8,2,4,6,9,11,11,12,11,12,13,9,16,16,16,9,13,11,12,12,11,9,6,5,6,3,4,6,6,5,7,7,8,8,10,7,10,11,14,15,12,14,16,14,15,13,11,11,8,9,9,10,10,9,10,9,7,7,0,6,5,3,0
2022-03-05 12:00:00,4,10,2,13,3,7,6,12,11,9,6,4,5,4,9,11,6,10,10,9,9,9,11,9,8,9,8,13,15,14,9,5,10,8,3,9,8,6,8,7,10,11,10,7,10,13,22,12,18,15,16,14,15,14,10,5,6,8,7,11,9,8,8,10,7,7,0,0,4,1,0
2022-03-05 13:00:00,1,6,7,11,10,10,11,12,0,13,10,6,6,4,8,8,9,10,9,7,9,15,16,15,14,13,13,11,10,10,9,10,8,8,6,2,7,8,9,4,11,12,13,10,5,8,13,11,10,11,16,14,14,15,15,11,9,11,9,13,6,12,11,9,9,12,11,10,4,2,0
