Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_영신여자고등학교입구,5_노원문화예술회관.불암초등학교,6_기업은행중계동지점,7_은행사거리,8_양지근린공원,9_중계주공9단지후문,10_한신동성아파트.시립과학관,11_골마을근린공원,12_하계역,13_하계5단지아파트,14_하계2동주민센터,15_경춘선숲길방문자센터,16_청솔7단지앞,17_한천중학교,18_서울과학기술대앞,19_공릉동.동신아파트앞,20_원자력병원입구,21_안마을,22_두산힐스빌아파트,23_태릉사거리,24_서울생활사박물관.농협앞,25_태릉입구역,26_한진한화그랑빌아파트,27_석계역2번출구,28_석계역1번출구.A,29_석계역굴다리앞,30_석계역,31_태릉입구역,32_태릉입구역7번출구.서울생활사박물관,33_태릉사거리,34_두산힐스빌아파트,35_안마을,36_원자력병원공릉동삼익2차아파트,37_동부아파트,38_서울과학기술대앞,39_경기기계공업고등학교,40_경춘선숲길방문자센터,41_하계2동주민센터,42_하계장미아파트,43_하계미성아파트.을지병원,44_한성여객종점,45_대진고등학교,46_삼익선경아파트후문.시립과학관,47_중계주공9단지후문,48_대림벽산아파트,49_은행사거리,50_신한은행중계본동지점,51_노원문화예술회관.불암초등학교,52_불암고등학교,53_노원우체국,54_중계본동종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,2,4,0,0,0,0,0,1,0,2,0,0,0,0,1,1,3,4,0,2,1,1,0,0,1,0,2,0,0,0,3,0,3,4,0,0,5,0,3,0,0,0,0,0,2,1,0,0,0,0,0
2022-03-05 06:00:00,2,3,5,8,7,0,6,7,7,5,6,3,4,0,5,2,0,0,0,3,4,0,2,2,2,1,2,1,0,0,0,0,0,0,2,0,1,0,0,0,1,2,1,0,3,0,0,0,2,1,0,0,0,0
2022-03-05 07:00:00,0,2,2,4,3,5,5,6,0,7,6,1,2,3,4,0,3,0,3,5,4,4,1,0,2,4,1,0,1,3,0,2,0,0,0,2,3,0,1,0,4,6,9,10,9,7,0,2,4,2,1,0,0,0
2022-03-05 08:00:00,0,2,4,2,8,0,10,4,0,9,9,2,3,0,4,5,4,0,0,4,3,4,2,2,3,2,2,3,3,4,3,0,7,8,8,10,7,9,4,3,5,8,18,17,18,17,10,13,5,5,1,0,0,0
2022-03-05 09:00:00,0,0,0,6,7,0,10,2,9,0,7,4,3,0,1,1,2,2,3,2,4,3,2,1,3,0,0,4,0,1,0,5,3,0,6,5,4,5,5,5,6,11,20,19,18,19,16,13,3,2,1,1,0,0
2022-03-05 10:00:00,0,3,4,5,7,8,9,10,0,11,14,6,1,0,0,0,2,1,0,6,6,2,5,0,4,5,2,3,4,4,3,2,3,4,5,6,0,8,7,0,3,6,12,13,15,14,0,11,1,3,0,0,2,0
2022-03-05 11:00:00,1,5,6,8,9,10,11,13,0,11,15,5,8,7,7,9,9,10,6,10,13,11,8,10,7,0,7,2,0,4,0,0,1,5,6,8,9,3,9,3,0,10,14,15,17,20,19,16,7,6,3,1,0,0
2022-03-05 12:00:00,3,5,8,9,10,10,14,13,12,9,10,5,3,0,7,0,4,3,5,6,11,10,6,8,7,6,3,4,0,4,0,0,8,3,8,10,5,10,8,7,10,11,15,16,15,14,13,12,3,3,1,0,0,0
2022-03-05 13:00:00,3,0,2,5,6,10,21,0,20,20,17,13,14,15,8,0,6,12,12,9,18,17,16,5,14,0,1,7,9,9,5,0,10,8,16,15,13,16,13,12,10,15,24,26,0,25,23,19,10,7,4,3,1,0
