Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_중계주공6단지상가,5_중계주공6단지,6_은행사거리,7_중계1동주민센터,8_중계주공4단지,9_중계주공2단지,10_상계역,11_상계중앙시장입구,12_상계2동주민센터,13_노원역9번출구,14_노원구청,15_창동농협물류센터,16_창동역동측(노원방면),17_창동농협물류센터,18_노원구청,19_노원역1번출구,20_상계2동주민센터,21_상계중앙시장입구,22_상계역,23_중계주공3단지,24_중계주공4단지,25_중계1동주민센터,26_은행사거리,27_대림벽산아파트,28_중계주공7단지,29_노원우체국,30_중계본동종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,1,2,3,4,5,6,7,12,11,2,11,9,8,5,4,0,5,8,8,9,9,8,6,6,5,4,3,1,0
2022-03-05 06:00:00,1,4,5,4,5,3,7,7,9,4,2,3,2,2,1,2,3,2,4,1,2,8,1,6,3,0,2,1,0,0
2022-03-05 07:00:00,2,4,5,4,5,7,12,14,16,7,6,5,3,2,2,5,5,3,6,6,7,9,5,6,3,2,2,1,0,0
2022-03-05 08:00:00,3,6,9,10,10,7,16,16,21,16,19,18,12,7,3,7,4,10,17,14,16,22,19,20,9,6,4,0,2,0
2022-03-05 09:00:00,2,12,17,18,20,23,29,29,26,12,15,12,7,5,3,9,11,11,21,23,24,30,33,30,17,11,10,8,3,0
2022-03-05 10:00:00,3,10,16,19,20,18,34,35,36,26,25,22,13,7,6,7,3,11,18,17,19,23,24,22,10,8,7,4,1,0
2022-03-05 11:00:00,6,9,13,14,14,17,23,23,27,17,16,19,8,9,9,13,14,19,26,24,23,28,27,23,15,10,9,5,5,0
2022-03-05 12:00:00,4,13,15,17,18,24,42,45,47,27,27,25,12,13,12,8,12,6,18,17,15,21,18,16,12,9,8,5,6,0
2022-03-05 13:00:00,4,9,11,13,14,26,40,39,39,23,24,19,10,8,10,10,10,15,28,29,28,36,34,34,17,13,11,9,3,0
2022-03-05 14:00:00,6,12,15,16,15,28,36,37,39,29,28,23,14,9,8,10,12,13,22,21,22,27,24,20,11,10,6,4,2,0
2022-03-05 15:00:00,7,16,17,18,19,24,36,36,37,29,28,23,10,7,6,10,11,10,23,25,27,35,32,29,13,12,9,6,4,0
2022-03-05 16:00:00,2,7,9,11,12,22,36,37,40,22,25,19,10,8,8,11,13,16,24,23,24,32,31,30,17,16,12,4,1,0
2022-03-05 17:00:00,4,7,10,9,11,28,36,38,38,27,22,21,11,8,6,14,15,15,26,25,24,33,33,32,16,13,12,7,2,0
2022-03-05 18:00:00,2,7,8,12,15,23,38,25,38,31,32,30,12,9,7,14,15,25,34,33,32,35,33,28,21,15,14,7,2,0
2022-03-05 19:00:00,2,2,5,6,5,12,19,11,18,18,17,17,7,8,6,5,6,7,34,34,32,38,35,32,22,16,12,9,2,0
2022-03-05 20:00:00,2,4,5,6,7,10,19,0,20,16,15,8,8,5,4,6,10,13,20,17,18,23,21,18,15,15,5,8,1,0
2022-03-05 21:00:00,1,2,3,2,3,15,23,21,23,12,6,7,7,5,6,5,4,5,15,16,15,28,26,25,14,11,10,5,1,0
2022-03-05 22:00:00,1,2,2,1,8,32,42,0,38,23,22,19,19,17,9,6,1,6,24,22,15,21,18,17,13,11,10,7,1,0
2022-03-05 23:00:00,0,2,3,4,1,2,10,1,11,7,8,7,5,6,4,6,4,5,22,21,21,28,25,24,16,13,11,8,1,0
