Unnamed: 0,1_수락산입구.동부거성아파트,2_청학리주공2.3단지.농협,3_청학리주공5단지.별내도서관,4_별내면사무소앞,5_경은학교앞,6_아랫미아리.퇴뫼,7_퇴메,8_중문마을,9_임촌마을,10_넉바위마을,11_별내하우스토리후문,12_별내하우스토리.중말사거리,13_유승한내들2차.세종로묘원입구,14_우미린스타포레.유승한내들이노스타,15_LH남양주사업단,16_대원칸다빌.모아미래도.유승한내들이든힐즈,17_현대아이파크1차후문,18_KCC스위첸후문,19_샛말.신안인스빌,20_불암동,21_202번종점,22_삼육대후문.논골.한화아파트,23_담터고개,24_삼육대앞,25_한국스포츠정책과학원,26_태릉선수촌,27_태릉,28_태릉국제사격장,29_서울여대.육군사관학교행정안내소,30_경춘선숲길화랑대역공원,31_화랑대사거리,32_화랑대역2번출구,33_경춘선숲길.토끼굴앞,34_서울생활사박물관.농협앞,35_태릉입구역,36_한진한화그랑빌아파트,37_석계역2번출구,38_석계역1번출구.A,39_석계역굴다리앞,40_석계역,41_태릉입구역,42_태릉입구역7번출구.서울생활사박물관,43_주유소앞다운복지관,44_화랑대역1번출구,45_화랑대사거리,46_경춘선숲길화랑대역공원,47_서울여대.육군사관학교행정안내소,48_태릉국제사격장,49_태릉,50_태릉선수촌,51_한국스포츠정책과학원,52_삼육대앞,53_담터고개,54_삼육대후문.논골.한화아파트,55_202번종점,56_불암동,57_샛말.신안인스빌,58_KCC스위첸후문,59_현대아이파크1차후문,60_대원칸다빌.모아미래도.유승한내들이든힐즈,61_LH남양주사업단,62_유승한내들2차.세종로묘원입구,63_별내하우스토리.중말사거리,64_별내하우스토리후문,65_넉바위마을,66_임촌마을,67_중문마을,68_퇴메,69_아랫미아리.퇴뫼,70_경은학교앞,71_별내면사무소앞,72_청학리주공5단지.별내도서관,73_청학리주공2.3단지.농협,74_수락산입구.동부거성아파트,75_청학리
2022-03-05 04:00:00,1,2,1,0,3,0,0,0,0,0,0,4,0,0,0,5,8,0,0,0,2,9,0,0,0,0,0,0,0,0,0,8,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,5,6,4,5,0,0,0,0,0,5,4,0,0,6,7,9,10,10,10,0,11,0,0,0,0,8,0,9,12,6,12,3,8,7,0,4,4,2,6,2,5,3,7,9,6,0,0,0,0,0,9,7,7,4,6,7,6,7,0,0,8,7,0,3,0,0,3,0,6,5,2,0,1,0
2022-03-05 06:00:00,4,5,8,9,0,0,4,0,0,0,10,12,0,13,4,12,10,13,15,9,0,14,0,0,0,16,0,0,15,11,13,12,8,12,6,4,4,4,5,4,5,9,10,11,9,0,10,0,9,5,8,0,0,9,8,6,5,3,1,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0
2022-03-05 07:00:00,5,6,8,0,0,6,4,0,0,6,8,12,13,0,10,14,20,25,27,23,0,32,0,8,0,0,0,0,23,16,20,14,11,7,10,0,3,3,4,5,3,7,9,10,9,7,8,0,5,0,0,10,9,8,8,5,8,8,9,8,4,0,0,5,3,0,4,6,1,0,5,3,2,1,0
2022-03-05 08:00:00,9,16,25,0,13,24,23,0,11,12,24,25,16,0,25,26,27,28,31,32,31,33,30,23,0,23,22,0,0,33,29,22,19,15,11,10,8,5,6,6,5,8,9,10,11,12,9,11,9,0,7,10,10,12,10,8,9,10,10,7,7,8,7,8,6,0,7,5,4,3,6,3,2,0,0
2022-03-05 09:00:00,4,7,13,11,10,0,0,0,0,9,10,11,10,9,12,17,20,21,24,10,15,25,13,25,29,15,10,12,24,26,26,23,22,19,15,9,12,9,6,5,0,16,17,19,18,16,15,0,0,0,14,13,13,20,14,9,9,8,4,7,6,11,9,8,0,0,0,7,4,5,7,4,1,0,0
2022-03-05 10:00:00,5,9,11,10,10,7,0,0,0,9,10,13,14,0,19,26,27,32,34,30,33,34,31,33,0,31,0,26,34,35,34,31,30,19,14,13,13,6,7,10,6,17,20,24,24,15,20,0,16,0,15,13,19,17,13,10,9,2,10,10,5,0,6,0,7,0,3,0,4,6,5,3,0,0,0
2022-03-05 11:00:00,5,10,13,14,13,0,13,0,12,11,13,22,23,7,25,31,21,21,22,24,24,25,22,28,0,0,0,0,28,29,27,21,17,16,13,10,9,8,0,4,7,14,15,18,14,13,10,0,0,17,17,18,17,21,16,22,18,16,14,12,11,12,13,14,15,10,10,7,10,9,8,6,5,2,0
2022-03-05 12:00:00,4,9,12,11,12,0,0,0,12,8,13,21,22,0,24,25,31,30,31,31,28,33,31,35,27,0,0,34,37,42,39,29,22,22,16,0,10,11,2,7,11,16,15,16,13,14,10,0,0,0,15,0,12,22,21,20,13,12,10,12,11,0,13,9,14,0,13,0,8,12,10,6,4,2,0
2022-03-05 13:00:00,3,7,10,4,0,0,10,5,0,0,11,13,14,0,21,26,27,26,28,31,30,32,0,30,34,0,0,0,33,34,32,27,20,14,11,12,9,8,8,11,9,24,11,30,31,26,22,0,9,0,21,13,20,21,20,17,18,17,17,17,14,4,16,7,0,0,0,8,0,16,6,5,2,0,0
2022-03-05 14:00:00,2,4,11,12,5,0,0,0,0,14,15,19,14,6,17,20,21,25,34,36,44,46,43,45,0,0,20,44,15,43,40,32,28,24,20,10,10,16,17,20,17,26,27,33,32,31,28,0,0,27,26,15,20,27,17,24,25,24,10,11,0,12,12,11,11,0,0,0,0,12,11,5,2,2,0
2022-03-05 15:00:00,5,6,10,12,6,12,7,7,0,12,12,13,15,9,19,14,19,21,19,20,19,25,27,28,0,0,0,27,30,29,26,19,16,13,11,12,7,15,17,10,11,21,19,22,28,20,27,0,19,26,0,25,24,23,19,7,26,25,19,22,19,10,16,15,11,0,0,0,0,14,13,7,5,2,0
2022-03-05 16:00:00,8,11,9,12,13,10,5,0,8,9,9,16,17,0,16,17,20,22,25,27,22,29,31,32,0,0,0,36,39,43,35,28,25,16,10,8,12,18,11,20,14,32,33,37,38,37,39,36,0,37,35,39,36,35,22,31,27,24,20,16,15,13,12,10,0,0,0,0,0,7,8,5,3,2,0
2022-03-05 17:00:00,5,7,11,9,12,9,13,0,0,11,12,16,15,0,13,16,17,17,20,23,21,26,26,24,0,0,25,0,35,27,25,22,23,19,12,11,9,23,21,25,21,38,39,43,42,40,26,0,0,0,0,39,38,32,34,32,33,34,26,26,22,20,19,7,0,0,0,17,6,16,15,7,5,3,0
2022-03-05 18:00:00,6,7,10,5,12,3,14,0,0,0,4,16,6,15,17,18,17,18,16,18,0,22,16,17,0,0,0,0,21,22,20,18,15,11,9,10,10,25,19,28,30,44,43,47,47,43,42,0,0,0,0,37,36,43,42,36,34,33,24,22,21,19,12,12,10,0,0,0,11,6,0,5,4,2,0
2022-03-05 19:00:00,2,1,6,0,7,2,0,0,0,0,6,8,7,0,8,9,9,12,13,12,13,14,15,16,0,0,0,0,0,16,15,11,11,8,6,7,6,12,11,14,15,26,28,32,30,29,28,0,26,0,23,50,49,46,22,45,37,36,22,20,21,10,19,10,20,0,0,0,9,0,19,7,3,2,0
2022-03-05 20:00:00,6,7,4,5,8,9,6,0,0,2,8,0,5,0,6,9,7,8,11,12,3,14,17,19,0,0,0,0,13,10,11,9,9,8,6,5,5,7,6,9,10,14,15,19,21,20,18,0,0,0,0,17,24,19,16,17,15,14,12,7,13,6,10,0,0,6,0,0,2,0,0,5,3,2,0
2022-03-05 21:00:00,1,1,6,0,7,5,0,0,3,4,5,7,0,0,8,0,10,11,12,13,12,13,0,0,0,7,0,0,14,11,12,16,13,10,11,7,5,14,16,11,17,27,15,28,28,22,25,0,22,0,14,26,22,20,13,19,22,16,11,9,9,8,8,6,0,0,0,5,0,4,0,4,2,3,0
2022-03-05 22:00:00,2,3,5,0,0,0,0,0,0,0,6,0,0,0,5,3,4,9,9,0,0,9,0,9,0,0,0,0,10,8,6,9,5,8,4,5,8,12,15,14,16,25,26,35,32,30,0,0,0,29,24,25,26,27,23,0,25,23,21,17,16,14,13,11,7,0,0,3,10,9,0,5,2,1,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,4,0,0,0,0,0,6,7,6,5,3,1,1,0,11,12,0,0,19,0,23,22,21,0,0,0,0,0,19,21,24,15,22,26,26,22,21,18,17,13,0,0,0,0,0,0,0,11,7,5,2,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,4,5,6,0,0,0,0,0,0,0,0,2,0,0,3,3,6,5,8,3,0,5,0,0,0,0,7,0,3,6,2,5,3,4,4,1,3,3,0,1,2,3,3,4,4,0,0,0,0,3,0,4,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,2,2,2,0,3,0,0,0,0,0,3,7,0,0,0,8,3,10,10,10,3,8,0,0,0,0,0,0,0,8,6,4,5,3,1,4,1,3,2,0,4,8,4,4,4,0,3,0,3,3,0,0,9,8,6,4,1,1,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
2022-03-06 07:00:00,7,9,12,0,8,1,11,0,0,0,1,11,4,5,11,14,16,17,17,7,0,16,0,0,9,0,0,0,18,0,17,12,5,4,4,3,3,3,0,0,2,5,1,6,2,3,2,4,3,0,0,5,1,5,4,4,5,2,6,0,5,0,4,5,0,0,0,2,1,0,0,3,2,0,0
2022-03-06 08:00:00,6,8,9,0,8,7,0,0,0,10,8,11,7,9,13,16,17,17,17,16,0,21,12,21,0,12,0,11,0,21,17,15,15,11,6,5,4,3,3,4,0,11,10,14,12,15,0,5,0,0,13,14,9,8,5,3,8,5,7,8,9,0,4,3,0,0,3,7,4,2,0,2,0,0,0
2022-03-06 09:00:00,7,11,14,0,10,9,8,6,0,9,8,11,12,0,14,20,23,25,28,29,28,28,27,17,0,0,18,0,0,23,21,16,15,10,7,7,5,8,8,6,9,24,25,26,20,28,0,0,0,0,0,15,16,23,17,12,11,8,2,6,5,1,5,0,3,0,2,4,0,0,3,1,0,0,0
2022-03-06 10:00:00,3,6,7,0,13,0,0,3,0,0,8,16,10,15,16,23,25,27,28,27,10,28,29,33,34,0,0,26,35,36,35,31,26,19,15,9,12,6,6,9,8,25,27,28,29,16,30,0,0,0,11,28,14,22,17,13,9,8,8,9,6,7,8,0,9,0,6,10,0,8,4,3,2,0,0
2022-03-06 11:00:00,2,5,8,0,0,0,0,0,0,4,8,11,9,0,11,14,15,19,22,23,0,24,0,24,19,0,25,0,18,25,23,19,16,14,10,8,10,7,6,8,9,15,10,16,17,15,14,0,18,0,17,15,14,17,7,16,15,14,11,8,7,0,5,4,4,0,0,9,2,7,3,2,1,0,0
2022-03-06 12:00:00,7,13,19,20,6,0,5,0,0,0,22,28,30,0,29,28,27,27,29,32,0,26,18,20,0,17,0,0,26,26,23,18,17,13,10,9,9,11,11,14,13,18,19,25,26,25,15,0,0,0,13,26,23,24,11,9,11,4,7,5,0,6,3,6,0,0,0,0,0,0,6,4,1,0,0
2022-03-06 13:00:00,6,7,13,14,15,0,0,0,0,14,0,15,10,10,14,13,30,30,29,31,15,30,0,19,0,29,0,0,21,27,28,21,19,15,9,10,6,11,10,10,11,21,17,20,21,17,19,0,12,0,18,18,19,18,17,17,14,14,12,11,10,11,9,0,11,0,0,0,11,4,10,7,2,1,0
2022-03-06 14:00:00,3,6,10,0,3,11,4,0,0,0,4,11,8,0,13,16,16,18,20,28,17,24,14,25,0,0,0,0,23,29,27,17,13,13,9,8,7,8,8,11,10,20,21,24,23,23,21,7,0,0,22,17,21,16,15,13,11,9,11,9,0,7,5,0,8,0,0,7,0,0,6,4,2,0,0
