Unnamed: 0,1_구민회관입구,2_산장빌라,3_우방아파트,4_일신건영아파트.꿈에그린아파트,5_돈암동일신건영휴먼빌아파트,6_아리랑고개.아리랑시네미디어센터,7_돈암힐스테이트.코오롱하늘채,8_돈암2동주민센터입구.흥천사,9_성신여대입구역,10_돈암시장입구,11_성북구청,12_보문2교,13_성신여대후문,14_용문중고교,15_안암동주민센터,16_보문역,17_성북구청.성북경찰서,18_삼선동주민센터,19_성신여대입구역,20_돈암2동주민센터입구.흥천사,21_돈암힐스테이트.코오롱하늘채,22_돈암동일신건영휴먼빌아파트,23_일신건영아파트.꿈에그린아파트,24_교수단지,25_산장빌라,26_508단지입구,27_508단지삼거리,28_스카이힐스,29_골드하우스,30_파크빌라앞,31_508단지삼거리,32_508단지입구,33_성북참노인전문병원,34_구민회관입구(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,5,7,0,0,7,0,6,2,1,0,0,0,0,0,0,1,0,4,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0
2022-03-05 06:00:00,0,6,5,0,3,9,5,8,3,0,0,0,0,0,0,2,2,3,5,4,3,3,2,4,0,2,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,9,10,0,0,9,10,10,3,2,1,0,1,0,1,2,1,3,7,6,0,3,3,2,0,4,0,0,0,0,3,1,0,0
2022-03-05 08:00:00,1,14,15,0,7,19,10,20,10,2,2,0,4,4,5,5,3,4,6,5,4,2,2,2,2,1,1,0,0,0,0,0,0,0
2022-03-05 09:00:00,0,9,12,11,11,18,15,12,7,5,4,1,2,3,1,2,2,3,5,4,3,7,4,6,4,2,0,0,0,0,0,0,0,0
2022-03-05 10:00:00,0,20,23,0,22,21,20,16,5,5,3,0,4,3,2,3,3,7,12,10,10,11,3,9,2,5,0,0,0,4,0,2,0,0
2022-03-05 11:00:00,0,16,17,16,14,25,23,20,5,4,2,0,5,8,6,6,4,7,16,19,20,22,9,17,16,8,4,3,0,0,1,0,0,0
2022-03-05 12:00:00,5,14,23,5,0,27,25,24,6,3,3,0,2,4,4,6,7,13,18,19,18,18,17,14,7,13,8,5,1,0,0,0,1,0
2022-03-05 13:00:00,7,11,12,13,7,23,11,10,10,4,3,1,2,4,2,6,8,14,18,22,21,22,15,19,16,14,11,10,5,3,0,0,2,0
2022-03-05 14:00:00,5,11,7,0,0,8,0,10,5,3,0,3,4,0,2,4,5,8,15,15,14,10,12,10,3,7,6,5,2,0,0,0,0,0
2022-03-05 15:00:00,3,8,10,0,9,12,10,11,6,5,3,4,3,3,4,5,6,11,20,18,17,18,17,15,12,2,11,7,2,0,0,0,1,0
2022-03-05 16:00:00,3,9,8,0,0,12,0,12,5,6,2,0,7,2,5,6,7,13,27,25,24,20,15,13,12,7,10,7,5,2,0,1,0,0
2022-03-05 17:00:00,9,17,18,0,16,10,10,8,4,8,1,5,4,7,3,10,13,19,29,29,29,30,28,22,19,16,14,7,4,1,0,0,0,0
2022-03-05 18:00:00,4,5,9,7,0,9,8,8,5,3,2,0,3,0,0,5,6,12,43,40,37,38,32,23,18,13,11,4,2,0,0,0,0,0
2022-03-05 19:00:00,4,5,6,0,4,6,3,7,2,2,0,0,0,1,0,5,6,12,25,25,26,25,21,22,18,18,9,7,3,2,0,0,0,0
2022-03-05 20:00:00,3,4,3,0,1,5,0,6,3,4,1,0,3,1,2,2,3,13,13,12,11,12,11,7,6,4,4,1,0,0,0,0,0,0
2022-03-05 21:00:00,3,4,3,0,0,0,0,1,0,2,1,3,0,0,0,2,3,7,16,16,14,14,13,10,8,7,6,5,4,2,0,0,0,0
2022-03-05 22:00:00,2,2,2,0,0,1,2,3,2,2,0,0,0,0,1,3,5,6,18,18,16,12,12,11,8,0,9,7,3,1,0,0,0,0
2022-03-05 23:00:00,0,1,0,0,0,0,1,2,0,0,2,1,3,4,1,5,4,6,17,16,14,13,7,10,8,7,6,3,2,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,4,5,0,4,4,0,3,2,0,0,0,0,0,0,0,1,1,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,3,5,0,4,3,1,3,3,0,0,2,0,1,1,1,0,2,4,3,0,3,2,1,0,1,1,0,0,0,0,0,0,0
