Unnamed: 0,1_서경대본관,2_서경대정문.대일외고,3_서경로꿈마루도서관앞,4_길원초등학교입구,5_길음뉴타운11단지롯데캐슬,6_길음뉴타운8단지,7_정릉동아.길음뉴타운데시앙아파트,8_숭덕초교,9_숭덕초교,10_정릉길음시장,11_길음시장,12_길음역,13_성북우체국현대백화점,14_숭곡초교입구,15_숭곡초교후문,16_월곡아남아파트,17_월곡동신아파트,18_KT월곡지사,19_돈암1동주민센터,20_길음역,21_길음뉴타운10단지.라온유아파트,22_숭덕초교,23_길음뉴타운데시앙.정릉동아아파트,24_길음뉴타운8단지,25_길음뉴타운11단지롯데캐슬,26_길원초등학교입구,27_서경로꿈마루도서관앞,28_대일외고서경대정문,29_서경대본관
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,4,5,3,6,8,7,6,8,5,4,3,2,2,2,2,3,4,4,3,0,2,0,1,0,0,0,0
2022-03-05 06:00:00,1,1,3,3,4,6,9,6,6,4,5,4,3,2,1,1,3,5,5,5,5,7,4,1,2,3,1,0,0
2022-03-05 07:00:00,2,3,4,6,11,9,12,13,10,10,7,3,4,5,1,3,4,7,4,6,4,5,2,4,0,3,0,0,0
2022-03-05 08:00:00,4,5,8,8,13,20,21,19,14,13,7,6,5,5,4,3,3,6,4,5,6,7,5,4,3,2,1,2,0
2022-03-05 09:00:00,1,3,6,9,13,16,22,23,19,20,11,10,6,8,6,7,6,8,7,18,18,19,17,14,13,11,10,3,0
2022-03-05 10:00:00,3,3,9,12,23,28,32,30,23,26,7,8,5,5,4,6,6,10,8,9,9,9,7,5,6,5,2,2,0
2022-03-05 11:00:00,4,3,9,15,19,24,26,24,22,21,13,13,8,6,6,10,9,14,10,14,17,17,16,13,12,7,4,0,0
2022-03-05 12:00:00,3,3,6,12,14,21,23,20,23,21,14,11,7,6,5,7,7,11,11,19,24,27,20,16,16,10,5,0,0
2022-03-05 13:00:00,3,3,5,9,10,15,19,20,15,16,8,7,8,8,8,6,9,12,9,17,19,21,18,17,12,8,6,0,0
2022-03-05 14:00:00,4,4,5,10,11,15,18,16,16,15,8,10,7,7,7,9,6,8,7,16,16,22,15,13,11,9,8,2,0
2022-03-05 15:00:00,5,7,11,13,11,14,19,18,16,16,10,12,9,10,9,7,8,14,13,21,19,22,17,16,10,7,5,4,0
2022-03-05 16:00:00,8,6,10,14,18,18,21,18,15,16,10,10,8,9,12,10,10,11,10,24,24,25,21,21,12,7,6,5,0
2022-03-05 17:00:00,8,5,9,11,20,22,23,14,15,19,10,9,9,10,9,7,10,13,13,29,23,30,26,21,17,11,7,5,0
2022-03-05 18:00:00,7,8,9,11,6,8,12,13,15,10,13,13,11,10,9,6,7,11,12,31,31,35,31,23,21,14,9,7,0
2022-03-05 19:00:00,1,4,5,7,8,8,8,5,8,10,8,9,10,12,6,10,9,5,8,22,21,23,18,15,13,8,5,4,0
2022-03-05 20:00:00,1,0,1,3,4,1,2,0,3,2,5,3,4,5,3,5,5,6,5,24,22,22,18,15,13,10,6,1,0
2022-03-05 21:00:00,1,2,1,3,3,2,5,2,2,3,8,5,4,3,2,2,3,4,5,15,18,19,17,14,11,7,6,4,0
2022-03-05 22:00:00,1,2,3,2,4,5,6,2,4,5,3,5,4,3,1,3,0,3,10,20,20,22,21,17,15,9,5,3,0
2022-03-05 23:00:00,1,0,1,2,1,0,3,1,3,2,5,4,3,4,3,2,6,8,7,24,27,27,22,19,15,7,2,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,1,1,2,2,0,3,5,3,4,4,3,2,3,1,0,1,2,1,2,4,0,3,2,0,0,1,0,0,0
2022-03-06 06:00:00,1,2,3,2,3,4,6,6,4,4,3,2,2,2,1,1,1,1,2,2,2,3,2,1,0,1,0,0,0
2022-03-06 07:00:00,1,2,3,4,3,6,7,3,5,6,4,1,3,3,1,2,2,4,3,4,2,1,1,1,1,1,0,0,0
2022-03-06 08:00:00,2,3,5,9,12,17,18,17,11,13,5,4,2,3,3,3,4,6,4,4,5,4,6,4,3,2,2,0,0
2022-03-06 09:00:00,2,3,7,7,9,13,17,19,16,15,8,13,5,4,2,5,3,7,6,4,5,4,0,3,0,1,2,0,0
2022-03-06 10:00:00,3,6,10,14,17,18,19,16,18,15,8,6,5,7,4,5,6,7,6,9,10,11,9,8,7,6,3,0,1
2022-03-06 11:00:00,2,1,5,7,12,14,17,14,13,13,9,4,8,5,4,5,7,8,7,11,6,15,14,12,8,5,4,2,0
