Unnamed: 0,1_화계사입구.종점,2_인수동청수탕입구,3_우이초등학교후문,4_서울영어마을수유캠프국립재활원입구,5_인수중학교,6_인수동백운교회입구,7_국립419묘지삼거리.윤극영가옥,8_국립4.19민주묘지입구사거리,9_북부성모병원,10_수유2동주민센터우이시장,11_광산사거리,12_강북구청,13_수유(강북구청)역,14_수유역,15_신일병원,16_강북노인종합복지관,17_화계사입구사거리,18_수유동삼양탕앞,19_화계사입구.한신대학교대학원,20_수유중학교혜화여고,21_서울정인학교,22_구세군강북종합사회복지관입구,23_미양중고등학교.팔팔·미송경로당,24_SK아파트.벽산아파트상가,25_솔샘터널,26_SK아파트.벽산아파트상가,27_삼각산동SK아파트북한산시티미양초등학교,28_두산위브아파트입구,29_동북프라자,30_삼양동사거리,31_성암국제무역고등학교,32_삼양동사거리입구,33_미아사거리역,34_성북우체국현대백화점,35_미아사거리역,36_삼양동사거리입구,37_성암국제무역고등학교,38_삼양동사거리,39_동북시장,40_두산위브아파트입구,41_삼양동벽산라이브파크미양초등학교,42_SK아파트.벽산아파트상가,43_솔샘터널,44_SK아파트벽산아파트상가,45_미양중고등학교.팔팔·미송경로당,46_구세군강북종합사회복지관입구,47_우광타운,48_혜화여고,49_화계사입구.한신대학교대학원,50_수유동삼양탕앞,51_화계사입구사거리,52_강북노인종합복지관,53_신일병원,54_수유역.강북구청,55_강북구청,56_광산사거리,57_수유2동주민센터우이시장,58_북부성모의원,59_국립4.19민주묘지입구사거리,60_국립419묘지삼거리.윤극영가옥,61_인수동백운교회입구,62_인수중학교,63_서울영어마을수유캠프국립재활원입구,64_우이초등학교후문,65_인수동청수탕입구,66_한신대학교,67_화계사입구.종점(가상)
2022-03-05 04:00:00,1,0,0,0,1,2,0,2,3,4,1,2,3,0,0,2,2,0,0,0,2,3,0,0,1,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,2,3,5,8,5,9,10,10,10,4,7,6,5,3,0,4,2,2,1,0,2,4,5,5,8,9,10,11,10,1,1,5,0,3,3,2,3,3,0,4,5,3,0,5,5,6,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,1,1,3,3,4,6,6,6,6,7,3,0,1,1,3,0,2,2,0,1,2,1,4,3,4,5,5,6,9,5,1,0,7,6,5,6,3,3,0,2,1,3,2,3,7,1,4,5,0,4,4,4,4,3,1,0,2,1,4,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,1,2,7,8,8,9,11,12,10,3,3,5,1,0,0,5,4,2,4,4,3,5,6,5,8,9,9,10,9,2,0,5,1,3,3,5,5,3,4,5,8,9,11,12,13,6,8,7,12,11,4,3,2,1,0,0,0,0,1,3,2,0,0,0
2022-03-05 08:00:00,1,3,2,3,5,10,11,13,15,19,24,16,6,7,8,6,7,6,4,8,8,8,7,6,8,10,11,13,13,15,17,17,4,2,11,9,10,7,7,7,4,2,6,8,9,11,13,15,9,12,11,15,9,10,10,7,6,4,1,1,2,0,1,1,1,0,0
2022-03-05 09:00:00,2,3,3,3,8,20,20,26,26,28,29,21,8,7,6,2,7,5,4,5,7,7,7,7,9,14,15,15,16,20,23,20,1,1,10,10,9,5,6,13,11,9,11,14,17,19,22,23,24,26,29,17,27,9,9,5,8,6,4,1,1,0,1,0,0,0,0
2022-03-05 10:00:00,0,3,4,5,9,11,12,13,16,20,23,20,16,15,14,12,8,5,7,9,8,11,9,12,11,14,21,22,27,23,21,18,2,2,12,10,12,10,9,8,8,7,5,13,14,10,11,16,15,19,18,19,14,6,8,5,4,4,2,2,2,0,0,1,0,0,0
2022-03-05 11:00:00,0,2,3,5,7,13,17,19,20,15,13,16,12,13,13,11,10,13,9,8,8,7,8,10,14,16,16,18,21,17,19,17,3,6,14,15,16,14,12,12,13,11,9,13,13,16,9,18,18,13,16,15,14,11,8,8,8,7,7,5,2,5,2,1,0,1,0
2022-03-05 12:00:00,0,3,5,6,10,15,13,14,13,16,16,14,21,10,21,17,15,17,16,17,14,12,13,14,14,17,20,23,24,29,27,24,5,4,15,14,11,11,12,12,12,11,7,11,14,12,13,14,13,14,19,20,19,14,17,10,13,12,9,7,4,3,5,1,1,1,0
2022-03-05 13:00:00,2,2,0,2,5,12,7,18,20,20,21,17,16,19,20,19,14,13,13,17,16,14,12,10,9,12,13,15,18,22,17,16,2,5,12,13,11,11,16,19,20,15,15,16,18,22,19,18,21,24,23,21,17,12,15,13,12,8,9,8,7,5,4,1,0,2,0
