Unnamed: 0,1_화계사입구.종점,2_화계사입구.한신대학교대학원,3_수유동삼양탕앞,4_화계사입구사거리,5_화계사입구,6_빨래골입구,7_롯데마트삼양점.래미안1차아파트,8_삼양초등학교,9_강북청소년문화정보도서관입구,10_삼양동사거리,11_송천초등학교.미아뉴타운입구,12_미아초교,13_길음동동부아파트,14_길음역,15_성북우체국현대백화점,16_성가복지병원,17_종암경찰서,18_종암동주민센터,19_숭례초교,20_고려대역.고대앞삼거리,21_홍파초등학교,22_제기동주민센터.서울약령시앞,23_경동시장,24_청량리수산시장,25_청량리역환승센터,26_서울성심병원,27_떡전교앞,28_서울시립대학교앞,29_전농로터리시장.동부교육지원청,30_전농래미안크레시티아파트,31_동대문중학교,32_답십리1동주민센터.래미안위브,33_신답역명문예식장,34_마장동주민센터,35_마장역,36_성동노인복지관,37_마장동금호아파트,38_한양대부속고등학교,39_한양대정문,40_성동교남단,41_성동구민종합체육센터,42_서울숲,43_뚝섬서울숲남문,44_뚝섬서울숲,45_뚝섬서울숲,46_뚝섬서울숲남문,47_서울숲,48_성동구민종합체육센터,49_성동교남단,50_한양대정문앞,51_한양대앞.한양시장,52_한양대부속고등학교,53_마장동금호아파트,54_마장역,55_마장동주민센터,56_신답역명문예식장,57_답십리1동주민센터.래미안위브,58_동대문중학교,59_대한노인회동대문구지회,60_서울시동부교육지원청.해성국제컨벤션고교,61_서울시립대입구,62_떡전교앞,63_서울성심병원,64_청량리미주아파트.동대문세무서,65_청량리역환승센타,66_경동시장앞,67_홍파초등학교,68_제기동한신아파트앞,69_고려대역.고대앞삼거리,70_숭례초등학교,71_종암동주민센터,72_종암경찰서,73_성가복지병원,74_현대백화점,75_길음역,76_길음동동부아파트,77_미아초교,78_송천초등학교.미아뉴타운입구,79_삼양동사거리,80_강북청소년문화정보도서관입구,81_삼양초등학교,82_롯데마트삼양점.래미안1차아파트,83_빨래골입구,84_화계사입구,85_화계사입구사거리,86_수유동삼양탕앞,87_화계사입구.한신대학교대학원,88_화계사입구.종점(가상),17_종암사거리입구,72_종암사거리입구
2022-03-05 04:00:00,1,1,2,3,3,5,0,6,6,4,5,5,0,5,0,4,5.0,6,6,2,5,6,6,6,6,3,4,5,4,7,3,9,5,0,0,9,6,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,0,1,2,2,4,6,7,5,7,6,8,9,9,9,10,12,13.0,12,13,10,0,9,8,8,5,4,8,7,3,4,0,6,2,2,4,2,1,3,2,1,0,2,0,1,2,0,2,3,3,4,3,1,4,4,3,0,5,5,0,6,2,6,0,7,6,5,1,8,2,7,1,6.0,3,2,0,0,4,3,2,0,1,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,1,2,1,2,1,3,2,4,8,5,9,11,8,9,10,9,10.0,10,12,11,12,8,7,8,4,6,8,7,9,10,9,11,11,10,7,3,6,5,3,3,2,1,0,1,1,0,3,4,5,6,5,1,0,6,5,3,7,3,6,5,4,4,1,5,8,4,3,2,1,4,3,4.0,4,5,6,0,4,5,3,1,3,1,2,1,0,0,0,0,,
2022-03-05 07:00:00,0,3,1,3,1,3,4,5,6,9,11,12,14,14,16,17,8.0,12,12,13,11,6,6,11,9,7,8,5,5,11,11,11,10,9,10,10,8,6,5,4,3,1,0,1,0,0,2,4,5,3,0,2,3,6,6,0,7,0,7,5,5,6,5,4,5,8,2,5,9,9,5,2.0,5,4,2,3,1,2,3,1,2,2,0,1,0,0,0,0,,
2022-03-05 08:00:00,0,2,4,4,6,9,10,11,9,12,15,18,19,15,16,16,22.0,23,24,23,23,21,20,17,12,12,12,11,12,13,14,15,15,14,12,12,13,9,6,4,2,3,0,0,0,0,2,3,2,4,3,6,6,6,6,5,7,4,6,6,7,5,9,10,14,15,16,15,12,13,13,13.0,12,8,8,8,2,7,5,4,3,2,1,1,0,0,0,0,,
2022-03-05 09:00:00,3,4,1,2,6,10,13,12,14,13,20,21,23,20,20,18,16.0,20,25,25,24,21,22,17,13,13,14,13,13,17,20,22,18,18,18,13,9,15,13,9,6,5,2,1,1,0,5,6,7,3,6,6,0,7,8,3,10,4,4,9,8,9,10,6,10,11,12,9,15,16,20,12.0,11,6,10,7,7,6,4,5,4,4,3,1,0,1,0,0,,
2022-03-05 10:00:00,1,5,1,3,2,4,6,8,9,10,12,15,16,13,14,15,16.0,18,18,17,15,13,12,9,12,11,11,10,11,12,14,16,15,13,11,17,14,12,9,7,6,1,0,1,0,0,4,5,0,4,4,6,7,8,7,6,6,7,11,13,12,13,13,11,7,10,11,10,9,8,19,8.0,16,8,8,7,6,5,9,2,0,7,6,2,1,0,0,0,,
2022-03-05 11:00:00,2,4,5,6,7,9,10,8,9,13,15,17,18,16,19,21,26.0,24,23,21,21,20,17,10,12,12,12,10,11,14,14,18,19,18,18,18,16,17,13,8,6,1,0,1,1,1,3,6,8,11,7,12,11,14,13,10,11,10,11,12,9,12,13,9,10,15,5,15,14,16,18,16.0,15,15,14,11,9,9,11,2,3,10,4,0,2,2,0,0,,
2022-03-05 12:00:00,1,3,4,6,8,11,12,12,10,10,13,16,18,14,19,17,16.0,19,18,16,16,16,17,14,13,14,17,16,19,20,20,24,24,22,21,21,15,20,15,10,4,2,0,1,0,0,8,10,9,7,6,11,6,13,8,13,14,12,10,13,15,14,9,13,14,18,17,19,22,21,20,18.0,17,19,20,17,12,9,7,9,6,5,3,3,2,0,0,0,,
2022-03-05 13:00:00,2,4,4,6,8,10,11,9,11,13,16,16,18,16,18,19,16.0,19,19,19,21,20,17,14,14,17,16,16,19,18,18,20,20,16,16,15,11,15,13,11,7,2,2,0,1,2,5,9,10,11,9,12,13,14,12,11,9,8,8,10,9,10,11,9,15,16,15,16,17,16,17,19.0,23,21,21,18,16,14,5,15,12,12,11,9,4,3,0,0,,
2022-03-05 14:00:00,0,3,1,1,4,5,7,0,7,9,12,10,14,14,15,14,14.0,17,20,19,17,17,16,14,18,17,11,10,12,15,19,22,26,25,22,21,18,16,16,11,9,2,0,2,3,0,6,7,8,11,10,13,12,16,18,15,16,16,14,13,15,14,13,14,18,24,17,22,21,20,19,20.0,18,19,18,16,15,14,12,11,8,10,7,4,2,1,0,0,,
