Unnamed: 0,1_국민대앞,2_청덕초등학교,3_북악중학교,4_봉국사,5_정릉2동주민센터,6_숭덕초교,7_정릉길음시장,8_돈암동삼성아파트입구,9_돈암1동주민센터,10_종암사거리,11_종암경찰서,12_종암동주민센터,13_숭례초교,14_고려대역.고대앞삼거리,15_홍파초등학교,16_제기동주민센터.서울약령시앞,17_청량리수산시장,18_청량리역환승센터,19_서울성심병원,20_휘경동입구,21_삼육서울병원,22_중랑교,23_서울우유앞,24_신성은하수아파트,25_면목2동한신아파트,26_면목5동,27_동서그랜드맨션,28_하나은행면목지점,29_면목복개천,30_지하철7호선면목역,31_농협앞,32_혜원여중고후문,33_서일대학교,34_용마문화복지센터,35_용마문화복지센터,36_서일대학교,37_혜원여중고후문,38_농협앞,39_면목역,40_면목복개천,41_하나은행면목지점,42_동서그랜드맨션,43_면목5동,44_면목2동한신아파트,45_신성은하수아파트,46_서울우유앞,47_중랑교,48_삼육서울병원,49_시조사삼거리,50_떡전교사거리.동대문노인복지관,51_청량리미주아파트.동대문세무서,52_청량리역환승센타,53_경동시장앞,54_홍파초등학교,55_제기동한신아파트앞,56_고려대역.고대앞삼거리,57_숭례초등학교,58_종암동주민센터,59_종암경찰서,60_돈암1동주민센터,61_길음역,62_길음뉴타운10단지.라온유아파트,63_숭덕초교,64_정릉2동주민센터,65_봉국사,66_고려대사범대학부속고등학교,67_청덕초교,68_국민대앞,11_종암사거리입구,59_종암사거리입구
2022-03-05 04:00:00,2,0,0,0,0,2,3,0,0,1,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,0,4,6,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,0,0,1,1,1,3,4,5,5,4,3.0,5,9,5,5,6,6,8,6,8,5,10,9,7,8,2,9,10,6,4,2,0,0,0,1,2,3,3,1,1,5,6,3,4,0,1,5,4,5,5,5,6,12,0,14,15,12,9,7.0,2,3,1,0,0,0,1,0,0,,
2022-03-05 06:00:00,2,4,6,0,3,6,7,6,7,5,5.0,7,8,5,8,4,7,5,6,4,4,5,5,6,5,4,5,4,6,5,1,3,1,0,1,4,7,5,2,4,6,6,8,10,7,9,8,8,3,7,9,6,5,4,5,5,4,6,6.0,3,2,2,2,1,0,0,0,0,,
2022-03-05 07:00:00,1,5,6,3,7,9,11,10,9,8,10.0,10,12,11,9,8,7,7,6,5,7,6,5,7,8,6,8,5,6,6,3,1,1,0,1,4,7,7,4,5,6,11,7,8,9,11,12,14,9,7,9,9,6,5,3,8,6,6,5.0,3,5,4,4,5,0,4,3,0,,
2022-03-05 08:00:00,1,3,6,7,7,11,11,10,11,12,11.0,14,15,13,14,14,10,11,12,11,9,8,10,13,14,13,8,15,12,7,4,3,2,1,4,6,19,19,10,5,11,14,13,17,18,24,22,21,13,20,16,9,8,9,9,11,9,6,6.0,5,8,4,7,3,6,4,1,0,,
2022-03-05 09:00:00,3,5,8,9,10,8,12,11,11,11,13.0,16,15,14,15,16,12,7,7,9,8,6,7,6,7,6,15,15,10,6,5,0,2,0,1,4,10,8,6,7,13,18,12,19,14,19,17,17,18,19,15,12,16,10,10,14,11,11,14.0,10,12,10,9,7,2,4,3,0,,
2022-03-05 10:00:00,3,8,11,0,9,14,16,18,17,15,12.0,12,13,12,13,13,11,10,9,9,8,12,11,12,12,12,14,14,9,6,3,4,0,1,2,2,5,6,2,3,7,9,11,10,12,11,11,10,11,10,10,15,15,15,7,14,15,11,10.0,7,7,6,4,4,2,3,1,0,,
2022-03-05 11:00:00,1,5,8,5,13,11,13,14,14,13,14.0,14,15,17,19,19,13,11,10,8,10,12,9,7,9,9,10,10,8,6,2,1,0,0,2,5,6,7,5,9,11,10,12,14,14,14,13,13,14,15,14,11,15,13,12,9,12,11,13.0,12,9,7,8,10,5,5,2,0,,
2022-03-05 12:00:00,1,5,10,0,13,8,12,15,13,12,11.0,14,17,15,15,14,13,8,8,11,12,13,16,12,15,12,9,7,6,7,4,1,0,0,2,3,9,9,8,10,12,17,17,17,18,17,17,14,11,12,12,14,19,20,21,19,16,15,17.0,16,15,11,10,8,0,3,1,0,,
2022-03-05 13:00:00,2,3,6,6,7,8,11,12,12,11,14.0,16,17,14,18,20,15,14,12,11,10,10,11,10,11,9,8,5,4,4,2,0,1,0,4,3,7,11,6,14,15,16,14,17,14,18,16,15,16,16,13,14,18,15,17,17,15,12,18.0,16,12,13,10,7,6,6,3,0,,
2022-03-05 14:00:00,4,6,7,8,8,11,10,14,16,10,16.0,15,16,15,13,17,14,16,15,14,13,12,11,10,11,11,11,11,8,6,5,4,2,0,2,4,7,7,5,7,8,10,11,12,11,10,9,7,16,13,10,11,18,16,16,16,16,16,13.0,12,13,12,7,5,3,1,2,0,,
2022-03-05 15:00:00,7,11,15,9,16,15,15,13,12,10,9.0,10,11,12,13,12,14,21,16,13,20,20,13,12,13,12,8,8,9,12,6,4,2,0,5,7,11,14,7,10,12,15,9,14,12,13,12,11,9,11,9,12,18,16,17,20,20,16,18.0,11,13,11,10,8,8,4,2,0,,
2022-03-05 16:00:00,7,12,13,11,10,11,11,11,12,10,11.0,16,16,15,16,15,14,19,18,17,19,19,19,21,18,19,18,19,14,16,8,7,1,0,3,2,7,5,7,8,7,9,10,15,16,9,10,11,9,13,12,20,24,22,24,22,20,18,18.0,15,14,13,10,6,5,5,1,0,,
2022-03-05 17:00:00,2,4,8,10,11,12,9,13,16,16,18.0,16,19,21,19,16,18,28,27,17,22,23,20,20,18,16,15,16,10,6,5,2,2,0,1,3,4,5,8,13,12,10,11,7,12,17,18,22,20,18,17,23,24,21,18,21,18,16,16.0,17,15,14,12,10,8,3,1,0,,
2022-03-05 18:00:00,5,6,10,3,10,11,10,11,12,9,12.0,14,14,10,9,8,12,23,23,21,21,24,21,19,17,15,13,14,12,9,10,5,2,0,1,4,3,4,7,8,11,12,12,10,11,12,16,18,17,16,16,16,18,17,16,18,15,13,9.0,7,13,11,10,8,7,4,0,0,,
2022-03-05 19:00:00,2,2,7,0,3,6,9,7,10,8,7.0,6,5,9,8,11,10,16,15,9,13,14,14,13,11,9,8,7,7,8,9,8,5,0,1,2,6,5,7,9,11,13,9,8,7,5,7,8,8,4,9,14,19,15,18,14,13,12,11.0,9,11,12,11,9,8,7,0,0,,
2022-03-05 20:00:00,2,0,2,0,3,2,4,7,9,7,6.0,9,11,10,9,8,10,19,15,8,18,20,17,12,11,8,7,5,3,9,5,2,0,0,2,2,3,5,5,8,7,4,3,2,5,6,7,7,0,4,3,14,12,12,11,13,13,11,12.0,11,10,8,7,6,4,2,1,0,,
2022-03-05 21:00:00,2,1,3,4,4,2,5,7,6,7,8.0,6,4,8,8,7,5,10,11,12,11,13,11,10,9,8,6,6,3,9,7,5,2,0,1,3,6,8,6,12,11,10,8,6,7,4,4,11,12,6,5,11,10,10,0,17,11,8,6.0,6,15,9,7,5,5,1,0,0,,
2022-03-05 22:00:00,5,3,6,5,5,6,8,8,11,10,9.0,7,7,8,8,0,7,13,8,7,10,8,9,10,9,6,8,4,3,11,10,1,1,0,0,1,4,3,7,10,6,5,8,2,5,4,6,7,4,4,6,9,0,7,8,8,4,4,9.0,5,11,9,8,7,10,4,1,0,,
2022-03-05 23:00:00,0,1,3,0,4,5,6,9,0,10,11.0,15,14,13,13,0,0,11,12,5,14,13,13,9,9,6,7,5,0,9,8,5,1,0,0,2,4,2,3,6,10,11,10,8,9,7,6,6,6,4,5,8,9,8,0,8,5,7,8.0,7,9,7,8,9,5,4,1,0,,
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-06 04:00:00,0,0,1,0,0,0,0,1,2,0,2.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-06 05:00:00,0,1,2,0,2,3,1,3,4,0,2.0,1,3,0,2,2,3,4,5,6,5,3,4,0,0,1,2,0,1,2,1,0,0,0,0,2,6,1,0,2,2,0,1,2,2,0,3,3,4,4,1,7,9,1,11,10,11,7,7.0,6,5,1,0,0,0,3,2,0,,
2022-03-06 06:00:00,1,2,3,0,4,2,3,4,0,4,5.0,6,8,0,7,6,4,6,1,7,6,4,3,4,2,2,3,1,0,3,0,2,1,0,0,2,4,3,2,3,2,4,4,6,0,4,6,0,4,5,4,3,3,4,0,2,4,3,4.0,2,4,2,1,0,3,2,1,0,,
2022-03-06 07:00:00,1,1,3,1,2,2,4,6,3,7,6.0,8,10,5,4,8,5,3,1,2,1,1,3,1,4,2,3,2,0,3,1,0,0,0,0,2,4,3,2,3,3,5,9,10,11,4,10,7,10,9,5,9,10,0,3,9,8,8,3.0,7,1,2,6,3,0,1,0,0,,
2022-03-06 08:00:00,2,3,4,2,4,8,8,9,2,8,9.0,9,10,8,7,4,5,6,6,5,6,3,7,7,4,5,5,8,0,6,5,3,2,0,3,4,10,8,3,3,6,8,9,12,12,13,12,11,5,10,9,7,6,6,2,4,3,5,5.0,4,5,1,0,0,0,0,0,0,,
2022-03-06 09:00:00,2,4,7,8,3,9,8,8,4,3,7.0,8,8,7,10,9,8,8,9,8,6,5,5,6,4,2,10,9,6,3,1,1,0,0,1,3,9,6,3,5,7,9,10,10,8,10,11,12,13,12,10,13,12,13,12,10,13,10,11.0,8,12,10,9,9,5,3,2,0,,
2022-03-06 10:00:00,2,2,6,0,5,5,8,10,2,4,12.0,9,14,13,11,10,10,10,8,8,10,7,5,10,7,6,9,8,7,5,5,0,1,0,0,1,6,7,5,9,9,9,10,13,15,16,14,13,12,13,12,8,9,8,7,8,7,6,7.0,8,7,5,7,8,7,5,3,0,,
2022-03-06 11:00:00,4,5,9,5,5,11,12,12,14,11,9.0,9,14,13,15,15,13,7,9,5,8,9,9,7,8,8,14,13,11,5,4,3,2,0,1,3,6,7,8,8,10,12,13,17,18,21,21,22,16,15,14,11,13,12,10,14,12,10,9.0,8,10,8,6,5,4,2,0,0,,
2022-03-06 12:00:00,1,2,1,3,4,7,9,12,13,13,13.0,16,14,15,15,14,13,14,17,16,16,17,13,13,13,11,10,9,8,8,6,4,2,0,2,4,9,12,13,14,15,18,21,24,22,22,20,19,17,19,16,14,18,16,15,14,11,14,12.0,10,9,6,4,7,3,2,1,0,,
2022-03-06 13:00:00,4,5,3,0,7,8,11,13,12,10,12.0,12,14,13,11,12,12,11,13,14,13,16,15,13,12,10,12,11,8,6,4,1,2,0,2,4,8,8,6,5,8,9,11,15,8,16,15,13,6,15,15,16,21,19,17,15,12,11,13.0,13,8,6,5,5,4,4,0,0,,
2022-03-06 14:00:00,5,6,7,4,11,9,12,14,13,3,15.0,4,17,18,20,8,14,15,15,13,12,2,6,8,4,4,5,5,4,5,3,1,0,0,2,3,4,6,5,9,9,10,9,13,14,14,12,11,12,12,11,8,13,11,12,13,13,12,14.0,12,10,9,4,4,2,2,1,0,,
2022-03-06 15:00:00,5,6,5,4,7,6,8,12,11,10,13.0,15,20,22,26,23,24,22,21,16,15,16,16,15,16,8,6,8,5,5,3,1,0,0,2,4,6,3,4,5,4,6,9,6,10,12,10,16,10,14,12,18,18,18,14,16,15,8,10.0,9,11,11,9,6,6,5,4,0,,
2022-03-06 16:00:00,4,3,6,5,6,6,9,9,7,6,10.0,11,12,10,6,10,10,22,25,24,25,24,23,22,21,19,18,17,7,7,5,2,4,0,1,2,6,4,5,6,6,7,9,9,8,11,12,15,0,7,14,17,22,11,17,21,11,14,12.0,12,10,10,8,7,6,5,3,0,,
2022-03-06 17:00:00,3,5,8,9,11,11,12,18,15,13,15.0,17,18,19,21,20,18,20,19,13,16,14,15,16,14,14,14,16,10,10,6,4,1,0,1,3,11,11,7,8,5,7,7,8,10,11,11,13,4,14,11,19,19,19,19,16,15,14,16.0,14,10,9,7,7,6,4,2,0,,
2022-03-06 18:00:00,3,1,5,0,4,7,8,9,10,17,13.0,15,11,12,14,8,12,16,15,18,18,21,17,16,13,12,11,10,6,11,9,5,1,0,1,7,3,5,6,8,9,11,10,13,14,13,15,16,15,15,15,13,22,17,12,19,18,8,8.0,7,10,11,10,6,4,1,0,0,,
2022-03-06 19:00:00,3,3,5,5,6,6,6,7,7,6,6.0,7,16,14,8,10,12,13,13,11,14,15,9,14,8,10,11,7,5,5,4,2,1,0,0,1,2,5,6,6,6,8,4,8,4,9,8,9,10,7,6,9,10,7,9,13,13,13,11.0,9,9,6,8,10,8,7,1,0,,
2022-03-06 20:00:00,1,3,3,4,5,1,2,6,5,0,7.0,1,7,3,0,2,3,13,12,11,14,13,11,10,9,8,8,3,4,7,4,3,0,0,0,2,2,3,6,6,8,8,8,7,6,6,8,10,4,0,10,12,13,12,12,12,12,9,9.0,7,11,10,8,7,4,2,3,0,,
2022-03-06 21:00:00,2,3,5,1,7,7,8,13,10,10,10.0,8,4,8,0,6,5,12,10,9,12,12,10,10,9,8,8,5,3,6,5,2,1,0,0,2,4,1,2,6,5,5,6,3,1,3,3,3,5,2,2,9,8,8,9,8,9,11,12.0,4,16,13,10,7,6,3,1,0,,
2022-03-06 22:00:00,2,2,0,4,4,3,5,8,5,0,7.0,4,4,4,0,0,1,5,5,4,7,8,3,8,6,5,4,3,1,8,7,5,2,0,0,1,2,3,5,7,8,0,4,3,5,1,6,7,3,5,5,10,7,6,7,8,7,5,8.0,8,11,10,9,8,7,4,1,0,,
2022-03-06 23:00:00,1,0,2,0,0,3,2,3,6,4,4.0,4,5,4,6,0,5,6,0,3,4,7,8,5,0,4,2,2,0,6,1,2,0,0,0,2,0,4,3,2,3,4,1,0,2,1,2,3,0,0,2,9,10,6,11,12,10,8,8.0,5,11,5,11,9,8,3,1,0,,
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 04:00:00,1,1,3,1,2,4,0,0,0,1,2.0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,7,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 05:00:00,1,1,4,4,5,6,7,6,7,5,8.0,8,11,10,5,4,8,6,7,7,6,6,5,8,8,6,11,12,11,4,2,0,0,0,0,4,7,7,4,5,6,5,7,9,10,7,13,4,4,9,11,10,14,10,15,14,8,10,11.0,10,8,5,5,0,4,3,1,0,,
2022-03-07 06:00:00,2,3,4,4,7,7,8,7,7,4,6.0,8,8,7,12,11,9,7,7,6,6,6,5,5,8,9,9,10,7,5,4,3,2,0,2,4,10,11,8,10,11,11,15,19,15,17,18,14,15,14,14,16,16,12,11,12,11,9,6.0,5,4,2,6,3,5,4,2,0,,
2022-03-07 07:00:00,6,7,15,5,12,16,20,15,16,16,23.0,28,21,15,16,14,11,11,10,10,10,10,10,13,15,17,19,29,29,10,8,3,2,0,4,9,24,21,10,12,17,24,27,34,37,39,34,33,32,31,26,24,17,11,16,15,16,14,16.0,12,14,20,27,31,15,9,2,0,,
