Unnamed: 0,1_한성운수종점(기점가상),2_북부시장입구,3_강북경찰서입구,4_대한병원,5_수유중앙시장,6_광산사거리,7_수유2동주민센터우이시장,8_북부성모의원,9_인수동장미원,10_가오리역,11_우이초등학교,12_강북노인종합복지관,13_신일병원,14_수유역.강북구청,15_수유역.노스페이스문화센터,16_강북구청사거리,17_수송초등학교,18_북부수도사업소,19_강북보건소,20_번동주공4단지,21_번동주공3단지,22_번동주공1단지,23_월계2교.참누리아파트,24_광운초교앞,25_남대문중학교,26_장위3동주민센터,27_장삼주유소,28_장위사거리,29_석관중고등학교앞,30_석관동코오롱아파트,31_한천로쌍용아파트앞,32_이문동삼익아파트,33_동일스위트리버아파트.휘봉고교,34_서울준법지원센터.동성빌라,35_휘경여중고휘경주공아파트앞,36_배봉산입구,37_전곡시장앞,38_답십리촬영소.우성그린아파트,39_동답초교.대림아파트,40_동답한신동아아파트,41_동아.위더스빌아파트,42_고미술상가,43_답십리역사거리,44_답십리초등학교.현대시장,45_답십리2동시온교회앞,46_답십리2동두산아파트,47_답십리2동한양아파트앞,48_동답한신.대림아파트동대문체육관,49_촬영소사거리.우성그린아파트,50_전곡시장앞,51_장안동현대아파트앞,52_휘경여중고휘경주공아파트,53_서울준법지원센터.동성빌라,54_동일스위트리버앞.휘봉고교,55_휘경유수지견인차고지앞,56_이문동삼익아파트,57_한천로쌍용아파트앞,58_석관동코오롱아파트,59_석관고등학교,60_장위사거리,61_장삼주유소,62_장위3동주민센터,63_남대문중학교,64_광운초교,65_월계2교,66_번동주공1단지,67_번동주공3단지,68_초안교,69_강북보건소,70_한성운수차고지,71_북부수도사업소,72_수송초등학교,73_강북구청사거리,74_수유역.강북구청,75_신일병원,76_강북노인종합복지관,77_우이초등학교,78_가오리역,79_인수동장미원,80_북부성모병원,81_수유2동주민센터우이시장,82_광산사거리,83_강북구청,84_수유(강북구청)역,85_수유역,86_수유사거리,87_강북경찰서입구,88_북부시장입구,89_한성운수종점
2022-03-05 04:00:00,0,0,0,0,0,1,0,2,3,2,0,3,1,3,1,4,5,3,0,0,7,7,7,2,0,0,6,0,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,0,2,1,1,0,0,1,4,6,4,4,6,7,8,10,6,8,2,7,6,5,5,3,4,3,4,5,5,4,5,4,3,3,1,5,5,3,3,7,3,4,3,3,3,0,2,5,6,6,8,0,0,0,7,9,11,10,6,7,4,5,6,0,0,5,4,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,0,0,1,0,4,6,7,8,7,8,10,8,11,10,10,1,11,12,5,11,10,12,0,14,13,13,14,15,14,11,10,11,0,6,4,7,5,4,4,4,0,4,0,0,5,3,4,5,4,3,2,6,5,5,6,7,6,8,7,7,8,9,9,8,7,6,9,9,7,3,3,1,2,0,2,1,4,0,3,1,0,0,0,1,0
2022-03-05 07:00:00,0,0,1,0,0,0,2,1,4,6,10,11,5,8,6,9,10,13,13,14,15,17,17,14,15,16,15,16,17,17,18,20,18,16,17,14,15,14,13,11,8,5,8,5,6,4,4,4,5,8,7,7,6,6,3,7,9,9,11,9,13,12,11,13,14,7,12,8,14,6,14,14,11,6,3,2,2,1,1,6,7,8,6,1,0,1,0,0,0
2022-03-05 08:00:00,0,3,0,0,0,0,2,2,4,7,9,11,11,13,19,20,22,24,25,15,26,12,27,26,28,31,30,26,19,25,30,32,29,25,25,23,16,14,15,16,14,13,6,7,7,10,11,11,9,12,13,14,4,13,7,7,12,11,5,10,9,11,10,10,16,14,17,17,16,17,23,25,17,8,7,5,4,2,4,5,10,12,8,4,1,1,0,0,0
2022-03-05 09:00:00,0,1,1,0,0,2,1,3,4,7,14,16,14,11,13,10,12,14,12,9,11,8,12,12,11,12,9,11,12,14,20,20,16,15,13,12,11,9,10,12,10,9,6,6,3,7,2,8,8,6,10,8,8,9,1,7,8,8,9,12,13,15,9,15,13,12,12,13,13,14,16,16,15,6,3,2,2,3,5,7,9,9,5,1,0,1,0,0,0
2022-03-05 10:00:00,0,1,2,1,0,2,0,1,3,4,9,13,12,10,11,12,11,11,13,5,9,8,15,7,11,13,14,14,15,14,14,14,16,19,15,0,7,6,6,8,9,7,7,7,8,4,7,5,5,6,6,10,11,5,7,6,6,11,12,13,10,11,11,15,14,13,16,11,19,20,19,18,15,10,7,6,8,7,5,6,8,8,6,2,1,1,2,0,0
2022-03-05 11:00:00,0,2,0,0,0,1,2,1,6,7,10,13,12,11,12,14,15,15,15,15,16,16,17,16,17,10,9,8,9,11,9,8,10,9,11,10,14,18,15,13,11,9,9,9,8,10,0,9,9,8,9,10,10,9,6,10,9,0,15,15,16,8,20,24,22,12,25,26,29,25,28,28,20,9,7,5,5,7,7,7,8,9,7,2,0,1,0,0,0
2022-03-05 12:00:00,0,1,2,0,1,4,4,1,6,11,14,16,16,13,18,24,25,23,14,21,22,21,19,17,16,17,17,17,14,17,17,17,17,17,14,12,10,10,6,11,11,10,9,8,10,12,11,10,15,18,18,18,16,14,0,14,16,17,16,16,15,10,17,25,24,11,16,25,25,26,28,25,18,15,13,12,6,4,2,4,7,11,8,2,1,1,1,0,0
2022-03-05 13:00:00,0,1,2,0,1,1,1,2,5,7,9,21,20,20,22,22,21,17,18,16,11,20,22,22,0,13,10,23,20,17,17,18,16,14,17,12,11,9,8,9,9,7,6,7,8,11,6,10,10,10,12,13,10,17,0,16,15,13,12,13,11,0,0,13,15,13,16,16,18,13,29,28,23,11,12,10,10,7,6,10,16,16,10,2,1,0,0,0,0
