Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_중계주공6단지상가,5_중계주공6단지,6_불암중학교,7_서라벌고등학교,8_동천학교,9_노원경찰서,10_하계1동주민센터,11_골마을근린공원,12_하계역,13_하계장미아파트,14_서울과학기술대입구,15_공릉역4번출구,16_공릉시장,17_태릉입구역7번출구.서울생활사박물관,18_주유소앞다운복지관,19_화랑대역1번출구,20_지하철6호선화랑대역,21_봉화산역3번출구,22_봉화초등학교,23_신내10단지아파트,24_신내9단지아파트.서울의료원,25_봉화산역2번출구,26_지하철6호선화랑대역,27_화랑대역2번출구,28_경춘선숲길.토끼굴앞,29_서울생활사박물관.농협앞,30_태릉입구역4번출구,31_공릉시장,32_공릉역1번출구,33_서울과학기술대입구,34_하계미성아파트,35_하계미성아파트.을지병원,36_한성여객종점,37_대진고등학교,38_서울온천,39_노원경찰서.혜성여고,40_동천학교,41_서라벌고등학교,42_불암중학교,43_대림벽산아파트,44_중계주공7단지,45_노원우체국,46_중계본동종점(가상)
2022-03-05 04:00:00,0,2,3,4,0,5,0,4,3,0,4,3,3,0,0,0,2,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,2,4,0,3,0,5,8,0,0,7,8,9,8,8,3,2,0,2,0,1,0,1,4,3,3,2,0,3,4,3,5,1,4,0,0,4,0,3,0,0,2,0,0,0
2022-03-05 06:00:00,0,3,4,5,0,3,0,0,8,0,9,2,0,0,3,0,1,2,0,1,0,0,3,5,1,0,0,0,2,2,0,1,2,0,4,0,0,1,3,2,1,0,0,0,0,0
2022-03-05 07:00:00,3,4,3,6,4,5,4,4,8,6,8,4,3,3,2,0,0,0,0,1,4,0,2,9,5,0,0,0,3,4,6,2,0,3,7,0,0,6,5,1,0,0,0,0,0,0
2022-03-05 08:00:00,1,4,6,7,8,7,0,0,9,9,6,5,4,6,5,4,2,2,0,1,1,2,3,4,3,0,0,4,3,3,5,4,5,4,8,6,5,7,4,3,2,0,1,0,0,0
2022-03-05 09:00:00,5,7,6,8,9,10,0,10,11,14,11,6,7,10,8,6,2,0,1,0,1,0,1,3,3,0,4,0,3,5,6,7,8,6,8,5,0,2,4,6,0,5,2,1,0,0
2022-03-05 10:00:00,2,1,2,5,7,8,0,5,9,11,0,6,5,2,6,4,3,0,0,1,3,0,2,3,2,0,4,3,4,5,5,3,5,6,8,9,6,10,10,8,8,5,5,3,0,0
2022-03-05 11:00:00,3,4,6,8,0,9,0,8,8,8,10,3,5,4,5,3,2,1,0,1,2,0,2,3,3,0,2,0,2,4,3,5,5,3,7,0,4,3,3,2,0,0,0,2,0,0
2022-03-05 12:00:00,1,3,4,5,6,7,0,8,10,13,12,6,7,6,9,8,7,5,0,4,3,3,3,3,6,0,7,0,6,7,9,9,0,8,11,10,7,9,7,8,0,6,6,3,3,0
2022-03-05 13:00:00,2,6,4,5,7,6,0,8,11,12,11,6,7,4,7,5,2,0,0,1,2,0,0,2,3,0,0,0,2,3,5,5,1,4,7,0,8,7,10,0,0,9,3,0,2,0
2022-03-05 14:00:00,0,2,3,3,5,4,0,0,5,7,8,6,4,0,3,5,3,0,2,5,1,0,4,7,8,10,9,8,10,13,11,7,7,6,6,6,5,4,5,5,0,3,1,1,0,0
2022-03-05 15:00:00,2,4,0,0,2,4,0,0,5,8,9,8,4,6,8,5,5,3,0,2,3,2,1,4,0,0,0,0,6,7,10,12,12,11,24,25,22,6,21,0,0,18,12,8,1,0
2022-03-05 16:00:00,1,4,14,16,10,17,0,4,12,0,16,8,7,10,9,2,9,0,4,8,4,4,2,5,6,0,7,1,5,8,9,10,13,2,5,4,1,0,0,0,0,0,0,0,0,0
2022-03-05 17:00:00,2,4,0,5,6,7,8,7,6,7,6,4,5,4,4,4,5,3,3,5,4,0,2,4,4,3,5,0,5,7,7,7,7,10,19,14,18,16,12,11,10,7,9,6,0,0
2022-03-05 18:00:00,1,2,3,4,6,0,0,7,9,10,11,5,6,7,9,7,6,2,0,0,5,3,3,2,3,4,5,3,4,5,6,6,5,7,13,0,9,12,9,8,0,8,7,4,0,0
2022-03-05 19:00:00,2,0,1,0,3,0,0,0,2,3,4,3,0,0,6,5,5,3,3,0,4,2,0,1,3,0,6,0,3,0,6,5,4,4,15,14,12,0,10,0,0,0,7,1,0,0
2022-03-05 20:00:00,0,0,1,3,5,1,0,2,0,3,0,3,4,0,4,3,1,0,0,0,3,0,1,1,2,0,3,0,2,2,5,1,3,3,4,0,0,5,2,4,3,1,0,2,0,0
2022-03-05 21:00:00,0,0,0,0,0,0,0,1,0,0,4,4,6,4,7,9,10,7,0,6,7,5,3,4,3,0,4,2,0,3,1,4,2,4,11,0,0,8,8,10,9,8,4,1,0,0
2022-03-05 22:00:00,0,1,0,2,3,2,0,4,5,6,0,3,0,4,3,2,3,3,1,1,3,2,1,2,0,0,2,0,3,4,4,4,3,6,14,11,13,12,12,12,0,9,5,4,0,0
2022-03-05 23:00:00,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,0,5,0,0,4,0,13,12,0,11,0,0,0,0,9,3,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,1,2,1,2,0,2,4,0,5,3,0,0,1,1,0,0,1,0,0,0,1,2,0,0,3,0,0,3,2,3,4,2,3,0,2,0,3,0,0,2,0,1,0,0
2022-03-06 06:00:00,0,2,1,3,0,0,0,2,3,3,4,1,0,0,1,0,0,0,0,2,1,0,1,2,1,0,1,0,0,0,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0
2022-03-06 07:00:00,1,3,0,2,4,3,0,4,5,6,6,2,1,0,0,4,2,0,1,0,1,1,0,5,4,0,0,1,0,6,4,3,0,1,5,4,2,0,0,0,0,0,3,1,0,0
2022-03-06 08:00:00,0,2,3,5,6,5,0,4,9,6,5,3,4,5,6,4,3,0,0,2,1,0,3,5,5,4,0,0,3,4,4,3,4,5,6,5,4,0,0,3,0,2,1,0,0,0
2022-03-06 09:00:00,0,2,7,3,3,0,0,6,6,8,7,4,0,3,3,3,4,3,2,2,1,0,1,3,2,0,3,0,4,6,7,6,0,5,5,0,0,6,0,4,0,1,3,0,0,0
2022-03-06 10:00:00,0,4,8,0,10,11,0,10,0,11,15,4,4,5,4,5,3,3,2,0,3,0,1,3,4,0,0,0,3,3,5,4,6,0,8,5,6,0,0,7,0,3,3,4,0,0
2022-03-06 11:00:00,1,5,6,7,4,0,0,8,9,6,11,5,4,5,4,4,2,4,2,1,0,1,1,1,2,3,2,0,0,0,2,3,3,4,5,0,0,6,6,2,5,0,4,0,0,0
2022-03-06 12:00:00,1,0,0,3,0,2,0,4,7,0,7,3,4,4,3,4,3,0,2,0,0,0,1,7,7,6,5,0,0,5,7,7,6,4,13,12,10,8,7,2,5,0,2,2,0,0
2022-03-06 13:00:00,0,4,8,5,7,7,0,8,9,11,8,8,7,7,4,4,5,7,0,2,1,2,5,8,9,0,0,8,9,10,7,7,9,0,8,0,4,8,9,0,0,6,4,3,0,0
