Unnamed: 0,1_흥안운수상계4동종점,2_흥안운수종점,3_불암현대아파트,4_동아불암아파트,5_불암대림아파트,6_상계벽산아파트,7_상계역,8_중계주공3단지,9_중계주공4단지,10_중계1동주민센터,11_은행사거리,12_중계주공10단지.중계건영3차아파트,13_노원구민체육센터,14_목련아파트상가,15_중계목화아파트4단지,16_노원경찰서,17_하계1동주민센터,18_골마을근린공원,19_하계역,20_하계장미아파트,21_경춘선숲길방문자센터,22_청솔7단지앞,23_한천중학교,24_서울과학기술대앞,25_공릉동.동신아파트앞,26_원자력병원입구,27_안마을,28_두산힐스빌아파트,29_태릉사거리,30_묵동구길,31_묵1동주민센터입구.먹골역,32_먹골역,33_한국전력동부지사,34_지하철7호선중화역,35_국민은행중화동지점,36_중랑역.동부시장,37_중랑교,38_삼육서울병원,39_시조사삼거리,40_떡전교사거리.동대문노인복지관,41_청량리미주상가앞,42_청량리역환승센터,43_동대문중앙새마을금고,44_제기동주민센터.서울약령시앞,45_청량리수산시장,46_청량리역환승센터,47_서울성심병원,48_휘경동입구,49_삼육서울병원,50_중랑교,51_중랑역.동부시장,52_중화동한신아파트,53_지하철7호선중화역,54_한국전력동부지사,55_먹골역,56_묵1동주민센터입구.먹골역,57_묵동구길,58_태릉사거리,59_두산힐스빌아파트,60_안마을,61_원자력병원공릉동삼익2차아파트,62_동부아파트,63_서울과학기술대앞,64_경기기계공업고등학교,65_경춘선숲길방문자센터,66_하계미성아파트,67_하계미성아파트.을지병원,68_한성여객종점,69_대진고등학교,70_서울온천,71_노원경찰서.혜성여고,72_하계현대아파트,73_롯데마트,74_노원구민체육센터,75_롯데우성아파트,76_은행사거리,77_중계1동주민센터,78_중계주공4단지,79_중계주공2단지,80_상계역,81_상계역,82_불암대림아파트,83_상계시장,84_동아불암아파트,85_흥안운수종점,86_흥안운수상계4동종점
2022-03-05 04:00:00,2,3,0,4,5,6,3,8,7,9,9,0,10,12,2,0,3,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,4,2,2,4,5,7,9,9,6,6,10,11,7,8,6,12,5,14,8,9,10,5,0,7,2,6,8,8,7,6,4,5,7,13,13,5,3,2,2,4,3,2,0,0,4,3,0,0,0,0,6,7,8,0,0,1,9,0,0,11,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,2,0,2,3,4,6,4,3,7,5,7,4,5,8,10,9,5,8,6,0,5,7,0,11,10,11,10,9,8,8,9,8,7,5,7,3,3,8,7,6,6,0,1,2,1,0,1,1,2,2,3,4,2,2,1,4,0,3,6,5,2,4,4,10,4,7,6,9,8,11,10,6,0,11,8,7,6,7,4,4,4,3,0,1,0
2022-03-05 07:00:00,3,5,0,4,5,6,10,11,11,9,8,10,5,9,9,12,11,10,9,6,4,5,5,4,5,6,7,8,9,8,7,6,6,4,7,5,3,0,0,3,2,4,3,1,3,4,2,3,5,8,5,9,8,7,6,6,7,8,8,10,11,13,6,11,10,9,11,11,13,9,13,14,11,8,13,9,9,8,9,4,5,0,4,3,0,0
2022-03-05 08:00:00,4,8,8,13,14,16,26,27,25,19,18,21,20,20,20,21,19,20,14,12,13,10,12,11,12,14,16,15,16,15,12,14,12,12,12,12,7,8,7,7,6,3,3,2,2,4,4,5,3,5,11,12,13,15,13,12,12,12,8,12,11,13,10,8,10,11,16,18,20,22,20,21,22,18,20,16,14,13,13,6,5,5,2,3,1,0
2022-03-05 09:00:00,6,13,14,18,16,21,31,31,26,20,19,19,14,19,19,21,22,21,15,16,17,18,16,17,18,20,20,21,19,19,18,22,23,22,23,23,20,20,17,15,9,6,3,2,3,4,0,3,3,5,7,7,8,10,10,11,13,14,15,16,19,19,18,8,18,19,22,22,21,23,25,19,23,19,18,14,16,15,15,9,6,5,4,4,3,0
2022-03-05 10:00:00,5,7,5,11,10,14,20,19,14,16,22,15,21,22,21,20,24,21,12,16,17,0,17,15,15,17,18,16,16,15,16,19,18,16,16,14,11,13,9,14,11,2,1,2,7,5,4,5,6,6,10,10,11,10,11,11,11,15,11,12,12,14,12,18,19,17,21,22,21,22,24,23,21,10,23,19,20,13,14,8,6,5,7,6,4,3
2022-03-05 11:00:00,5,7,9,17,20,17,22,25,27,25,23,25,22,23,24,24,27,25,22,25,24,22,20,20,18,16,16,16,13,15,18,16,17,19,18,12,12,11,12,10,6,4,3,6,8,12,12,15,14,18,22,21,17,16,15,19,22,18,19,18,20,21,22,19,23,20,22,22,21,23,25,22,22,24,25,20,23,21,16,9,10,7,6,6,2,0
2022-03-05 12:00:00,4,12,16,20,23,22,22,25,13,26,30,34,32,32,35,36,35,34,29,32,31,27,28,24,29,30,33,32,21,20,18,18,22,20,20,13,13,13,12,11,6,6,4,5,7,10,10,10,10,14,15,14,17,18,20,18,16,18,18,19,19,24,13,20,21,20,25,24,25,24,22,26,32,31,24,23,32,36,28,12,14,12,10,4,5,0
2022-03-05 13:00:00,5,8,10,16,20,21,27,29,26,19,28,34,28,36,35,37,35,32,23,25,23,0,22,24,25,24,23,23,28,27,27,28,25,24,25,24,22,20,14,19,15,9,3,3,8,12,12,9,13,14,17,19,21,23,22,20,21,24,26,31,30,28,29,30,30,26,34,34,33,29,25,23,26,22,21,19,24,25,23,11,10,10,8,5,3,0
