Unnamed: 0,1_한성여객종점,2_청구빌라.연촌초등학교,3_하계1치안센터,4_한천중학교,5_서울과학기술대앞,6_공릉동.동신아파트앞,7_원자력병원입구,8_안마을,9_두산힐스빌아파트,10_태릉사거리,11_묵동구길,12_묵1동주민센터입구.먹골역,13_먹골역,14_한국전력동부지사,15_지하철7호선중화역,16_국민은행중화동지점,17_중랑역.동부시장,18_중랑교,19_삼육서울병원,20_시조사삼거리,21_떡전교사거리.동대문노인복지관,22_서울성심병원,23_청량리미주상가앞,24_청량리역환승센터,25_동대문경찰서,26_영휘원사거리.(구)홍릉사거리,27_정화여자중.상업고등학교,28_제기동한신아파트,29_제기시장,30_고려대학교앞,31_고려대역.고대앞삼거리,32_정화여자중.상업고등학교,33_동부아파트,34_청량리한신아파트.청량사입구,35_동대문노인종합복지관,36_떡전교앞,37_서울시립대학교앞,38_전농로터리시장.동부교육지원청,39_전농래미안크레시티아파트,40_동대문중학교,41_답십리1동주민센터.래미안위브,42_신답역앞,43_청계한신휴플러스아파트,44_동대문구청.용두역3번출구,45_청량리수산시장,46_청량리역환승센터,47_서울성심병원,48_휘경동입구,49_삼육서울병원,50_중랑교,51_중랑역.동부시장,52_중화동한신아파트,53_지하철7호선중화역,54_한국전력동부지사,55_먹골역,56_묵1동주민센터입구.먹골역,57_묵동구길,58_태릉사거리,59_두산힐스빌아파트,60_안마을,61_원자력병원공릉동삼익2차아파트,62_동부아파트,63_서울과학기술대앞,64_경기기계공업고등학교,65_하계1치안센터,66_청구빌라.연촌초등학교,67_한성여객종점
2022-03-05 04:00:00,0,0,0,1,0,2,4,4,0,0,0,5,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,1,2,3,5,4,3,2,5,4,5,7,5,4,4,5,4,3,4,3,1,2,1,0,0,1,2,0,2,1,0,0,0,1,0,3,3,1,3,2,0,3,1,4,5,5,4,5,5,6,0,5,3,2,0,0,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,0,0,0,0,1,2,0,0,1,0,0,1,2,0,3,0,1,0,2,1,0,2,0,1,0,0,0,1,1,2,2,3,1,2,0,0,3,0,2,1,0,2,3,2,1,0,2,2,3,4,5,5,6,3,5,4,0,1,3,0,0,0,0,0,0
2022-03-05 07:00:00,1,2,0,0,3,5,8,11,13,2,5,3,4,5,4,6,7,3,0,3,2,1,1,3,0,2,1,0,0,0,3,4,0,3,1,1,1,1,2,2,2,4,3,4,2,3,6,5,6,3,4,1,2,3,2,2,2,0,3,3,5,3,2,4,2,1,0
2022-03-05 08:00:00,1,2,5,0,3,4,6,9,11,16,18,18,18,17,20,20,17,17,18,17,15,11,10,4,0,5,6,4,3,1,2,3,0,2,2,3,0,1,2,3,4,5,6,4,2,6,7,0,0,6,7,4,5,9,7,6,8,9,8,9,9,8,5,3,0,1,0
2022-03-05 09:00:00,0,2,0,1,2,0,7,8,6,8,7,5,9,11,12,9,11,10,10,8,9,9,6,6,4,5,3,1,1,0,2,0,0,3,1,7,8,7,8,2,7,5,4,4,4,6,5,4,7,0,10,9,10,9,11,10,7,6,3,2,1,1,2,0,1,0,0
2022-03-05 10:00:00,0,2,2,10,11,9,14,8,10,8,7,8,10,10,13,12,10,9,8,9,8,6,2,2,2,1,0,0,2,2,4,5,4,6,2,2,5,3,4,0,4,2,5,7,9,9,10,8,8,7,9,6,8,8,10,8,8,10,11,11,9,8,5,7,6,4,0
2022-03-05 11:00:00,2,4,5,6,7,6,9,12,13,11,16,15,20,19,20,20,11,10,10,9,8,6,5,3,2,4,4,3,1,2,3,0,3,5,0,5,5,5,7,0,8,9,7,8,7,7,8,8,7,8,13,11,10,13,12,8,6,5,4,3,3,0,1,4,2,0,0
2022-03-05 12:00:00,0,5,2,8,7,9,9,11,12,12,15,19,20,19,21,18,8,6,5,6,5,5,3,7,7,6,4,3,1,3,1,3,0,4,5,6,5,4,5,3,6,8,5,12,12,12,13,12,11,7,10,9,13,11,11,11,9,13,13,9,11,12,9,6,5,2,1
2022-03-05 13:00:00,2,3,2,4,6,7,8,19,20,22,13,11,13,22,20,22,17,16,12,11,6,10,9,5,6,5,1,4,3,2,5,4,5,2,4,5,4,5,5,0,4,3,5,7,11,11,11,11,11,11,14,14,13,12,0,11,10,10,9,11,10,11,10,2,0,8,0
2022-03-05 14:00:00,2,2,0,6,3,2,7,12,3,2,3,8,10,11,14,15,11,9,4,0,8,7,5,2,0,3,4,0,0,3,2,0,1,1,0,2,3,2,5,0,5,5,6,8,15,15,14,7,8,11,7,5,10,11,9,8,9,2,3,2,1,3,3,2,0,2,0
2022-03-05 15:00:00,4,7,2,6,11,7,10,12,13,12,14,15,16,12,18,20,14,13,16,14,14,15,10,8,7,5,3,2,2,1,3,3,4,3,2,3,0,1,0,1,4,5,1,5,7,6,9,7,12,13,14,14,13,10,12,14,9,9,6,6,7,7,6,8,5,3,0
2022-03-05 16:00:00,2,3,2,1,2,4,2,6,9,13,10,9,10,13,13,7,10,7,8,5,4,7,5,5,3,3,3,0,1,3,4,2,2,0,0,0,1,1,2,1,6,8,4,10,10,13,9,8,14,12,12,12,14,15,14,13,13,13,10,10,7,6,0,0,5,2,0
2022-03-05 17:00:00,7,9,5,9,9,6,7,10,11,9,11,12,11,11,10,12,14,13,14,3,12,3,13,6,6,4,4,3,3,3,4,3,2,2,2,3,1,0,3,0,6,4,0,9,7,13,12,14,12,16,18,13,13,10,12,8,8,8,6,6,4,8,7,0,5,4,0
2022-03-05 18:00:00,0,1,1,2,4,6,5,9,13,13,21,23,21,16,10,11,7,6,7,8,5,3,2,6,5,4,2,0,1,3,5,5,5,4,2,4,2,1,1,0,2,2,1,5,6,12,8,10,11,5,12,8,10,9,7,12,12,12,10,9,8,6,5,0,0,3,0
2022-03-05 19:00:00,2,1,2,0,4,3,5,5,6,6,6,5,7,6,7,4,5,4,6,1,7,0,1,3,2,1,0,2,3,2,4,2,0,1,0,1,3,3,2,1,1,0,0,2,3,8,5,6,8,9,10,10,8,8,6,11,13,12,8,6,5,3,1,0,2,0,0
2022-03-05 20:00:00,1,1,0,0,0,0,0,5,4,6,5,3,0,0,4,5,3,0,5,2,7,1,5,10,9,2,7,0,2,1,4,5,1,4,3,2,4,1,0,0,3,2,0,6,7,13,11,12,11,12,18,9,14,12,9,14,15,12,10,7,5,4,2,0,2,0,0
2022-03-05 21:00:00,2,4,5,0,6,5,6,2,7,8,8,7,4,3,4,2,3,2,1,2,1,0,0,4,3,1,2,5,3,1,2,1,2,0,0,1,0,0,1,2,0,1,0,4,3,6,7,5,9,8,11,18,19,18,11,12,9,7,6,2,2,3,2,0,0,0,0
2022-03-05 22:00:00,4,2,0,0,5,6,7,10,1,9,7,6,5,5,6,4,5,4,3,2,0,3,0,6,5,4,3,2,0,3,2,1,0,2,0,0,4,0,1,0,2,1,1,4,0,7,8,6,6,5,8,8,8,6,6,9,8,11,7,3,1,4,3,1,2,1,0
2022-03-05 23:00:00,0,0,0,0,0,5,8,9,15,13,14,12,11,9,8,8,4,3,3,2,4,0,3,5,0,0,1,0,1,1,4,2,0,3,3,2,4,0,0,2,2,1,3,4,0,5,8,8,7,8,9,6,7,5,6,5,5,6,3,5,3,2,2,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
