Unnamed: 0,1_우이동차고지(기점가상),2_우이동차고지기점,3_한국사회봉사회,4_연산군.정의공주묘,5_방학동신동아타워,6_방학동신동아아파트,7_국민은행방학지점,8_신한은행방학동지점,9_방학사거리,10_정병원,11_도봉보건소,12_도봉구민회관.도봉문화원(중),13_쌍문역,14_우이1교앞,15_수유3동우체국,16_수유(강북구청)역,17_수유역,18_수유시장.성신여대미아캠퍼스앞,19_미아역.신일중고,20_도봉세무서.성북시장,21_미아사거리역,22_성가복지병원,23_종암경찰서,24_종암동주민센터,25_숭례초교,26_고려대역.고대앞삼거리,27_홍파초등학교,28_경동시장,29_경동시장사거리,30_동대문구청,31_신답초등학교.청계한신휴플러스,32_답십리역사거리,33_청년회의소.서울새활용플라자,34_장한평역,35_군자교입구,36_군자역5번출구.용마초등학교,37_중곡동입구삼거리,38_어린이대공원후문아차산역,39_새밭교회,40_광나루역,41_천호역,42_강동역,43_강동성심병원(동신중학교),44_천동초등학교.천호도서관,45_강동주유소,46_길동역1번출구,47_예닮요양병원,48_길동사거리.강동세무서,49_강동역1번출구.동신중학교,50_천호역5번출구.천호사거리,51_천호역1번출구.문구거리,52_광나루역,53_새밭교회,54_어린이대공원후문아차산역,55_중곡동입구삼거리,56_군자역4번출구.용마초등학교,57_군자교입구,58_장한평역,59_청년회의소,60_답십리역사거리,61_신답초등학교.청계한신휴플러스,62_동대문구청.용신동주민센터,63_경동시장앞,64_홍파초등학교,65_제기동한신아파트앞,66_고려대역.고대앞삼거리,67_숭례초등학교,68_종암동주민센터,69_종암경찰서,70_성가복지병원,71_미아사거리역,72_도봉세무서.성북시장,73_미아역.신일중고,74_수유시장.성신여대미아캠퍼스앞,75_수유역.강북구청,76_수유3동우체국,77_우이1교앞,78_쌍문역,79_도봉구민회관.도봉문화원(중),80_도봉보건소.북한산아이파크아파트,81_방학사거리,82_신한은행방학동지점,83_국민은행방학지점,84_방학동신동아아파트,85_방학동신동아타워,86_연산군정의공주묘,87_한국사회봉사회,88_우이동차고지종점,23_종암사거리입구,69_종암사거리입구
2022-03-05 04:00:00,2,0,0,3,5,5,9,11,11,12,10,6,7,11,11,13,12,16,19,21,25,21,28.0,0,18,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,5,0,2,3,5,7,8,11,12,13,15,15,11,11,13,16,18,17,22,23,28,25,27.0,29,31,19,30,36,36,39,41,48,46,45,42,38,39,40,39,30,17,7,6,7,7,6,6,8,9,10,11,12,10,3,3,0,13,12,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,1,2,0,3,5,8,12,14,11,13,11,14,11,10,10,12,13,14,15,17,19,22,22.0,27,26,27,27,28,29,27,26,24,23,22,16,20,19,19,30,20,11,6,3,5,5,6,5,7,5,6,8,8,4,13,13,8,12,11,13,14,15,13,12,13,11,10,13,10,14.0,12,12,9,10,8,9,10,8,8,7,4,3,2,1,0,0,0,0,0,,
2022-03-05 07:00:00,2,0,0,3,5,9,11,12,15,16,18,19,16,21,21,21,23,23,17,22,24,25,26.0,26,25,24,19,23,22,20,22,21,21,20,17,16,10,17,17,14,8,6,5,6,7,10,11,10,13,12,17,14,17,19,16,20,19,14,15,15,14,10,9,5,8,7,12,13,14.0,15,9,11,9,10,10,10,7,8,9,7,8,6,4,0,3,3,0,0,,
2022-03-05 08:00:00,6,0,0,7,11,12,18,23,25,26,26,26,20,20,22,21,23,19,17,19,31,29,29.0,28,26,26,26,24,26,23,24,21,17,18,17,18,17,21,24,23,15,10,7,8,10,12,10,9,10,14,15,20,17,18,19,20,21,24,24,28,29,24,24,24,21,22,20,19,20.0,17,16,16,14,10,13,14,15,14,16,11,8,7,5,4,3,2,0,0,,
2022-03-05 09:00:00,2,0,1,7,9,17,18,24,28,27,29,25,27,24,25,23,22,22,22,24,27,28,28.0,31,33,30,29,26,30,26,23,26,22,18,20,20,19,21,22,21,14,11,7,9,8,10,11,12,12,10,12,14,15,14,17,16,20,21,23,24,21,18,18,19,20,20,22,23,22.0,22,16,15,15,14,13,12,12,16,16,16,13,12,9,7,4,2,0,0,,
2022-03-05 10:00:00,3,0,0,6,8,18,22,27,27,30,33,33,24,26,29,24,25,26,25,25,27,30,28.0,33,36,38,36,32,30,28,25,25,25,28,26,23,22,20,19,16,9,8,4,7,10,17,17,22,18,24,26,26,25,25,24,26,25,24,25,28,28,20,22,22,18,22,20,26,28.0,18,22,23,21,18,20,17,15,20,20,20,12,10,9,8,5,3,2,0,,
2022-03-05 11:00:00,4,0,8,9,8,15,18,23,20,25,26,30,22,23,23,21,22,21,20,23,29,28,25.0,29,30,30,27,35,37,36,34,29,27,26,24,23,20,21,23,17,9,9,10,10,11,13,16,16,17,24,27,25,25,23,24,24,27,24,27,28,29,24,25,25,20,22,28,30,32.0,27,20,17,18,19,13,14,15,22,15,14,21,16,14,11,8,2,1,0,,
2022-03-05 12:00:00,7,5,4,9,11,13,17,21,22,23,23,23,19,19,22,19,21,25,25,24,29,26,29.0,30,35,36,35,35,42,40,38,31,27,25,23,26,25,24,25,19,13,13,8,13,12,15,13,19,17,21,22,22,21,22,23,26,24,22,23,30,30,26,29,24,29,28,25,24,23.0,25,24,23,23,15,14,14,14,21,17,14,11,7,5,4,2,1,0,0,,
2022-03-05 13:00:00,8,0,4,7,11,17,16,20,23,24,26,32,24,27,25,21,21,27,32,31,38,33,31.0,33,32,30,25,25,27,29,27,25,24,28,29,29,24,21,21,18,14,11,7,6,10,13,16,19,22,22,26,25,28,29,29,26,30,32,31,34,30,22,25,24,22,21,22,20,28.0,22,23,23,23,24,19,21,20,20,19,18,14,10,8,6,4,3,1,0,,
