Unnamed: 0,1_도봉산역광역환승센터,2_도봉산역,3_도봉한신아파트,4_서울북부지방법원.검찰청.도봉역성황당,5_신도봉사거리,6_신도봉시장.도봉구청.방학북부역,7_도봉소방서.방학남부역,8_도봉보건소,9_도봉구민회관.도봉문화원(중),10_쌍문역,11_우이1교앞,12_수유3동우체국,13_수유(강북구청)역,14_수유역,15_수유시장.성신여대미아캠퍼스앞,16_미아역.신일중고,17_도봉세무서.성북시장,18_미아사거리역,19_월곡뉴타운,20_길음뉴타운,21_미아리고개.미아리예술극장,22_돈암사거리.성신여대입구,23_삼선교.한성대학교,24_혜화동로터리.여운형활동터,25_명륜3가.성대입구,26_창경궁.서울대학교병원,27_원남동,28_광장시장,29_중구청앞.덕수중학교,30_충무로역8번출구.대한극장앞,31_퇴계로3가.한옥마을.한국의집,32_남산1호터널,33_순천향대학병원.한남오거리,34_신사역.푸른저축은행,35_논현역,36_지하철2호선강남역,37_신분당선강남역,38_래미안아파트.파이낸셜뉴스(중),39_뱅뱅사거리,40_양재역.서초문화예술회관,41_교육개발원입구,42_시민의숲,43_AT센터.양재꽃시장,44_양재2동주민센터.양재꽃시장,45_언남고교,46_교육개발원입구,47_양재역.서초문화예술회관,48_뱅뱅사거리,49_래미안아파트.파이낸셜뉴스(중),50_신분당선강남역,51_지하철2호선강남역,52_논현역,53_신사역,54_한남대교전망카페,55_한남5거리,56_순천향대학병원,57_서울백병원.국가인권위.안중근활동터,58_종로3가.탑골공원,59_종로4가.종묘,60_종로5가.광장시장,61_종로5가.효제초등학교,62_종로5가.효제동.김상옥의거터,63_방송통신대.이화장,64_혜화역.마로니에공원,65_혜화역.동성중고(장면총리가옥),66_삼선교.한성대학교.조소앙활동터,67_돈암사거리.성신여대입구,68_미아리고개.미아리예술극장,69_길음뉴타운,70_월곡뉴타운,71_미아사거리역,72_도봉세무서.성북시장,73_미아역.신일중고,74_수유시장.성신여대미아캠퍼스앞,75_수유역.강북구청,76_수유3동우체국,77_우이1교앞,78_쌍문역,79_도봉구민회관.도봉문화원(중),80_도봉보건소.북한산아이파크아파트,81_도봉소방서.방학남부역,82_신도봉시장.도봉구청.방학북부역,83_신도봉사거리,84_서울북부지방법원.검찰청.도봉역성황당,85_도봉한신아파트,86_도봉산역,87_도봉산역광역환승센터
2022-03-05 04:00:00,0,2,4,5,5,8,9,9,8,12,14,11,13,11,10,15,17,11,16,19,17,18,9,11,16,15,14,12,12,12,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,2,3,3,5,6,10,12,15,15,17,20,17,20,19,20,17,19,21,24,21,21,20,19,20,21,20,18,18,19,11,12,11,12,9,5,6,1,3,2,1,0,2,3,3,0,5,5,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,3,1,2,3,3,6,7,7,7,8,9,10,9,12,15,17,18,17,17,18,16,18,19,19,18,14,17,15,17,16,18,17,16,9,14,7,4,3,3,2,1,0,2,1,3,1,2,4,6,5,7,12,6,13,13,13,14,0,17,10,15,15,12,2,11,10,8,8,9,9,8,7,7,8,0,9,7,7,5,3,4,0,0,0,0,0
2022-03-05 07:00:00,1,9,12,14,13,16,19,24,26,29,30,32,34,32,33,30,27,28,25,17,19,21,22,20,19,20,19,16,15,16,18,7,11,10,8,7,3,4,3,2,0,3,0,1,2,3,4,2,4,6,6,7,7,6,7,9,9,8,7,6,6,6,7,7,6,5,3,4,5,5,7,1,6,8,11,12,12,16,15,13,12,10,8,7,5,3,0
2022-03-05 08:00:00,4,9,16,18,21,24,26,31,28,24,25,27,26,27,26,28,26,30,29,30,30,31,27,28,27,29,26,24,22,24,25,24,18,19,17,11,6,5,2,4,2,3,0,2,3,4,5,5,6,9,12,10,11,0,8,14,17,18,19,17,15,14,13,9,8,9,10,12,15,14,14,16,16,20,22,22,19,21,16,14,12,11,10,9,7,6,0
2022-03-05 09:00:00,2,8,9,14,13,20,23,27,24,22,25,25,23,25,26,31,28,32,24,27,25,26,23,24,25,26,29,28,27,25,29,28,24,19,16,11,8,8,6,5,4,2,0,6,8,9,11,11,11,10,17,18,17,7,15,18,22,19,11,16,13,17,11,12,11,9,10,9,9,10,10,9,8,9,12,12,10,14,12,11,9,8,7,9,4,1,0
2022-03-05 10:00:00,1,9,9,14,15,15,18,20,19,15,17,22,20,18,19,20,19,24,23,26,28,30,34,35,32,31,32,28,22,31,35,34,28,25,19,14,8,8,5,4,3,2,0,3,3,6,7,9,13,15,16,19,18,14,17,22,29,25,22,21,17,12,14,10,8,9,10,16,14,12,11,9,9,9,17,15,10,12,11,12,8,9,8,7,6,3,0
2022-03-05 11:00:00,1,6,7,11,15,16,19,20,17,15,20,22,23,21,21,20,19,22,22,23,22,24,24,22,36,28,37,39,40,39,41,39,33,30,26,18,13,7,6,4,3,2,0,7,9,10,9,9,10,14,22,22,21,21,24,32,48,38,37,31,29,18,23,17,12,12,12,12,15,17,23,22,19,17,12,10,9,13,14,15,9,6,5,5,5,2,0
2022-03-05 12:00:00,1,8,8,12,17,18,25,31,35,24,22,26,24,23,24,24,23,24,23,25,26,29,35,37,40,39,39,34,35,37,41,38,34,29,25,13,7,7,5,4,3,3,0,9,10,11,9,13,16,22,28,28,27,26,30,32,47,42,38,36,32,29,24,19,16,18,15,17,18,22,19,13,24,29,29,31,27,29,26,24,19,17,14,13,9,2,0
2022-03-05 13:00:00,2,9,13,16,9,16,24,26,11,22,24,17,19,17,21,18,21,22,21,23,25,26,30,35,31,29,35,34,34,33,35,36,29,27,23,12,13,9,7,7,6,4,0,9,11,12,9,13,13,21,28,37,39,30,42,42,56,51,50,43,41,38,36,26,23,22,21,22,19,15,20,19,22,23,20,19,18,15,17,16,13,10,11,10,6,2,0
