Unnamed: 0,1_도봉산입구,2_도봉고등학교,3_도봉한신아파트,4_서울북부지방법원.검찰청.도봉역성황당,5_신도봉사거리,6_신도봉시장.도봉구청.방학북부역,7_도봉소방서.방학남부역,8_도봉보건소,9_도봉구민회관.도봉문화원(중),10_쌍문역,11_우이1교앞,12_수유3동우체국,13_수유(강북구청)역,14_수유역,15_수유시장.성신여대미아캠퍼스앞,16_미아역.신일중고,17_도봉세무서.성북시장,18_미아사거리역,19_월곡뉴타운,20_길음뉴타운,21_미아리고개.미아리예술극장,22_돈암사거리.성신여대입구,23_삼선동주민센터,24_성북구청.성북경찰서,25_보문역,26_창신3동주민센터,27_종로구민회관.창신동두산아파트,28_동묘역앞,29_성동공업고등학교(무궁화회관),30_신당동떡볶이타운.중구여성플라자,31_신당동.청구역,32_약수역2번출구.가온도서관,33_약수역8번출구.신당사회복지관,34_송도병원앞,35_버티고개,36_장충단로입구,37_서울시중부기술교육원.블루스퀘어,38_순천향대학병원.한남오거리,39_신사역5번출구,40_신사역4번출구,41_논현사거리.논현역5번출구,42_반포역,43_고속터미널,44_삼성래미안,45_반포종합운동장,46_서초구민체육센터.심산문화센터,47_삼호아파트,48_가야메디컬센터,49_방배열린문화센터(방배4동주민센터),50_내방역,51_방배1동주민센터.방배아크로타워,52_신동아아파트앞,53_상문고교,54_방배동래미안아트힐.국립국악원,55_경남임광아파트,56_서울지방법무사회,57_방배역.방배서리풀이편한세상,58_내방역2번출구,59_방배열린문화센터(방배4동주민센터),60_방배사이길,61_방배동삼호아파트,62_서초구민체육센터.심산문화센터,63_반포종합운동장,64_삼성래미안,65_고속터미널,66_반포역,67_논현사거리.논현역4번출구,68_신사역,69_한남대교전망카페,70_한남5거리,71_순천향대학병원,72_서울중부기술교육원.블루스퀘어,73_버티고개,74_송도병원앞,75_약수역7번출구.약수동주민센터,76_약수역3번출구.약수하이츠,77_신당동.청구역,78_신당동떡볶이타운.중구여성플라자,79_성동공업고등학교앞,80_동묘역앞,81_동묘역.롯데캐슬천지인,82_숭인1동주민센터.창신역4번출구,83_보문역,84_성북구청.성북경찰서,85_삼선동주민센터,86_돈암사거리.성신여대입구,87_미아리고개.미아리예술극장,88_길음뉴타운,89_월곡뉴타운,90_미아사거리역,91_도봉세무서.성북시장,92_미아역.신일중고,93_수유시장.성신여대미아캠퍼스앞,94_수유역.강북구청,95_수유3동우체국,96_우이1교앞,97_쌍문역,98_도봉구민회관.도봉문화원(중),99_도봉보건소.북한산아이파크아파트,100_도봉소방서.방학남부역,101_신도봉시장.도봉구청.방학북부역,102_신도봉사거리,103_서울북부지방법원.검찰청.도봉역성황당,104_도봉한신아파트,105_김근태기념도서관.도봉고등학교,106_도봉산입구
2022-03-05 04:00:00,0,3,4,5,6,6,7,8,10,12,6,9,8,9,12,13,15,16,17,14,16,18,18,20,20,21,23,23,21,24,26,26,28,27,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,2,3,6,6,9,11,11,8,6,8,9,10,10,11,12,14,11,10,14,15,15,15,13,15,14,16,17,17,18,16,17,16,13,11,19,15,12,10,10,8,6,3,2,0,1,4,3,2,0,0,0,1,1,0,1,3,2,1,0,4,3,2,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,3,2,2,4,6,10,9,8,8,6,7,6,8,12,12,11,11,13,13,8,13,15,11,14,13,11,10,10,15,14,10,14,14,13,12,9,8,9,8,7,6,4,2,3,2,2,2,4,2,0,2,2,3,2,4,4,2,4,3,3,0,2,3,3,4,5,0,2,4,2,4,5,0,4,5,6,8,3,9,5,8,0,7,6,0,7,0,8,5,6,6,6,3,2,0,5,0,5,2,0,0,1,0,0
2022-03-05 07:00:00,2,3,6,5,7,5,8,9,11,8,10,8,13,15,15,15,19,21,19,20,15,19,14,16,16,15,14,10,11,11,12,10,9,9,10,7,8,8,7,7,6,4,5,3,3,0,3,3,3,6,5,4,4,1,2,0,3,4,2,5,2,2,5,0,4,4,2,4,2,3,7,2,3,8,3,9,11,7,12,10,7,12,0,11,11,13,12,11,7,14,11,8,12,11,10,12,15,16,14,12,10,9,6,3,2,0
2022-03-05 08:00:00,2,4,10,12,13,13,16,18,17,17,19,18,14,15,13,15,14,18,16,17,19,23,24,24,22,19,18,17,15,13,12,11,11,13,16,9,17,12,11,9,8,7,10,10,8,2,9,9,8,9,5,5,3,1,3,3,9,14,12,8,7,9,11,7,10,6,5,10,2,8,6,8,7,9,10,12,12,11,9,8,12,17,10,16,16,16,15,15,16,15,13,13,13,12,12,14,15,14,13,11,9,8,6,7,6,0
2022-03-05 09:00:00,1,3,11,12,16,21,25,24,26,24,24,25,28,29,32,28,27,27,22,24,29,27,21,21,21,18,16,14,14,16,14,17,18,20,18,17,14,14,11,11,11,8,9,12,8,9,12,12,10,7,5,3,4,2,5,3,8,7,6,7,9,10,10,8,7,8,9,8,7,6,9,9,11,11,11,14,12,12,12,8,9,13,13,15,15,14,16,14,15,14,15,15,17,23,24,27,25,23,25,21,17,16,14,10,12,0
2022-03-05 10:00:00,7,5,10,12,14,17,26,26,24,21,21,21,19,18,17,18,16,20,16,17,20,23,19,23,19,18,16,14,16,16,14,11,11,12,9,11,10,11,7,8,11,11,10,11,7,6,6,8,5,6,5,4,2,3,7,3,9,11,13,12,10,8,7,7,8,8,7,10,9,9,10,10,12,8,13,18,16,12,11,12,13,19,20,20,18,21,20,21,19,19,17,19,21,15,18,15,20,18,19,17,13,12,12,10,8,3
2022-03-05 11:00:00,6,3,14,16,19,22,27,28,25,27,28,25,24,27,23,23,24,20,17,20,23,23,22,21,24,25,22,20,19,26,27,23,19,21,23,23,21,18,16,17,15,14,12,9,8,9,11,12,11,8,4,1,4,4,5,4,8,10,11,10,15,14,10,12,11,11,13,14,9,11,15,14,15,16,21,20,19,19,18,19,21,21,23,24,25,23,25,27,24,21,19,18,16,20,24,22,24,26,24,22,20,18,18,17,9,0
2022-03-05 12:00:00,2,5,7,12,10,15,18,22,28,18,20,18,19,15,20,24,15,19,20,23,23,25,25,27,26,20,19,15,22,29,36,37,39,17,35,31,28,26,22,23,17,14,15,11,9,10,9,13,10,10,5,4,4,3,4,7,9,9,12,12,17,17,19,16,10,11,13,13,11,10,13,12,13,15,13,16,14,19,15,15,19,22,21,21,19,21,18,18,15,22,21,20,16,21,20,19,20,20,18,17,16,14,15,12,12,0
2022-03-05 13:00:00,8,9,11,12,13,17,21,24,22,27,23,24,20,20,18,20,19,18,18,19,20,25,17,19,25,25,27,28,27,31,31,29,30,26,19,19,21,21,20,19,11,17,18,16,15,17,10,18,14,14,10,8,8,7,6,8,12,15,17,15,17,16,17,17,19,18,18,14,17,18,24,25,22,22,25,25,19,18,16,14,20,25,28,25,24,21,23,21,20,28,30,16,23,34,35,32,31,25,23,20,15,14,16,8,6,0
2022-03-05 14:00:00,11,13,13,14,17,20,27,28,27,26,17,17,16,16,17,15,16,16,17,16,16,18,25,23,22,18,17,21,22,25,24,23,24,16,26,14,25,24,22,21,22,18,20,22,19,12,14,14,13,12,8,7,3,4,8,8,13,14,18,18,19,17,18,16,17,18,18,17,16,19,22,20,18,16,17,18,19,17,18,20,27,31,31,26,28,23,23,26,27,28,29,31,30,27,26,23,21,20,27,25,23,24,23,18,10,1
2022-03-05 15:00:00,16,18,19,20,9,18,13,15,18,26,25,24,26,27,23,21,22,22,22,22,20,23,21,19,21,17,14,17,17,18,19,18,21,18,18,20,16,19,17,17,16,13,13,13,11,18,16,17,14,10,7,3,3,4,5,6,13,13,15,17,19,18,21,11,11,13,17,17,18,17,21,18,18,16,17,20,21,24,24,23,24,28,26,23,25,24,24,22,22,26,25,22,21,21,21,19,25,21,17,16,13,11,10,6,1,0
2022-03-05 16:00:00,7,8,9,12,16,13,13,12,13,18,21,25,24,23,23,26,27,25,26,28,28,26,25,28,26,24,27,21,22,23,20,18,15,14,15,16,16,19,18,18,16,15,19,18,11,19,16,17,18,15,10,7,5,6,5,9,11,18,16,19,16,19,22,23,18,16,17,18,17,15,18,20,17,18,17,16,15,16,17,24,28,29,30,29,29,25,22,22,22,22,19,17,19,16,11,10,16,11,13,13,12,11,9,5,3,0
2022-03-05 17:00:00,8,10,15,14,16,16,20,23,24,23,20,19,12,13,10,14,16,19,21,20,18,26,23,25,26,24,25,26,30,23,22,23,22,20,22,23,19,17,15,18,22,17,22,25,22,21,17,16,16,18,11,10,7,4,5,5,8,7,9,13,18,19,23,20,17,18,24,27,26,25,26,25,23,22,20,21,22,19,23,23,27,32,27,30,31,33,37,37,36,28,30,26,27,25,26,24,30,25,20,13,11,11,10,7,2,0
2022-03-05 18:00:00,6,1,7,5,7,7,18,18,21,22,23,23,22,23,20,16,15,18,26,26,26,21,16,16,17,13,16,18,18,19,17,19,19,15,16,15,16,14,17,19,23,17,14,15,13,11,12,16,18,12,10,4,4,4,6,7,11,6,6,6,11,10,12,11,17,11,18,16,16,17,17,15,16,15,14,18,20,19,19,20,28,32,28,28,27,26,25,22,21,24,24,21,20,26,26,24,28,21,19,13,13,12,11,6,2,0
2022-03-05 19:00:00,4,5,5,9,8,7,8,9,7,5,4,5,9,8,8,7,9,11,14,15,6,13,13,17,18,13,15,14,16,15,11,15,17,16,17,16,18,20,17,17,17,12,18,16,9,10,11,11,9,7,4,3,2,1,2,1,5,6,5,7,11,10,7,5,10,4,8,9,7,10,14,18,16,15,14,13,12,17,18,17,20,20,29,25,25,20,19,17,20,19,20,21,18,21,24,21,23,20,17,14,9,5,1,2,1,0
2022-03-05 20:00:00,2,1,4,3,4,2,7,6,6,7,8,9,8,4,4,5,7,8,11,10,10,12,13,13,13,11,8,10,8,11,10,9,9,11,9,10,16,17,12,9,11,10,11,10,9,7,7,5,7,7,6,4,3,2,2,3,4,6,4,6,5,4,9,8,11,8,9,14,8,9,13,14,15,12,11,12,14,12,14,10,14,16,16,15,12,16,15,14,16,16,14,20,21,15,13,12,14,11,13,11,11,9,8,2,0,0
2022-03-05 21:00:00,0,1,4,7,10,8,9,12,11,9,4,6,8,5,8,5,6,9,11,12,12,12,11,11,10,8,7,9,8,8,6,7,9,8,5,7,10,14,15,17,13,12,12,12,11,9,12,14,16,8,5,3,2,2,3,1,4,3,2,5,6,4,7,8,9,9,10,11,12,14,18,18,16,17,15,20,18,20,20,19,20,20,18,19,21,21,20,22,21,20,18,17,20,17,18,14,22,18,18,16,10,9,8,3,0,0
2022-03-05 22:00:00,1,1,2,2,3,0,4,4,5,9,2,1,8,2,8,7,9,10,5,11,10,11,12,15,11,9,7,4,5,6,5,6,5,4,4,2,5,8,6,6,7,6,10,12,10,5,9,8,4,7,6,5,7,2,4,3,10,13,13,12,8,6,6,8,7,7,7,9,6,12,15,16,16,7,13,16,14,18,19,20,19,18,16,14,15,16,15,15,13,19,18,18,17,16,17,13,13,13,9,12,11,5,9,4,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,1,0,2,4,0,5,0,4,7,0,7,0,9,14,0,12,9,4,10,6,6,8,7,10,3,10,3,10,14,15,15,17,13,16,15,15,12,11,10,7,5,4,4,6,3,1,0,6,8,1,6,3,0,4,3,7,7,7,8,8,15,25,22,19,5,17,16,15,16,17,16,18,17,16,15,19,25,22,21,20,20,18,17,13,22,19,18,33,25,19,13,11,8,7,3,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
