Unnamed: 0,1_대진여객차고지(가상),2_정릉산장아파트,3_정릉4동주민센터.경국사,4_북한산보국문역2번출구,5_성북청수도서관.정릉4동성당,6_정릉시장입구,7_정릉우체국앞,8_숭덕초교,9_정릉길음시장,10_미아리고개.미아리예술극장,11_돈암사거리.성신여대입구,12_삼선교.한성대학교,13_혜화동로터리.여운형활동터,14_명륜3가.성대입구,15_창경궁.서울대학교병원,16_원남동,17_종로4가.종묘,18_종로3가.탑골공원,19_종로2가,20_롯데백화점,21_신세계앞,22_남산3호터널,23_용산한신아파트,24_해방촌,25_용산구청.크라운호텔,26_한강중학교앞,27_반포대교남단한강시민공원입구,28_고속터미널,29_신반포자이아파트,30_잠원성당,31_잠원한신아파트,32_신동중학교,33_신반포13차아파트,34_롯데캐슬아파트,35_신사중학교,36_광림교회.현대고등학교,37_현대아파트,38_압구정파출소,39_한양아파트.압구정로데오역,40_청담초등학교앞,41_프리마호텔,42_영동교입구,43_청담역.경기고교,44_봉은사.삼성1파출소앞,45_무역센터,46_삼성역,47_휘문중고등학교,48_대치동현대아파트,49_농협대치지점,50_대치SKVIEW아파트.서울교회,51_대치역7번출구.선경아파트,52_개포동역.개포시장,53_경기여고,54_수도전기공고후문,55_개포도서관,56_개포주공1단지,57_개포중학교,58_래미안블레스티지아파트,59_개포도서관,60_수도전기공고후문,61_개포주공5단지경기여고,62_개포동역.개포시장,63_대치역6번출구.강남구민회관,64_은마아파트,65_은마파출소,66_대치현대아파트,67_휘문중고등학교,68_삼성역,69_삼성역7번출구,70_봉은사역3번출구.삼성1파출소,71_청담역.경기고교,72_우리은행청담지점.청담삼익아파트,73_프리마호텔,74_청담초등학교,75_한양아파트.압구정로데오역,76_압구정파출소,77_현대아파트,78_광림교회.현대고등학교,79_신사중학교,80_롯데캐슬아파트,81_신반포13차아파트,82_신동중학교,83_잠원한신아파트,84_잠원성당.아크로리버뷰아파트,85_뉴코아아울렛,86_고속터미널,87_반포대교남단한강시민공원입구,88_한강중학교,89_용산구청.크라운호텔,90_국군재정관리단,91_이태원동남산대림아파트.용산동아파트,92_용암초등학교입구.이태원주공아파트,93_남산3호터널.서울애니메이션센터,94_롯데영프라자,95_우리은행종로지점,96_종로2가,97_종로3가.탑골공원,98_종로4가.종묘,99_종로5가.광장시장,100_종로5가.효제동.김상옥의거터,101_방송통신대.이화장,102_혜화역.마로니에공원,103_혜화역.동성중고(장면총리가옥),104_삼선교.한성대학교.조소앙활동터,105_돈암사거리.성신여대입구,106_미아리고개.미아리예술극장,107_길음뉴타운,108_길음역,109_길음뉴타운10단지.라온유아파트,110_숭덕초교,111_정릉우체국앞,112_정릉시장입구,113_성북청수도서관.정릉4동성당,114_북한산보국문역1번출구,115_정릉4동주민센터.경국사,116_정릉대우아파트,117_대진여객차고지
2022-03-05 04:00:00,3,2,3,4,7,9,10,7,8,16,16,8,15,6,14,7,15,11,7,8,5,0,10,7,11,12,9,5,0,0,0,0,0,3,2,0,5,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,6,7,8,6,9,11,11,11,11,12,16,18,18,11,17,13,11,13,11,10,11,12,13,15,17,16,14,12,6,3,5,4,4,5,5,4,11,11,12,13,17,15,12,10,9,8,9,8,6,4,4,2,0,1,0,0,0,1,0,2,0,0,1,0,2,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,3,8,6,8,8,10,11,14,14,13,11,10,10,9,9,9,7,7,7,7,6,6,8,8,7,8,7,6,4,10,3,9,3,3,2,4,4,6,3,2,3,1,3,6,5,6,5,3,4,3,2,3,2,1,2,0,0,0,1,1,0,3,2,4,3,3,2,2,4,7,2,7,4,3,1,0,3,2,0,3,3,4,2,4,3,4,3,2,2,0,3,1,3,2,2,2,3,0,2,2,0,0,0,0,2,1,0,3,0,0,2,1,0,2,1,0,0
2022-03-05 07:00:00,5,14,13,9,10,11,13,16,17,15,14,13,10,9,12,13,11,12,7,7,5,7,7,12,11,13,11,5,4,3,2,5,4,4,5,3,6,7,8,6,5,4,5,5,4,5,4,7,3,2,2,5,3,1,2,2,0,2,2,1,2,3,3,4,6,6,7,6,6,5,3,5,4,3,2,3,3,2,2,1,1,2,2,3,5,6,5,7,8,7,9,11,10,5,6,3,4,1,5,0,6,6,4,3,3,3,1,4,2,4,3,2,2,2,3,0,0
2022-03-05 08:00:00,7,9,15,11,12,19,19,19,25,26,22,19,18,17,18,15,15,17,17,10,8,8,12,17,18,19,18,11,9,9,8,10,9,6,8,8,13,15,14,11,12,16,19,29,26,35,19,11,4,2,1,4,3,2,0,0,0,3,4,5,6,10,8,8,8,8,9,7,12,16,14,13,12,8,6,3,5,4,4,5,4,6,10,6,10,12,9,11,9,7,9,11,8,7,7,7,6,4,4,1,3,3,5,4,5,4,5,9,7,9,9,7,3,7,5,2,0
2022-03-05 09:00:00,9,12,12,12,14,14,19,23,22,20,19,21,21,21,19,19,16,13,14,12,11,9,13,19,22,28,26,11,11,10,9,10,12,13,11,12,21,22,26,15,11,11,11,16,14,17,12,9,6,3,2,2,0,0,0,0,0,4,7,9,9,16,14,15,14,15,18,14,13,14,11,11,7,6,7,6,5,4,3,4,6,8,15,16,14,13,13,11,12,13,18,20,17,11,10,7,7,7,7,6,7,5,5,6,4,5,6,11,11,9,9,9,7,10,3,8,0
2022-03-05 10:00:00,6,16,19,14,18,24,24,22,24,24,21,19,19,20,22,20,17,17,12,14,13,14,16,20,25,29,26,12,10,12,11,10,12,13,12,13,15,13,15,10,10,11,8,11,12,13,13,14,6,4,2,2,0,0,0,0,0,5,6,5,7,7,9,19,16,17,14,10,12,13,13,14,13,10,10,7,6,7,6,4,8,10,10,12,14,27,30,31,30,28,27,28,17,14,12,11,10,8,7,6,4,6,7,8,10,10,9,10,11,8,9,7,7,6,6,4,0
2022-03-05 11:00:00,8,19,20,16,17,25,27,26,31,28,26,26,25,25,22,21,19,21,19,23,25,23,17,23,22,21,19,13,11,10,10,10,12,13,12,10,15,16,14,10,12,11,10,14,13,11,9,8,6,5,4,3,0,1,0,1,0,8,12,13,12,20,21,21,24,19,19,11,11,9,10,10,10,11,12,11,9,10,11,11,13,14,16,20,21,27,28,27,31,27,30,29,24,22,21,17,16,17,17,15,13,7,7,7,8,10,9,11,13,11,12,14,14,15,14,9,0
2022-03-05 12:00:00,10,21,15,13,17,21,24,26,30,29,24,23,21,21,19,19,18,20,24,31,30,28,25,22,19,23,22,21,25,20,20,19,19,22,19,17,16,16,14,15,13,15,17,15,14,20,18,15,9,7,8,5,4,4,3,2,0,7,11,12,13,16,15,21,25,26,27,24,27,26,24,23,11,13,12,12,9,12,14,16,18,22,24,29,27,51,52,52,46,46,45,46,39,34,31,29,27,22,21,18,17,14,15,18,15,16,12,17,17,17,13,12,9,9,8,5,0
2022-03-05 13:00:00,9,14,12,13,17,21,24,27,37,31,27,27,23,21,21,24,22,23,22,29,26,28,27,27,32,38,34,17,21,20,17,17,19,15,17,15,15,15,13,13,16,14,11,15,13,17,15,11,9,8,6,5,3,3,2,1,0,11,12,13,14,15,16,16,16,20,27,13,12,9,7,11,11,12,11,10,16,18,17,16,14,15,16,20,28,52,54,52,43,39,43,45,38,29,27,26,27,25,27,26,18,21,24,20,20,21,17,20,17,18,14,11,9,7,2,5,0
