Unnamed: 0,1_월계동진아교통,2_월계역,3_월계사슴아파트3단지,4_인덕대학,5_월계주공108동앞롯데캐슬루나아파트,6_오현초등학교,7_북서울꿈의숲,8_장곡초교앞,9_하나은행장위동지점,10_장위동원천주유소,11_장위2동주민센터,12_돌곶이역,13_석관시장,14_석관동새마을금고,15_한국예술종합학교,16_의릉입구,17_이문동우체국,18_외대앞,19_경희중고,20_회기시장,21_회기동현대아파트,22_떡전교사거리.동대문노인복지관,23_청량리미주아파트.동대문세무서,24_청량리역환승센타,25_청량리.청과물도매시장,26_제기동역.서울약령시,27_서울시동부병원,28_동아제약앞,29_e편한세상청계센트럴포레아파트,30_텐즈힐아파트.청계벽산아파트,31_상왕십리역.센트라스아파트,32_상왕십리역,33_왕십리센트라스아파트,34_성동고등학교,35_신당동떡볶이타운.중구여성플라자,36_신당동.청구역,37_약수역2번출구.가온도서관,38_약수역5번출구.금호터널입구,39_금호역,40_압구정역4번출구,41_국민은행,42_강남을지병원,43_학동역,44_논현동고개,45_언주역2번출구.차병원사거리,46_차병원,47_역삼역,48_영동중앙교회,49_총지사,50_예림당아트홀.신한은행전산센터,51_역삼동개나리아파트,52_역삼e-편한세상이아파트,53_한티역,54_한티역7번출구,55_역삼중학교.강남세브란스병원,56_도곡1차아이파크.역삼청소년수련관,57_총지사,58_영동중앙교회,59_역삼역.GS타워,60_차병원,61_언주역3번출구,62_논현고개,63_학동역,64_강남을지병원,65_국민은행압구정지점,66_압구정역3번출구,67_금호역,68_약수역4번출구.금호터널입구,69_약수역3번출구.약수하이츠,70_신당동.청구역,71_신당동떡볶이타운.중구여성플라자,72_신당역.중앙시장앞,73_성동고등학교,74_신당파인힐하나유보라,75_뉴타운아파트,76_상왕십리역,77_청계벽산아파트.텐즈힐아파트,78_동아제약앞,79_서울시동부병원,80_제기동역.서울약령시,81_청량리수산시장,82_청량리역환승센터,83_서울성심병원,84_우산빌딩앞,85_회기시장,86_경희중고,87_외대앞,88_이문동교회,89_의릉입구,90_한국예술종합학교,91_석관동새마을금고,92_석관시장,93_돌곶이역,94_장위동원천주유소,95_하나은행장위동지점,96_장곡초교앞,97_북서울꿈의숲,98_북서울꿈의숲,99_장월초등학교,100_롯데캐슬루나아파트,101_인덕대앞,102_월계사슴아파트2단지,103_월계역,104_월계동진아교통
2022-03-05 04:00:00,1,0,3,4,3,5,6,5,5,6,7,8,9,8,10,11,8,8,12,13,13,14,14,13,11,16,17,16,0,15,0,16,12,13,16,18,7,21,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,3,4,6,7,4,6,8,9,5,4,5,8,8,9,7,4,9,8,7,9,7,8,7,7,8,7,5,7,8,10,8,10,13,10,11,11,9,20,18,20,16,14,12,10,7,6,2,0,5,5,0,5,4,2,5,4,5,4,5,3,6,5,6,8,9,11,13,16,16,14,2,15,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,3,2,2,4,6,7,8,11,11,8,7,8,6,7,6,8,9,9,9,10,11,10,9,6,8,7,10,11,9,8,10,8,9,10,12,16,22,15,17,17,12,10,9,9,8,5,1,2,1,2,1,0,2,3,3,5,6,8,6,8,7,10,2,3,1,4,3,7,10,10,5,2,0,0,5,6,17,16,14,5,10,2,9,8,6,4,3,0,4,5,4,7,3,6,3,2,1,2,0,0,0,0,0
2022-03-05 07:00:00,1,2,2,2,4,6,10,12,14,15,13,12,7,12,11,13,15,16,16,16,14,17,10,15,10,10,9,9,10,10,8,7,5,8,8,9,8,15,15,20,22,11,22,17,14,13,5,5,3,4,1,3,2,2,3,5,5,6,7,7,6,8,6,8,7,6,5,5,7,4,6,6,5,5,4,5,9,6,5,8,7,6,8,3,8,0,3,0,7,10,9,8,5,0,4,5,4,3,3,3,1,1,2,0
2022-03-05 08:00:00,2,6,6,5,10,13,16,20,25,25,14,9,10,11,13,16,17,19,19,20,25,27,29,19,16,18,20,20,19,22,17,13,14,16,15,20,18,18,18,21,21,9,13,10,12,9,8,7,4,5,5,3,3,9,8,7,15,16,15,15,18,16,22,18,15,11,8,9,10,10,11,10,8,7,6,7,9,11,10,9,6,6,7,6,6,6,5,4,6,8,9,7,8,6,5,3,3,4,6,5,4,4,4,0
2022-03-05 09:00:00,1,3,5,6,8,13,16,22,26,29,22,21,17,16,14,17,15,18,19,22,21,20,13,14,13,15,18,20,24,25,22,22,19,22,22,21,18,18,19,18,16,19,25,23,17,11,10,8,6,5,5,4,3,6,5,6,9,7,12,14,19,22,26,24,12,8,7,8,12,12,14,9,8,10,6,11,12,11,9,9,10,10,12,10,13,6,7,5,11,14,13,11,18,16,14,4,10,6,4,4,2,3,8,0
2022-03-05 10:00:00,4,4,3,5,9,14,16,17,20,19,16,14,14,14,16,18,17,23,26,25,23,23,23,23,19,16,16,16,17,19,14,16,14,14,18,22,21,16,16,15,14,14,17,17,15,13,12,9,9,5,6,5,3,6,6,7,17,20,26,24,25,24,26,19,19,11,13,10,20,19,21,17,16,10,10,14,15,13,11,10,10,10,9,8,8,7,7,8,7,8,7,6,6,8,5,5,4,5,6,7,5,3,5,0
2022-03-05 11:00:00,3,3,6,6,9,11,12,15,18,23,19,15,15,18,24,15,26,27,27,28,31,27,23,16,23,24,23,23,22,19,17,14,13,18,18,14,19,17,18,22,24,26,31,28,22,15,11,12,9,8,8,8,6,7,10,10,12,14,23,28,30,31,29,24,20,19,18,16,13,15,12,13,13,15,15,17,19,20,18,15,15,13,14,9,14,8,14,7,14,10,9,10,12,10,8,6,3,6,4,4,5,4,5,0
2022-03-05 12:00:00,5,2,8,9,6,9,11,15,19,23,18,15,15,16,21,22,21,22,21,21,22,20,21,18,21,23,22,20,20,22,17,13,13,20,18,16,16,15,16,15,21,21,20,22,22,20,15,10,10,7,8,6,5,3,9,16,27,27,32,32,37,35,35,31,26,26,27,14,17,19,18,16,18,18,17,20,11,10,11,10,16,15,15,15,16,15,13,12,13,18,16,18,22,19,14,10,9,11,13,15,10,9,10,0
2022-03-05 13:00:00,7,7,8,6,5,8,12,16,21,20,16,21,20,19,21,27,29,25,26,27,27,22,23,21,22,23,25,25,25,22,18,14,11,18,21,21,18,19,18,15,18,19,24,22,28,24,13,10,11,9,10,8,6,9,9,15,19,16,18,19,23,21,23,23,21,13,13,24,27,25,30,21,20,19,18,17,18,15,13,14,16,17,21,14,19,15,13,12,13,12,11,13,16,15,12,9,8,7,8,7,4,6,5,0
