Unnamed: 0,1_도봉산역광역환승센터,2_도봉산역,3_도봉한신아파트,4_서울북부지방법원.검찰청.도봉역성황당,5_신도봉사거리,6_신도봉시장.도봉구청.방학북부역,7_도봉소방서.방학남부역,8_도봉보건소,9_도봉구민회관.도봉문화원(중),10_쌍문역,11_우이1교앞,12_수유3동우체국,13_수유(강북구청)역,14_수유역,15_수유시장.성신여대미아캠퍼스앞,16_미아역.신일중고,17_도봉세무서.성북시장,18_미아사거리역,19_월곡뉴타운,20_길음뉴타운,21_미아리고개.미아리예술극장,22_돈암사거리.성신여대입구,23_삼선교.한성대학교,24_혜화동로터리.여운형활동터,25_명륜3가.성대입구,26_창경궁.서울대학교병원,27_원남동,28_종로4가.종묘,29_종로3가.탑골공원,30_종로2가,31_종로1가,32_광화문,33_서울역사박물관.경희궁앞,34_경찰청.동북아역사재단,35_서울역버스환승센터,36_갈월동,37_숙대입구역,38_삼각지역,39_KT용산지사,40_신용산역,41_한강대교북단.LG유플러스,42_노들섬,43_노들역,44_노량진역,45_노량진수산시장.CTS기독교TV,46_현대아파트.유한양행,47_대방역1번출구앞,48_공군호텔,49_서울지방병무청,50_보라매역.동작세무서,51_보라매공원,52_경남아너스빌아파트,53_강남성심병원.대림성모병원,54_서울영림초등학교,55_구로디지털단지역,56_문성초등학교,57_금천우체국,58_말미고개.금천소방서,59_금천구청.금천경찰서,60_시흥사거리.시흥대교,61_독산한신아파트,62_금하마을,63_시흥대교,64_금천구청.금천경찰서,65_말미고개.금천소방서,66_금천우체국,67_문성초등학교,68_구로디지털단지역,69_동작상떼빌아파트,70_신대방경남아파트,71_신대방현대아파트,72_보라매공원,73_보라매역.동작세무서,74_강남중학교,75_서울지방병무청앞,76_공군호텔,77_대방역,78_현대아파트,79_노량진수산시장.CTS기독교TV,80_노량진역,81_노들역,82_노들섬,83_한강대교북단.LG유플러스,84_신용산역,85_KT용산지사,86_삼각지역,87_숙대입구역,88_갈월동,89_서울역버스환승센터.강우규의거터,90_시청앞,91_서울신문사,92_종로1가,93_종로2가,94_종로3가.탑골공원,95_종로4가.종묘,96_종로5가.광장시장,97_종로5가.효제초등학교,98_종로5가.효제동.김상옥의거터,99_방송통신대.이화장,100_혜화역.마로니에공원,101_혜화역.동성중고(장면총리가옥),102_삼선교.한성대학교.조소앙활동터,103_돈암사거리.성신여대입구,104_미아리고개.미아리예술극장,105_길음뉴타운,106_월곡뉴타운,107_미아사거리역,108_도봉세무서.성북시장,109_미아역.신일중고,110_수유시장.성신여대미아캠퍼스앞,111_수유역.강북구청,112_수유3동우체국,113_우이1교앞,114_쌍문역,115_도봉구민회관.도봉문화원(중),116_도봉보건소.북한산아이파크아파트,117_도봉소방서.방학남부역,118_신도봉시장.도봉구청.방학북부역,119_신도봉사거리,120_서울북부지방법원.검찰청.도봉역성황당,121_도봉한신아파트,122_도봉산역,123_도봉산역광역환승센터
2022-03-05 04:00:00,2,0,2,3,5,5,7,10,9,11,12,15,15,13,19,20,20,15,15,14,13,12,13,10,13,0,12,12,13,14,12,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,1,5,2,7,5,8,6,7,8,9,12,6,16,18,13,12,19,0,21,20,15,16,16,10,11,14,13,0,14,7,7,13,8,8,9,9,8,7,0,0,8,8,8,10,7,10,11,11,9,10,8,7,9,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,6,4,4,2,3,6,7,7,4,4,5,3,4,5,5,4,6,5,3,6,4,6,5,5,0,2,5,4,3,4,3,1,2,3,0,4,0,2,2,3,0,5,4,7,9,11,12,5,15,10,11,8,8,9,8,6,4,1,1,2,3,3,7,7,9,11,8,0,7,10,9,10,9,0,10,10,9,10,5,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,6,7,9,9,10,12,16,17,15,12,15,11,9,8,7,7,6,7,9,11,12,9,7,8,1,8,6,5,4,2,3,2,2,5,2,6,7,5,6,5,5,8,9,13,8,15,14,14,10,11,10,9,10,11,9,2,0,3,0,5,8,9,13,13,9,11,17,16,11,16,16,15,17,17,19,16,13,11,10,12,11,10,9,8,7,4,5,5,5,3,4,3,2,2,0,3,0,3,3,3,5,6,5,6,4,7,5,5,5,13,15,15,14,13,14,0,0,0,0,0,0,0
2022-03-05 08:00:00,3,8,8,9,6,12,19,21,22,18,17,15,13,15,16,13,13,16,17,18,20,15,17,15,17,18,14,12,7,6,6,4,5,5,5,6,8,8,7,8,7,0,7,9,13,10,15,14,16,17,15,14,12,13,14,10,9,6,5,2,4,9,7,14,18,21,23,19,12,19,25,24,21,23,25,25,20,18,13,13,15,5,15,10,9,11,10,8,10,10,8,8,9,7,8,10,9,4,0,4,6,6,7,6,10,11,13,13,15,19,20,21,22,26,18,15,13,13,10,11,7,1,0
2022-03-05 09:00:00,2,8,8,11,11,13,16,17,21,17,23,22,17,13,16,18,17,19,16,18,16,15,13,14,15,15,14,12,11,10,9,7,6,10,6,8,7,12,9,12,11,10,11,10,12,13,12,12,14,13,11,15,14,12,12,10,7,5,4,1,4,6,6,13,16,21,24,16,18,22,28,28,30,35,37,36,30,28,24,23,22,19,19,17,16,15,13,16,16,15,14,12,11,10,8,8,7,8,7,9,6,9,9,10,14,11,11,6,10,4,6,4,3,8,10,8,8,7,6,4,3,1,0
2022-03-05 10:00:00,1,6,9,12,0,15,16,18,20,15,21,21,24,23,24,23,20,24,23,24,23,23,24,24,25,21,18,17,13,12,11,10,11,12,10,6,6,12,11,11,11,0,11,11,17,17,22,21,17,19,16,13,9,10,11,8,8,6,5,2,2,4,8,11,13,21,24,18,18,21,24,27,26,27,31,38,25,21,24,25,27,0,25,22,19,20,21,16,24,23,13,14,12,9,8,11,12,11,5,8,7,6,7,9,5,8,10,9,7,9,12,10,10,9,11,10,9,7,6,5,4,2,0
2022-03-05 11:00:00,1,4,7,6,9,16,17,23,23,16,21,19,16,19,20,22,13,22,19,21,18,20,20,23,23,26,24,18,13,16,8,14,6,15,10,9,19,10,13,14,13,11,11,11,21,24,25,25,21,18,16,17,20,16,18,13,6,4,3,2,3,6,6,19,20,30,32,19,21,25,27,24,24,26,21,27,24,23,19,20,21,20,20,18,17,15,18,17,18,20,21,20,18,19,20,16,15,15,15,13,14,14,16,22,17,17,17,14,17,19,26,26,22,25,26,23,20,16,10,13,6,2,0
2022-03-05 12:00:00,3,7,6,9,10,13,18,20,23,22,25,22,23,21,20,20,21,27,24,22,17,22,24,25,18,19,25,22,12,10,7,10,8,9,10,6,11,8,18,16,17,16,10,16,14,16,15,15,13,20,16,15,17,12,10,9,9,8,4,2,4,7,7,16,20,28,29,20,18,22,29,29,31,35,35,33,31,30,29,31,32,35,30,26,26,24,26,28,31,30,28,23,18,15,13,11,12,15,14,13,15,14,15,17,15,14,18,20,17,19,19,18,17,22,23,21,19,19,14,11,5,3,0
2022-03-05 13:00:00,2,11,17,20,21,19,21,23,23,20,23,20,21,22,25,24,23,27,30,31,30,27,24,26,26,21,22,21,24,23,22,17,14,11,12,11,11,16,17,15,16,14,17,14,22,22,26,25,16,15,11,16,13,11,10,9,7,6,5,6,3,6,8,13,15,22,22,19,19,24,33,32,35,37,36,40,39,37,33,34,32,31,30,31,28,22,26,29,30,28,24,19,17,18,15,14,8,13,13,10,14,15,13,6,12,10,9,10,11,10,6,7,5,8,10,12,15,14,12,6,3,2,0
2022-03-05 14:00:00,6,12,16,17,17,20,26,24,24,19,18,14,19,22,26,23,25,12,18,19,23,22,19,20,21,21,21,23,21,23,22,18,15,16,18,20,22,14,23,22,13,21,15,14,17,18,18,25,23,19,15,15,12,8,14,10,11,9,6,4,2,4,4,9,12,12,14,19,21,25,31,33,34,37,37,34,29,30,25,24,27,22,26,25,25,31,34,34,33,21,30,34,34,37,36,30,21,28,27,24,26,24,23,24,24,28,33,29,30,28,28,26,22,25,24,25,24,23,22,21,7,1,0
2022-03-05 15:00:00,4,11,4,13,10,16,15,23,19,18,23,23,32,30,25,22,20,27,25,22,20,23,19,24,26,24,21,20,17,19,19,20,19,20,21,20,24,25,24,24,24,24,23,22,26,25,29,26,24,24,24,25,21,20,23,20,15,14,10,4,3,2,4,8,10,16,18,19,22,21,18,16,23,22,26,26,22,23,22,24,24,19,25,18,19,18,25,23,21,20,20,22,25,27,28,30,32,0,31,25,24,21,29,25,24,22,19,17,19,24,29,28,27,17,16,15,13,12,9,8,4,2,0
2022-03-05 16:00:00,0,14,19,25,25,24,23,21,20,23,28,27,24,22,19,16,17,19,20,20,21,16,21,24,24,15,25,20,19,18,17,18,20,19,18,18,21,24,23,23,22,23,26,26,33,20,35,29,19,23,25,24,21,16,20,15,13,10,6,7,3,5,6,9,9,14,17,15,16,16,17,17,19,19,19,18,17,15,18,21,22,23,25,19,20,21,16,20,19,23,26,22,26,23,26,25,26,23,21,19,25,24,26,30,33,31,23,21,22,27,26,24,21,26,23,21,22,23,18,9,7,3,0
2022-03-05 17:00:00,1,10,11,14,11,18,25,25,27,22,25,25,21,19,19,18,17,16,17,19,18,17,18,17,23,25,27,23,20,20,22,31,33,31,30,17,23,25,24,28,29,26,23,20,22,20,26,24,25,21,20,19,19,16,25,23,22,13,8,5,2,4,4,14,19,25,25,20,22,25,27,24,23,19,20,22,18,17,17,15,15,17,16,16,18,16,15,16,15,17,18,24,28,29,31,33,37,33,35,31,32,33,33,34,37,40,36,29,26,23,18,17,18,16,14,16,13,10,9,5,5,2,0
2022-03-05 18:00:00,2,8,12,16,18,21,23,19,18,12,13,11,10,12,11,12,12,12,20,14,14,14,15,17,20,15,14,20,22,26,25,24,27,24,23,21,21,27,28,34,25,23,21,20,22,21,26,24,24,23,16,16,12,18,28,25,21,20,10,6,2,3,5,6,10,17,17,12,13,15,17,18,16,22,25,27,26,27,28,29,28,29,26,24,19,18,13,19,16,19,18,16,18,25,23,25,26,20,24,23,26,28,31,31,27,28,23,23,21,23,29,23,21,31,29,26,20,15,11,9,5,3,0
2022-03-05 19:00:00,0,3,3,4,2,9,15,19,18,21,17,14,11,10,9,9,9,8,6,6,5,4,11,10,10,0,7,10,15,17,15,15,14,17,16,19,19,18,17,22,33,26,31,29,31,21,37,26,32,26,21,21,18,16,14,15,12,10,9,3,1,2,1,7,8,12,10,12,12,11,11,12,12,11,12,11,9,8,7,10,10,11,8,10,10,8,11,9,12,10,12,15,20,23,25,27,28,29,28,29,14,26,28,30,29,27,22,20,20,22,22,20,19,14,12,13,11,12,11,9,4,3,0
2022-03-05 20:00:00,1,5,13,12,17,21,18,20,20,19,16,13,8,9,9,4,8,10,11,6,5,5,5,5,8,6,7,7,8,8,13,18,21,21,17,14,13,15,15,19,22,21,23,27,21,10,30,20,25,25,21,17,14,12,12,11,7,6,5,3,1,1,1,8,2,13,14,12,13,12,10,9,11,11,13,6,11,9,7,7,10,9,13,12,10,10,10,0,9,10,10,15,18,29,28,29,28,14,21,20,27,26,23,21,18,19,19,15,18,17,21,19,17,18,11,10,7,7,7,5,4,2,0
2022-03-05 21:00:00,0,4,3,2,3,4,9,9,9,14,9,13,6,5,6,6,6,8,7,9,6,6,5,10,10,9,7,8,10,10,12,16,5,15,14,13,15,18,19,23,24,14,21,20,19,19,25,25,20,21,23,21,16,22,24,19,16,9,7,4,2,2,1,2,3,6,7,13,10,11,9,9,11,8,6,8,7,4,8,8,5,5,5,7,6,6,5,6,6,8,9,11,15,25,27,16,25,24,25,22,27,28,26,25,25,22,20,8,18,15,14,11,10,9,17,14,11,9,7,6,4,3,0
2022-03-05 22:00:00,0,3,5,8,0,10,15,17,15,15,0,16,15,14,12,11,10,9,6,9,6,7,6,6,9,4,8,7,9,10,10,9,10,16,16,16,13,19,20,23,24,0,24,23,22,21,22,21,20,21,19,18,14,13,20,15,13,10,7,4,0,1,2,6,0,2,8,10,9,10,6,7,4,12,8,7,6,4,5,7,4,4,9,8,9,8,6,8,7,8,9,11,16,23,24,25,24,23,24,20,25,22,34,32,28,27,18,13,16,9,14,13,12,10,9,9,7,3,6,4,3,2,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,10,15,18,21,19,19,24,27,26,26,24,21,22,15,11,10,9,14,13,13,11,5,5,1,1,3,5,4,4,5,8,3,6,4,9,9,5,9,10,7,7,8,7,0,7,6,8,6,7,7,7,11,12,4,10,23,24,25,22,24,21,26,15,27,28,28,30,31,28,23,19,15,15,25,20,19,15,12,9,8,6,5,4,2,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,2,6,7,2,10,4,6,11,12,13,0,12,11,9,8,5,2,7,8,0,0,7,0,0,6,6,0,3,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,2,4,5,5,2,8,10,10,9,10,8,9,0,10,0,2,8,3,3,0,5,5,4,3,6,0,0,0,7,6,4,3,1,5,3,1,4,1,3,5,0,7,6,5,6,0,7,6,5,5,6,3,3,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,2,0,0,2,2,5,0,6,7,0,3,7,0,7,7,0,2,3,5,7,6,8,9,7,6,0,5,3,5,1,4,3,2,1,1,2,0,0,0,2,0,2,1,3,2,4,0,3,0,1,1,3,4,4,5,0,4,3,2,2,2,0,4,2,5,4,5,0,6,5,7,0,6,5,6,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,5,3,4,5,2,4,5,0,4,6,5,4,3,4,0,0,4,4,6,0,0,7,0,5,6,0,2,4,7,6,7,4,1,5,0,3,4,3,4,5,0,3,4,3,7,3,3,4,4,5,4,0,3,2,0,1,0,1,0,4,5,6,11,5,6,7,6,7,8,12,13,13,15,15,17,14,13,11,7,0,6,6,2,5,5,6,7,1,6,0,3,2,4,0,5,4,0,0,4,3,4,0,0,2,0,1,1,0,2,0,3,4,0,0,0,0,0,0,0,0,1,0
2022-03-06 08:00:00,1,3,7,5,8,9,12,13,11,9,9,9,10,9,11,13,5,14,14,15,16,16,16,17,16,15,15,16,14,12,8,7,6,3,4,6,0,2,1,7,8,0,9,6,2,5,5,7,7,10,8,9,11,10,9,9,6,5,3,1,4,4,5,9,15,20,21,18,19,17,20,21,23,17,14,21,16,13,12,10,11,0,12,9,9,8,6,8,7,4,2,3,0,0,3,3,0,2,0,1,0,3,2,4,5,6,5,0,3,0,8,2,9,14,12,13,9,8,2,1,6,0,0
2022-03-06 09:00:00,0,4,5,8,3,8,11,6,10,8,14,12,11,12,13,14,16,17,15,16,18,16,16,18,22,24,23,20,13,8,8,4,3,5,6,0,6,7,7,7,3,8,11,9,7,8,10,8,8,12,14,14,11,11,11,9,6,5,3,2,0,4,6,15,18,23,28,20,23,26,29,31,30,28,27,28,26,26,27,27,25,0,26,19,18,16,14,12,13,12,10,9,11,9,6,5,4,0,0,0,5,0,4,6,6,5,6,8,10,10,14,14,13,12,8,7,7,7,7,6,5,0,0
2022-03-06 10:00:00,2,8,10,11,13,15,16,14,13,11,14,7,12,6,10,9,7,11,8,13,14,14,15,14,13,6,14,8,9,8,7,6,6,7,7,6,4,8,4,8,7,4,7,7,7,10,9,8,6,8,7,7,8,6,5,5,3,3,1,1,2,3,6,14,16,17,17,14,15,16,21,24,22,21,24,25,24,26,22,25,26,25,13,12,10,11,13,13,14,13,10,10,7,9,7,7,7,0,8,7,5,8,14,17,20,16,15,15,10,13,13,14,15,22,22,20,21,19,17,6,5,0,0
2022-03-06 11:00:00,2,9,11,10,11,12,12,14,14,13,11,15,12,0,15,17,17,19,20,21,22,23,23,19,20,14,16,16,9,7,8,8,10,3,9,9,0,7,6,11,12,10,4,8,12,6,15,8,7,5,4,3,5,7,7,6,4,4,3,1,2,4,5,8,10,13,16,16,17,17,25,26,25,25,24,30,28,15,27,24,16,13,19,16,16,15,14,17,9,15,14,9,14,12,9,9,9,7,6,9,9,8,6,8,11,10,12,14,17,10,11,11,12,14,15,20,20,7,20,19,17,3,0
2022-03-06 12:00:00,1,5,0,6,6,10,27,28,29,25,22,22,21,21,20,19,17,21,20,17,16,16,16,15,16,15,16,13,12,11,9,10,13,13,9,7,9,11,12,10,0,9,9,9,18,0,23,26,27,21,21,18,9,10,8,7,5,7,0,2,2,4,7,14,16,18,23,14,9,15,20,24,12,19,20,21,19,17,19,20,16,23,22,22,20,21,21,22,23,20,21,20,24,20,20,14,19,16,11,7,6,11,12,15,17,14,10,10,6,16,14,13,14,18,23,21,15,14,11,12,9,2,0
2022-03-06 13:00:00,3,11,22,30,31,37,35,34,33,31,28,24,18,21,19,22,21,18,20,20,23,26,23,21,22,21,23,20,16,15,12,14,13,12,9,9,12,12,8,15,17,11,9,15,15,15,19,19,20,17,13,17,14,12,9,9,4,2,1,1,2,4,8,12,16,16,19,17,18,21,16,26,25,28,30,35,32,36,35,44,40,38,36,31,29,26,23,21,25,23,21,23,25,24,23,19,17,16,18,21,23,17,16,18,17,17,17,14,17,22,18,18,16,19,18,22,24,22,22,23,16,4,0
2022-03-06 14:00:00,1,10,14,16,16,20,21,25,20,20,22,20,23,20,21,21,22,26,30,29,30,30,25,23,24,26,27,23,20,24,23,18,19,11,23,24,21,21,20,20,21,18,21,20,22,15,17,17,17,17,18,12,11,8,6,6,8,9,8,4,0,2,5,10,9,12,14,14,15,25,31,28,25,30,32,30,19,18,16,18,0,16,18,22,21,22,22,23,22,22,19,24,22,18,17,16,19,0,17,15,14,13,15,16,16,15,17,18,13,12,12,11,5,10,9,12,12,10,12,10,7,1,0
2022-03-06 15:00:00,3,13,16,17,19,26,30,32,29,21,20,19,18,13,17,13,10,19,18,18,21,17,18,19,21,22,22,18,18,23,23,24,25,19,17,21,19,21,17,24,20,21,20,15,15,24,27,24,27,29,27,26,24,24,28,22,11,10,7,4,4,5,6,7,10,10,10,7,3,11,12,11,13,14,16,13,12,13,12,13,14,13,15,19,12,9,13,12,6,11,14,15,18,16,17,18,12,9,17,18,19,23,21,19,20,19,16,17,15,18,20,18,16,22,20,18,14,13,12,10,7,2,0
2022-03-06 16:00:00,11,8,9,11,13,13,16,22,21,19,22,22,19,16,14,15,13,12,15,13,9,13,16,15,18,20,21,22,24,23,24,26,29,28,27,25,26,33,17,21,31,24,21,24,24,23,26,24,22,21,21,19,14,13,15,13,15,13,10,7,2,4,4,6,7,12,13,13,14,16,13,23,25,25,27,31,29,27,21,17,18,16,15,14,16,14,15,11,17,14,14,22,24,22,23,23,18,7,22,20,14,18,19,16,19,20,19,16,7,12,12,13,13,15,13,10,12,6,13,11,8,5,0
2022-03-06 17:00:00,14,10,14,16,20,21,24,24,23,19,24,18,20,23,20,22,19,21,20,20,21,17,12,15,18,15,14,17,17,15,13,14,16,16,16,22,24,26,26,25,26,28,26,23,27,26,30,31,25,21,20,15,13,14,12,11,8,7,6,7,4,6,6,8,9,13,14,14,11,10,10,11,12,17,16,17,14,16,14,15,16,12,19,15,14,13,15,14,14,14,18,19,18,28,30,33,35,34,32,25,23,24,24,19,15,19,18,16,18,16,20,19,16,15,15,14,10,9,7,5,3,2,0
2022-03-06 18:00:00,15,14,17,21,21,26,28,30,30,28,23,22,14,12,14,14,15,11,11,8,6,7,6,4,10,11,4,13,13,12,15,19,20,18,22,22,28,25,21,30,21,26,28,27,31,30,32,29,28,19,16,14,10,11,24,24,17,12,3,5,2,2,4,6,6,14,14,18,17,18,18,17,16,17,14,17,14,11,11,12,11,10,12,13,4,14,12,6,8,5,11,10,9,14,15,17,16,16,0,16,17,18,22,20,17,19,18,18,20,19,18,19,14,18,10,17,15,9,4,4,3,1,0
2022-03-06 19:00:00,0,6,7,9,10,12,13,14,14,13,11,11,8,5,7,7,7,4,10,9,4,6,5,0,6,11,13,14,10,10,8,16,16,17,16,17,18,21,22,22,13,22,20,27,28,27,27,27,25,22,18,16,15,14,12,11,19,15,11,6,2,3,4,5,7,8,9,9,11,0,11,12,15,18,17,17,15,14,10,11,7,9,10,11,11,8,10,5,10,10,11,14,16,21,13,25,13,24,23,23,27,27,25,24,22,23,26,25,23,20,14,17,13,22,19,16,16,14,12,11,6,4,0
2022-03-06 20:00:00,3,6,8,12,11,13,14,16,17,13,10,9,8,9,8,7,6,7,9,11,10,7,9,8,11,0,0,9,5,14,16,18,19,10,21,20,22,22,25,27,25,0,17,15,14,14,20,19,12,16,15,12,8,7,10,7,7,7,6,5,2,1,4,4,5,9,10,13,12,14,13,11,13,11,12,14,9,10,9,8,9,6,7,8,6,6,8,9,13,14,14,15,12,18,15,17,19,18,17,19,20,17,21,20,18,19,26,25,15,22,17,17,19,24,22,19,12,13,11,9,6,3,0
2022-03-06 21:00:00,1,8,6,9,7,8,13,12,7,2,5,7,7,6,0,5,6,4,1,2,0,3,3,8,8,10,0,9,11,16,16,16,13,19,18,10,16,16,15,19,26,25,22,20,22,18,21,22,21,20,15,11,9,8,10,6,7,5,4,2,1,1,1,3,5,4,5,8,6,6,11,10,4,13,12,13,11,7,13,13,12,12,14,17,16,15,14,13,13,11,19,17,18,18,18,20,18,0,21,22,24,22,28,28,27,26,23,12,19,21,25,26,20,21,20,12,7,6,3,4,3,1,0
2022-03-06 22:00:00,0,4,5,7,5,4,6,11,12,13,14,11,9,9,7,8,7,7,9,8,5,5,4,3,8,0,0,4,11,11,12,13,6,14,13,12,12,15,17,17,17,16,15,16,17,18,19,15,12,16,14,15,11,10,15,13,12,10,7,5,1,1,0,3,4,3,8,4,0,9,11,0,10,9,2,8,4,7,2,9,9,0,8,7,5,8,8,8,9,9,9,15,22,22,15,22,11,21,20,18,20,20,25,23,20,19,19,18,14,13,12,10,8,8,6,4,4,3,2,2,1,0,0
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,16,17,16,10,17,0,16,12,17,0,23,17,12,10,7,6,3,0,5,4,3,2,1,1,0,0,3,0,0,4,4,9,0,8,7,6,4,5,0,4,3,3,3,5,5,4,3,6,7,4,5,0,6,5,6,6,11,20,0,0,0,19,10,17,16,14,14,13,11,6,16,13,12,9,9,6,5,13,12,8,11,9,5,3,2,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
