Unnamed: 0,1_수유중학교혜화여고,2_서울정인학교,3_구세군강북종합사회복지관입구,4_미양중고등학교.팔팔·미송경로당,5_삼각산동SK아파트북한산시티미양초등학교,6_두산위브아파트입구,7_동북프라자,8_삼양동사거리,9_송천초등학교.미아뉴타운입구,10_미아초교,11_길음동동부아파트,12_길음뉴타운,13_미아리고개.미아리예술극장,14_돈암사거리.성신여대입구,15_삼선동주민센터,16_성북구청.성북경찰서,17_보문역,18_보문동성당,19_보문동주민센터,20_신설동로터리,21_동묘앞,22_동대문(흥인지문),23_종로6가.동대문종합시장,24_방산종합시장,25_을지로5가,26_을지로4가,27_을지로3가,28_을지로2가.기업은행본점.서울노동청,29_롯데백화점,30_북창동.남대문시장,31_숭례문(가상),32_숭례문,33_서울역버스환승센터,34_갈월동,35_숙대입구역,36_삼각지역,37_KT용산지사,38_신용산역,39_한강대교북단.LG유플러스,40_노들섬,41_노들역,42_사육신공원,43_노량진역,44_동작구청.노량진초등학교앞,45_장성교회,46_장승배기역,47_상도초등학교입구,48_성대시장,49_신대방삼거리,50_보라매병원입구,51_롯데백화점관악점,52_패션문화의거리입구,53_신림사거리,54_서원동승리교앞,55_서원동문화교앞,56_서림동주민센터.신화단지,57_삼성동시장,58_삼성동주민센터,59_미림고개,60_미림여고.미림여자정보과학고,61_신우초등학교,62_삼성산성지,63_산장아파트,64_삼성산주공아파트,65_산복터널.관악산휴먼시아2단지,66_벽산아파트1단지.호압사입구,67_벽산아파트5단지,68_경인교육대학교,69_벽산아파트5단지,70_벽산아파트1단지.호압사입구,71_산복터널.관악산휴먼시아2단지,72_삼성산주공아파트,73_산장아파트,74_삼성산성지,75_신우초등학교,76_미림여고.미림여자정보과학고,77_미림고개.고시촌입구,78_관악농협신림지점앞,79_영광메디컬센터,80_쑥고개입구,81_서원동문화교앞,82_신림역2번출구,83_패션문화의거리입구,84_보라매공원.보라매병원,85_보라매삼성아파트.모자원고개,86_신대방삼거리,87_성대시장,88_상도초등학교입구,89_청화병원,90_동작구청.노량진초등학교앞,91_노량진역,92_노들역,93_노들섬,94_한강대교북단.LG유플러스,95_신용산역,96_KT용산지사,97_삼각지역,98_숙대입구역,99_갈월동,100_서울역버스환승센터.강우규의거터,101_남대문시장앞.이회영활동터,102_롯데영프라자,103_을지로입구.로얄호텔,104_을지로2가.파인에빈뉴,105_을지로3가,106_을지로4가.베스트웨스턴국도,107_을지로5가.중부시장,108_을지로6가.국립중앙의료원,109_동대문역사문화공원,110_동대문역.흥인지문,111_동묘앞,112_신설동역1번출구,113_보문동주민센터,114_보문동성당,115_보문역,116_성북구청.성북경찰서,117_삼선동주민센터,118_돈암사거리.성신여대입구,119_미아리고개.미아리예술극장,120_돈암동삼성아파트입구,121_길음동동부아파트,122_미아초교,123_송천초등학교.미아뉴타운입구,124_삼양동사거리,125_동북시장,126_두산위브아파트입구,127_삼양동벽산라이브파크미양초등학교,128_미양중고등학교.팔팔·미송경로당,129_구세군강북종합사회복지관입구,130_우광타운,131_혜화여고
2022-03-05 04:00:00,3,5,7,8,14,15,17,20,21,23,24,18,17,18,16,17,18,19,17,18,18,24,23,19,22,18,20,18,16,16,9,14,13,2,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,4,7,8,10,12,14,16,15,17,18,14,16,17,17,11,13,18,15,12,12,14,14,12,12,11,10,9,8,9,0,9,7,2,12,11,9,8,9,0,10,6,9,5,7,8,9,11,13,13,12,11,11,0,9,10,10,11,10,10,5,9,8,7,6,7,0,1,3,5,0,9,11,0,12,14,15,16,17,19,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,2,2,4,5,8,8,4,7,7,10,9,9,13,12,10,11,12,8,13,11,11,9,7,7,7,5,5,5,4,1,0,0,3,2,4,4,5,4,5,0,3,0,5,6,5,6,7,8,7,5,7,6,6,3,5,5,6,4,4,3,0,0,3,2,4,3,1,4,5,6,7,8,3,0,6,12,15,16,20,24,31,16,14,12,12,10,14,16,18,13,10,11,4,11,6,12,5,11,3,0,10,10,8,7,6,0,5,0,4,4,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,3,3,6,7,7,7,8,8,10,13,14,12,10,10,9,8,9,9,12,10,9,9,7,7,7,6,7,5,3,4,0,5,5,6,7,8,0,8,5,1,8,6,7,7,8,8,9,7,9,9,9,8,10,11,10,7,6,5,4,5,0,2,4,4,4,1,0,2,4,10,12,11,8,0,9,14,17,16,23,24,28,20,18,17,19,22,26,18,20,15,13,13,8,13,11,11,10,10,10,8,6,6,5,5,4,5,1,4,5,4,3,3,4,3,2,0,3,4,3,5,0,5,0,3,2,1,1,0,0,0,0
2022-03-05 08:00:00,4,8,13,14,16,18,15,18,20,23,23,15,18,17,16,15,13,17,21,15,16,15,14,14,11,10,8,7,6,4,0,5,7,8,10,9,7,7,8,0,12,11,10,9,12,12,14,14,12,10,7,7,15,14,14,12,11,4,7,4,3,1,2,6,6,3,3,3,5,12,9,16,13,0,0,22,24,26,29,37,40,24,24,27,28,32,36,40,42,41,20,22,0,23,13,12,11,10,9,7,6,5,4,8,9,6,6,4,7,8,7,4,5,6,8,8,11,8,8,5,5,5,4,3,2,5,6,5,1,2,0
2022-03-05 09:00:00,4,8,9,11,11,12,12,15,19,22,25,24,22,15,14,19,24,27,28,20,20,19,16,15,14,12,11,12,7,7,3,3,5,5,8,9,9,10,14,7,14,11,11,10,10,12,11,9,10,9,13,10,16,18,16,19,22,15,13,12,5,7,11,10,6,3,2,2,5,12,14,14,19,10,13,23,25,27,36,52,51,22,21,23,26,31,36,36,35,32,21,16,0,19,15,12,13,13,14,12,11,11,10,9,10,8,8,7,6,7,7,10,8,10,11,11,13,10,8,10,9,12,9,8,5,4,3,4,3,2,0
2022-03-05 10:00:00,2,6,9,13,15,16,18,25,24,24,25,27,23,21,14,17,19,21,26,16,14,18,15,13,11,7,7,8,9,10,0,11,8,5,12,11,9,10,10,7,12,8,12,12,13,14,16,16,13,13,11,14,22,18,17,24,22,17,15,11,12,7,7,6,11,11,9,4,6,11,10,11,13,0,13,19,24,33,41,49,54,28,31,37,32,30,42,44,42,36,27,28,17,27,21,19,20,16,15,16,17,14,11,8,10,11,8,5,7,6,5,6,6,10,11,9,10,11,11,11,10,7,7,8,8,6,5,4,1,3,0
2022-03-05 11:00:00,2,4,6,8,13,16,15,17,20,23,23,28,30,20,21,20,23,25,29,24,30,29,24,18,16,18,14,13,11,9,0,8,9,11,15,17,14,19,20,17,22,21,24,26,24,25,21,19,20,22,16,18,23,21,22,20,15,16,11,13,11,14,15,17,13,8,5,5,12,27,29,26,29,5,28,33,36,41,47,48,55,31,35,41,37,44,48,48,45,45,36,39,33,36,31,31,27,30,0,28,27,27,25,24,23,19,20,19,14,9,8,10,13,11,11,13,14,15,12,13,8,7,6,5,6,5,9,5,4,1,0
2022-03-05 12:00:00,3,6,7,9,9,10,12,18,23,26,27,25,28,25,19,19,21,23,25,26,23,22,18,20,19,18,17,15,19,13,10,12,12,13,14,16,18,19,19,13,16,18,20,21,20,21,17,15,13,14,20,19,23,20,20,21,17,15,15,14,11,10,11,15,9,11,10,6,8,14,25,28,32,0,13,35,40,46,51,60,54,38,38,42,44,48,47,50,49,47,38,37,39,38,38,36,26,23,30,32,15,20,17,14,13,15,15,14,17,12,14,16,16,14,13,13,10,14,13,15,11,10,8,9,12,9,11,7,5,2,0
2022-03-05 13:00:00,3,6,7,9,11,16,17,21,24,23,24,18,23,20,19,22,23,26,29,26,25,24,24,22,23,21,20,17,18,20,11,9,14,11,16,17,21,20,16,19,17,15,16,20,20,24,24,20,22,23,21,22,25,26,25,18,17,21,12,19,18,15,13,12,9,7,5,8,11,18,16,20,21,12,22,26,28,34,47,58,57,33,42,39,40,40,42,42,39,36,27,29,28,28,26,25,16,25,24,23,30,22,20,20,19,24,21,20,26,22,22,23,20,20,22,22,20,28,26,21,16,14,11,12,13,16,11,7,5,4,0
