Unnamed: 0,1_우이동도선사입구(기점가상),2_우이동도선사입구.북한산우이역,3_우이동성원아파트,4_진성빌라사거리,5_서라벌중학교.우이동대우아파트,6_덕성여대솔밭근린공원,7_국립4.19민주묘지입구사거리,8_북부성모병원,9_수유2동주민센터우이시장,10_광산사거리,11_강북구청,12_수유(강북구청)역,13_수유역,14_수유시장.성신여대미아캠퍼스앞,15_미아역.신일중고,16_도봉세무서.성북시장,17_미아사거리역,18_월곡뉴타운,19_길음뉴타운,20_정릉길음시장.길음뉴타운9단지,21_숭덕초교,22_정릉2동주민센터,23_봉국사,24_고려대사범대학부속고등학교,25_청덕초교,26_국민대학교앞,27_롯데아파트,28_일성아파트,29_평창동주민센터,30_평창파출소,31_갑을씨티텔앞,32_세검정초등학교,33_세검정.상명대,34_홍지문,35_유원하나아파트,36_서울여자간호대학,37_문화촌현대아파트,38_유진상가,39_홍은현대아파트,40_정원여중.스위스그랜드호텔,41_동신병원,42_서대문구청.서대문구의회,43_서대문자연사박물관입구,44_한성화교중고교.서대문소방서,45_연희3거리,46_연희교차로,47_서대문우체국,48_연세대앞,49_신촌기차역,50_신촌역2호선,51_신촌로터리,52_창전현대홈타운,53_광흥창역.서강동주민센터,54_국회의사당,55_국회의사당역,56_여의도역,57_샛강역4번출구.여의도자이,58_공군호텔,59_서울지방병무청,60_서울공업고등학교,61_대림초등학교,62_신대방삼거리,63_보라매병원입구,64_롯데백화점관악점,65_롯데관악점.건강보험관악지사,66_서울특별시.보라매병원,67_보라매삼성아파트.모자원고개,68_신대방삼거리,69_대림초등학교,70_서울공업고등학교,71_강남중학교,72_서울지방병무청앞,73_공군호텔,74_샛강역1번출구.여의도자이,75_여의도역,76_국회의사당역.국민은행,77_국회의사당,78_광흥창역.서강동주민센터,79_창전현대홈타운,80_신촌로터리,81_현대백화점,82_동교동삼거리연희동방면,83_연희동대우아파트,84_연희교차로,85_연희3거리,86_한성화교중고교.서대문소방서,87_서대문자연사박물관입구,88_서대문구청.보건소.구의회,89_서대문구보건소별관,90_정원여중,91_홍은현대아파트.스위스그랜드호텔,92_유진상가,93_문화촌현대아파트,94_서울여자간호대학,95_유원하나아파트,96_홍지문.옥천암,97_세검정.상명대,98_세검정초등학교,99_화정박물관,100_서울예술고등학교.평창동주민센터,101_예능교회,102_벽산평창힐스아파트,103_롯데아파트,104_평창동삼성아파트,105_국민대앞,106_청덕초등학교,107_북악중학교,108_봉국사,109_정릉2동주민센터,110_숭덕초교,111_정릉길음시장,112_돈암동삼성아파트입구,113_월곡뉴타운,114_미아사거리역,115_도봉세무서.성북시장,116_미아역.신일중고,117_수유시장.성신여대미아캠퍼스앞,118_수유역.강북구청,119_강북구청,120_광산사거리,121_수유2동주민센터우이시장,122_북부성모의원,123_국립4.19민주묘지입구사거리,124_덕성여대입구,125_서라벌중학교.우이동대우아파트,126_북서울교회,127_동아운수앞,128_우이동성원아파트,129_동아운수종점(가상)
2022-03-05 04:00:00,0,2,4,3,6,5,6,7,10,13,8,14,11,16,18,15,18,17,15,14,15,13,5,12,3,0,2,0,0,11,10,11,3,0,4,11,10,10,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,3,4,5,3,6,8,11,12,14,12,10,11,10,10,13,15,19,17,15,15,13,14,13,12,11,3,9,8,3,9,0,9,7,11,9,12,12,10,13,15,11,6,14,10,12,9,8,5,3,1,9,6,3,2,1,2,0,3,4,1,0,3,5,2,3,4,2,4,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,2,2,4,3,3,6,9,9,9,6,7,7,8,5,8,13,12,12,14,7,13,12,14,13,11,9,9,7,6,5,2,1,6,7,7,6,5,6,7,0,8,5,9,10,9,9,3,7,7,8,10,7,7,5,3,2,4,0,3,2,2,1,2,3,3,5,7,4,8,8,10,12,9,9,9,9,8,7,6,7,6,3,8,7,0,3,7,0,8,8,8,9,0,0,7,6,10,8,7,0,6,0,6,7,7,8,0,10,9,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,1,3,3,2,3,7,13,16,18,12,11,16,15,16,15,16,17,15,13,14,12,9,10,10,7,8,7,6,5,6,5,6,6,10,12,14,15,18,16,17,20,21,8,9,11,11,11,12,14,14,11,10,5,9,3,7,5,4,4,3,3,3,4,8,8,7,10,9,12,13,17,13,8,10,7,7,7,7,6,5,7,9,9,8,3,9,9,4,5,11,11,15,13,0,13,14,4,9,6,5,10,6,9,10,11,12,10,11,12,10,7,6,6,6,4,4,4,3,3,0,2,1,0,0,0,0,0
2022-03-05 08:00:00,0,2,4,5,9,5,7,16,22,24,23,18,16,12,16,16,18,20,23,19,19,18,17,13,10,13,11,10,11,8,7,6,9,7,8,14,14,14,13,12,13,16,15,19,20,17,13,13,11,8,9,11,16,11,11,9,8,9,8,6,9,8,7,6,8,6,9,10,15,18,21,20,27,17,13,10,15,12,11,10,10,12,12,16,14,16,15,14,13,14,16,15,12,12,8,13,8,9,13,14,13,7,12,15,9,15,14,16,18,18,19,18,17,16,15,12,9,11,12,7,6,5,1,2,1,1,0,0,0
2022-03-05 09:00:00,0,1,3,8,9,13,14,16,19,20,20,20,19,21,20,19,20,21,29,26,26,28,27,26,24,21,22,21,19,18,16,16,14,10,14,16,19,20,19,21,20,21,26,25,22,22,18,20,19,21,21,19,27,22,16,16,15,11,13,14,16,16,14,8,5,8,10,12,18,17,23,24,22,23,19,16,13,14,15,12,13,13,13,15,17,15,15,16,19,10,16,14,13,13,12,13,12,15,18,16,14,11,13,12,13,14,14,13,16,17,18,17,13,13,14,13,13,16,20,19,18,14,11,8,7,3,0,0,0
2022-03-05 10:00:00,0,1,2,5,9,11,12,17,24,27,21,17,18,22,23,23,25,19,24,21,20,18,13,16,17,17,16,14,16,14,11,12,10,0,12,16,16,16,17,22,20,22,22,24,22,24,19,20,16,14,13,15,19,16,13,12,13,12,11,7,9,10,9,6,4,7,8,10,15,13,17,22,25,23,21,20,19,19,14,13,12,15,18,15,15,14,13,12,13,6,14,16,16,15,5,13,14,14,15,14,15,16,17,7,19,18,15,12,23,24,27,25,21,17,15,14,12,16,15,14,13,12,9,7,6,6,2,0,0
2022-03-05 11:00:00,0,1,4,6,8,11,13,20,30,29,25,26,24,24,16,17,23,24,25,24,24,23,12,22,17,22,21,20,20,21,20,21,19,20,18,18,22,23,24,26,26,25,21,25,20,21,22,22,19,15,20,20,25,21,20,17,16,13,15,11,10,11,9,5,5,10,13,14,13,16,19,20,32,28,26,25,28,23,23,18,20,27,24,23,21,17,18,20,26,25,25,19,24,26,26,11,26,27,27,26,11,25,11,10,27,28,32,33,34,33,37,34,24,16,14,13,18,17,19,20,16,14,10,4,2,1,1,0,0
2022-03-05 12:00:00,0,1,3,5,10,12,17,19,22,23,25,24,19,25,25,24,27,27,29,27,24,25,27,21,20,19,16,17,18,21,20,19,18,18,20,22,22,22,21,29,28,30,26,29,27,30,25,34,29,22,18,17,23,17,16,13,13,12,11,10,7,10,7,4,5,10,14,20,22,20,25,25,31,31,27,25,25,23,22,17,14,17,21,24,26,21,18,18,19,13,23,19,18,19,17,16,19,22,24,24,23,24,17,23,24,27,26,22,27,32,34,30,29,24,22,18,21,22,20,17,15,13,12,8,6,5,3,0,0
2022-03-05 13:00:00,0,2,4,6,12,14,17,19,20,23,24,18,20,18,17,16,18,23,30,28,26,26,27,25,25,23,22,23,21,23,22,24,22,18,23,20,22,20,22,23,26,30,34,34,31,32,28,23,24,23,22,21,27,23,17,15,19,14,13,10,11,10,7,5,4,8,11,12,15,21,24,25,30,30,28,29,33,29,27,27,32,27,20,23,20,16,16,17,16,12,17,16,15,17,11,18,20,20,17,16,17,16,14,13,17,19,21,19,23,27,34,32,27,19,16,15,13,17,13,12,8,8,4,3,1,1,1,0,0
