Unnamed: 0,1_도봉산역광역환승센터,2_도봉산역,3_도봉한신아파트,4_서울북부지방법원.검찰청.도봉역성황당,5_신도봉사거리,6_신도봉시장.도봉구청.방학북부역,7_도봉소방서.방학남부역,8_도봉보건소,9_도봉구민회관.도봉문화원(중),10_쌍문역,11_우이1교앞,12_수유3동우체국,13_수유(강북구청)역,14_수유역,15_수유시장.성신여대미아캠퍼스앞,16_미아역.신일중고,17_도봉세무서.성북시장,18_미아사거리역,19_월곡뉴타운,20_길음뉴타운,21_미아리고개.미아리예술극장,22_돈암사거리.성신여대입구,23_삼선교.한성대학교,24_혜화동로터리.여운형활동터,25_명륜3가.성대입구,26_창경궁.서울대학교병원,27_원남동,28_종로4가.종묘,29_종로3가.탑골공원,30_종로2가,31_종로1가,32_광화문,33_서울역사박물관.경희궁앞,34_서대문역사거리,35_충정로역,36_아현초등학교,37_마포경찰서,38_아현동주민센터,39_공덕역,40_마포역,41_여의도환승센터,42_여의도공원,43_영등포역,44_남부지방법원등기국.구로세무서(에이스하이테크시티),45_문래동남성아파트,46_신도림역,47_신도림동.구로역,48_구일역.중앙유통상가,49_동양미래대학.구로성심병원,50_개봉역.영화아파트,51_경인중학교.개봉사거리,52_오류1동주민센터.오류문화센터,53_오류동역,54_오류지구대.신오류주유소,55_연세중앙교회,56_궁동청소년문화의집,57_우신고등학교,58_온수역,59_온수동종점,60_온수역,61_우신고등학교,62_궁동청소년문화의집.구로검사소,63_연세중앙교회,64_씨티월드,65_오류동역,66_오류1동주민센터.오류문화센터,67_경인중학교.개봉사거리,68_개봉역.한마을아파트,69_동양미래대학.구로성심병원,70_구일역.제일제당,71_신도림동.구로역,72_신도림역,73_문래동남성아파트,74_남부지방법원등기국.구로세무서(에이스하이테크시티),75_영등포역,76_전경련회관,77_여의도환승센터,78_파크원타워.LG트윈타워,79_마포역,80_공덕역,81_아현동주민센터,82_마포경찰서,83_아현초등학교,84_충정로역,85_서대문역사거리,86_서울역사박물관.경희궁앞,87_광화문,88_종로1가,89_종로2가,90_종로3가.탑골공원,91_종로4가.종묘,92_종로5가.광장시장,93_종로5가.효제초등학교,94_종로5가.효제동.김상옥의거터,95_방송통신대.이화장,96_혜화역.마로니에공원,97_혜화역.동성중고(장면총리가옥),98_삼선교.한성대학교.조소앙활동터,99_돈암사거리.성신여대입구,100_미아리고개.미아리예술극장,101_길음뉴타운,102_월곡뉴타운,103_미아사거리역,104_도봉세무서.성북시장,105_미아역.신일중고,106_수유시장.성신여대미아캠퍼스앞,107_수유역.강북구청,108_수유3동우체국,109_우이1교앞,110_쌍문역,111_도봉구민회관.도봉문화원(중),112_도봉보건소.북한산아이파크아파트,113_도봉소방서.방학남부역,114_신도봉시장.도봉구청.방학북부역,115_신도봉사거리,116_서울북부지방법원.검찰청.도봉역성황당,117_도봉한신아파트,118_도봉산역,119_도봉산역광역환승센터
2022-03-05 04:00:00,0,5,6,7,6,8,9,10,17,21,21,21,22,17,23,31,24,34,33,32,31,33,34,32,32,31,29,24,21,18,14,13,10,11,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,5,7,9,11,6,9,12,12,13,14,14,13,15,15,16,15,13,34,15,32,31,30,24,24,23,20,19,16,14,12,7,15,14,14,13,13,13,12,10,6,8,6,7,6,4,0,5,4,3,3,0,2,5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,5,4,5,6,7,9,7,6,6,5,3,5,0,9,5,10,10,11,14,14,13,12,12,13,12,12,11,11,10,9,7,8,8,9,9,10,10,10,12,10,0,8,10,8,10,7,6,5,3,4,1,3,3,2,4,1,0,3,8,8,9,10,11,11,13,14,13,14,11,12,13,6,8,14,14,10,9,9,3,7,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,2,6,7,11,12,15,10,17,21,16,16,17,15,14,15,17,15,18,20,19,21,19,20,18,15,14,17,16,12,9,12,13,11,14,15,15,15,15,9,15,13,5,7,5,4,6,7,5,4,3,2,5,0,5,5,4,7,2,2,6,7,6,7,8,8,10,17,18,19,21,16,12,11,7,12,9,10,10,8,10,8,10,8,10,11,9,10,11,12,8,11,6,5,0,10,7,9,8,7,10,7,9,10,11,11,6,10,9,6,9,8,7,6,5,6,8,7,0,0
2022-03-05 08:00:00,2,9,18,24,22,22,26,25,22,20,21,20,22,22,23,23,22,22,21,19,22,18,20,19,17,20,21,14,19,18,17,13,12,15,14,17,19,11,10,12,10,9,7,8,7,10,7,8,9,5,4,4,5,2,5,7,8,1,5,10,11,12,13,18,27,34,29,27,23,23,25,22,17,19,19,22,23,20,13,14,14,12,15,12,12,13,8,12,12,12,8,11,8,6,7,10,9,8,8,9,11,10,11,11,9,10,10,11,8,8,7,8,7,6,9,7,6,2,0
2022-03-05 09:00:00,2,9,14,18,19,24,29,35,34,34,32,29,31,30,35,34,36,35,31,32,32,33,34,35,36,36,35,36,30,18,16,14,11,14,22,18,18,20,17,14,11,10,9,7,6,6,6,7,8,8,12,10,8,7,7,9,7,2,6,9,12,15,17,20,19,19,23,26,25,26,27,22,10,19,23,21,23,24,21,21,30,29,17,16,26,21,18,16,18,12,14,14,12,7,13,13,11,14,12,13,10,10,11,13,12,13,15,15,16,20,22,21,18,15,14,11,10,1,0
2022-03-05 10:00:00,2,9,13,21,29,24,31,35,29,29,28,28,34,28,22,25,27,25,23,24,30,27,30,28,25,23,25,22,29,26,23,15,15,18,18,21,21,18,23,31,20,19,15,14,14,11,6,10,8,7,8,6,7,8,8,10,9,5,6,9,13,16,18,19,22,25,26,23,25,25,25,25,24,23,24,24,26,25,25,24,26,26,25,22,20,22,23,19,17,17,16,17,16,12,11,15,9,14,16,17,18,14,15,14,15,13,20,19,18,18,17,18,18,17,15,13,8,1,0
2022-03-05 11:00:00,2,9,10,16,13,16,24,26,29,22,21,19,23,22,25,25,27,28,28,35,35,34,32,26,29,33,32,30,27,23,17,18,14,18,19,23,23,23,23,28,27,20,17,13,12,12,9,10,15,12,15,8,10,9,9,11,9,2,5,7,9,14,15,15,16,22,25,29,32,30,30,25,22,26,27,25,27,25,22,22,25,27,28,29,27,25,20,19,19,17,20,16,16,14,15,15,14,16,14,16,16,12,19,18,17,18,18,19,20,25,27,28,23,23,22,17,10,3,0
2022-03-05 12:00:00,3,6,13,17,20,22,30,23,28,27,34,33,23,24,27,25,24,23,29,28,32,26,27,28,27,25,27,27,24,22,24,19,21,22,24,26,28,28,29,34,35,29,19,18,17,19,19,18,10,12,11,9,14,14,14,12,12,4,5,9,7,19,18,22,25,30,32,31,37,39,37,32,25,27,29,29,30,29,35,32,33,36,30,34,31,24,25,22,23,28,18,28,27,27,14,17,18,25,24,20,22,12,22,11,18,14,13,14,12,16,13,12,11,10,10,10,9,1,0
2022-03-05 13:00:00,1,17,17,19,19,19,19,17,17,16,20,23,23,23,29,34,29,29,28,34,36,39,41,37,36,32,33,31,32,30,27,25,26,34,35,31,29,28,30,30,30,34,20,20,18,20,17,16,15,14,14,9,11,9,12,14,12,3,4,11,12,14,12,16,21,23,22,22,25,29,35,28,18,29,29,29,32,30,30,25,26,27,30,28,26,25,23,24,22,26,31,34,33,31,25,20,22,23,25,25,25,25,25,29,32,31,32,31,32,34,35,24,16,13,11,7,7,2,0
