Unnamed: 0,1_도원교통차고지(가상),2_청덕초교,3_국민대학교앞,4_롯데아파트,5_일성아파트,6_평창동주민센터,7_평창파출소,8_갑을씨티텔앞,9_세검정초등학교,10_상명대입구.석파랑,11_하림각,12_자하문터널입구.석파정,13_경기상고,14_신교동,15_통인시장종로구보건소,16_경복궁역,17_세종문화회관,18_시청앞.덕수궁,19_삼성본관앞,20_서울역버스환승센터,21_갈월동,22_갈월동4호선숙대입구,23_남영역,24_용산경찰서,25_용산꿈나무종합타운.원효로우체국,26_원효로2가,27_용문시장,28_중앙하이츠빌라앞,29_도원삼성래미안아파트,30_도화동현대아파트,31_공덕역10번출구,32_서울대동창회관,33_공덕역,34_공덕역10번출구,35_도화동현대아파트,36_도원삼성래미안아파트,37_중앙하이츠빌라앞,38_용문시장,39_남정초등학교,40_용산e편한세상,41_용산꿈나무종합타운,42_용산경찰서,43_남영역,44_숙대입구역,45_갈월동,46_서울역버스환승센터.강우규의거터,47_시청앞,48_서울신문사,49_KT광화문지사,50_경복궁역,51_통인시장종로구보건소,52_효자동,53_경기상고,54_자하문터널입구.석파정,55_하림각,56_상명대입구.세검정교회,57_세검정초등학교,58_화정박물관,59_서울예술고등학교.평창동주민센터,60_예능교회,61_벽산평창힐스아파트,62_롯데아파트,63_평창동삼성아파트,64_국민대앞,65_청덕초등학교,66_도원교통차고지(가상)
2022-03-05 04:00:00,0,0,0,1,1,0,1,1,2,2,3,0,3,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,0,2,1,2,3,0,4,6,8,10,4,11,11,9,8,5,4,2,3,4,6,4,5,4,2,2,2,3,1,2,0,2,0,3,2,5,1,2,3,0,4,4,5,5,6,0,2,7,5,0,0,4,0,2,2,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,4,3,0,5,6,9,10,14,6,5,7,10,9,10,10,9,8,5,4,2,3,1,4,3,0,2,1,0,2,1,0,0,1,1,2,2,3,2,2,3,3,2,5,7,9,6,7,5,7,8,7,6,5,4,6,3,2,3,1,2,0,2,1,0,0,0
2022-03-05 07:00:00,3,5,2,5,3,7,10,7,16,12,11,18,17,14,15,12,12,6,5,4,3,1,2,1,1,0,2,2,4,3,2,1,1,4,3,3,4,5,1,3,5,6,6,6,8,10,6,9,12,12,11,7,8,9,8,5,9,7,5,3,4,3,2,1,0,0
2022-03-05 08:00:00,4,5,6,5,7,11,14,15,16,11,13,14,14,17,13,11,12,6,7,4,3,3,4,4,3,3,2,4,4,2,1,1,0,2,3,4,5,6,6,5,7,8,6,11,11,12,13,16,20,20,20,19,17,14,13,5,11,10,8,7,5,4,3,2,2,0
2022-03-05 09:00:00,2,4,4,6,7,13,14,17,22,23,24,18,25,19,23,17,13,11,7,5,5,4,5,0,4,3,3,4,4,5,3,1,3,6,5,8,8,9,9,5,7,8,7,10,12,12,8,10,12,15,14,15,14,16,15,14,14,8,9,12,8,7,4,2,0,0
2022-03-05 10:00:00,1,4,2,8,11,12,16,18,23,21,27,32,34,34,30,20,17,13,14,9,5,5,10,9,12,11,8,6,5,3,4,1,1,3,5,6,7,6,6,9,10,10,8,14,15,16,16,20,19,15,15,13,11,10,10,9,11,10,8,3,7,6,4,1,0,0
2022-03-05 11:00:00,0,3,6,8,8,15,19,24,27,26,25,25,24,24,22,17,11,7,6,4,5,7,8,9,8,8,7,10,12,11,10,3,6,4,3,10,8,11,12,12,12,13,10,14,15,17,18,17,22,21,24,19,20,9,9,8,9,8,6,2,5,2,4,3,0,0
2022-03-05 12:00:00,1,4,6,7,10,13,19,18,20,22,25,27,26,29,29,26,21,15,15,9,9,8,15,14,12,12,10,11,8,8,4,2,6,10,8,12,19,21,10,18,17,17,16,17,18,13,19,17,18,18,19,12,11,18,18,19,19,17,12,10,7,4,3,2,0,0
2022-03-05 13:00:00,1,3,5,9,10,13,18,20,23,26,27,29,30,29,28,29,23,16,10,8,7,8,15,14,9,9,6,8,8,7,4,2,5,9,12,17,16,18,14,10,20,19,16,16,19,21,22,20,20,21,16,16,17,15,14,14,12,9,7,6,5,2,5,3,1,0
2022-03-05 14:00:00,0,3,4,16,17,20,23,23,26,28,29,33,36,38,38,28,26,23,22,16,11,9,12,11,11,7,11,10,5,4,3,2,5,6,7,7,6,10,9,8,8,8,12,15,18,19,24,28,27,26,24,26,21,16,14,13,14,10,8,7,5,2,4,2,1,0
