Unnamed: 0,1_한성여객종점,2_하계역,3_하계우성아파트,4_하계극동아파트,5_월계보건지소,6_인덕대학,7_월계주공108동앞롯데캐슬루나아파트,8_월계2교.참누리아파트,9_광운초교앞,10_장위래미안아파트,11_꿈의숲아이파크아파트,12_장곡초교사거리,13_장곡초교,14_국민은행장위동지점,15_장위1동치안센터,16_장위1동주민센터,17_장위동고개,18_장위동입구,19_창문여고앞,20_숭곡초등학교입구,21_월곡뉴타운,22_길음뉴타운,23_미아리고개.미아리예술극장,24_돈암사거리.성신여대입구,25_삼선교.한성대학교,26_혜화동로터리.여운형활동터,27_명륜3가.성대입구,28_창경궁.서울대학교병원,29_창덕궁,30_안국역.종로경찰서.서울공예박물관,31_조계사,32_을지로입구.시청입구,33_서소문,34_충정로역2호선,35_아현역,36_웨딩타운,37_이대역,38_신촌아트레온,39_연세로.문학의거리,40_연세로.명물거리,41_연세대앞,42_서대문우체국,43_연희104고지앞.구성산회관,44_성산2교,45_중동초등학교,46_성산2동주민센터,47_성산119안전센터,48_성산아파트,49_월드컵경기장북측,50_상암휴먼시아아파트,51_상암초등학교,52_월드컵파크2단지.에스플렉스센터,53_월드컵파크3단지.난지천공원,54_월드컵파크4단지후문.JTBC,55_상암DMC홍보관.YTN,56_상암초등학교,57_상암휴먼시아아파트,58_월드컵경기장북측,59_성산아파트,60_성산119안전센터,61_성산2동주민센터,62_중동초등학교,63_성산2교,64_연희104고지앞.구성산회관,65_서대문우체국,66_연세대학교앞,67_세브란스병원,68_신촌기차역,69_이대역,70_웨딩타운,71_아현역,72_종근당.충정로역,73_서소문,74_시청광장,75_우리은행종로지점,76_조계사,77_안국역.종로경찰서.인사동,78_창덕궁.우리소리박물관,79_창경궁.서울대학교병원,80_명륜동2가.성균관대입구,81_삼선교.한성대학교.조소앙활동터,82_돈암사거리.성신여대입구,83_미아리고개.미아리예술극장,84_길음뉴타운,85_월곡뉴타운,86_숭곡초교입구,87_창문여고,88_장위동고개,89_장위1동주민센터,90_장위1동치안센터,91_국민은행장위동지점,92_장곡초교,93_장곡초교사거리,94_꿈의숲아이파크아파트,95_장위래미안아파트,96_광운초교,97_월계2교,98_롯데캐슬루나아파트,99_인덕대앞,100_월계보건지소,101_하계시영아파트,102_하계장미아파트,103_하계미성아파트.을지병원,104_한성여객종점
2022-03-05 04:00:00,0,2,3,4,4,3,6,11,12,14,0,3,5,17,19,4,20,21,23,23,21,20,19,16,14,12,11,3,11,10,6,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,4,4,5,4,7,2,5,4,6,6,7,9,13,16,10,15,15,10,10,13,8,14,11,2,10,7,9,7,6,5,3,5,6,5,5,2,2,2,2,3,2,0,0,1,3,2,0,0,1,0,0,0,1,1,1,0,2,5,1,6,4,6,1,4,3,5,4,3,2,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,1,3,2,3,4,4,3,2,5,5,7,6,9,10,14,14,13,14,13,13,12,11,11,11,1,10,9,8,9,8,5,1,2,0,2,4,4,4,0,5,6,1,5,3,1,2,0,0,1,0,0,1,1,1,3,0,1,2,5,1,2,4,3,0,1,2,3,4,4,4,3,2,2,1,4,4,6,2,10,12,13,13,3,6,14,11,0,2,3,4,1,3,0,0,9,11,1,9,7,3,0,0
2022-03-05 07:00:00,1,5,6,3,4,7,7,6,2,5,8,7,8,10,11,13,16,18,17,13,10,11,12,13,10,7,8,8,7,7,6,5,3,3,3,3,4,2,2,2,5,2,7,5,5,6,5,4,0,1,0,0,1,1,2,2,3,2,5,6,5,4,5,4,5,6,0,5,4,0,3,4,3,2,3,0,2,3,1,2,4,3,3,5,6,7,4,5,4,4,5,3,3,2,4,3,5,7,8,4,5,2,0,0
2022-03-05 08:00:00,1,4,6,7,5,6,9,9,10,13,13,18,18,20,24,28,33,33,30,29,27,21,20,20,16,16,15,16,15,12,10,9,5,5,5,8,7,2,2,2,0,1,6,7,5,5,5,4,5,4,2,1,1,1,3,4,3,4,5,10,11,12,14,9,10,8,9,8,7,6,7,6,5,6,8,10,11,4,7,5,5,6,1,9,9,10,11,8,6,8,6,9,9,8,8,7,6,10,13,12,9,6,1,0
2022-03-05 09:00:00,0,5,10,14,13,12,12,9,8,8,11,12,16,18,20,26,28,31,38,35,29,25,21,18,20,17,19,19,14,11,7,8,7,4,3,4,3,6,6,6,7,6,9,8,8,7,7,7,7,5,1,0,0,0,3,4,5,7,4,7,8,9,10,10,8,7,6,9,8,7,10,11,8,9,7,9,15,6,12,10,9,10,9,10,11,9,7,6,7,2,5,6,1,0,4,0,0,4,7,12,8,3,1,0
2022-03-05 10:00:00,1,5,6,7,2,7,6,5,6,12,11,18,20,22,24,30,33,34,33,33,31,29,26,25,25,26,22,23,16,11,10,12,10,8,7,7,5,6,6,6,4,5,0,4,3,2,0,1,0,0,0,0,0,0,2,3,3,0,4,8,9,12,15,13,17,19,20,17,14,13,14,10,5,6,11,14,14,12,13,14,12,9,11,9,8,10,12,9,8,6,7,7,7,5,5,6,4,9,8,10,7,3,1,0
2022-03-05 11:00:00,1,4,12,11,10,10,13,16,17,21,23,26,34,33,38,39,45,44,45,47,45,38,33,27,13,25,28,14,12,10,8,8,8,6,6,5,5,5,5,5,9,7,8,7,7,6,7,4,4,3,4,2,0,1,4,6,7,5,7,9,10,10,11,11,10,8,9,8,7,9,10,12,8,8,10,9,8,10,11,15,9,12,14,17,19,18,15,13,10,11,10,8,7,7,8,8,11,11,12,7,10,4,0,0
2022-03-05 12:00:00,5,6,8,7,11,11,12,11,9,14,13,24,27,28,29,37,44,46,48,47,38,36,34,25,23,21,22,27,23,20,14,10,9,6,9,10,8,6,6,6,8,9,12,12,11,11,12,8,5,1,0,0,0,2,4,6,9,6,10,11,14,13,16,13,12,12,6,12,11,10,9,9,8,8,10,13,11,14,14,12,13,13,13,14,13,14,17,14,14,8,7,8,7,0,5,6,6,6,8,9,6,3,0,0
2022-03-05 13:00:00,0,4,6,7,8,4,11,10,9,10,11,13,16,25,28,29,31,32,30,26,26,27,28,29,24,25,28,14,25,18,14,14,12,11,13,13,10,9,9,9,7,10,8,4,7,8,8,7,4,5,3,2,1,1,5,9,4,4,5,10,13,14,16,14,15,12,11,10,12,11,8,8,11,12,13,14,20,22,18,15,17,24,22,23,25,25,21,19,21,18,18,18,14,16,17,20,19,18,13,12,10,6,2,0
2022-03-05 14:00:00,1,6,10,11,11,9,11,4,11,8,11,13,15,17,19,23,13,22,31,30,27,27,28,25,26,23,23,24,19,17,15,11,10,10,8,6,7,9,9,9,8,5,11,10,9,7,6,5,3,2,1,0,0,2,6,7,6,8,9,13,19,20,19,12,13,11,11,10,17,7,19,22,25,21,27,21,25,18,21,19,16,19,12,16,18,17,18,16,10,9,11,8,17,13,8,8,13,10,10,10,8,4,0,0
2022-03-05 15:00:00,1,6,5,2,7,8,6,6,9,10,10,13,20,23,25,27,24,26,29,30,27,24,18,17,18,14,13,11,13,14,14,15,16,15,17,19,13,12,12,12,14,15,17,12,14,11,9,7,4,3,3,2,2,1,7,9,3,3,4,10,10,12,13,12,13,13,11,10,13,12,11,15,12,13,14,12,12,17,19,19,21,16,16,17,10,18,20,16,16,14,12,11,10,9,8,6,8,8,7,4,4,2,1,0
2022-03-05 16:00:00,1,7,10,10,12,11,11,9,9,10,12,12,14,13,11,12,13,12,17,16,16,18,16,15,13,11,14,10,16,16,14,14,16,14,12,12,12,12,12,12,12,10,12,11,9,8,4,4,3,1,1,1,0,0,5,6,9,6,10,9,9,9,8,10,11,10,7,8,8,8,8,11,15,15,18,21,22,23,22,27,28,24,24,26,28,28,26,22,20,18,16,13,13,11,8,5,10,11,10,10,9,4,0,0
2022-03-05 17:00:00,1,11,18,16,17,14,12,9,7,9,10,7,8,9,16,19,11,10,20,18,24,22,19,19,14,9,15,19,19,16,14,15,19,17,20,21,20,18,18,18,21,23,23,22,17,18,16,14,0,5,2,0,1,0,5,2,3,0,2,5,6,6,7,8,9,8,4,10,11,12,13,11,14,14,15,23,24,26,25,21,20,29,28,28,26,24,27,21,18,17,15,14,11,10,6,1,11,14,12,11,5,3,1,0
2022-03-05 18:00:00,1,8,12,13,16,15,13,13,13,8,11,7,7,9,11,13,8,14,11,10,9,10,11,11,12,9,12,12,11,15,12,13,15,14,7,12,11,10,10,10,11,6,12,11,9,11,12,11,10,8,9,4,0,2,9,7,10,12,11,12,11,10,6,9,7,7,8,8,10,3,10,12,13,20,25,33,35,40,40,36,29,28,30,29,32,23,24,17,15,9,13,12,11,4,10,11,11,10,11,9,4,2,3,0
2022-03-05 19:00:00,1,8,14,12,10,4,9,8,3,4,5,7,8,9,8,10,12,11,10,7,7,7,6,8,9,3,6,7,6,9,14,12,11,11,10,8,8,7,7,7,9,10,12,7,11,6,3,4,1,3,1,1,0,0,6,2,7,8,1,7,6,3,3,7,8,7,6,7,8,7,3,8,5,7,10,12,15,18,17,18,19,22,23,21,12,17,22,16,16,14,12,11,10,10,0,12,10,8,9,8,5,4,1,0
2022-03-05 20:00:00,0,6,7,8,7,5,6,7,6,5,6,7,7,5,6,5,6,0,6,7,8,6,5,5,6,4,7,9,8,10,8,7,7,6,6,7,6,6,6,6,7,4,8,5,3,3,3,2,0,2,1,1,1,0,2,2,3,0,2,0,2,3,3,2,3,2,4,5,6,7,1,8,4,14,13,14,18,13,11,18,21,23,20,25,26,27,26,18,16,15,13,11,12,5,5,5,4,7,6,7,3,0,0,0
2022-03-05 21:00:00,0,4,9,6,7,7,6,4,2,5,3,4,6,2,5,7,6,5,6,4,5,4,5,5,6,0,7,8,8,9,5,7,4,6,6,5,5,7,7,7,10,10,9,8,1,5,3,2,1,0,0,1,0,2,2,0,3,0,2,3,0,4,3,3,1,3,4,2,4,3,4,3,0,3,8,13,17,12,13,18,16,22,23,26,25,27,25,21,20,19,16,9,15,12,11,12,7,11,11,9,5,3,1,0
