Unnamed: 0,1_삼화상운차고지,2_인덕삼거리,3_신도브래뉴.한전노원변전소,4_광운대역,5_월계현대아파트,6_물류센터,7_석계역1번출구.B,8_석관동주민센터,9_장위동동원베네스트.온누리병원,10_돌곶이역,11_새석관시장,12_월곡중학교,13_상월곡역,14_월곡역,15_성북구보건소,16_KT월곡지사,17_종암경찰서,18_종암동주민센터,19_숭례초교,20_고대앞,21_우신향병원,22_안암오거리,23_대광초교,24_신설동로터리.신한은행앞.서울풍물시장,25_청계8가.황학교,26_청계8가.영도교,27_청계7가.맑은내다리,28_청계6가.버들다리,29_청계6가.동대문시장,30_청계5가.광장시장,31_청계4가.세운교,32_청계3가.관수교,33_청계2가.수표교,34_청계2가.삼일교,35_청계1가.광교,36_을지로입구역.광교,37_해운센터.롯데영프라자,38_북창동.남대문시장,39_염천교,40_중림동교차로,41_서울의료보건고등학교.서울역서부,42_손기정체육공원입구,43_만리동고개,44_한겨레신문사,45_신덕성결교회,46_공덕역.공덕시장,47_공덕역.2번.출구,48_동도중학교.서울디자인고등학교,49_대흥역,50_마포아트센터,51_대흥교회,52_이화여대입구,53_신촌기차역입구,54_신촌아트레온,55_연세로.문학의거리,56_연세로.명물거리,57_세브란스병원,58_신촌기차역,59_이화여대입구,60_이화여대입구,61_대흥교회,62_서강대학교후문,63_용강초등학교,64_동도중학교.서울디자인고등학교,65_공덕역.1번.출구,66_서울대동창회관,67_공덕시장,68_신덕성결교회,69_한겨레신문사,70_만리동고개,71_손기정체육공원,72_서울역서부,73_서울역버스환승센터,74_숭례문,75_남대문시장앞.이회영활동터,76_롯데영프라자,77_우리은행종로지점,78_청계1가.광교,79_청계2가.삼일교,80_청계3가.세운교,81_청계4가.배오개다리,82_청계5가.방산시장,83_청계6가.평화시장,84_청계6가.오간수교,85_청계7가.동평화.청평화시장,86_청계8가.영도교,87_황학동롯데캐슬,88_신설동로터리.서울풍물시장,89_신설동역1번출구,90_대광고등학교앞,91_안암오거리,92_우신향병원,93_고려대학교앞,94_숭례초등학교,95_종암동주민센터,96_종암경찰서,97_KT월곡지사,98_종암SK아파트,99_월곡역,100_동덕여대앞,101_한국과학기술연구원입구,102_월곡중학교,103_새석관시장,104_돌곶이역8번출구,105_돌곶이역,106_석관동주민센터,107_석계역굴다리앞,108_물류센터,109_월계현대아파트,110_광운대역,111_신도브래뉴.한전노원변전소,112_인덕삼거리,113_삼화상운차고지(가상),17_종암사거리입구,96_종암사거리입구
2022-03-05 04:00:00,1,2,1,4,2,2,9,10,11,12,14,13,13,14,15,15,16.0,17,18,9,16,4,5,7,17,0,26,24,23,24,0,0,22,20,17,14,13,10,11,0,9,5,10,12,0,10,9,7,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,1,3,0,6,3,4,3,2,0,4,3,4,7,5,6,5,6.0,7,6,3,7,8,6,7,4,5,5,4,3,4,6,0,0,2,2,3,3,4,2,1,2,3,3,4,2,8,8,6,7,8,7,6,0,1,1,1,0,0,1,0,2,0,2,3,2,0,1,2,3,4,5,6,2,0,6,6,0,4,5,0,4,0,0,2,3,0,0,1,2,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,1,0,2,1,2,2,5,0,6,2,7,6,4,5,6,5,6.0,8,9,10,11,12,8,11,5,10,9,3,3,7,3,0,0,0,1,2,2,3,0,0,2,1,3,5,6,3,3,3,1,3,2,1,1,0,0,0,0,1,1,1,2,2,0,2,2,1,0,2,2,4,5,4,3,3,4,4,5,0,0,3,0,4,3,4,5,4,5,2,2,0,1,0,0,3,4,3.0,1,0,2,1,0,2,1,1,2,0,1,2,1,1,0,0,0,,
2022-03-05 07:00:00,1,3,4,3,6,7,5,6,2,2,4,5,7,7,10,12,9.0,8,10,7,8,3,9,8,6,8,7,5,6,5,2,2,1,1,0,3,2,3,0,0,1,2,4,4,2,3,4,3,2,3,4,2,1,1,1,1,0,2,0,1,1,2,3,3,2,2,3,4,3,6,7,0,3,3,5,3,4,0,2,0,0,3,3,4,3,2,3,1,2,3,3,1,3,3,3,5.0,4,3,3,4,3,2,3,2,0,1,1,0,0,1,0,0,0,,
2022-03-05 08:00:00,1,1,2,2,4,5,6,5,7,7,10,6,11,10,12,11,8.0,8,10,8,9,8,6,7,7,9,9,7,4,4,3,0,3,0,0,6,0,5,6,0,6,8,12,14,12,10,8,5,4,7,8,4,3,2,2,2,0,3,3,4,4,4,5,5,5,7,8,7,11,14,12,8,5,4,5,4,3,0,4,0,2,3,2,3,2,2,3,4,0,3,5,6,5,5,6,5.0,6,6,6,5,4,7,6,7,8,6,1,1,0,0,0,0,0,,
2022-03-05 09:00:00,0,1,2,5,7,6,12,13,9,12,14,13,13,14,9,10,8.0,13,14,12,12,10,13,11,13,9,10,8,7,8,7,5,6,4,0,5,4,3,1,0,3,3,9,19,18,14,15,11,10,10,10,5,3,2,2,2,0,3,4,5,6,6,7,6,5,5,13,16,16,13,11,14,11,10,10,7,6,3,3,0,0,6,2,6,7,5,5,7,5,6,5,6,3,7,6,9.0,11,14,12,11,10,9,8,7,8,6,5,3,4,3,0,2,0,,
2022-03-05 10:00:00,1,1,0,1,3,4,5,5,7,10,11,12,8,11,13,12,9.0,9,11,7,12,13,9,9,8,7,10,10,9,6,3,4,4,5,2,6,4,5,3,4,6,5,8,10,11,9,10,8,9,9,9,8,4,1,1,1,0,3,4,5,5,5,6,5,8,9,8,0,8,15,17,14,9,6,6,4,9,6,11,0,9,7,7,8,10,9,7,5,4,4,5,4,4,3,5,6.0,1,7,7,5,4,6,6,5,6,2,1,0,2,1,0,1,0,,
2022-03-05 11:00:00,0,4,0,6,4,8,12,12,8,11,11,12,14,15,20,20,16.0,13,14,14,14,16,10,12,12,8,11,10,9,8,0,0,0,8,3,6,5,6,6,6,8,9,17,20,19,15,16,11,12,11,13,10,2,2,2,2,0,5,7,7,8,9,8,11,12,11,16,12,17,17,19,19,11,12,11,7,6,7,7,0,6,5,7,8,6,2,6,6,7,6,6,5,4,4,5,10.0,6,9,13,13,12,0,12,7,0,3,3,2,5,3,1,0,0,,
2022-03-05 12:00:00,0,3,5,6,9,7,8,9,10,9,11,10,10,9,14,14,12.0,14,14,13,12,15,19,13,11,11,12,16,15,12,8,16,10,9,9,10,9,8,10,9,11,13,10,15,16,17,12,14,11,13,11,7,6,3,3,3,0,8,9,10,9,11,14,16,14,13,17,17,15,17,11,16,11,12,12,13,10,12,10,9,9,10,10,12,9,9,8,9,5,6,5,6,5,4,6,10.0,11,11,12,13,10,9,10,11,9,6,5,3,2,3,2,0,0,,
2022-03-05 13:00:00,0,2,2,1,3,1,12,15,14,11,9,13,14,14,14,13,7.0,10,12,11,8,9,7,8,10,12,13,11,12,8,4,4,3,7,8,10,7,9,9,8,10,11,15,21,21,18,17,15,15,12,10,7,2,0,0,0,0,4,6,8,5,8,9,9,10,13,16,15,18,20,18,17,13,0,12,12,14,14,0,10,13,12,13,11,11,9,11,12,12,11,11,10,10,9,8,9.0,8,6,7,10,9,6,7,6,7,4,4,3,1,2,1,0,0,,
