Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내데시앙아파트후문,4_서울의료원후문,5_중랑소방서,6_신내7단지아파트홈플러스,7_신내6단지아파트,8_봉화산역3번출구,9_신내8단지아파트.서울의료원,10_신내9단지아파트,11_신내10단지아파트,12_중랑구청사거리,13_성원아파트경남아너스빌앞,14_국민은행망우동지점,15_망우지구대,16_상봉터미널,17_망우3동주민센터.혜원여중고후문,18_동원시장,19_면목본동파출소,20_중화중학교.다문화가족지원센터,21_면중초등학교,22_면목동금호어울림아파트,23_면목동대원칸타빌아파트,24_용마폭포공원,25_용마산역,26_면목동,27_용암사입구,28_대원고교앞,29_중곡동종점,30_신성시장앞,31_중곡동입구,32_중곡동입구삼거리,33_군자역4번출구.용마초등학교,34_군자역먹자골목사거리,35_군자동주민센터앞,36_세종초등학교.세종사이버대학교앞,37_군자새마을금고앞,38_장안초등학교,39_화양사거리,40_성동세무서,41_제인병원,42_성수2가3동주민센터,43_리버하우스,44_상원,45_한양대정문앞,46_서울숲삼부아파트,47_왕십리역,48_코스모타워.서울신용보증재단성동지점,49_상왕십리역,50_왕십리센트라스아파트,51_성동고등학교,52_신당역.중앙시장앞,53_충무아트센터.스포츠센터.중부소방서,54_동대문역사문화공원,55_동대문디자인플라자,56_서울기동대.광희초등학교,57_신당역.중앙시장앞,58_성동고등학교,59_신당파인힐하나유보라,60_뉴타운아파트,61_상왕십리역,62_왕십리2동주민센터,63_왕십리역,64_행당1동주민센터.성동소방서,65_한양대정문,66_상원,67_리버하우스,68_성수2가3동주민센터,69_성동세무서앞,70_우리은행화양동지점,71_장안초등학교,72_군자새마을금고.성동광진위센터,73_세종초교앞,74_군자삼거리,75_능동우편취급국,76_KEB하나은행군자동지점,77_군자역5번출구.용마초등학교,78_중곡동입구삼거리,79_중곡동입구,80_신성시장,81_중곡동종점,82_대원고교앞,83_용암사입구,84_면목동,85_용마산역,86_용마폭포공원,87_면목동금호어울림아파트,88_한양수자인사가정파크,89_면중초등학교,90_중화중학교,91_중화중학교삼거리,92_면목본동파출소,93_동원시장,94_망우3동주민센터.혜원여중고후문,95_상봉터미널,96_망우역,97_국민은행망우동지점,98_성원아파트경남아너스빌앞,99_중랑구청사거리,100_신내동성3차아파트,101_신내동성1.2차아파트,102_신내9단지아파트.서울의료원,103_봉화산역2번출구,104_신내6단지,105_신내7단지아파트홈플러스,106_중랑소방서,107_서울의료원후문,108_신내데시앙아파트후문,109_중랑공영차고지,110_중랑공영차고지.신내역,111_중랑공영차고지(가상)
2022-03-05 04:00:00,0,1,1,0,0,0,0,0,1,3,4,5,0,4,5,4,9,10,3,7,0,0,5,7,3,5,5,6,8,11,14,13,11,10,11,12,12,11,11,16,0,0,13,11,0,7,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,1,0,2,2,3,0,0,2,2,4,5,6,12,8,13,9,14,8,15,16,0,16,18,20,16,9,8,9,5,8,9,10,7,10,11,13,12,8,6,2,3,6,5,5,3,1,4,7,14,16,17,16,15,16,13,12,15,16,0,12,14,11,8,10,5,5,7,8,4,7,4,0,4,0,0,3,4,0,3,6,0,5,0,0,6,0,0,6,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,0,1,3,3,3,2,4,5,3,0,2,3,2,4,6,10,5,5,9,8,9,0,7,10,13,12,9,11,10,5,12,10,9,9,9,7,0,6,5,5,3,4,4,4,3,2,1,0,0,2,1,4,5,3,0,2,5,4,5,4,3,0,0,2,4,5,7,6,6,3,5,5,0,4,7,8,5,4,6,4,3,0,3,4,0,5,2,6,7,5,3,1,4,3,2,4,4,1,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,0,1,0,0,3,3,4,3,6,2,5,10,4,8,8,7,9,9,0,10,10,10,12,12,10,10,14,16,13,10,9,12,16,17,18,19,21,19,8,5,16,14,2,10,8,4,7,3,2,1,2,0,2,3,4,4,0,1,5,0,2,6,4,6,5,5,4,5,7,8,4,7,6,7,0,9,10,9,8,7,11,10,11,7,13,8,4,5,11,11,11,8,5,4,2,4,5,5,6,1,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,0,1,1,0,1,2,5,6,6,7,9,8,8,9,11,10,9,8,13,14,13,13,11,10,10,11,12,12,15,14,11,9,10,12,16,17,16,15,14,10,16,9,17,13,14,13,13,14,9,7,5,3,3,1,0,2,3,4,3,1,5,2,0,7,6,2,2,7,9,10,11,10,5,11,8,11,5,7,10,11,9,7,8,10,6,9,11,12,13,15,13,10,16,14,8,6,8,6,5,9,10,1,1,0,0,0,0,0,0,0
2022-03-05 09:00:00,0,1,1,3,0,2,0,7,9,9,6,8,9,7,6,8,9,9,10,12,14,14,15,14,13,14,13,11,15,13,14,12,11,12,11,15,14,13,14,17,15,14,13,14,13,11,4,10,8,4,6,3,2,1,0,0,2,1,3,1,5,4,4,5,5,6,0,5,5,7,10,13,12,13,12,7,12,13,8,6,8,8,10,11,10,12,11,11,15,16,16,21,23,23,18,13,14,12,10,3,9,6,2,0,0,0,1,0,0,0,0
2022-03-05 10:00:00,0,0,0,1,0,0,1,6,8,6,7,6,8,8,9,10,4,9,9,9,10,15,10,13,12,13,14,16,16,23,15,21,11,12,11,14,15,13,14,15,13,15,14,13,11,8,11,8,6,6,5,5,5,3,1,0,5,7,9,0,11,11,12,11,11,13,12,11,12,9,9,14,17,18,19,12,19,20,19,11,6,10,8,9,10,11,12,12,14,14,14,14,17,15,14,8,8,7,8,9,8,6,0,0,1,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,1,0,0,0,0,3,5,6,4,7,7,12,13,14,15,15,13,14,16,14,14,12,11,11,12,13,12,17,20,20,15,17,19,16,17,19,16,19,21,20,16,17,16,16,15,14,10,9,8,9,7,2,1,0,6,7,10,11,9,8,11,12,17,16,8,15,14,8,13,13,12,13,11,10,13,12,15,14,9,12,10,10,9,11,10,12,13,14,14,15,19,19,14,10,11,8,8,8,7,7,4,1,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,2,1,0,0,0,8,10,12,10,12,10,9,8,11,13,17,9,18,18,13,12,14,14,13,14,14,15,23,28,25,23,19,17,19,19,17,17,19,18,14,17,16,12,5,6,13,12,13,11,9,5,2,3,2,4,5,4,4,6,7,9,10,11,6,12,11,10,11,10,11,12,15,9,16,17,16,16,12,12,11,10,12,14,14,15,16,15,15,17,18,14,12,10,9,11,9,7,7,8,2,1,0,0,0,0,0,0,0,0
2022-03-05 13:00:00,0,2,1,2,0,0,2,7,8,7,8,6,7,7,8,8,8,9,9,10,9,12,14,10,15,14,13,14,16,20,18,17,13,14,14,19,16,18,20,26,24,26,27,25,17,15,12,13,13,12,12,10,6,2,3,3,7,9,9,8,10,9,9,10,14,13,16,19,12,15,18,25,23,21,0,20,19,18,17,20,19,10,12,18,16,16,17,16,19,20,18,20,22,24,18,12,11,9,9,10,10,9,0,0,0,0,0,0,0,0,0
