Unnamed: 0,1_성수동차고지,2_성수동진주타운,3_제민약국,4_영동대교,5_영동대교북단,6_노룬산시장앞,7_국민은행신자양지점,8_자양4동주민센터앞,9_신양초등학교앞,10_국민은행신자양지점,11_노룬산시장앞,12_영동대교,13_제민약국,14_성수동진주타운,15_뚝도시장구길,16_서울숲지구대앞,17_성수1가새마을금고,18_천주교성수동성당앞,19_뚝도아리수정수센터수도박물관,20_서울숲,21_성동구민종합체육센터,22_성동교남단,23_한양대정문앞,24_서울숲삼부아파트,25_왕십리역,26_코스모타워.서울신용보증재단성동지점,27_상왕십리역,28_왕십리센트라스아파트,29_성동고등학교,30_신당역.중앙시장앞,31_충무아트센터.스포츠센터.중부소방서,32_을지로6가.국립중앙의료원,33_방산시장.훈련원종합체육관,34_종로5가,35_동대문역사문화공원,36_동대문역사문화공원,37_충무아트센터.스포츠센터.중부소방서,38_신당역.중앙시장앞,39_성동고등학교,40_신당파인힐하나유보라,41_뉴타운아파트,42_상왕십리역,43_왕십리2동주민센터,44_왕십리역,45_행당1동주민센터.성동소방서,46_한양대정문,47_성동교남단,48_성동구민종합체육센터,49_서울숲,50_뚝도아리수정수센터수도박물관,51_천주교성수동성당앞,52_성수1가1동새마을금고,53_서울숲지구대앞,54_뚝도시장구길,55_성수동진주타운,56_제민약국,57_영동대교,58_영동대교북단,59_노룬산시장앞,60_국민은행신자양지점,61_자양4동주민센터앞,62_신양초등학교앞,63_국민은행신자양지점,64_노룬산시장앞,65_영동대교,66_제민약국,67_성수동진주타운
2022-03-05 04:00:00,0,1,0,0,0,0,0,2,4,6,3,4,7,0,9,11,12,8,0,5,13,12,14,15,14,13,12,6,8,8,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,0,0,0,0,1,2,2,5,3,4,5,6,9,11,6,12,9,5,10,6,5,3,6,5,5,4,4,4,2,2,3,0,5,9,9,10,10,0,11,12,10,8,6,4,5,4,0,3,3,4,0,0,7,6,5,4,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,2,0,0,1,0,0,1,1,2,4,1,5,6,5,5,6,7,4,8,7,3,2,6,6,6,6,0,7,5,3,2,1,1,0,0,3,4,1,5,0,1,3,4,6,6,4,5,1,0,4,2,5,0,4,0,3,1,0,0,0,0,1,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,0,0,0,0,3,2,2,4,3,3,5,11,14,16,15,10,13,11,10,9,8,7,6,5,5,6,5,5,3,1,2,2,3,3,4,5,6,8,9,0,2,8,7,8,0,0,3,7,6,4,4,2,2,1,0,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,1,3,0,0,1,0,2,1,1,4,2,5,5,7,9,15,18,24,22,19,22,18,14,15,13,9,9,10,10,7,7,6,3,2,4,3,3,5,5,7,0,7,5,9,0,5,6,6,5,5,4,4,5,5,6,0,4,1,0,0,0,1,0,0,2,0,0
2022-03-05 09:00:00,2,1,2,2,2,0,0,0,2,3,3,5,9,11,13,16,17,17,16,15,13,12,11,13,10,8,7,8,10,9,11,9,7,3,5,7,7,4,9,4,10,11,11,11,10,11,8,12,8,7,8,9,9,8,4,7,5,4,1,2,0,2,3,0,2,0,0
2022-03-05 10:00:00,0,2,3,2,0,0,0,0,3,6,3,8,9,6,14,16,12,19,17,13,12,10,12,11,8,10,8,8,8,9,8,7,6,3,4,2,4,5,9,6,7,12,16,19,12,24,21,20,10,5,11,10,9,8,4,7,2,3,0,2,1,1,0,0,2,0,0
2022-03-05 11:00:00,0,1,0,0,0,0,0,1,4,7,9,5,10,11,12,13,18,19,18,18,19,20,14,15,15,14,12,11,12,14,13,8,4,5,6,6,8,8,11,10,9,10,10,10,11,12,11,17,16,14,16,9,11,9,10,8,6,2,0,1,0,2,3,0,1,2,0
2022-03-05 12:00:00,0,0,1,0,0,0,0,1,5,4,3,4,5,7,9,14,18,19,18,19,21,18,17,16,13,12,15,15,8,8,9,6,5,6,7,10,11,13,16,18,20,17,15,17,18,20,18,16,18,15,14,11,8,8,7,6,5,6,0,3,2,0,1,0,0,0,0
2022-03-05 13:00:00,0,2,0,0,0,1,0,1,4,5,3,8,10,9,12,15,18,24,22,24,25,22,21,20,19,18,15,14,14,13,12,11,8,9,16,14,15,16,14,16,14,18,16,19,19,17,16,12,15,13,14,12,9,9,7,10,8,6,5,5,1,3,5,0,2,4,0
2022-03-05 14:00:00,0,0,1,0,3,0,0,2,7,8,9,12,13,17,18,22,22,24,24,24,27,23,23,22,18,14,11,12,14,14,15,10,8,12,18,19,18,18,18,17,18,15,24,29,38,40,19,23,29,9,23,21,12,13,10,4,7,3,0,2,0,1,2,0,2,1,0
2022-03-05 15:00:00,1,2,0,0,0,0,0,1,1,6,5,7,8,5,9,10,16,18,17,20,18,19,19,16,16,16,17,19,20,19,11,14,8,15,16,19,18,19,21,24,14,26,26,25,25,27,37,27,28,26,24,22,20,18,17,15,14,9,7,2,0,2,0,0,3,2,0
2022-03-05 16:00:00,0,1,0,0,2,2,1,1,4,7,7,9,8,7,8,11,14,16,15,20,26,25,22,20,26,24,23,22,16,17,8,15,15,9,13,0,14,19,19,21,12,20,18,21,18,21,18,21,25,26,24,21,15,12,11,4,7,7,6,4,2,2,4,5,4,2,0
2022-03-05 17:00:00,0,0,0,0,0,0,1,1,3,5,7,9,7,8,11,13,14,13,14,16,25,25,23,25,21,15,15,12,10,9,10,9,6,8,21,16,20,19,17,19,18,18,19,18,19,19,18,18,19,19,20,16,11,12,10,7,11,9,7,2,1,3,0,1,1,0,0
2022-03-05 18:00:00,1,2,0,0,0,1,0,1,5,6,7,11,10,12,9,11,6,12,11,12,13,12,15,11,14,18,13,10,10,9,11,8,7,10,13,12,14,18,18,18,17,17,15,17,19,18,17,16,17,19,18,18,17,14,11,5,0,7,4,1,0,2,3,0,0,1,0
2022-03-05 19:00:00,0,0,0,0,1,0,0,2,7,8,11,4,12,14,8,11,12,11,12,12,19,20,17,14,13,10,9,8,6,7,1,5,3,8,21,17,20,17,18,17,11,17,16,15,15,15,14,14,18,15,16,17,9,6,6,5,4,7,8,6,3,2,5,0,4,2,0
2022-03-05 20:00:00,1,2,3,0,2,0,1,0,3,1,4,0,0,0,5,2,0,6,0,6,18,17,10,13,10,11,9,7,6,5,5,3,2,5,9,12,11,11,3,5,10,7,10,12,11,12,10,10,16,15,11,10,10,9,8,8,0,6,5,2,1,2,3,0,0,1,0
2022-03-05 21:00:00,0,1,0,0,2,0,0,0,3,0,4,5,2,3,4,8,9,9,4,11,12,13,12,10,8,10,8,5,5,4,3,3,2,3,4,3,5,7,8,0,6,7,8,9,7,11,9,10,12,2,10,6,2,5,6,5,3,6,4,1,1,2,0,0,1,0,0
2022-03-05 22:00:00,0,0,0,0,1,0,0,1,3,7,3,5,0,0,4,5,7,5,0,6,8,6,0,4,0,5,4,3,4,2,0,2,2,4,7,8,7,11,10,9,0,6,8,8,9,12,11,12,21,20,16,13,8,8,5,6,4,2,3,1,2,0,0,0,1,0,0
