Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내교회.신내데시앙아파트,4_동성프라자앞,5_중랑구청사거리,6_성원아파트경남아너스빌앞,7_국민은행망우동지점,8_망우역.망우지구대,9_망우역.상봉터미널,10_지하철7호선상봉역,11_면목초등학교,12_지하철7호선면목역,13_면목본동주민센터.면목정보도서관,14_면동초등학교,15_면목우체국.녹색병원,16_지하철7호선사가정역,17_사가정역,18_면목두산아파트2차,19_사가정센트럴아이파크아파트,20_장안교앞,21_장안2동주민센터,22_배봉초등학교.전농우성아파트,23_전동초등학교.전농동SK아파트,24_전농사거리,25_전농우체국앞,26_청솔우성아파트.답십리시장,27_답십리1동희망샘교회앞,28_답십리초등학교앞,29_황물로사거리,30_답십리역.동부시장,31_신답역앞,32_청계한신휴플러스아파트,33_동대문구청.용두역,34_마장축산물시장,35_도선사거리,36_성동구청,37_코스모타워.서울신용보증재단성동지점,38_상왕십리역,39_왕십리센트라스아파트,40_성동고등학교,41_신당역.중앙시장앞,42_충무아트센터.스포츠센터.중부소방서,43_동대문역사문화공원,44_청계7가.동평화.청평화시장,45_성동공업고등학교(무궁화회관),46_신당역.중앙시장앞,47_성동고등학교,48_신당파인힐하나유보라,49_뉴타운아파트,50_상왕십리역,51_왕십리2동주민센터,52_성동구청,53_도선사거리,54_마장축산물시장,55_동대문구청.용두역4번출구,56_신답역,57_답십리1동주민센터.래미안위브,58_동대문중학교,59_대한노인회동대문구지회,60_전농사거리,61_전동초등학교.전농동SK아파트,62_배봉초등학교.전농우성아파트,63_장안2동주민센터,64_장안교은석초등학교,65_홈플러스면목동점,66_면목두산아파트2차,67_사가정역,68_면목우체국.녹색병원,69_면동초등학교,70_면목본동주민센터.면목정보도서관,71_지하철7호선면목역,72_면목초등학교,73_지하철7호선상봉역,74_지하철7호선상봉역,75_망우역.상봉터미널,76_망우역.망우지구대,77_국민은행망우동지점,78_성원아파트경남아너스빌앞,79_중랑구청사거리,80_동성프라자앞,81_신내교회.신내데시앙아파트,82_중랑공영차고지,83_중랑공영차고지.신내역,84_중랑공영차고지(가상)
2022-03-05 04:00:00,0,0,1,2,3,0,0,3,5,1,4,2,4,4,3,0,4,1,3,5,0,6,5,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,2,3,5,3,8,6,7,10,5,11,10,8,5,5,3,6,5,4,4,6,4,7,8,10,10,9,7,6,6,7,5,5,4,2,5,2,4,3,1,7,6,7,8,3,0,2,9,5,10,11,11,9,0,3,0,0,4,10,9,0,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,3,3,5,6,7,8,8,7,4,8,8,7,6,13,12,12,10,9,6,9,8,6,9,12,9,9,6,5,6,4,5,3,5,6,3,3,3,2,2,2,2,2,2,1,0,1,5,4,5,2,5,4,3,2,3,4,4,5,7,9,8,7,8,7,4,7,1,9,5,11,8,6,3,2,0,3,2,0,1,0,0
2022-03-05 07:00:00,0,2,3,8,8,8,7,11,9,8,7,8,7,7,8,9,15,16,15,12,14,7,10,7,8,10,13,13,10,13,10,4,9,9,10,5,8,7,4,4,4,5,2,1,2,4,5,1,3,1,4,3,2,4,4,4,4,4,4,3,8,10,7,6,5,5,4,5,7,8,11,9,12,10,7,4,2,2,1,1,0,1,0,0
2022-03-05 08:00:00,0,4,7,6,10,17,16,16,17,13,12,13,14,14,9,15,20,19,21,20,14,15,16,14,17,18,18,20,18,20,21,21,9,19,17,14,12,10,10,6,4,4,3,4,6,7,6,7,7,9,11,13,12,12,11,12,9,6,11,13,16,14,20,24,25,22,10,11,8,8,7,8,11,9,9,7,6,5,4,3,1,1,0,0
2022-03-05 09:00:00,0,3,7,14,13,16,16,21,19,15,14,15,15,15,10,12,11,6,12,11,12,15,16,13,12,14,18,19,17,14,16,11,9,11,11,9,8,9,10,8,6,5,3,2,3,5,6,6,7,6,6,7,6,7,9,10,11,10,10,10,12,9,14,16,20,17,8,7,11,13,14,14,12,11,10,7,6,5,3,1,0,0,0,0
2022-03-05 10:00:00,0,2,4,8,12,14,13,16,16,13,7,9,10,7,6,8,14,13,14,13,17,19,19,19,17,20,24,23,22,22,21,7,16,16,18,14,12,11,8,5,4,3,2,2,3,4,6,9,9,8,9,7,6,6,8,9,10,11,11,12,13,13,15,15,14,13,9,12,12,12,15,16,13,13,11,8,8,7,5,4,3,1,0,0
2022-03-05 11:00:00,0,3,4,5,12,17,16,11,13,16,15,14,10,12,12,11,16,15,15,14,15,20,19,20,20,20,20,15,17,15,13,12,11,12,12,13,13,11,11,11,8,5,6,6,4,6,7,7,8,15,14,19,16,17,19,18,20,19,20,16,17,19,18,21,21,19,15,17,19,23,23,23,23,21,15,10,11,9,4,2,1,0,0,0
2022-03-05 12:00:00,2,3,5,5,10,12,14,18,14,14,6,11,10,10,9,5,13,14,15,13,21,22,26,24,24,16,20,25,22,20,16,18,17,16,17,14,13,11,10,7,6,6,4,3,5,15,11,16,15,18,22,21,17,19,25,23,23,22,23,24,20,19,21,20,20,19,15,17,21,16,21,19,18,15,13,12,12,7,5,2,4,3,0,0
2022-03-05 13:00:00,2,5,6,10,18,19,20,20,20,14,13,13,13,14,11,15,20,12,23,22,24,24,21,20,21,20,23,25,22,17,16,15,8,12,11,8,8,8,6,8,5,4,3,5,2,7,9,10,9,15,14,13,15,14,18,20,20,11,19,22,21,20,20,22,21,16,12,12,18,22,25,24,31,31,23,23,19,14,8,5,4,1,0,0
