Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내교회.신내데시앙아파트,4_신내초등학교,5_능산지하차도,6_우림시장.망우사거리,7_망우역.망우지구대,8_망우역.상봉터미널,9_지하철7호선상봉역,10_면목아남아파트,11_면목사거리,12_녹색병원입구,13_면목두산아파트1차,14_면목두산아파트4.5단지,15_면목119안전센터,16_면곡시장,17_중곡아파트,18_중곡삼거리,19_중곡1동사거리,20_중곡1동주민센터입구,21_메리놀외방선교회,22_KEB하나은행군자동지점,23_군자삼거리,24_세종초등학교.세종사이버대학교앞,25_군자새마을금고앞,26_장안초등학교,27_화양리,28_어린이대공원역.화양천주교회,29_서울화양초등학교,30_건대입구역사거리.건대병원,31_건대입구역1번출구,32_성수사거리,33_성수역1번출구,34_뚝섬역4번출구,35_뚝섬역2번출구,36_성동교남단,37_한양대정문앞,38_서울숲삼부아파트,39_왕십리역,40_무학여고,41_응봉동주민센터,42_응봉동현대아파트,43_삼성래미안아파트앞,44_금남시장앞.백범학원터,45_금옥초등학교앞,46_옥수삼성아파트.래미안옥수리버젠,47_옥정중학교입구,48_한남시범아파트,49_한남동,50_순천향병원입구,51_한남역.용산노인종합복지관,52_한남동하이페리온,53_보광신동아아파트삼성리버빌아파트,54_동빙고동,55_서빙고동주민센터,56_서빙고역교차로,57_서빙고역1번출구,58_서빙고신동아아파트,59_이촌동현대아파트,60_이촌동강촌아파트,61_신용산초등학교,62_이촌동한가람아파트.이촌역,63_이촌동두산위브트레지움.한강대우아파트,64_서부이촌동입구,65_이촌2동대림아파트.새남터성지,66_이촌2동주민센터,67_성촌공원.포르쉐센터용산,68_이촌119안전센터.성촌공원,69_원효로풍전아파트,70_원효로3가,71_원효로2가사거리,72_남정초등학교,73_용산꿈나무종합타운.보건분소,74_효창공원앞역,75_국민은행효창동지점,76_효창공원삼거리.윤봉길의사등묘역,77_숙명여대후문.이봉창활동터,78_효창공원후문,79_한겨레신문사입구,80_대한노인회,81_효창운동장.효창동주민센터,82_서울금양초등학교.국민은행효창동지점,83_효창공원앞역,84_용산꿈나무종합타운.보건분소,85_원효로2가,86_원효로3가,87_원효풍전아파트,88_성촌공원.포르쉐센터용산,89_이촌2동주민센터,90_이촌2동대림아파트.새남터성지,91_이촌2동강변아파트,92_이촌동동부센트레빌,93_이촌1동충신교회앞,94_이촌동한강맨션.이촌역,95_신용산초등학교,96_이촌동점보아파트,97_금강병원.반도아파트,98_서빙고신동아아파트,99_서빙고역1번출구,100_서빙고동,101_동빙고동,102_한남역.용산노인종합복지관,103_순천향병원입구,104_한남동,105_한남시범아파트,106_옥정중학교입구,107_옥수삼성아파트.래미안옥수리버젠,108_미타사입구,109_금옥초등학교앞,110_금남시장앞.백범학원터,111_삼성래미안아파트앞,112_응봉동현대아파트,113_응봉동주민센터,114_응봉사거리,115_무학여고앞,116_왕십리역,117_행당1동주민센터.성동소방서,118_한양대정문,119_성동교남단,120_뚝섬역8번출구,121_뚝섬역5번출구,122_성수역4번출구,123_성수사거리,124_건대입구역6번출구,125_건대입구(가상),126_건대입구역사거리.건대병원,127_어린이대공원역.화양천주교회,128_화양리,129_장안초등학교,130_군자새마을금고.성동광진위센터,131_세종초교앞,132_군자삼거리,133_능동우편취급국,134_KEB하나은행군자동지점,135_메리놀외방선교회,136_중곡1동주민센터입구,137_중곡1동사거리,138_중곡삼거리,139_중곡아파트,140_면곡시장,141_늘푸른동아아파트,142_경남아너스빌아파트앞,143_면목두산아파트4.5단지,144_면목두산아파트2.3단지,145_면목두산아파트1차,146_녹색병원입구,147_면목사거리,148_아남리치카운티아파트,149_지하철7호선상봉역,150_망우역.상봉터미널,151_망우역.망우지구대,152_우림시장.망우사거리,153_능산지하차도,154_신내새한아파트앞,155_신내교회.신내데시앙아파트,156_중랑공영차고지,157_중랑공영차고지.신내역,158_중랑공영차고지(가상),74_효창공원앞역.이봉창역사울림관,83_효창공원앞역.이봉창역사울림관
2022-03-05 04:00:00,0,1,0,2,3,0,5,0,3,6,2,7,0,8,0,7,7,9,10,3,9,11,12,13,15,8,0,15,13,12,9,3,13,8,12,11,9,13,10,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,0,1,2,3,3,5,6,0,3,4,0,5,8,0,2,9,4,6,6,5,0,8,4,0,8,9,0,11,6,8,11,9,8,6,5,5,6,5,4,5,5,5,4,4,0,2,3,0,1,2,2,1,3,3,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,2.0,1,0,0,2,1,0,0,0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,1,0,0,3,5,2,6,1,6,5,6,2,6,3,6,7,5,3,4,4,6,5,6,8,8,7,8,3,5,7,6,7,7,3,2,6,5,2,4,5,5,2,4,4,5,6,5,4,2,2,4,0,5,5,4,3,2,2,0,1,2,1,0,1,2,4,0,0,3,2,2,3,1,4.0,2,1,0,2,1,1,2,0,2.0,0,2,1,0,4,4,6,7,1,4,5,2,3,2,1,2,0,3,5,4,3,2,0,1,0,3,3,5,3,0,0,1,2,0,3,2,3,3,0,0,0,0,4,0,0,3,0,0,2,0,1,1,2,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 07:00:00,0,0,1,5,6,7,6,7,6,3,7,8,2,5,4,4,5,6,6,6,5,6,7,0,6,4,6,7,6,7,9,8,6,7,5,3,9,6,0,3,7,6,7,6,6,5,4,4,2,1,3,2,3,4,0,0,0,3,3,3,0,3,2,3,3,3,2,1,3,3,0,1,2,5.0,6,0,0,1,0,1,0,1,2.0,3,0,4,3,4,3,4,5,0,1,4,3,0,1,0,2,1,4,2,2,3,1,3,2,0,4,8,1,7,6,6,6,5,0,3,4,1,4,3,1,2,1,1,0,2,3,2,2,0,2,1,2,1,3,0,2,4,3,6,5,1,5,6,5,5,6,4,2,2,2,0,0,1,0,0,,
2022-03-05 08:00:00,0,2,5,6,7,8,9,5,6,7,12,15,14,7,13,10,9,10,10,11,10,10,13,16,16,15,16,15,14,12,14,16,13,12,8,13,11,1,10,11,5,12,11,8,8,8,9,7,5,3,7,6,7,4,8,8,5,8,7,5,5,5,3,6,6,2,7,6,6,6,5,3,4,5.0,5,4,3,2,1,0,2,0,4.0,0,1,5,6,4,5,9,7,8,7,5,3,6,5,3,5,4,6,10,8,10,8,9,6,7,6,9,8,10,11,9,9,9,8,6,4,5,7,7,8,6,5,7,1,5,5,6,5,0,4,3,6,5,4,4,5,4,7,8,10,6,9,10,9,8,10,7,6,5,0,6,3,2,0,0,,
2022-03-05 09:00:00,0,4,5,6,5,8,9,5,6,7,3,7,6,8,8,6,9,11,16,14,11,13,14,15,17,18,17,17,16,12,12,9,9,8,7,8,10,7,6,9,9,8,10,11,10,9,8,9,8,6,4,3,7,7,4,5,4,7,7,4,5,6,6,5,6,1,2,1,9,8,7,7,6,7.0,9,5,1,4,2,1,2,2,5.0,0,8,7,8,5,6,6,12,5,10,6,7,6,6,7,9,9,12,11,11,13,6,6,13,12,13,11,13,12,12,11,12,10,10,11,6,9,8,5,4,4,2,3,4,5,7,7,5,8,8,6,7,5,4,3,5,4,3,7,5,0,5,10,5,11,9,6,3,2,0,2,1,0,0,0,,
2022-03-05 10:00:00,0,1,3,6,7,5,7,7,5,4,4,3,5,6,3,6,7,7,8,8,9,10,11,20,22,22,21,21,21,19,11,16,14,10,10,11,10,13,12,12,12,10,9,9,9,8,8,4,6,5,6,4,7,0,8,7,5,13,11,9,6,9,5,6,6,8,8,9,10,7,8,0,5,3.0,0,1,0,2,2,1,0,1,2.0,1,4,5,4,5,8,10,10,12,9,13,15,15,13,7,9,7,8,14,12,9,10,12,14,15,16,16,17,18,20,25,24,21,22,21,16,13,14,6,5,3,1,5,5,4,8,6,8,8,0,9,8,9,7,8,9,9,8,7,8,9,8,3,7,8,8,7,5,5,2,0,0,0,0,0,,
2022-03-05 11:00:00,0,3,8,9,9,7,7,8,7,4,7,9,10,12,13,10,11,11,14,15,15,18,20,24,24,24,23,22,18,14,18,18,19,15,15,12,19,21,23,22,20,23,20,19,18,18,9,9,7,5,6,5,6,4,5,4,1,7,5,8,8,9,10,10,11,14,5,6,11,12,10,9,8,11.0,6,3,0,3,2,1,1,2,3.0,0,4,8,2,7,8,9,17,6,14,7,8,13,12,10,10,9,15,12,9,20,12,13,21,20,19,17,17,19,19,20,17,13,11,14,13,12,12,14,11,11,9,12,10,11,12,13,12,14,11,10,9,10,5,8,10,9,3,3,10,2,4,9,11,2,13,10,5,5,4,2,1,0,0,0,,
2022-03-05 12:00:00,0,1,3,9,7,9,7,10,10,11,10,6,12,10,13,12,13,11,14,21,19,18,22,25,28,27,29,28,26,18,27,27,17,18,13,15,15,14,15,16,12,9,17,9,9,9,18,13,8,9,6,8,9,8,9,7,7,12,5,9,6,8,10,8,6,8,7,9,9,9,8,7,7,12.0,13,10,5,4,3,1,0,6,5.0,6,6,8,8,7,9,10,12,14,12,12,12,13,12,9,9,8,11,15,15,12,13,15,16,15,17,21,21,19,20,20,21,20,13,20,17,22,26,23,20,20,0,10,11,12,16,18,15,12,10,12,13,10,8,9,9,10,10,11,11,9,10,11,11,15,12,8,7,5,3,2,0,0,0,0,,
2022-03-05 13:00:00,2,0,4,8,10,12,9,11,9,10,10,7,11,10,8,12,13,14,16,14,8,15,16,19,20,21,24,23,21,18,20,15,9,15,15,21,17,12,13,10,10,7,11,18,17,16,14,14,15,13,11,6,9,8,8,6,6,10,11,12,12,11,11,12,11,13,6,14,12,11,9,8,5,3.0,5,5,6,6,5,5,5,6,9.0,6,8,8,9,7,8,7,12,6,16,14,15,16,9,8,9,7,8,11,10,12,11,12,14,0,12,16,18,21,21,22,23,18,17,18,15,18,21,25,23,21,18,16,14,21,23,23,24,21,22,22,20,18,16,16,10,11,12,7,11,9,9,11,9,8,9,7,8,5,1,0,0,0,0,0,,
