Unnamed: 0,1_중곡초등학교,2_방약국앞,3_면남초등학교,4_지하철7호선사가정역,5_사가정역,6_면목두산아파트2차,7_사가정센트럴아이파크아파트,8_장안교앞,9_장안2동주민센터,10_장안동현대아파트앞,11_휘경여중고휘경주공아파트,12_휘경공고휘경주공아파트,13_한국산업인력공단서울지역본부,14_동부아동상담소.동국대부속중고,15_장안삼성래미안2차아파트,16_장안삼성래미안2차아파트.성복교회,17_장안현대홈타운앞,18_구민회관앞,19_파라브아파트,20_장한평,21_장한평역,22_북한연구소앞,23_우리은행장안지점앞,24_장평중학교앞,25_래미안장안1차아파트앞,26_장안치안센터,27_장안현대홈타운상가,28_국민은행장안동지점,29_장안사거리,30_동대문구.성동구선거관리위원회,31_촬영소사거리.세양청마루아파트앞,32_답십리2동한양아파트앞,33_한양아파트.청솔우성아파트후문,34_답십리래미안미드카운티,35_답십리1동주민센터.래미안위브,36_신답역앞,37_청계한신휴플러스아파트,38_동대문구청,39_서울시동부병원,40_신설동역.서울풍물시장,41_동묘앞,42_동대문(흥인지문),43_충신동,44_이화동(이화장),45_방송통신대.이화장,46_혜화역.마로니에공원,47_혜화역.동성중고(장면총리가옥),48_삼선교.성북문화원,49_성북동주민센터.동구마케팅고,50_경신중고입구,51_홍익대부속중고등학교입구,52_성북초교.성북선잠박물관,53_성북구립미술관.쌍다리앞,54_동방문화대학원대학교,55_서울다원학교.한용운활동터,56_서울다원학교.한용운활동터,57_동방문화대학원대학교,58_성북구립미술관.쌍다리앞,59_성북초교.성북선잠박물관,60_홍익대부속중고등학교입구,61_경신중고입구,62_성북동주민센터.동구마케팅고,63_삼선교.성북문화원,64_혜화역.서울연극센터(장면총리가옥),65_혜화역.서울대병원입구,66_방송통신대.이화장,67_충신동,68_동대문역.흥인지문,69_숭인동,70_동대문우체국.서울풍물시장,71_용두동신동아아파트,72_용두역,73_동대문구청.용두역4번출구,74_신답역,75_답십리1동주민센터.래미안위브,76_답십리래미안위브아파트,77_답십리종합상가,78_답십리2동두산아파트,79_답십리2동한양아파트앞,80_동답한신.대림아파트동대문체육관,81_촬영소사거리.동답초등학교,82_동대문구.성동구선거관리위원회,83_장안동삼성쉐르빌아파트앞,84_국민은행장안동지점,85_장안현대홈타운아파트앞,86_장안치안센터,87_장평중학교,88_파라브아파트,89_장한평,90_장한평역,91_북한연구소앞,92_우리은행장안지점앞,93_현대벤처빌,94_(구)경남호텔앞,95_장안동삼성쉐르빌아파트,96_새서울병원,97_NH농협장안평지점,98_장안동근린공원,99_장안2동주민센터,100_장안동현대아파트앞,101_휘경여중고휘경주공아파트,102_휘경공고휘경주공아파트,103_한국산업인력공단서울지역본부,104_홈플러스면목동점,105_면목두산아파트2차,106_사가정역,107_면목시장,108_면남초등학교,109_방약국앞,110_중곡초등학교
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,3,2,2,2,3,2,5,7,2,5,6,7,4,6,6,6,6,2,7,6,5,4,8,2,5,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,2,0,1,0,0,1,0,1,0,1,2,0,3,0,3,4,6,5,5,3,0,4,3,4,6,7,5,6,9,8,7,8,7,6,7,6,10,10,5,6,4,3,4,4,0,3,2,0,0,1,0,0,0,0,0,3,2,0,4,3,3,4,3,3,1,4,2,0,4,0,5,0,3,4,0,0,3,1,1,1,3,2,1,0,5,19,18,17,12,4,3,1,4,3,2,1,0,3,0,0,2,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,0,1,2,3,2,0,0,0,1,4,0,5,0,7,6,5,5,4,3,2,4,3,3,4,5,6,7,9,9,6,5,8,2,6,4,3,5,3,3,2,2,0,1,0,5,1,4,4,0,2,3,2,2,1,3,0,7,2,6,5,1,5,6,7,7,0,6,4,4,2,4,2,3,2,0,2,3,0,1,0,1,2,4,0,5,3,8,1,1,6,2,1,5,2,0,1,0,0,1,0,2,0,0,0,0,0,0
2022-03-05 08:00:00,1,0,1,1,4,0,3,0,2,1,3,2,3,2,6,7,5,0,6,5,13,12,12,14,14,11,11,10,10,9,11,10,12,16,16,15,14,15,13,11,10,9,7,7,6,5,2,5,3,2,3,2,1,3,1,1,2,3,3,5,6,5,6,5,6,8,9,10,9,10,8,6,8,6,7,6,0,7,6,5,6,3,4,2,3,5,4,7,4,8,7,11,11,10,11,10,6,7,5,4,3,1,2,2,0,1,1,1,0,0
2022-03-05 09:00:00,2,3,0,1,1,1,0,0,2,0,0,1,2,3,5,8,9,11,12,7,10,9,8,8,3,8,8,8,11,7,10,10,12,16,20,20,21,17,16,14,12,12,11,8,7,4,2,8,3,3,2,6,3,1,0,2,2,4,0,8,7,8,4,2,5,5,4,6,5,4,5,4,4,6,6,6,0,4,8,7,4,3,5,4,4,5,3,4,9,10,7,9,9,9,7,7,6,3,3,2,2,2,3,3,1,2,0,0,0,0
2022-03-05 10:00:00,1,0,1,0,3,3,4,3,2,0,3,9,11,5,7,0,10,13,11,7,7,6,6,5,8,7,7,11,13,14,15,13,15,19,21,22,23,22,21,16,13,10,9,6,7,4,4,10,11,0,9,5,3,2,0,4,5,7,0,9,13,13,8,8,10,10,10,10,7,8,7,6,8,5,8,5,7,5,0,5,0,7,5,4,5,8,8,9,5,9,0,8,7,6,3,2,1,0,0,0,3,4,1,1,0,1,0,0,0,0
2022-03-05 11:00:00,0,0,0,1,3,2,4,3,2,0,3,4,0,10,9,8,9,12,13,5,8,7,5,8,10,10,12,15,14,15,14,14,12,15,15,18,17,18,21,17,14,15,13,13,10,6,7,14,12,11,9,7,8,4,2,6,9,10,2,3,5,9,7,5,8,5,9,6,8,7,6,5,9,7,10,9,7,9,10,7,0,6,6,5,3,6,5,7,6,14,13,13,10,3,7,7,6,4,2,0,3,3,4,0,3,1,0,1,0,0
2022-03-05 12:00:00,1,0,3,0,4,0,1,3,1,2,1,1,3,3,5,6,5,10,11,10,11,10,8,8,8,8,9,10,16,18,18,17,18,20,19,18,18,25,13,15,16,20,19,18,18,8,6,9,7,8,7,5,5,3,1,3,4,8,4,10,14,16,18,9,13,11,11,13,12,11,9,1,11,11,12,11,13,14,12,10,8,7,5,5,4,5,5,6,5,13,0,14,13,12,11,10,9,8,8,7,4,2,4,3,2,1,0,1,0,0
2022-03-05 13:00:00,0,0,0,2,3,0,4,0,1,0,0,2,2,2,6,5,12,6,13,8,11,11,13,16,12,16,10,14,22,19,20,20,22,23,25,13,9,12,27,26,26,25,21,20,18,10,9,7,6,3,3,2,2,0,1,3,7,9,9,12,16,13,14,13,13,14,14,15,16,19,17,14,16,6,8,9,7,10,7,0,6,6,4,5,6,7,7,7,9,17,15,16,16,16,11,10,8,4,3,2,2,4,7,6,4,0,2,3,2,0
2022-03-05 14:00:00,0,1,1,4,8,7,8,0,6,0,5,3,2,1,3,4,9,13,15,9,11,11,11,10,10,9,10,11,11,16,17,19,20,19,16,17,23,27,30,29,26,23,21,16,16,12,13,14,13,12,15,12,9,7,2,4,6,8,0,12,13,14,14,13,14,12,17,11,11,10,11,11,12,17,18,17,16,17,6,16,15,11,6,6,6,7,4,5,7,14,11,13,11,8,7,7,7,5,4,3,1,1,2,4,1,0,1,0,0,0
2022-03-05 15:00:00,0,0,1,2,7,6,3,3,0,2,5,13,14,3,12,3,10,12,13,13,19,18,17,17,17,17,12,9,9,9,10,11,12,13,16,15,14,14,14,13,14,15,16,17,16,11,8,9,8,6,3,1,3,1,3,6,5,9,7,6,10,12,13,12,15,15,15,14,16,16,14,13,15,10,10,4,14,14,4,15,13,12,11,7,6,8,7,4,11,26,27,24,18,16,9,8,7,6,3,2,1,1,2,1,0,0,0,0,0,0
2022-03-05 16:00:00,1,0,0,2,5,1,2,4,4,1,3,3,4,5,5,5,7,6,0,5,13,0,13,10,11,6,8,10,7,9,10,5,14,3,13,8,12,17,11,16,18,21,20,19,20,14,13,13,12,10,8,6,4,3,2,4,6,8,5,10,10,10,16,12,16,16,15,13,11,14,12,7,14,15,15,13,15,17,16,15,14,13,8,9,8,9,7,8,5,7,8,14,10,8,6,6,5,4,2,0,3,5,1,4,1,1,1,0,0,0
2022-03-05 17:00:00,1,3,5,3,8,9,6,5,4,3,2,1,3,0,6,0,9,11,0,12,29,29,28,27,24,23,12,11,11,12,9,10,7,9,11,12,12,12,11,13,15,13,11,9,11,8,9,14,13,11,9,7,4,3,0,2,8,12,10,14,16,14,12,12,11,15,14,15,17,21,20,19,21,18,14,15,16,14,16,12,15,12,10,7,6,6,7,7,8,12,13,11,12,9,10,10,6,9,7,6,6,7,8,8,3,1,2,0,0,0
