Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지삼거리,3_당너머,4_신내SKV1센터,5_신내데시앙포레아파트220동앞,6_새솔초등학교입구,7_우디안아파트114동앞,8_중랑경찰서정문.우디안101동앞,9_신내우디안아파트107동앞,10_능말입구,11_중랑공영차고지.신내역,12_신내데시앙아파트후문,13_서울의료원후문,14_봉화산역2번출구,15_태릉고등학교.원묵초등학교,16_신내4단지아파트,17_세방아파트입구,18_먹골파출소.신안아파트입구,19_신안2차아파트,20_동양쇼핑,21_우리은행,22_태릉입구역,23_한진한화그랑빌아파트,24_석계역2번출구,25_석계역1번출구.A,26_석계역,27_태릉입구역,28_묵동롯데시네마,29_브라운캐슬,30_먹골역입구,31_묵2동주민센터,32_금보당금은방,33_신묵초등학교입구,34_제일시장,35_신동신약국,36_중화역입구대원사약국,37_태릉시장입구,38_태릉프라자약국농협,39_태릉시장입구굴다리,40_중랑역동부시장1,41_중랑교동부시장,42_중화2동새마을금고,43_성은교회앞,44_중화2동체육공원,45_중화2동주민센터,46_중화역입구대원사입구,47_신동신약국,48_제일프라자,49_신묵초등학교,50_금보당금은방,51_묵2동주민센터,52_먹골역입구,53_브라운캐슬,54_묵동롯데시네마,55_태릉입구역,56_한진한화그랑빌아파트,57_석계역2번출구,58_석계역1번출구.A,59_석계역,60_태릉입구역,61_묵동구길,62_신안2차아파트입구,63_먹골파출소.신안아파트입구,64_원묵고등학교,65_신내4단지아파트,66_태릉고등학교.원묵초등학교,67_봉화산역3번출구,68_서울의료원후문,69_신내데시앙아파트후문,70_중랑공영차고지,71_중랑공영차고지.신내역,72_능말입구,73_신내우디안아파트107동앞,74_중랑경찰서정문.우디안101동앞,75_우디안아파트114동앞,76_새솔초등학교,77_신내데시앙포레아파트222동앞,78_신내데시앙포레아파트220동앞,79_당너머,80_중랑공영차고지.종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,1,1,0,3,5,2,4,5,0,3,2,0,2,1,1,0,2,1,0,0,2,1,0,0,3,4,2,3,4,2,1,3,0,1,1,0,1,2,0,3,2,3,1,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,3,6,1,8,11,7,9,5,10,3,2,2,4,3,3,1,2,2,0,1,4,0,0,0,3,3,1,5,4,2,0,3,1,2,2,5,0,6,7,9,7,0,0,6,1,2,1,2,3,0,3,4,2,3,1,0,2,2,3,1,0,2,4,2,1,1,3,0,2,0,1,0,1,1,0,0
2022-03-05 08:00:00,0,4,0,1,3,6,3,7,11,11,10,8,9,4,3,4,6,0,5,3,6,4,5,4,3,5,3,5,5,4,5,5,5,6,4,4,5,6,5,2,2,4,6,7,6,6,7,6,7,0,8,9,8,6,6,3,5,4,0,3,2,2,4,1,0,0,4,3,2,0,3,0,0,1,0,0,3,1,0,0
2022-03-05 09:00:00,0,1,0,0,2,5,0,10,11,7,6,6,5,6,4,5,6,7,7,6,2,5,0,4,2,2,4,3,6,5,7,4,7,8,11,6,10,3,8,6,6,7,8,4,7,0,3,5,4,4,6,7,9,0,7,6,0,3,4,0,3,1,1,0,2,0,2,0,1,0,2,0,1,0,0,0,0,1,0,0
2022-03-05 10:00:00,0,0,0,0,1,4,0,8,10,2,11,15,1,3,0,3,5,5,5,4,2,3,0,3,5,6,5,3,6,8,3,7,8,9,10,10,8,4,7,4,3,8,9,8,6,5,4,5,8,4,8,5,8,7,5,3,4,1,0,0,3,0,3,0,2,4,3,2,0,1,2,0,2,1,0,1,0,2,0,0
2022-03-05 11:00:00,0,1,0,0,2,5,0,9,12,1,8,14,10,9,4,8,7,5,2,2,3,1,0,2,8,6,9,8,10,9,9,9,8,9,8,7,6,6,5,5,5,4,5,7,6,7,8,10,11,9,0,7,6,2,5,0,4,1,0,0,2,1,2,0,0,1,4,0,3,2,3,0,2,1,0,0,0,1,0,0
2022-03-05 12:00:00,0,1,0,0,2,5,3,8,9,8,6,7,6,6,5,6,6,4,5,5,2,4,1,3,5,7,5,6,7,8,8,9,7,11,5,8,8,7,6,3,5,7,7,8,7,6,6,8,7,3,8,7,6,5,5,4,4,3,1,0,2,3,2,1,0,0,8,7,1,4,8,6,6,5,4,4,3,2,0,0
2022-03-05 13:00:00,0,2,0,1,0,5,3,7,10,9,6,7,3,7,5,6,4,3,5,8,11,5,4,2,5,5,0,6,6,8,7,9,9,11,12,7,6,5,8,6,5,6,7,8,10,9,4,6,7,8,6,4,6,2,5,4,4,3,3,4,6,6,6,2,7,6,4,2,2,0,6,5,4,3,2,1,4,3,0,0
