Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내데시앙아파트후문,4_서울의료원후문,5_봉화산역2번출구,6_지하철6호선화랑대역,7_지하철6호선화랑대역,8_태릉고등학교.원묵초등학교,9_신내4단지아파트,10_구립도서관체육관,11_신내우체국.5단지두산대림아파트,12_신내6단지,13_신내7단지아파트홈플러스,14_중랑소방서,15_신내8단지아파트.서울의료원,16_신내9단지아파트,17_신내10단지아파트,18_중랑구청,19_신현중학교,20_엘지아파트앞,21_쌍용아파트신내테크노타운앞,22_이화연립경동제일교회앞,23_중흥초등학교,24_지하철7호선중화역2번출구,25_지하철7호선중화역3번출구,26_중화2동주민센터,27_중화2동체육공원,28_중화빗물펌프장,29_중화2동새마을금고,30_중랑교동부시장,31_중랑교,32_삼육서울병원,33_시조사삼거리,34_떡전교사거리.동대문노인복지관,35_청량리미주아파트.동대문세무서,36_청량리역환승센타,37_청량리.청과물도매시장,38_제기동역.서울약령시,39_용두시장앞,40_안암오거리,41_개운사입구,42_고려대이공대.고대병원,43_안암동주민센터,44_보문역,45_성북구청.성북경찰서,46_삼선동주민센터,47_성신여대입구역,48_돈암2동주민센터입구.흥천사,49_아리랑고개.아리랑시네미디어센터,50_정릉입구,51_숭덕초교,52_길음뉴타운데시앙.정릉동아아파트,53_길음뉴타운8단지,54_길음뉴타운11단지롯데캐슬,55_길원초등학교입구,56_서경로꿈마루도서관앞,57_대일외고서경대정문,58_서경대본관,59_서경대본관,60_서경대정문.대일외고,61_서경로꿈마루도서관앞,62_길원초등학교입구,63_길음뉴타운11단지롯데캐슬,64_길음뉴타운8단지,65_정릉동아.길음뉴타운데시앙아파트,66_숭덕초교,67_정릉입구,68_아리랑고개.아리랑시네미디어센터,69_돈암2동주민센터입구.흥천사,70_성신여대입구역,71_삼선동주민센터,72_성북구청.성북경찰서,73_보문역,74_안암동주민센터,75_고려대이공대.고대병원,76_안암역,77_제기시장,78_홍파초등학교,79_제기동주민센터.서울약령시앞,80_청량리수산시장,81_청량리역환승센타,82_서울성심병원,83_휘경동입구,84_삼육서울병원,85_중랑교,86_중랑교동부시장,87_중화2동새마을금고,88_성은교회앞,89_중화2동체육공원,90_중화2동주민센터,91_지하철7호선중화역3번출구,92_지하철7호선중화역2번출구,93_중흥초등학교,94_이화연립경동제일교회앞,95_쌍용아파트신내테크노타운앞,96_엘지아파트앞,97_신현중학교,98_중랑구청,99_신내동성3차아파트,100_신내동성1.2차아파트,101_신내9단지아파트.서울의료원,102_중랑소방서,103_신내7단지아파트홈플러스,104_신내6단지아파트,105_신내우체국.5단지두산대림아파트,106_구립도서관체육관,107_신내4단지아파트,108_태릉고등학교.원묵초등학교,109_지하철6호선화랑대역,110_지하철6호선화랑대역,111_봉화산역3번출구,112_서울의료원후문,113_신내데시앙아파트후문,114_중랑공영차고지,115_중랑공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,1,0,2,2,0,0,3,0,2,4,2,5,2,1,0,2,0,1,4,2,7,0,7,0,6,5,2,0,8,7,2,0,4,0,3,1,3,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,2,3,4,0,5,7,6,3,0,4,5,5,0,4,4,2,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,2,4,3,3,3,3,6,6,3,6,7,8,6,9,5,8,8,7,2,1,6,5,5,7,2,6,1,0,1,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,2,3,7,7,6,6,5,6,5,5,4,3,4,8,9,8,10,10,5,10,11,11,8,6,4,7,6,2,0,4,5,3,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2022-03-05 06:00:00,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,4,4,3,6,4,7,8,5,5,6,9,6,7,8,2,6,0,8,8,7,6,8,6,7,5,4,3,0,1,4,3,3,1,2,1,0,1,0,0,0,0,1,0,0,4,2,5,2,6,3,7,9,5,5,4,4,2,5,3,0,5,6,5,3,3,1,0,2,3,3,2,5,4,4,3,4,4,0,3,1,5,2,1,2,0,1,3,0,0,1,2,0,0,0,3,2,0,1,0
2022-03-05 07:00:00,0,1,2,2,0,0,1,0,2,0,0,3,1,0,3,5,7,7,9,11,13,13,12,6,3,4,6,8,7,8,9,6,3,6,4,5,5,4,7,6,4,4,0,2,1,3,5,0,6,4,2,3,2,0,0,0,0,0,0,1,1,4,7,8,11,12,13,17,16,13,15,12,11,10,10,5,5,10,9,8,5,2,4,3,3,0,2,3,5,3,5,6,1,1,7,1,6,2,2,2,2,2,1,0,0,0,2,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,0,2,3,3,2,1,2,1,3,0,0,0,4,0,4,8,10,10,11,11,13,14,11,6,5,7,9,7,15,11,16,17,13,18,15,11,8,8,8,9,7,6,5,7,5,4,4,3,4,3,1,2,2,1,0,0,0,4,0,2,5,9,12,14,19,14,15,14,14,10,8,10,9,8,8,8,9,7,7,6,6,7,5,4,3,4,5,6,7,5,6,4,4,0,5,6,4,3,3,5,5,1,3,2,1,0,2,0,1,2,0,0,0,0,0
2022-03-05 09:00:00,0,2,1,0,0,0,2,1,3,2,3,5,5,6,7,9,16,17,10,7,18,20,18,17,18,10,17,15,19,20,19,16,18,19,17,11,10,10,11,9,7,5,6,4,4,5,12,8,7,9,9,8,4,5,5,4,1,2,2,5,9,14,17,19,20,21,19,26,26,8,6,6,7,11,10,8,9,8,8,6,7,4,4,5,6,4,7,9,11,10,9,8,8,10,8,4,5,5,4,3,4,3,0,0,0,0,0,0,0,1,3,1,2,0,0
2022-03-05 10:00:00,1,2,3,0,2,1,2,1,5,3,4,1,7,5,8,12,14,14,15,15,16,17,15,12,11,6,7,7,11,8,11,13,13,15,10,12,14,17,17,15,12,11,10,13,13,16,14,13,11,8,9,11,5,8,2,1,0,6,0,5,10,11,15,18,21,22,20,23,25,16,13,13,11,11,12,12,9,11,8,7,7,6,6,5,5,3,6,7,9,12,10,10,12,13,8,14,12,9,7,6,7,3,3,3,0,2,3,2,0,1,1,0,0,0,0
2022-03-05 11:00:00,0,1,0,0,1,0,2,2,2,3,5,6,3,3,8,7,11,11,13,14,15,18,17,11,14,9,17,17,16,14,13,10,1,9,10,9,10,10,10,11,10,11,11,8,10,10,11,12,10,12,11,6,5,4,3,0,0,5,6,5,8,14,18,21,24,22,21,27,29,17,14,11,11,12,14,17,16,16,15,16,17,19,9,9,10,6,9,8,9,8,10,15,16,15,15,14,12,6,8,7,6,5,3,2,2,1,2,0,1,0,2,1,0,0,0
2022-03-05 12:00:00,0,1,1,1,0,0,1,0,4,3,5,5,7,7,8,10,12,15,16,16,19,24,18,12,11,11,14,12,12,11,10,11,11,12,8,11,16,17,17,21,21,22,17,16,16,19,25,21,19,20,21,15,10,5,3,1,2,9,0,11,6,6,12,15,17,16,17,20,21,12,11,11,11,12,13,19,18,14,13,10,12,11,20,19,19,17,17,16,14,16,16,17,17,16,11,15,10,8,10,11,10,8,4,1,0,2,0,1,0,3,1,0,0,0,0
2022-03-05 13:00:00,0,1,1,2,1,0,3,2,3,4,3,4,12,13,15,13,14,24,26,28,29,29,30,18,18,19,18,19,19,20,19,19,15,19,16,12,17,18,17,17,15,13,13,12,13,11,16,16,17,13,17,16,10,7,8,7,0,4,0,2,12,22,25,29,33,32,30,27,23,13,15,14,14,14,13,13,12,17,15,15,12,10,11,9,9,8,11,6,8,6,11,13,12,0,9,8,13,8,8,5,4,3,3,2,0,1,5,0,3,1,2,1,0,0,0
