Unnamed: 0,1_중곡초등학교,2_면곡시장,3_국민은행장안동지점,4_장안동삼성쉐르빌아파트,5_현대벤처빌.현대썬앤빌,6_우리은행장안지점앞,7_장한평역,8_청년회의소앞,9_하나은행장안동지점,10_동아.위더스빌아파트,11_동답한신동아아파트,12_풍안시장.동답초교,13_동대문구.성동구선거관리위원회,14_장안동삼성쉐르빌아파트앞,15_새서울병원,16_NH농협장안평지점,17_장안동근린공원,18_장안2동주민센터,19_장안동현대아파트앞,20_휘경여중고휘경주공아파트,21_서울준법지원센터.동성빌라,22_동일스위트리버앞.휘봉고교,23_휘경2동주민센터,24_휘경미소지움아파트,25_삼육서울병원,26_회기역종점,27_삼육서울병원,28_중랑교,29_휘경2동주민센터,30_동일스위트리버아파트.휘봉고교,31_서울준법지원센터.동성빌라,32_휘경여중고휘경주공아파트앞,33_배봉산입구,34_장안2동주민센터,35_장안동근린공원,36_동대문더퍼스트데시앙아파트,37_코리아병원,38_장안동삼성쉐르빌아파트,39_현대벤처빌.현대썬앤빌,40_우리은행장안지점앞,41_장한평역,42_청년회의소앞,43_하나은행장안동지점,44_동아.위더스빌아파트,45_동답한신동아아파트,46_풍안시장.동답초교,47_동대문구.성동구선거관리위원회,48_장안동삼성쉐르빌아파트앞,49_국민은행장안동지점,50_면곡시장,51_중곡초등학교
2022-03-05 04:00:00,1,3,4,0,5,6,6,5,4,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,4,3,4,6,2,2,2,2,3,4,5,4,3,4,5,7,6,14,15,16,13,12,10,5,7,5,6,7,5,5,6,7,8,9,7,9,12,9,3,2,1,1,1,2,0,2,1,0,0
2022-03-05 06:00:00,3,5,6,9,8,7,5,6,4,5,6,5,4,4,3,5,3,6,8,9,9,10,8,10,8,6,6,8,9,9,10,10,8,11,9,9,7,10,11,12,3,1,2,2,1,1,2,2,2,1,0
2022-03-05 07:00:00,5,7,7,11,16,12,8,6,5,5,4,6,5,6,6,5,5,7,8,12,11,11,15,10,13,12,12,14,15,12,12,12,8,16,15,17,16,19,25,12,5,6,3,5,3,3,2,1,1,2,0
2022-03-05 08:00:00,6,7,10,14,24,20,9,10,9,13,13,14,13,4,13,15,15,19,18,18,18,17,17,15,11,15,16,15,19,20,15,13,14,21,21,19,18,22,25,20,9,7,6,5,6,7,6,4,4,2,0
2022-03-05 09:00:00,4,9,12,15,19,16,7,7,5,6,8,9,9,10,11,11,11,12,13,19,13,16,18,22,23,10,12,15,18,20,19,18,18,19,22,22,18,21,24,21,10,5,1,4,5,3,2,3,4,2,0
2022-03-05 10:00:00,3,7,13,13,15,13,5,3,3,5,5,4,4,7,10,13,14,13,12,12,14,17,17,17,16,10,11,13,14,15,17,19,18,22,24,20,14,18,22,20,7,4,2,3,3,4,3,2,2,1,0
2022-03-05 11:00:00,2,5,6,15,17,16,7,8,5,6,6,6,5,7,9,12,12,12,13,17,18,19,18,21,17,10,12,16,21,21,24,22,18,25,21,21,16,19,25,19,8,6,5,7,5,8,6,6,6,3,1
2022-03-05 12:00:00,4,5,8,16,23,22,11,17,16,18,17,7,19,20,14,16,15,18,17,20,22,24,18,20,16,18,18,24,26,26,18,22,22,23,27,26,23,20,26,24,6,5,2,3,4,3,3,5,7,3,0
2022-03-05 13:00:00,6,9,9,16,25,23,6,7,7,10,6,9,7,10,15,16,13,15,17,18,17,17,18,13,16,15,16,18,22,20,21,19,16,17,18,19,18,16,24,21,10,5,5,3,3,3,4,3,4,2,0
2022-03-05 14:00:00,5,8,13,15,19,18,9,8,8,11,9,10,9,9,16,17,16,18,17,21,20,18,17,14,12,16,20,19,23,20,19,16,14,18,16,12,19,21,22,21,6,7,6,5,4,3,5,4,4,2,0
