Unnamed: 0,1_신자초등학교앞,2_자양미소약국.자양골목시장,3_국민은행자양지점앞,4_자양아파트앞,5_동서울우편집중국앞,6_광진구청,7_광진경찰서,8_구의사거리,9_구의2동주민센터입구,10_어린이대공원후문아차산역,11_중곡동입구삼거리,12_군자역4번출구.용마초등학교,13_군자교입구,14_장한평역,15_청년회의소,16_답십리역사거리,17_답십리초등학교.현대시장,18_답십리2동시온교회앞,19_청솔우성아파트.답십리시장,20_전농우체국앞,21_전농래미안크레시티아파트,22_동대문중학교,23_래미안크레시티.답십리도서관,24_롯데캐슬노블레스,25_청량리역6번출구,26_청량리.청과물도매시장,27_제기동역.서울약령시,28_서울시동부병원,29_신설동역.서울풍물시장,30_신설동역,31_용두동사거리,32_제기동역.서울약령시,33_청량리수산시장,34_청량리역6번출구,35_전농시장앞,36_동대문구답십리도서관앞,37_동대문중학교,38_대한노인회동대문구지회,39_전농우체국앞,40_청솔우성아파트.답십리시장,41_답십리1동희망샘교회앞,42_답십리초등학교앞,43_황물로사거리,44_청년회의소.서울새활용플라자,45_장한평역,46_군자교입구,47_군자역5번출구.용마초등학교,48_중곡동입구삼거리,49_어린이대공원후문아차산역,50_구의2동주민센터입구,51_구의사거리,52_광진경찰서,53_광진구청,54_자양동잠실대교북단,55_국민은행자양지점앞,56_자양미소약국.자양골목시장,57_신자초등학교앞
2022-03-05 04:00:00,1,1,5,6,6,8,4,8,3,9,6,8,9,9,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,8,12,11,12,12,12,5,9,5,9,8,8,6,10,9,13,11,15,6,6,16,14,9,5,3,1,2,0,1,0,2,0,0,1,2,1,4,6,4,0,5,9,11,15,14,0,4,5,5,4,3,0,0,0,0
2022-03-05 06:00:00,1,1,4,5,4,6,4,0,4,9,8,7,9,7,8,9,11,9,12,13,7,12,13,11,5,3,1,0,0,1,3,4,5,2,4,3,1,4,8,9,6,3,9,7,5,3,3,13,12,11,9,7,6,4,1,0,0
2022-03-05 07:00:00,2,4,6,8,4,5,8,5,6,7,8,9,3,4,4,5,5,3,3,3,4,5,6,6,7,3,2,0,3,1,1,1,3,3,3,0,2,2,4,4,6,7,8,5,4,6,7,7,8,6,6,4,2,0,0,0,0
2022-03-05 08:00:00,1,6,17,17,18,6,7,16,12,13,9,12,15,11,9,12,12,8,12,12,10,10,15,14,10,5,3,2,1,1,3,4,4,5,5,5,5,5,8,13,12,7,11,10,9,10,10,15,18,15,18,18,16,12,6,1,0
2022-03-05 09:00:00,4,7,14,12,10,10,11,12,10,9,11,14,12,10,11,16,15,15,15,13,14,11,17,20,12,9,6,5,0,1,2,3,5,6,4,6,5,5,7,9,10,8,8,9,6,6,6,5,7,7,8,7,7,4,4,1,0
2022-03-05 10:00:00,5,10,13,17,17,18,21,17,17,15,14,14,15,11,9,17,18,18,15,15,14,11,15,17,10,6,5,3,1,1,3,4,9,10,12,11,8,5,13,11,12,9,9,11,12,11,10,8,11,10,9,9,7,6,4,1,0
2022-03-05 11:00:00,4,10,14,16,14,18,17,18,18,18,18,15,15,15,17,19,20,21,18,20,21,13,23,26,15,4,4,5,2,2,4,4,11,14,13,12,13,12,17,16,15,12,13,12,10,9,10,11,13,11,10,9,9,7,6,2,0
2022-03-05 12:00:00,2,7,12,14,12,18,20,22,18,17,16,15,16,14,15,15,14,16,13,14,14,17,18,16,7,7,4,3,2,2,3,4,19,18,17,18,11,22,21,19,16,16,11,13,14,16,16,10,15,14,13,12,12,11,5,1,0
2022-03-05 13:00:00,4,5,11,13,13,15,15,15,12,16,15,18,15,16,14,20,18,17,15,13,14,14,13,12,9,6,5,2,3,4,2,4,13,13,12,14,13,13,15,15,15,18,19,18,19,20,17,14,14,14,11,12,11,12,7,2,0
