Unnamed: 0,1_신자초등학교앞,2_제일은행사거리,3_자양우성아파트앞,4_자양고교앞,5_신양초등학교앞,6_뚝도변전소앞,7_광진문화예술회관,8_건대입구(가상),9_건대입구역사거리.건대병원,10_어린이대공원역.화양천주교회,11_화양리,12_화양사거리,13_성동세무서,14_제인병원,15_성수2가3동주민센터,16_리버하우스,17_상원,18_한양대정문앞,19_서울숲삼부아파트,20_왕십리역,21_성동구청,22_도선사거리,23_마장축산물시장,24_동대문구청.용두역3번출구,25_동대문구청.용신동주민센터,26_경동시장앞,27_제기동한신아파트,28_제기시장,29_고려대학교앞,30_고려대역.고대앞삼거리,31_홍파초등학교,32_경동시장,33_경동시장사거리,34_동대문구청.용신동주민센터,35_마장축산물시장,36_도선사거리,37_성동구청,38_왕십리역,39_행당1동주민센터.성동소방서,40_한양대정문,41_상원,42_리버하우스,43_성수2가3동주민센터,44_성동세무서앞,45_우리은행화양동지점,46_화양리,47_어린이대공원역.화양천주교회,48_서울화양초등학교,49_건대입구역사거리.건대병원,50_건대로데오거리입구,51_대동아파트앞,52_신양초등학교앞,53_자양고교앞,54_자양우성아파트앞,55_신자초등학교앞
2022-03-05 04:00:00,0,2,0,1,2,0,0,0,3,2,4,3,2,4,0,4,4,6,0,0,11,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,3,3,4,3,4,3,6,3,2,5,6,4,5,0,5,0,6,2,4,7,9,8,7,6,3,2,3,2,4,6,1,4,6,6,7,4,5,6,0,3,0,5,4,4,0,2,2,0,1,0,0,0,0,0
2022-03-05 06:00:00,2,5,4,6,4,5,3,2,0,2,1,4,7,8,9,0,1,7,5,3,4,3,2,0,3,1,0,0,2,3,3,1,3,5,1,5,1,0,2,3,2,6,2,4,3,3,3,2,2,3,0,2,1,0,0
2022-03-05 07:00:00,4,6,8,5,0,0,4,3,4,0,6,8,10,6,11,4,10,8,8,8,7,2,5,3,2,0,1,2,2,1,4,3,3,3,4,0,2,1,5,4,4,3,2,1,1,2,0,0,1,1,0,0,0,0,0
2022-03-05 08:00:00,4,6,11,9,13,12,8,3,8,1,5,8,10,9,10,6,10,5,6,6,5,5,3,6,2,3,2,0,1,4,4,6,6,8,8,7,8,9,10,10,11,5,10,3,5,10,8,7,7,3,0,0,2,1,0
2022-03-05 09:00:00,4,5,6,7,8,6,4,3,4,5,7,7,10,11,0,11,9,10,7,8,9,8,6,5,6,6,4,3,3,5,8,8,10,12,12,11,10,6,5,11,6,10,10,7,5,5,6,3,5,9,8,5,3,1,0
2022-03-05 10:00:00,3,5,7,8,7,7,10,8,9,11,10,12,14,11,10,12,8,10,10,11,12,9,9,8,7,6,3,5,3,4,5,5,5,8,11,10,8,7,5,9,10,6,8,7,6,7,7,5,4,5,4,3,3,2,0
2022-03-05 11:00:00,5,11,15,15,17,18,11,9,11,8,12,13,16,17,12,16,17,18,17,18,18,18,17,14,7,6,5,3,4,8,7,18,15,18,16,17,10,16,14,14,13,12,13,16,16,16,15,13,9,9,0,8,6,4,0
2022-03-05 12:00:00,9,8,13,18,19,20,16,15,12,13,14,14,15,15,14,0,13,14,18,17,16,16,14,12,11,13,11,3,2,4,5,13,22,22,24,24,29,31,29,32,30,29,9,25,23,23,22,18,14,19,18,12,8,6,0
2022-03-05 13:00:00,9,10,12,11,12,12,13,4,12,9,12,13,16,19,16,18,17,15,14,14,14,7,13,10,9,4,6,7,4,9,6,12,14,17,18,17,18,18,18,19,17,12,8,7,10,9,9,7,4,15,2,14,11,8,0
