Unnamed: 0,1_성수동차고지,2_뚝도시장구길,3_서울숲지구대앞,4_성수1가새마을금고,5_천주교성수동성당앞,6_뚝도아리수정수센터수도박물관,7_서울숲,8_성동구민종합체육센터,9_뚝섬역8번출구,10_뚝섬역5번출구,11_성수역1번출구,12_성수동SK아파트형공장앞,13_경동초등학교입구,14_경일초등학교앞,15_성수공고앞,16_성원중성수동이마트앞,17_뚝도시장,18_경수중학교,19_성수119안전센터,20_노룬산시장앞,21_국민은행신자양지점,22_뚝도변전소앞,23_광진문화예술회관,24_건국대학교앞,25_자양초등학교앞,26_자양사거리,27_구의역3번출구,28_광진우체국,29_테크노마트앞.강변역,30_구의역2번출구,31_자양사거리,32_자양초등학교앞,33_건국대학교앞,34_건대로데오거리입구,35_대동아파트앞,36_국민은행신자양지점,37_노룬산시장앞,38_성수119안전센터,39_경수중학교,40_뚝도시장,41_성원중성수동이마트앞,42_성수공고앞,43_경일초등학교앞,44_경동초등학교입구,45_성수동SK아파트형공장앞,46_성수역1번출구,47_뚝섬역4번출구,48_뚝섬역2번출구,49_성동구민종합체육센터,50_서울숲,51_뚝도아리수정수센터수도박물관,52_천주교성수동성당앞,53_성수1가1동새마을금고,54_서울숲지구대앞,55_뚝도시장구길
2022-03-05 04:00:00,0,0,0,0,2,0,0,0,1,0,2,1,1,2,3,3,0,0,2,2,3,4,5,6,3,5,3,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,0,3,3,2,1,0,0,0,1,0,2,3,5,6,2,4,4,5,5,2,4,4,0,4,2,1,3,4,2,9,0,7,6,7,5,2,0,3,4,0,3,0,0,2,1,2,1,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,2,3,2,1,0,0,0,0,1,0,0,1,2,4,0,2,0,5,5,0,0,1,3,1,0,0,2,3,3,1,2,4,2,3,2,1,3,2,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0
2022-03-05 07:00:00,1,2,4,7,0,0,2,0,0,0,2,0,3,0,3,4,4,3,3,4,3,5,4,3,4,4,3,1,3,2,3,4,1,4,0,4,5,0,3,3,2,0,0,0,0,2,0,1,1,3,2,1,0,0,0
2022-03-05 08:00:00,1,2,7,4,9,7,4,3,1,2,2,0,1,2,4,5,8,9,7,0,8,6,2,5,6,2,5,1,3,6,11,10,10,14,13,7,12,11,10,5,3,2,2,1,0,2,0,6,5,0,4,3,2,0,0
2022-03-05 09:00:00,3,5,8,13,12,11,6,4,1,2,2,3,2,0,2,3,4,4,4,5,8,10,7,10,7,5,4,2,8,12,12,11,9,9,8,8,6,7,5,5,1,2,1,0,0,1,2,3,5,5,4,1,0,0,0
2022-03-05 10:00:00,4,5,6,10,12,10,6,5,3,4,5,3,8,6,5,6,11,9,8,9,10,8,10,11,6,4,3,2,4,7,9,9,7,10,9,8,7,11,10,7,3,4,4,0,3,2,1,5,4,4,3,4,2,0,0
2022-03-05 11:00:00,1,4,6,13,15,15,9,8,7,6,6,7,6,4,5,3,9,4,7,8,10,10,10,10,8,6,2,1,5,7,11,13,9,14,8,13,11,14,13,9,7,4,6,6,4,2,3,4,3,0,0,0,1,0,0
2022-03-05 12:00:00,1,3,3,5,5,7,6,5,4,2,3,4,4,6,8,9,13,9,14,10,13,11,11,6,7,8,7,8,9,14,22,24,22,27,9,26,23,21,19,9,6,5,3,0,3,4,5,0,4,4,3,3,1,2,0
2022-03-05 13:00:00,1,2,6,3,8,7,6,11,8,8,11,2,14,15,14,14,15,15,9,17,15,11,10,11,8,7,4,3,5,7,10,9,8,10,0,11,13,15,8,10,8,9,6,4,7,13,11,8,7,6,3,5,1,3,0
