Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지삼거리,3_당너머,4_신내SKV1센터,5_신내데시앙포레아파트220동앞,6_새솔초등학교입구,7_우디안아파트114동앞,8_중랑경찰서후문,9_새우개마을,10_신내차량사업소입구,11_동서울교회,12_양원리,13_양원역입구,14_경남아파트,15_망우금호어울림아파트,16_망우동고개,17_금란교회앞,18_삼용사입구,19_용마공원입구,20_우리은행망우동지점,21_혜원여중고후문,22_농협앞,23_면목역,24_면목복개천,25_하나은행면목지점,26_면목5동주민센터,27_늘푸른근린공원,28_홈플러스면목동점,29_면목두산아파트2차,30_사가정역,31_사가정시장,32_면목동금호어울림아파트,33_면목동대원칸타빌아파트,34_용마폭포공원,35_용마산역,36_면목동,37_용암사입구,38_대원고교앞,39_중곡동종점,40_중곡보건지소,41_중곡우체국앞,42_중곡동성당앞,43_종합의료복합단지,44_중곡역.국립정신건강센터,45_용곡삼거리,46_면목동,47_용마산역,48_용마폭포공원,49_면목동금호어울림아파트,50_용마산교차로,51_사가정시장,52_사가정역,53_면목두산아파트2차,54_사가정센트럴아이파크아파트,55_늘푸른근린공원,56_장안시장,57_하나은행면목지점,58_면목복개천,59_지하철7호선면목역,60_농협앞,61_혜원여중고후문,62_면일초등학교,63_용마공원입구,64_삼용사입구,65_금란교회앞,66_망우동고개,67_망우동금호어울림아파트,68_서울특별시북부병원,69_양원역입구,70_양원리,71_동서울교회,72_신내역1번출구,73_신내능마을,74_중랑경찰서후문,75_우디안아파트114동앞,76_새솔초등학교,77_신내데시앙포레아파트222동앞,78_신내데시앙포레아파트220동앞,79_당너머,80_중랑공영차고지.종점
2022-03-05 04:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,0,2,0,0,0,0,4,0,5,3,3,6,11,10,11,8,3,0,4,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,5,5,7,8,8,6,1,2,2,3,2,3,5,4,3,3,1,3,5,1,2,3,3,3,1,3,0,3,0,3,2,3,2,3,3,3,1,0,2,2,3,1,5,5,4,4,5,3,5,5,1,0,7,6,5,4,0,3,1,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,2,1,0,2,0,3,0,1,3,0,3,2,6,7,10,14,15,10,5,1,4,5,6,8,5,4,3,3,0,3,3,0,0,2,2,1,2,2,2,2,3,2,3,0,0,2,2,1,3,1,4,3,3,3,5,5,6,7,6,5,4,3,1,2,1,1,0,2,1,0,0,0,1,0,0,0
2022-03-05 08:00:00,0,2,1,0,2,5,4,5,0,7,0,3,8,0,9,11,10,11,14,13,20,17,8,8,10,12,12,14,12,9,3,4,4,8,9,8,6,4,4,4,5,5,4,3,0,3,5,5,5,4,4,4,5,3,4,5,11,5,13,11,10,9,7,5,5,3,3,1,2,0,0,0,0,0,0,0,0,4,0,0
2022-03-05 09:00:00,0,1,0,0,3,3,0,0,0,4,5,5,4,3,5,3,4,5,9,13,15,14,4,5,6,7,10,7,7,7,8,6,0,4,0,5,6,1,3,4,2,3,4,5,6,9,9,3,4,6,5,4,3,2,4,4,3,4,10,8,8,8,8,7,4,2,3,1,4,0,0,1,0,0,0,0,0,1,0,0
2022-03-05 10:00:00,0,1,0,0,1,3,4,2,0,0,0,3,5,5,4,5,8,7,11,15,18,16,5,4,6,5,7,6,5,6,6,4,6,5,5,5,5,6,5,4,5,5,5,5,4,7,7,6,7,8,6,7,6,5,2,5,7,8,7,5,6,10,11,9,6,5,3,6,5,7,6,0,4,0,2,2,1,1,0,0
2022-03-05 11:00:00,0,0,0,0,1,3,0,0,5,4,2,1,3,0,4,7,5,8,12,13,12,10,6,7,6,7,10,12,10,9,10,8,9,8,7,4,0,6,5,6,5,8,4,7,4,8,9,8,8,7,6,6,5,4,4,2,4,3,11,13,11,7,5,6,4,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0
2022-03-05 12:00:00,0,0,0,0,1,2,3,2,0,0,0,3,3,2,2,4,5,6,8,8,10,8,3,1,5,4,8,12,11,7,12,7,9,0,8,3,7,8,6,6,4,7,7,5,5,6,3,7,9,3,6,6,4,4,5,4,4,2,7,6,6,5,6,5,5,8,9,7,5,3,4,3,1,0,2,0,0,1,0,0
2022-03-05 13:00:00,0,1,0,0,4,2,0,0,0,4,2,6,5,6,9,8,11,5,11,11,10,8,6,5,5,9,5,10,11,8,7,7,5,6,7,1,6,5,4,4,3,6,2,4,2,6,2,0,3,4,2,5,6,0,5,2,5,5,11,10,12,8,7,6,4,5,3,4,3,4,0,1,0,2,1,0,0,0,0,0
2022-03-05 14:00:00,0,1,0,1,2,1,0,1,2,3,4,5,3,4,7,9,13,12,17,13,14,13,9,7,8,6,6,5,5,9,12,8,5,4,3,7,3,2,0,8,4,5,4,4,8,7,7,7,5,6,4,4,5,3,3,4,5,4,11,9,7,8,8,8,5,5,3,3,4,1,2,0,0,1,0,1,0,2,0,0
2022-03-05 15:00:00,0,1,0,2,5,2,0,0,1,6,0,3,7,6,7,9,12,12,13,13,11,10,4,3,5,5,7,6,5,5,9,8,6,6,6,5,3,4,3,5,5,7,5,6,3,5,5,7,6,2,7,5,3,4,4,4,5,5,13,11,10,9,7,7,3,2,1,3,5,4,0,3,1,2,0,0,0,1,0,0
2022-03-05 16:00:00,0,1,0,4,0,2,3,0,0,2,0,4,5,0,4,5,7,7,10,11,12,10,4,4,4,8,4,7,5,3,5,4,5,2,6,2,1,5,1,4,5,4,6,4,6,7,9,10,11,8,7,8,9,10,8,6,7,8,19,25,25,23,11,11,10,10,9,9,8,7,0,6,0,6,3,0,1,3,0,0
2022-03-05 17:00:00,1,0,0,0,2,3,1,4,0,3,5,5,5,0,7,8,9,9,11,11,13,13,7,7,8,8,7,14,12,14,11,9,10,11,11,12,4,9,8,6,5,8,4,6,9,9,8,10,9,0,7,11,8,7,6,5,5,6,16,16,16,19,14,12,8,7,8,5,5,6,5,2,5,6,3,4,2,6,0,0
2022-03-05 18:00:00,0,1,0,2,1,0,0,3,0,3,0,2,1,0,4,4,5,7,9,11,11,7,5,4,3,8,6,9,8,6,11,6,8,7,5,4,3,2,7,3,2,7,8,8,9,8,7,6,4,5,3,5,2,4,5,5,7,6,21,22,19,13,6,4,5,4,4,5,6,10,9,5,4,8,7,6,0,0,5,0
2022-03-05 19:00:00,0,1,0,0,0,0,0,3,0,2,0,1,2,2,2,3,3,2,5,5,4,5,6,5,3,4,4,8,0,8,9,7,1,5,4,2,0,0,1,2,0,3,3,4,3,2,3,2,0,1,0,6,5,3,4,3,3,2,12,14,12,9,8,7,5,7,6,5,4,1,2,1,0,4,0,3,2,0,0,0
2022-03-05 20:00:00,0,2,0,1,0,3,0,2,4,2,1,3,0,4,0,5,5,3,4,3,5,9,6,6,6,7,3,8,1,10,8,9,5,4,2,0,3,0,4,4,5,9,8,6,4,7,6,2,4,3,5,7,4,5,5,5,5,2,16,7,13,10,7,8,2,6,5,1,0,0,4,0,0,0,3,2,0,0,0,0
2022-03-05 21:00:00,0,1,0,1,0,1,0,0,0,0,2,3,1,1,0,0,4,3,4,3,0,3,3,6,7,5,2,3,6,6,8,6,3,5,6,2,4,3,2,2,2,4,5,4,4,0,5,4,4,4,5,6,4,1,7,5,4,3,11,12,9,11,10,5,4,3,3,2,4,1,0,0,0,5,4,1,1,0,0,0
2022-03-05 22:00:00,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,2,3,2,2,4,3,2,5,2,1,4,2,5,4,3,3,1,2,0,2,0,0,1,0,1,0,3,4,5,9,8,10,7,5,1,0,6,2,1,3,7,7,0,11,10,8,6,5,8,4,3,1,3,2,0,1,0,0,2,0,1,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,3,2,3,2,4,2,4,5,0,4,3,5,4,3,7,4,4,0,2,2,0,1,2,1,1,3,2,4,0,4,4,5,4,1,0,5,4,3,2,2,2,0,17,19,17,12,8,7,4,2,2,0,0,1,0,2,1,0,0,1,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
