Unnamed: 0,1_북부운수차고지(가상),2_방약국앞,3_면남초등학교,4_지하철7호선사가정역,5_면목우체국.녹색병원,6_면동초등학교,7_면목본동주민센터.면목정보도서관,8_지하철7호선면목역,9_면목초등학교,10_지하철7호선상봉역,11_상봉1동주민센터,12_신내쌍용아파트,13_쌍용아파트신내테크노타운앞,14_엘지아파트앞,15_신현중학교,16_중랑구청,17_중랑구청사거리,18_성원아파트경남아너스빌앞,19_국민은행망우동지점,20_망우역.망우지구대,21_상봉터미널,22_혜원여중고입구,23_봉우재고개,24_우림시장,25_용마공원입구,26_우리은행망우동지점,27_서일대학교,28_용마문화복지센터,29_중화중학교.다문화가족지원센터,30_면중초등학교,31_용마산교차로,32_사가정시장,33_사가정역,34_면목두산아파트2차,35_사가정센트럴아이파크아파트,36_장안교앞,37_장안2동주민센터,38_배봉초등학교.전농우성아파트,39_전동초등학교.전농동SK아파트,40_전농사거리,41_서울시동부교육지원청.해성국제컨벤션고교,42_서울시립대입구,43_떡전교앞,44_서울성심병원,45_청량리미주아파트.동대문세무서,46_청량리역환승센타,47_경동시장앞,48_동대문중앙새마을금고,49_현대코아,50_청량리역환승센터,51_서울성심병원,52_떡전교앞,53_서울시립대학교앞,54_전농로터리시장.동부교육지원청,55_전농사거리,56_전동초등학교.전농동SK아파트,57_배봉초등학교.전농우성아파트,58_장안2동주민센터,59_장안교은석초등학교,60_홈플러스면목동점,61_면목두산아파트2차,62_사가정역,63_사가정시장,64_면중초등학교,65_중화중학교,66_용마문화복지센터,67_서일대학교,68_면일초등학교,69_용마공원입구,70_우림시장,71_봉우재고개,72_혜원여중고입구,73_상봉터미널입구,74_상봉터미널,75_망우역,76_국민은행망우동지점,77_성원아파트경남아너스빌앞,78_중랑구청,79_신현중학교,80_엘지아파트앞,81_쌍용아파트신내테크노타운앞,82_신내쌍용아파트,83_상봉1동주민센터,84_지하철7호선상봉역,85_면목초등학교,86_지하철7호선면목역,87_면목본동주민센터.면목정보도서관,88_면동초등학교,89_면목우체국.녹색병원,90_지하철7호선사가정역,91_면목시장,92_면남초등학교,93_방약국앞,94_중곡초등학교(가상)
2022-03-05 04:00:00,1,1,3,1,1,0,0,2,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,2,0,0,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,3,0,2,4,3,3,3,2,5,2,2,0,0,3,4,3,2,1,2,3,1,5,4,4,5,4,2,3,3,2,3,0,5,0,4,5,7,5,8,7,6,4,5,1,1,1,1,9,3,4,4,10,5,11,13,16,18,16,13,6,8,5,0,3,4,4,3,1,0,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,0,2,1,1,2,1,1,3,1,0,2,0,0,2,3,0,0,4,3,4,0,1,6,5,5,5,5,6,7,4,5,4,3,4,7,6,7,4,5,6,0,5,5,2,1,1,0,2,3,7,8,4,7,5,6,7,6,4,4,2,8,9,9,8,4,3,2,4,0,3,0,1,0,0,0,2,0,1,3,2,2,3,1,2,1,3,1,0,1,1,0,0
2022-03-05 07:00:00,0,1,0,2,0,0,2,3,0,3,4,0,2,4,1,3,5,0,0,5,6,1,2,6,7,9,8,5,8,8,11,8,8,7,8,8,9,9,10,12,13,10,6,8,4,3,0,3,2,4,5,7,5,4,8,7,5,5,6,0,5,4,6,5,5,4,3,2,3,0,4,2,5,1,4,1,0,2,0,1,2,3,5,3,3,4,0,0,2,0,2,1,1,0
2022-03-05 08:00:00,2,5,7,4,7,6,3,10,5,10,10,3,5,5,9,8,7,6,4,5,7,4,6,7,6,11,12,13,12,10,9,6,7,9,9,10,13,17,18,20,19,18,13,12,11,3,3,1,1,6,7,8,11,10,10,13,15,18,22,20,20,12,14,14,15,17,20,23,22,18,16,6,14,11,10,8,8,2,4,8,3,3,8,7,7,8,6,0,4,3,1,1,0,0
2022-03-05 09:00:00,1,2,3,4,5,7,7,8,7,10,12,3,9,11,10,5,8,8,5,7,7,5,6,9,9,8,8,7,11,12,9,8,10,9,10,12,18,17,17,16,19,16,17,16,12,4,1,2,1,6,5,7,8,9,9,12,14,17,18,16,13,6,13,14,15,12,14,14,12,12,12,9,12,9,6,6,2,4,3,5,6,7,0,4,2,3,0,3,2,2,0,1,0,0
2022-03-05 10:00:00,1,3,3,0,2,3,4,5,9,8,7,1,7,6,4,6,6,5,4,4,6,5,5,9,9,9,6,7,8,7,7,6,7,9,10,11,16,16,19,19,19,17,18,17,15,3,2,1,3,9,11,11,11,7,11,9,9,11,11,13,13,7,8,6,7,9,15,17,19,18,0,4,14,11,5,6,5,4,3,1,2,4,5,6,5,3,4,3,4,4,3,2,0,0
2022-03-05 11:00:00,2,6,6,5,6,3,5,5,6,8,7,8,8,6,7,5,8,9,7,6,7,7,9,7,13,13,13,10,12,15,12,9,15,16,15,18,20,27,25,23,25,24,19,19,18,2,2,0,2,7,7,11,11,10,12,15,15,13,16,14,12,10,12,9,11,10,14,23,23,23,21,11,19,16,11,12,12,10,9,8,8,3,9,7,3,4,3,2,3,2,0,0,0,0
2022-03-05 12:00:00,1,4,0,7,11,12,10,8,10,12,8,5,7,7,1,10,9,6,10,6,12,12,9,13,13,12,10,10,12,13,12,8,10,8,9,10,18,20,22,25,24,23,24,23,18,7,4,7,8,19,11,18,18,15,17,18,22,19,16,17,15,7,17,15,15,12,11,16,20,24,0,8,21,13,13,13,14,9,9,7,9,8,9,5,3,4,5,4,3,3,2,0,1,0
2022-03-05 13:00:00,0,2,1,2,3,4,6,13,8,15,14,13,11,10,9,9,11,11,12,12,13,14,14,16,17,17,17,17,25,21,18,10,15,16,18,17,28,33,36,37,39,38,35,27,19,3,4,2,4,13,13,14,12,15,14,14,15,16,15,14,13,10,11,10,11,9,11,12,15,15,16,8,13,13,7,5,4,7,7,7,8,8,6,5,5,6,5,4,4,1,0,2,0,0
2022-03-05 14:00:00,2,3,2,4,2,5,5,7,0,7,5,3,4,7,5,6,6,8,9,7,12,11,11,13,15,15,18,12,19,10,18,5,12,12,11,10,19,19,20,21,22,18,18,16,12,4,3,2,8,15,16,15,16,17,18,16,16,15,14,13,10,9,12,13,14,11,12,11,9,8,5,3,9,7,6,7,5,5,3,5,1,6,4,5,4,3,3,4,2,1,1,1,0,0
