Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내차량사업소입구,4_동서울교회,5_양원리,6_양원역입구,7_경남아파트,8_망우금호어울림아파트,9_망우동고개,10_금란교회앞,11_능산지하차도,12_신내새한아파트앞,13_우남푸르미아아파트,14_신내초등학교,15_경남아파트,16_성원아파트경남아너스빌앞,17_중랑구청사거리,18_신내동성3차아파트,19_신내동성1.2차아파트,20_신내9단지아파트.서울의료원,21_봉화산역2번출구,22_태릉고등학교.원묵초등학교,23_신내4단지아파트,24_구립도서관체육관,25_신내우체국.5단지두산대림아파트,26_봉화산역3번출구,27_신내8단지아파트.서울의료원,28_신내9단지아파트,29_신내10단지아파트,30_중랑구청사거리,31_성원아파트경남아너스빌앞,32_건영아파트,33_대명프라자,34_신내초등학교,35_우남푸르미아아파트,36_신내초등학교,37_금란교회앞,38_망우동고개,39_망우동금호어울림아파트,40_서울특별시북부병원,41_양원역입구,42_양원리,43_동서울교회,44_신내역1번출구,45_중랑공영차고지,46_중랑공영차고지.신내역,47_중랑공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,0,0,1,0,0,0,1,0,2,0,0,0,0,2,1,2,3,0,0,1,0,0,2,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,0,0,1,1,0,2,1,2,3,4,5,4,0,5,7,7,1,0,2,1,0,3,1,2,0,1,1,0,2,0,2,1,1,0,0,1,2,0,0,1,0,0,0
2022-03-05 08:00:00,0,1,3,2,3,3,5,7,8,9,5,6,3,4,7,8,7,2,8,10,5,2,1,1,0,5,0,3,3,1,2,0,1,3,4,2,2,2,1,3,0,0,2,0,1,0,0
2022-03-05 09:00:00,1,1,1,0,1,2,1,3,3,2,3,6,3,0,7,8,9,8,9,8,3,0,1,2,0,9,7,9,8,4,0,2,2,2,4,4,0,3,0,4,0,3,2,0,0,0,0
2022-03-05 10:00:00,0,0,1,0,2,3,4,5,5,3,3,5,7,2,3,8,7,5,8,6,2,1,4,2,5,7,9,7,5,4,2,3,1,2,0,2,3,1,0,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,2,0,1,2,0,4,5,7,9,5,10,12,14,3,16,8,13,9,6,2,3,5,0,11,9,4,8,7,8,6,6,7,0,8,6,0,0,2,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,1,0,1,3,0,2,1,2,0,4,3,2,4,6,5,10,10,12,7,4,3,4,3,8,8,5,6,8,0,7,6,5,1,1,4,4,3,1,1,2,1,0,0,0,0
2022-03-05 13:00:00,0,1,0,0,2,1,0,4,3,5,3,3,5,6,2,3,5,0,5,4,3,0,2,0,2,7,5,4,4,3,2,4,2,0,3,1,2,0,1,0,2,2,1,2,0,0,0
2022-03-05 14:00:00,0,0,1,0,2,1,0,4,4,3,4,5,3,2,0,4,5,6,5,8,2,5,6,5,2,9,10,9,4,7,7,7,6,5,0,7,4,3,2,1,0,1,0,0,0,0,0
2022-03-05 15:00:00,0,1,0,0,0,1,0,0,1,4,3,0,6,5,7,6,7,6,6,5,2,2,3,2,4,6,9,8,3,5,0,0,1,3,6,0,2,3,0,0,0,1,0,0,0,0,0
2022-03-05 16:00:00,0,1,2,0,4,2,3,4,1,4,4,5,3,4,4,3,6,0,7,7,3,2,2,3,3,16,15,6,6,5,4,3,1,0,2,3,1,2,1,0,0,1,0,0,0,0,0
2022-03-05 17:00:00,0,0,0,0,1,0,1,1,2,2,4,5,3,4,3,5,5,1,4,3,1,1,1,1,2,9,7,10,7,6,4,0,5,2,6,5,4,3,1,0,0,0,0,0,0,0,0
2022-03-05 18:00:00,0,0,1,0,1,2,4,4,2,3,2,0,0,1,0,1,2,2,3,3,3,1,2,2,0,16,15,10,13,8,7,7,6,6,1,4,3,0,0,0,0,0,0,0,0,0,0
2022-03-05 19:00:00,0,0,0,0,1,0,0,0,2,3,1,0,0,2,0,2,5,6,3,7,2,0,1,1,0,10,8,4,4,3,3,2,1,3,2,4,4,2,0,2,1,0,0,0,0,0,0
2022-03-05 20:00:00,0,0,1,0,0,0,0,0,0,4,4,2,0,1,0,2,4,3,2,4,6,2,0,0,1,8,6,5,5,5,1,0,1,1,3,2,0,3,0,1,2,1,0,0,0,0,0
2022-03-05 21:00:00,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,2,2,2,5,1,1,0,0,0,1,6,5,0,0,6,5,6,2,4,3,3,3,2,1,1,2,1,0,0,0,0,0
2022-03-05 22:00:00,0,1,1,0,0,1,1,2,1,3,2,0,0,0,1,1,5,0,2,1,0,1,1,0,1,8,6,5,4,5,2,6,7,8,7,7,6,4,1,0,0,0,0,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,5,0,1,3,0,0,0,0,1,6,5,4,1,3,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,0,0,2,1,2,0,3,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,0,1,0,0,0,1,2,0,0,1,1,0,1,1,2,0,0,2,3,1,0,1,0,0,2,2,3,0,2,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0
2022-03-06 08:00:00,0,0,2,0,0,0,1,3,0,1,2,0,2,0,2,2,4,1,3,4,2,0,1,1,0,3,3,5,2,4,2,0,0,3,0,2,1,0,2,0,2,0,1,0,0,0,0
2022-03-06 09:00:00,0,0,0,0,0,1,1,0,3,3,4,0,0,5,0,4,3,4,5,0,0,0,1,2,2,3,4,0,6,7,5,4,0,0,5,6,5,4,5,0,4,3,2,1,0,0,0
2022-03-06 10:00:00,0,0,2,1,0,0,0,3,3,6,5,7,4,4,6,5,6,0,7,5,2,0,2,0,3,6,6,5,1,0,5,6,0,5,0,4,3,2,3,0,2,1,0,0,0,0,0
2022-03-06 11:00:00,0,1,0,0,2,1,3,3,1,4,3,4,2,4,4,0,3,6,2,8,1,1,2,2,2,4,3,0,0,4,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 12:00:00,0,0,0,1,2,3,0,5,5,6,5,5,4,6,6,6,7,0,4,2,4,3,0,7,8,8,7,7,6,4,3,0,5,4,4,5,2,2,1,0,0,0,0,0,0,0,0
2022-03-06 13:00:00,0,0,0,0,0,2,1,1,2,3,2,4,3,4,1,6,5,2,4,5,3,0,0,3,4,8,7,6,6,5,4,2,3,0,4,2,3,1,2,0,0,2,2,0,0,0,0
2022-03-06 14:00:00,0,0,0,0,1,1,0,1,0,5,0,5,0,4,5,0,5,1,4,5,2,0,1,2,6,7,7,9,7,6,8,7,6,0,0,0,5,2,1,0,1,0,0,0,0,0,0
2022-03-06 15:00:00,0,1,0,0,0,0,0,1,0,2,0,4,3,1,2,0,5,3,1,0,1,1,2,3,2,6,5,4,5,6,0,3,3,4,1,3,2,0,0,0,0,0,0,0,0,0,0
