Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지삼거리,3_당너머,4_신내SKV1센터,5_신내데시앙포레아파트220동앞,6_새솔초등학교입구,7_우디안아파트114동앞,8_중랑경찰서후문,9_새우개마을,10_신내능마을,11_신내교회.신내데시앙아파트,12_신내초등학교,13_능산지하차도,14_하나은행망우동지점,15_망우지구대,16_망우역,17_지하철7호선상봉역,18_상봉1동주민센터,19_신내쌍용아파트,20_이화연립경동제일교회앞,21_중흥초등학교,22_지하철7호선중화역2번출구,23_지하철7호선중화역3번출구,24_중화2동주민센터,25_이문동현대아파트앞,26_쌍용아파트,27_신이문역,28_쌍용아파트,29_이문동현대아파트,30_중화2동주민센터,31_지하철7호선중화역3번출구,32_지하철7호선중화역2번출구,33_중흥초등학교,34_이화연립경동제일교회앞,35_신내쌍용아파트,36_상봉1동주민센터,37_망우역.상봉터미널,38_망우역.망우지구대,39_우림시장.망우사거리,40_능산지하차도,41_신내새한아파트앞,42_신내교회.신내데시앙아파트,43_신내능마을,44_중랑경찰서후문,45_우디안아파트114동앞,46_새솔초등학교,47_신내데시앙포레아파트222동앞,48_신내데시앙포레아파트220동앞,49_당너머,50_중랑공영차고지.종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,3,1,3,0,4,1,1,0,0,2,1,1,2,4,5,4,3,2,0,2,4,4,4,2,1,3,1,0,0,0,2,1,0
2022-03-05 07:00:00,0,1,1,0,1,2,0,2,0,5,4,5,5,6,3,1,2,1,2,4,5,4,3,4,3,3,3,3,4,7,9,2,3,0,7,10,4,3,3,1,0,0,0,2,0,0,0,0,0,0
2022-03-05 08:00:00,0,1,1,0,4,5,2,1,0,3,5,6,7,9,7,6,6,7,8,7,6,8,5,6,1,2,4,6,6,5,6,10,9,10,11,11,10,10,3,3,2,0,1,0,1,2,0,0,0,0
2022-03-05 09:00:00,0,1,1,0,1,5,6,5,0,1,5,7,7,7,8,7,8,3,4,9,3,8,5,3,2,1,5,6,9,8,11,9,11,10,11,10,7,5,4,3,2,2,0,0,0,1,2,4,0,0
2022-03-05 10:00:00,0,1,1,0,9,13,0,0,0,15,13,9,6,7,5,4,5,5,5,6,3,4,6,8,2,6,8,9,10,7,9,15,17,16,18,21,13,4,3,0,2,1,1,0,1,0,2,2,0,0
2022-03-05 11:00:00,0,0,0,0,1,0,0,0,0,2,4,6,0,8,9,8,11,13,8,11,10,6,8,8,6,7,4,7,9,9,9,11,11,12,13,17,13,11,10,9,9,5,3,0,7,5,1,0,0,0
2022-03-05 12:00:00,0,0,0,0,2,6,0,7,0,4,6,8,8,9,8,10,10,10,5,8,3,5,11,0,10,5,7,8,7,10,7,8,10,12,8,8,8,5,6,2,3,5,0,0,0,4,0,0,0,0
2022-03-05 13:00:00,0,0,0,2,3,5,7,2,2,8,9,9,9,10,10,10,9,11,10,9,7,6,8,7,6,5,6,8,9,8,9,14,17,18,17,14,9,7,7,7,6,5,6,4,3,4,3,4,0,0
2022-03-05 14:00:00,0,0,0,0,3,6,3,0,2,4,9,10,8,10,9,11,11,13,13,11,10,7,8,8,7,6,6,8,9,8,9,12,13,14,10,13,12,10,8,6,5,4,0,3,3,1,1,0,0,0
2022-03-05 15:00:00,0,1,1,0,1,2,0,0,5,6,7,7,5,11,12,12,17,13,12,14,12,11,11,6,10,7,12,14,7,11,9,15,16,15,15,7,8,9,9,7,5,5,4,2,2,1,1,0,0,0
2022-03-05 16:00:00,0,0,0,1,1,4,0,3,5,5,5,9,10,12,12,14,16,15,13,11,12,9,10,7,5,1,6,9,10,10,12,14,16,15,16,15,15,13,9,8,7,8,7,6,5,4,3,1,0,0
