Unnamed: 0,1_성수동차고지,2_뚝도시장구길,3_서울숲지구대앞,4_성수1가새마을금고,5_천주교성수동성당앞,6_뚝도아리수정수센터수도박물관,7_경일초등학교입구,8_성수공고앞,9_성원중성수동이마트앞,10_뚝도시장,11_경수중학교,12_성수119안전센터,13_노룬산시장앞,14_국민은행신자양지점,15_신양초등학교앞,16_자양고교앞,17_자양우성아파트앞,18_자양미소약국.자양골목시장,19_국민은행자양지점앞,20_자양아파트앞,21_잠실대교전망쉼터,22_잠실역.잠실대교남단,23_석촌호수.한솔병원,24_석촌역,25_송파역.헬리오시티,26_가락1동주민센터,27_가락시장.헬리오시티,28_수서역KT수서지점,29_수서역,30_쟁골마을,31_강남더샵라르고오피스텔,32_못골마을.LH강남아이파크,33_래미안강남힐즈,34_세곡중학교.세명초등학교,35_세곡푸르지오,36_강남신동아파밀리에1단지,37_은곡마을.강남신동아파밀리에,38_대왕초등학교,39_은곡마을.LH이편한세상,40_은곡마을진입로,41_세곡푸르지오,42_세곡중학교.세명초등학교,43_래미안강남힐즈,44_못골마을,45_강남현대힐스테이트에코,46_쟁골마을,47_고속철도수서역,48_수서역5번.출구,49_수서역,50_가락시장.헬리오시티,51_송파역,52_석촌역,53_석촌호수.한솔병원,54_잠실역.롯데월드몰,55_잠실역.잠실대교남단,56_잠실대교전망쉼터,57_자양아파트앞,58_국민은행자양지점앞,59_자양미소약국.자양골목시장,60_자양우성아파트앞,61_자양고교앞,62_국민은행신자양지점,63_노룬산시장앞,64_성수119안전센터,65_경수중학교,66_뚝도시장,67_성원중성수동이마트앞,68_성수공고앞,69_경일초등학교입구,70_뚝도아리수정수센터수도박물관,71_천주교성수동성당앞,72_성수1가1동새마을금고,73_서울숲지구대앞,74_뚝도시장구길,75_성수동차고지(종점가상)
2022-03-05 04:00:00,0,0,1,0,2,1,0,0,1,2,3,0,3,3,4,3,0,3,6,8,1,3,3,1,5,0,4,3,1,0,0,0,1,0,0,1,2,1,0,0,0,3,0,0,4,0,3,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,1,2,1,3,4,4,2,5,3,9,0,5,10,11,11,15,5,13,15,11,16,14,12,9,12,9,6,3,2,0,1,0,2,1,0,0,2,6,7,9,10,0,8,6,7,6,7,6,7,4,5,4,4,1,5,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,2,0,0,0,1,0,0,4,1,2,8,9,5,4,8,13,18,19,17,16,11,12,11,9,10,9,5,4,3,2,1,1,0,0,2,1,1,2,2,5,7,6,9,8,7,6,2,2,2,3,5,2,0,0,3,4,2,1,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,1,5,0,0,3,0,4,0,1,4,6,6,7,6,9,9,10,5,11,8,5,6,8,6,5,7,0,5,0,2,3,0,1,2,3,3,0,6,11,12,16,17,0,14,6,5,9,10,8,9,8,9,8,9,9,13,14,8,5,4,5,1,3,0,1,0,0,0,0,0,0,0
2022-03-05 08:00:00,5,0,1,3,1,2,0,8,9,5,11,10,11,14,15,9,16,19,20,25,21,15,13,14,14,11,15,14,8,6,7,8,6,2,1,0,2,1,3,0,4,16,22,28,38,33,28,14,15,14,12,11,13,9,10,3,10,15,16,17,14,11,10,8,8,8,6,4,2,2,2,1,0,0,0
2022-03-05 09:00:00,0,0,4,0,1,5,2,7,10,9,10,12,10,7,13,14,12,16,23,25,20,18,13,14,15,16,18,14,12,10,9,8,4,3,3,1,4,5,6,2,5,13,15,18,23,23,25,16,17,20,18,13,13,9,4,0,10,11,12,13,12,9,4,8,6,6,5,3,0,0,0,1,0,0,0
2022-03-05 10:00:00,0,1,1,0,1,1,3,4,2,6,0,3,3,7,11,14,15,17,20,20,16,13,13,13,12,4,5,11,14,7,11,10,4,3,1,2,4,6,2,0,8,9,13,17,20,13,24,24,26,28,27,26,27,11,9,0,11,9,10,11,12,12,10,8,6,2,3,2,2,3,1,2,0,0,0
2022-03-05 11:00:00,0,2,0,0,3,1,2,5,6,8,6,6,9,10,12,7,17,21,20,24,21,12,9,7,10,10,11,9,16,0,15,14,7,3,2,0,3,1,2,0,8,11,18,26,33,32,28,20,24,28,19,19,17,11,12,12,11,14,16,20,19,15,15,13,8,10,8,6,4,1,1,2,0,0,0
2022-03-05 12:00:00,1,1,2,2,3,1,3,5,7,9,8,10,13,13,12,17,18,19,20,24,23,17,14,16,14,13,16,15,13,6,11,8,7,6,4,2,3,5,6,7,11,16,20,26,30,26,32,26,25,29,27,24,20,12,15,16,16,16,20,17,20,17,15,17,15,8,10,5,2,0,1,3,2,0,0
2022-03-05 13:00:00,1,0,2,3,3,6,2,7,7,9,10,9,13,15,10,17,19,18,22,24,22,18,16,14,23,20,22,11,15,14,12,9,8,5,2,1,0,1,4,3,8,15,24,28,35,36,30,30,33,38,35,34,25,14,15,0,14,14,16,17,16,15,14,11,9,8,10,8,6,2,1,0,0,0,0
