Unnamed: 0,1_신자초등학교앞,2_자양미소약국.자양골목시장,3_국민은행자양지점앞,4_자양아파트앞,5_잠실대교전망쉼터,6_잠실역,7_잠실역.롯데월드,8_잠실5단지,9_잠실새내역.잠실2동주민센터,10_잠실엘스아파트앞,11_종합운동장사거리,12_잠실종합운동장,13_강남경찰서면허시험장,14_삼성역7번출구,15_봉은사역3번출구.삼성1파출소,16_청담역.경기고교,17_진흥아파트,18_청담역,19_센트럴아이파크.강남구도시관리공단,20_한별구립어린이집,21_포스코사거리,22_대치사거리,23_대치동현대아파트,24_농협대치지점,25_대치SKVIEW아파트.서울교회,26_대치역1번출구,27_래미안대치팰리스,28_도곡역2번출구.동부센트레빌,29_중대부고,30_단대부고.대치아이파크아파트,31_한티역3번출구.서울강남고용노동지청,32_삼성아파트입구,33_대치현대아파트,34_대치사거리,35_포스코사거리,36_한별구립어린이집,37_센트럴아이파크.강남구도시관리공단,38_진흥아파트청담역,39_청담역.경기고교,40_봉은사.삼성1파출소앞,41_무역센타,42_강남경찰서.강남운전면허시험장,43_잠실종합운동장,44_종합운동장사거리,45_잠실새내역4번출구,46_잠실트리지움아파트앞,47_잠실역,48_잠실대교전망쉼터,49_자양아파트앞,50_국민은행자양지점앞,51_자양미소약국.자양골목시장,52_신자초등학교앞
2022-03-05 04:00:00,1,3,6,8,10,8,10,10,8,7,8,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,3,5,7,8,7,4,0,3,5,4,0,3,4,5,4,3,1,2,2,3,0,0,2,1,0,2,2,0,0,2,3,4,3,0,2,0,1,1,3,0,2,1,1,0,1,0,0,1,0,0,0
2022-03-05 06:00:00,4,1,6,7,5,4,2,0,4,2,1,2,1,2,2,1,8,6,4,5,4,3,3,1,2,3,0,0,2,0,1,0,1,2,3,4,3,2,2,3,2,1,1,2,1,2,3,2,1,0,0,0
2022-03-05 07:00:00,2,4,8,6,5,7,4,0,2,2,1,0,1,3,3,4,6,9,8,4,7,5,5,3,0,0,0,0,2,0,3,3,2,0,3,4,2,3,5,2,0,1,2,2,0,0,3,0,0,0,0,0
2022-03-05 08:00:00,3,12,15,17,8,10,9,9,9,8,7,4,5,3,6,4,7,17,16,15,12,7,5,2,2,1,1,2,7,7,7,4,5,6,4,4,4,6,8,4,1,1,2,2,1,3,5,3,1,1,0,0
2022-03-05 09:00:00,6,12,15,19,9,12,11,9,8,7,6,4,3,5,3,6,11,20,21,17,16,12,9,5,4,6,4,5,7,9,14,11,8,8,6,3,3,5,9,8,5,3,6,6,4,3,8,2,7,4,0,0
2022-03-05 10:00:00,2,6,9,11,12,9,10,11,8,6,6,8,4,3,2,4,6,9,11,9,4,8,7,5,4,2,1,2,4,4,9,6,4,3,2,4,5,7,10,6,1,4,3,2,3,3,7,2,6,1,0,0
2022-03-05 11:00:00,3,7,12,15,14,7,8,9,8,6,7,4,6,6,6,5,6,7,9,10,8,11,7,4,4,5,7,8,9,7,11,9,10,7,7,5,7,7,9,8,8,3,2,4,14,12,10,0,6,4,2,0
2022-03-05 12:00:00,3,7,10,14,9,6,4,7,6,8,11,10,9,10,10,9,8,15,18,11,16,16,15,15,15,9,7,4,10,10,15,14,15,15,14,18,17,15,18,16,16,5,5,6,8,6,13,12,11,7,0,0
2022-03-05 13:00:00,4,8,12,14,0,10,5,3,6,7,6,4,3,7,5,7,11,19,18,19,22,18,15,11,12,7,6,5,6,5,12,14,20,24,27,26,21,12,12,9,7,13,12,12,13,12,13,0,7,6,1,0
2022-03-05 14:00:00,5,6,13,15,15,6,3,4,4,3,5,3,3,3,5,2,10,9,11,11,11,9,7,7,5,5,4,3,6,5,10,10,9,7,8,9,11,8,9,6,7,7,6,4,8,4,11,11,9,5,2,0
2022-03-05 15:00:00,1,5,7,8,10,6,4,8,6,5,4,6,5,4,2,5,6,7,6,7,5,6,7,9,5,7,7,8,7,8,10,10,11,13,12,11,8,6,9,6,4,6,7,6,6,7,13,15,9,4,3,0
2022-03-05 16:00:00,3,2,6,10,9,5,7,7,2,6,5,5,3,5,6,3,5,6,5,5,5,9,13,14,5,11,12,7,10,8,8,7,8,13,17,15,11,9,12,10,5,6,5,8,10,11,20,19,10,5,4,0
2022-03-05 17:00:00,2,7,8,9,11,4,7,4,7,4,4,4,5,4,7,5,9,10,12,13,12,13,12,14,14,14,11,8,9,8,11,15,20,23,24,25,23,13,10,8,7,9,10,8,9,8,22,18,20,7,4,0
2022-03-05 18:00:00,0,2,4,6,6,6,6,0,5,4,1,3,1,5,8,5,10,8,6,3,2,4,3,3,0,4,3,4,5,6,11,15,18,24,23,24,16,10,3,10,9,10,8,12,15,14,21,14,14,11,9,0
2022-03-05 19:00:00,0,2,1,6,2,3,4,4,1,4,2,1,3,5,4,4,4,2,7,5,0,3,5,10,5,4,3,2,3,6,8,9,9,12,11,11,10,5,5,6,4,5,8,5,8,2,12,0,10,4,2,0
2022-03-05 20:00:00,1,2,4,5,4,2,6,0,5,2,0,0,5,8,7,2,4,3,3,3,1,3,4,5,4,3,4,2,3,2,4,5,5,6,10,10,9,5,4,4,5,6,6,7,8,9,11,0,8,3,1,0
2022-03-05 21:00:00,0,1,3,4,1,3,4,3,0,0,1,0,3,4,5,2,3,3,2,3,4,4,4,3,1,3,4,5,4,1,2,11,14,17,15,17,15,6,5,5,9,9,8,7,6,0,17,12,12,7,5,0
2022-03-05 22:00:00,1,1,3,4,2,4,6,3,2,5,3,2,4,6,10,8,9,8,7,6,5,5,8,11,7,9,4,9,9,8,13,26,27,24,26,27,24,8,6,3,2,7,8,9,10,9,10,7,10,6,3,0
2022-03-05 23:00:00,0,1,0,0,0,2,1,0,0,3,4,0,0,2,0,0,3,3,2,4,3,2,3,3,2,1,2,0,2,1,3,4,5,1,0,7,6,3,1,2,4,5,4,5,8,9,16,14,10,6,3,0
