Unnamed: 0,1_북부운수차고지(가상),2_방약국앞,3_면남초등학교,4_지하철7호선사가정역,5_면목우체국.녹색병원,6_면동초등학교,7_면목본동주민센터.면목정보도서관,8_지하철7호선면목역,9_면목초등학교,10_지하철7호선상봉역,11_상봉역.중랑우체국,12_중랑역.동부시장,13_중랑교,14_삼육서울병원,15_시조사삼거리,16_떡전교사거리.동대문노인복지관,17_청량리미주아파트.동대문세무서,18_청량리역환승센타,19_청량리.청과물도매시장,20_제기동역.서울약령시,21_용두동사거리.한국의류시험연구원,22_신설동역,23_신설동역1번출구,24_보문동주민센터,25_보문동성당,26_보문역,27_성북구청.성북경찰서,28_삼선동주민센터,29_삼선교.한성대학교,30_혜화동로터리.여운형활동터,31_명륜3가.성대입구,32_창경궁.서울대학교병원,33_창덕궁,34_안국역.종로경찰서.서울공예박물관,35_덕성여중고,36_사직동주민센터,37_사직단.어린이도서관,38_이대부고,39_이대부중,40_세브란스병원앞,41_연세대앞,42_서대문우체국,43_연희104고지앞.구성산회관,44_사천교,45_서대문종합사회복지관,46_연가교,47_남가좌현대아파트,48_명지대사거리,49_명지대사거리제일은행앞,50_백련시장,51_홍남교백련시장입구,52_연가교,53_서대문종합사회복지관,54_사천교,55_연희104고지앞.구성산회관,56_서대문우체국,57_연세대앞,58_세브란스병원앞,59_이대후문,60_이대부고,61_사직단,62_서울경찰청.경복궁역,63_경복궁,64_안국역.종로경찰서.인사동,65_창덕궁.우리소리박물관,66_창경궁.서울대학교병원,67_명륜동2가.성균관대입구,68_삼선교.한성대학교.조소앙활동터,69_돈암초교입구,70_삼선동주민센터,71_성북구청.성북경찰서,72_보문역,73_보문동성당,74_보문동주민센터,75_신설동역,76_용두동사거리,77_제기동역.서울약령시,78_청량리수산시장,79_청량리역환승센터,80_서울성심병원,81_휘경동입구,82_삼육서울병원,83_중랑교,84_중랑역.동부시장,85_한샘교회,86_지하철7호선상봉역,87_면목초등학교,88_지하철7호선면목역,89_면목본동주민센터.면목정보도서관,90_면동초등학교,91_면목우체국.녹색병원,92_지하철7호선사가정역,93_면목시장,94_면남초등학교,95_방약국앞,96_중곡초등학교(가상)
2022-03-05 04:00:00,3,5,7,5,10,12,13,15,15,15,14,14,12,14,8,13,11,11,11,12,11,10,9,8,7,0,0,9,16,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,5,6,4,8,10,12,15,12,11,8,9,10,9,3,8,8,5,6,5,7,9,12,11,8,12,7,11,12,12,15,8,14,5,13,12,0,10,8,10,3,9,5,3,4,0,2,2,4,5,2,7,2,5,6,0,6,5,0,6,0,4,3,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,3,4,5,6,8,12,13,11,11,14,14,11,9,10,10,9,10,11,10,9,9,9,8,9,9,10,10,14,9,9,7,7,7,6,6,0,7,6,4,6,4,9,3,1,0,3,3,6,7,4,6,8,9,10,8,11,12,12,13,10,11,9,8,8,4,4,6,5,5,7,5,6,10,6,5,5,4,4,2,3,3,2,4,5,3,1,7,0,2,6,0,3,1,0,0
2022-03-05 07:00:00,2,4,5,6,8,8,11,11,12,14,13,15,14,14,15,15,14,13,12,10,10,8,8,10,10,12,14,10,12,17,17,11,16,9,13,11,13,10,10,9,6,5,5,5,4,3,5,7,7,12,7,13,12,13,11,10,12,13,9,8,13,14,13,10,5,9,8,6,5,12,7,9,9,11,7,8,6,9,6,5,6,7,6,10,7,9,5,7,5,5,3,2,2,1,0,0
2022-03-05 08:00:00,4,8,9,12,14,15,17,16,17,18,20,20,21,19,20,19,17,18,18,18,16,16,15,17,18,18,17,14,19,19,20,18,15,16,15,19,18,15,12,7,9,2,7,5,7,6,8,8,8,11,11,14,15,14,15,15,12,16,16,18,15,14,10,11,11,12,12,10,9,12,13,14,17,19,17,17,9,10,16,16,16,19,17,25,22,16,5,14,10,9,4,8,6,5,2,0
2022-03-05 09:00:00,5,8,9,12,15,17,22,22,23,23,22,20,21,20,19,18,19,18,17,19,16,17,20,21,19,21,21,19,24,22,20,22,19,18,18,17,17,16,14,12,9,10,9,9,7,6,6,4,11,11,12,14,19,21,19,20,21,20,17,19,17,14,13,12,10,12,11,14,13,16,16,18,23,22,18,14,12,9,8,7,8,9,10,14,13,14,10,10,12,13,8,5,3,1,0,0
2022-03-05 10:00:00,3,6,7,9,12,13,16,20,23,21,23,27,26,26,28,28,25,21,24,22,20,18,21,20,23,23,24,24,23,22,25,25,21,18,19,13,13,13,12,10,9,9,7,8,7,5,7,9,8,15,17,18,20,18,22,22,23,24,48,52,48,36,14,13,9,10,11,16,7,14,17,14,15,17,15,14,10,9,11,9,12,11,10,13,10,9,7,10,9,10,7,5,3,2,1,0
2022-03-05 11:00:00,3,8,15,14,17,16,19,24,24,23,26,26,24,21,21,21,21,21,24,30,31,31,32,32,29,33,30,30,26,24,24,25,22,19,17,25,17,22,17,16,15,12,9,8,7,5,11,9,14,17,12,16,16,20,21,23,24,27,29,25,26,19,17,14,17,16,17,16,18,19,22,24,24,25,22,21,15,14,14,13,13,15,13,19,19,16,15,11,11,10,9,8,6,4,1,0
2022-03-05 12:00:00,3,7,13,17,21,23,20,22,24,24,24,25,24,26,21,22,27,27,30,33,31,31,31,30,29,34,35,34,30,29,29,30,24,23,19,31,31,30,29,26,22,19,11,11,10,7,8,10,10,10,12,21,22,23,20,27,27,27,29,31,27,33,28,28,31,29,21,22,22,24,26,24,26,28,25,17,20,21,22,26,29,19,19,20,19,19,15,14,12,13,12,8,5,4,3,0
2022-03-05 13:00:00,3,5,8,12,22,25,26,33,33,31,30,27,24,23,19,23,23,23,25,25,27,28,29,28,24,24,26,36,41,34,34,36,35,23,26,23,24,25,23,17,13,12,11,14,13,10,11,9,11,13,12,16,16,19,21,22,28,30,27,35,31,32,25,24,23,22,17,19,21,24,25,23,24,25,25,25,23,22,26,24,27,28,29,33,30,30,24,19,17,15,11,9,8,3,2,2
2022-03-05 14:00:00,3,8,9,12,13,16,15,20,14,27,26,25,21,23,22,23,22,19,24,25,25,26,27,23,27,26,26,26,28,27,27,26,26,30,33,41,41,35,34,26,33,16,10,8,7,8,8,5,9,13,16,18,21,25,23,26,28,30,34,35,20,21,19,20,22,24,26,23,21,16,18,18,18,20,20,18,23,25,25,24,22,20,18,21,18,19,17,14,15,14,11,10,8,5,0,0
2022-03-05 15:00:00,4,7,8,7,8,11,14,20,22,21,21,19,18,20,22,21,21,25,29,33,33,32,30,29,30,32,33,29,22,23,24,20,23,27,27,31,30,28,24,22,23,30,24,24,23,17,18,17,16,17,12,18,20,18,21,22,26,28,29,28,36,40,31,24,23,25,23,24,19,24,25,28,27,27,26,25,26,28,28,25,25,24,24,31,26,21,19,18,19,13,10,8,5,7,4,0
2022-03-05 16:00:00,5,7,8,9,11,11,14,22,18,25,25,24,22,21,20,22,20,22,26,29,26,31,31,30,23,32,29,31,35,31,37,38,36,34,41,41,46,35,32,27,24,25,28,20,19,16,14,11,13,9,11,16,17,19,18,16,20,24,32,35,33,33,30,30,35,39,28,24,23,22,24,26,27,26,32,30,24,26,30,31,27,27,28,30,30,29,24,23,20,15,11,9,6,2,1,0
2022-03-05 17:00:00,4,6,8,14,17,19,19,21,19,17,25,18,17,20,20,12,18,17,21,24,23,22,20,22,20,20,21,20,22,23,25,27,23,27,26,33,45,48,45,39,35,28,22,16,16,11,10,6,7,12,14,16,17,18,21,21,25,21,27,31,28,26,27,31,40,29,38,36,31,29,34,35,33,32,27,22,30,23,31,31,30,27,28,30,30,26,18,22,17,14,11,8,8,6,2,0
2022-03-05 18:00:00,3,5,8,11,17,18,18,19,17,15,17,13,11,11,12,13,11,16,31,34,41,44,44,45,41,35,31,27,25,18,17,18,15,26,28,32,33,31,24,21,20,17,19,15,12,13,10,3,5,7,9,9,11,11,10,11,15,16,16,16,13,15,22,23,27,26,31,24,22,20,22,21,20,28,26,25,23,22,22,23,24,24,28,33,30,29,25,27,23,20,15,10,7,6,2,0
2022-03-05 19:00:00,1,2,4,7,9,14,13,15,12,13,13,14,9,9,9,6,10,13,15,13,16,17,19,19,14,19,15,13,13,13,17,16,22,26,28,39,38,34,31,32,28,22,15,18,14,12,9,5,3,6,7,6,4,7,11,9,8,9,9,10,13,17,20,21,24,22,27,26,27,27,24,23,21,20,18,15,20,18,18,18,16,16,18,20,20,17,15,12,11,10,8,7,4,2,2,0
2022-03-05 20:00:00,1,4,2,5,8,9,9,12,11,14,16,12,9,7,6,5,9,14,16,15,15,12,17,17,16,15,19,16,17,14,18,19,20,22,24,28,20,26,23,20,19,15,15,14,13,11,10,9,5,3,6,4,1,4,6,4,15,17,18,19,20,16,11,19,24,22,25,22,21,23,21,22,17,16,12,19,19,17,18,19,17,18,20,17,16,15,9,13,11,9,8,7,6,3,2,0
2022-03-05 21:00:00,2,3,5,5,5,7,5,10,5,9,7,9,9,10,3,9,8,9,10,7,8,9,10,12,11,12,9,7,9,12,19,20,21,24,16,25,24,23,22,16,22,20,17,13,10,9,7,5,4,4,0,3,3,4,7,8,9,11,11,13,14,19,18,23,25,23,39,34,32,31,18,30,29,26,25,23,18,16,18,13,14,14,15,16,13,15,14,11,8,7,5,8,4,2,0,0
2022-03-05 22:00:00,2,2,3,4,8,7,8,9,2,10,9,8,6,7,1,7,5,9,10,11,8,9,12,12,10,11,10,9,8,10,16,19,18,19,18,26,29,27,28,23,21,21,18,20,18,13,10,7,4,3,1,3,0,3,6,6,9,13,14,15,15,17,12,18,20,27,28,18,16,14,14,14,10,10,9,18,15,13,12,12,11,13,10,18,16,17,14,10,8,7,6,7,7,4,1,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,3,4,3,11,13,12,15,11,17,12,15,12,13,14,11,10,9,7,10,9,4,5,3,4,3,2,3,3,5,8,9,10,3,9,12,6,8,12,13,27,20,13,25,24,23,20,19,18,16,14,13,15,13,11,12,10,13,13,22,21,16,12,11,10,9,8,6,3,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,1,2,3,2,3,5,6,5,6,6,6,6,5,5,0,5,4,7,6,7,0,6,8,0,7,6,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,3,1,2,2,4,3,4,6,6,6,5,6,5,6,5,5,4,5,5,6,3,7,3,6,2,5,5,4,7,5,7,6,4,7,8,11,4,9,7,4,4,0,3,2,0,0,2,1,2,4,2,5,0,5,3,0,4,3,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,2,4,2,4,5,5,6,5,7,5,6,3,2,3,3,2,1,1,2,1,3,5,4,2,3,3,2,6,5,6,7,0,4,6,5,6,4,4,5,5,6,4,2,1,2,2,1,2,3,2,3,3,4,5,7,6,8,6,7,8,7,5,6,7,5,5,5,4,1,3,3,5,3,3,4,1,3,3,3,2,5,5,9,2,6,2,3,2,2,1,0,0,0,0,0
2022-03-06 07:00:00,1,4,6,7,9,12,13,6,12,11,7,7,8,9,6,5,9,8,8,3,5,7,8,4,7,8,7,6,8,7,7,8,6,4,4,4,3,6,2,5,2,2,4,2,0,1,4,5,5,6,8,6,7,5,6,4,5,6,6,6,4,3,5,3,4,4,3,6,2,4,7,3,5,4,4,3,4,3,6,7,3,4,3,5,5,5,5,6,2,5,3,3,2,0,0,0
2022-03-06 08:00:00,2,3,7,11,15,16,11,12,11,9,11,13,11,12,11,12,12,12,11,11,10,9,9,9,9,8,8,8,11,12,15,16,14,10,9,8,8,7,7,4,3,4,2,4,3,1,3,4,7,9,10,12,13,13,14,9,12,13,10,14,14,12,11,12,11,9,10,9,8,6,7,7,10,12,9,10,9,8,7,5,5,7,6,9,6,8,6,6,5,5,5,3,2,1,0,0
2022-03-06 09:00:00,2,4,7,8,10,12,16,17,18,20,22,22,22,23,22,21,20,14,12,12,11,13,13,14,15,14,13,14,18,17,15,17,13,12,10,11,9,10,10,8,6,5,7,7,0,5,6,3,6,9,7,10,11,16,14,13,16,17,12,17,14,14,13,13,10,12,13,13,12,13,14,14,13,14,14,11,12,10,9,9,11,13,15,13,10,11,7,12,13,4,10,4,2,3,1,0
2022-03-06 10:00:00,2,7,8,9,16,16,16,15,18,20,22,21,21,21,20,25,19,18,19,19,20,22,14,23,22,19,22,20,27,28,27,18,21,17,15,16,16,15,14,13,9,9,8,9,8,5,7,8,10,13,16,21,25,22,22,20,21,22,22,19,21,19,16,10,9,10,9,7,7,10,13,14,16,17,15,12,8,7,9,9,9,13,12,12,11,9,8,8,9,10,7,8,4,3,2,0
2022-03-06 11:00:00,6,8,10,9,13,16,14,18,17,20,23,18,19,22,21,17,19,17,18,19,19,19,18,17,16,24,24,27,25,21,19,17,17,14,14,21,23,22,21,15,12,10,8,8,4,4,3,6,6,7,9,12,12,15,14,22,22,21,20,23,23,23,15,14,15,13,11,13,7,14,16,16,19,19,18,18,13,13,15,14,16,16,15,20,14,11,10,10,8,9,7,6,4,2,1,0
2022-03-06 12:00:00,4,9,11,11,15,17,20,21,20,29,29,25,23,24,25,27,21,22,24,29,23,31,30,27,25,26,24,25,28,26,27,26,23,24,25,18,19,18,17,21,20,21,16,11,10,9,11,7,8,14,16,20,20,21,23,22,26,28,29,28,27,27,28,21,24,19,16,14,15,18,21,23,24,31,22,22,21,17,19,19,17,17,18,17,18,16,12,18,16,13,15,12,7,3,2,0
2022-03-06 13:00:00,4,9,10,17,21,14,18,20,18,22,26,26,30,32,31,27,23,22,25,28,29,29,30,29,30,35,35,28,26,26,24,24,27,23,22,23,21,17,15,13,13,13,13,9,8,5,7,5,8,9,11,19,10,20,15,18,21,18,22,24,23,21,14,13,13,12,14,14,18,15,14,14,19,20,21,19,17,21,16,16,15,17,18,21,19,18,16,13,11,13,9,8,4,2,0,0
2022-03-06 14:00:00,2,5,7,13,16,21,20,27,26,26,26,22,21,24,25,25,24,19,25,26,27,25,25,28,27,28,27,28,24,19,20,22,18,18,17,16,22,20,18,17,20,19,15,15,8,7,9,3,10,12,13,15,15,18,21,23,24,25,26,33,22,30,24,21,22,20,20,19,11,19,22,19,20,21,20,20,21,20,26,25,23,26,24,28,27,26,25,20,19,19,16,12,8,2,0,0
2022-03-06 15:00:00,3,5,7,12,19,22,22,24,25,25,26,24,19,22,15,15,17,21,24,26,26,23,23,22,21,23,22,20,23,22,25,18,23,18,23,21,26,21,20,18,18,17,16,12,12,11,9,7,14,28,29,36,37,41,39,38,19,12,20,21,19,19,18,18,27,25,26,25,24,25,29,29,28,26,25,23,23,22,29,30,32,34,29,27,25,22,19,19,12,12,11,8,4,6,2,0
2022-03-06 16:00:00,6,8,7,11,13,13,12,14,16,14,14,16,14,15,16,17,14,18,20,22,24,24,25,30,27,28,26,22,26,23,26,29,27,34,35,41,39,37,33,21,20,16,15,11,10,11,10,6,5,15,7,7,16,20,21,19,17,19,19,21,19,21,24,26,29,32,34,37,36,36,36,30,27,28,27,29,29,27,34,37,33,35,31,35,28,25,26,22,19,19,15,14,11,4,1,0
2022-03-06 17:00:00,2,4,6,8,10,11,12,14,11,16,17,16,13,14,13,13,12,16,17,18,16,17,21,18,22,21,23,22,20,18,17,22,19,26,31,35,28,36,34,31,29,28,22,19,13,10,8,9,8,6,5,7,9,11,12,14,15,16,15,12,14,19,16,24,25,27,32,24,22,20,19,17,14,15,17,21,18,18,22,23,21,25,24,29,24,20,17,19,18,15,12,9,6,3,1,0
2022-03-06 18:00:00,2,4,5,7,11,11,10,12,10,13,17,15,12,11,10,13,13,20,19,14,14,19,23,25,26,25,23,21,15,12,17,19,16,22,22,27,32,31,34,28,26,24,21,19,16,15,14,10,5,3,2,4,3,7,6,7,9,8,13,11,12,16,19,20,27,27,31,27,25,23,24,24,21,21,25,22,21,19,23,24,21,22,19,21,21,18,19,17,17,18,16,11,9,10,9,0
2022-03-06 19:00:00,2,3,4,6,9,8,9,11,12,17,16,14,6,12,9,6,6,14,8,10,9,16,17,16,16,15,13,9,8,9,9,10,13,19,20,23,19,21,15,19,15,15,18,15,12,12,10,3,2,4,1,2,3,5,7,8,9,10,0,9,7,15,16,20,25,25,27,20,20,22,20,17,16,19,20,22,21,17,19,18,16,16,18,15,14,15,14,12,11,13,9,9,6,3,1,0
2022-03-06 20:00:00,1,2,3,7,8,8,10,11,11,13,13,11,9,10,7,10,9,13,14,14,15,9,12,9,7,14,11,10,12,10,15,14,14,16,16,18,17,14,13,14,16,14,13,11,10,8,6,4,3,2,4,2,6,6,8,9,10,7,13,6,12,13,10,11,16,17,19,18,17,17,19,19,16,15,16,13,12,15,17,16,15,16,15,18,19,16,16,13,13,10,7,4,4,2,1,0
2022-03-06 21:00:00,1,2,3,6,6,5,4,6,4,7,7,8,6,8,6,5,6,10,8,13,14,11,12,11,10,11,12,9,8,8,15,16,14,16,10,22,18,20,19,18,15,13,14,11,7,8,7,5,3,2,2,3,2,4,5,6,10,10,11,9,10,10,6,11,14,12,21,19,12,16,17,13,11,12,13,12,11,9,11,11,10,12,13,12,13,13,7,10,7,7,6,5,6,5,2,0
2022-03-06 22:00:00,1,2,2,3,5,4,5,5,6,7,9,8,7,6,7,6,6,7,8,6,7,10,8,10,12,10,7,6,6,7,10,6,14,16,20,22,23,19,18,17,18,15,14,14,13,12,8,3,3,4,5,6,1,2,4,4,10,10,14,12,11,14,11,16,15,13,20,18,18,17,16,15,13,8,14,13,9,13,17,18,16,18,16,18,11,19,16,15,13,11,11,9,7,2,1,0
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,5,3,2,2,4,4,7,8,9,11,8,14,0,13,12,15,18,7,14,10,5,3,7,3,2,1,0,2,2,3,5,3,8,6,6,9,9,13,12,13,15,18,27,24,22,23,20,13,11,7,9,9,9,8,9,8,8,8,11,8,10,10,9,10,8,7,5,4,3,2,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
