Unnamed: 0,1_중랑공영차고지(기점가상),2_중랑공영차고지.신내역,3_신내교회.신내데시앙아파트,4_동성프라자앞,5_중랑구청,6_신현중학교,7_엘지아파트앞,8_쌍용아파트신내테크노타운앞,9_이화연립경동제일교회앞,10_중흥초등학교,11_지하철7호선중화역2번출구,12_지하철7호선중화역3번출구,13_중화2동주민센터,14_이문동현대아파트앞,15_이문동쌍용아파트,16_이문동삼익아파트,17_종로사약국,18_외대역앞,19_외대앞,20_경희중고,21_회기시장,22_경희대입구,23_서울바이오허브,24_한국과학기술원.홍릉초등학교,25_국방연구원,26_고대앞,27_안암전철역,28_고려대이공대.고대병원,29_안암동주민센터,30_보문역,31_보문역,32_성북구청.성북경찰서,33_삼선동주민센터,34_삼선교.한성대학교,35_혜화역.서울연극센터(장면총리가옥),36_혜화역.서울대병원입구,37_방송통신대.이화장,38_이화동(이화장),39_원남동,40_혜화경찰서,41_종로3가.탑골공원,42_종로2가,43_종로1가,44_광화문,45_서울역사박물관.경희궁앞,46_서대문역사거리,47_충정로역,48_아현역,49_웨딩타운,50_이대역,51_신촌오거리.2호선신촌역,52_신촌오거리.현대백화점,53_산울림소극장,54_삼진제약,55_홍익대학교,56_홍대입구역사거리,57_홍대입구역(가상),58_홍대입구역,59_동교동삼거리,60_신촌오거리.현대백화점,61_신촌오거리.2호선신촌역,62_이대역,63_웨딩타운,64_아현역,65_충정로역,66_서대문역사거리,67_서울역사박물관.경희궁앞,68_광화문,69_종로1가,70_종로2가,71_종로3가.탑골공원,72_종로4가.종묘,73_종로5가.광장시장,74_종로5가.효제초등학교,75_종로5가.효제동.김상옥의거터,76_방송통신대.이화장,77_혜화역.마로니에공원,78_혜화역.동성중고(장면총리가옥),79_삼선교.한성대학교.조소앙활동터,80_돈암초교입구,81_삼선동주민센터,82_성북구청.성북경찰서,83_보문역,84_안암동주민센터,85_고려대이공대.고대병원,86_안암역,87_고려대학교앞,88_국방연구원,89_한국과학기술원.홍릉초등학교,90_서울바이오허브,91_경희대입구,92_회기시장,93_경희중고,94_외대앞,95_외대역앞,96_이경시장,97_이문1동주민센터,98_한천로입구,99_이문동쌍용아파트,100_이문동현대아파트,101_중화2동주민센터,102_지하철7호선중화역3번출구,103_지하철7호선중화역2번출구,104_중흥초등학교,105_이화연립경동제일교회앞,106_쌍용아파트신내테크노타운앞,107_엘지아파트앞,108_신현중학교,109_중랑구청,110_동성프라자앞,111_신내교회.신내데시앙아파트,112_중랑공영차고지,113_중랑공영차고지.신내역,114_중랑공영차고지(가상)
2022-03-05 04:00:00,1,3,1,3,0,4,0,5,0,6,2,9,10,13,14,14,14,14,15,3,14,12,4,0,14,18,16,13,11,11,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,5,6,7,5,8,2,7,3,4,4,5,9,8,5,4,8,5,4,4,5,1,4,4,3,0,2,4,3,4,5,11,9,7,6,6,3,4,6,6,6,5,2,3,1,3,4,0,3,5,2,1,3,1,0,0,1,0,0,3,0,0,0,0,0,2,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,2,2,3,5,2,6,5,4,4,4,5,5,6,5,6,4,5,6,7,7,9,5,8,8,6,5,3,6,7,8,8,9,6,5,5,4,5,0,4,3,0,1,1,0,2,4,0,3,2,0,2,1,3,2,0,1,1,2,2,3,1,4,5,2,4,8,7,6,3,4,3,0,2,1,2,4,3,4,2,5,5,4,3,3,5,4,0,3,0,3,2,4,1,6,2,5,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,4,5,7,10,6,7,5,7,8,5,4,4,5,6,7,8,2,8,4,7,6,5,0,5,6,6,6,5,1,5,4,4,5,4,4,5,4,3,2,3,7,6,2,2,4,2,7,2,6,2,3,2,5,3,1,0,2,4,6,1,6,5,7,5,6,5,6,3,3,4,0,2,3,2,4,5,5,6,7,10,4,0,4,3,3,6,3,2,4,5,3,2,1,4,4,3,5,6,7,8,6,5,5,4,4,4,4,3,1,0,1,0,0
2022-03-05 08:00:00,1,5,9,12,17,19,19,18,18,16,9,8,10,12,12,12,13,14,14,10,13,10,13,12,12,7,9,6,11,5,12,11,9,7,6,9,7,9,7,5,5,6,5,1,4,6,7,8,0,8,6,10,7,3,2,3,1,3,5,6,7,8,8,10,9,12,13,12,10,9,8,4,4,2,4,5,5,8,8,3,7,6,12,13,7,7,8,11,9,8,11,8,9,7,9,9,8,9,9,11,14,18,19,19,18,19,4,14,7,4,3,1,0,0
2022-03-05 09:00:00,1,3,7,5,11,14,15,17,16,15,10,13,13,11,11,18,21,20,23,22,10,9,12,11,12,12,11,12,12,15,17,20,17,21,10,10,11,12,10,10,9,8,9,7,8,10,10,10,11,12,11,9,7,4,3,2,1,2,5,6,8,7,8,10,10,10,9,9,7,11,9,7,8,7,4,6,5,7,9,9,11,12,12,13,13,10,11,13,12,15,11,7,7,9,9,11,11,10,9,10,9,8,10,5,9,8,6,7,3,3,2,0,0,0
2022-03-05 10:00:00,1,5,8,8,13,14,17,15,16,11,9,8,8,11,12,15,13,13,16,22,15,14,17,15,16,16,13,12,14,13,12,16,17,18,10,13,8,12,13,12,11,10,8,9,7,12,12,10,10,11,10,9,7,6,5,5,4,8,7,10,14,14,16,16,17,11,10,8,9,6,11,8,7,10,9,4,7,9,8,0,8,7,6,10,7,7,9,8,8,8,9,9,6,11,12,10,9,9,9,13,11,9,11,11,8,6,3,5,3,2,0,1,0,0
2022-03-05 11:00:00,4,4,5,7,13,14,14,15,15,14,9,12,15,17,18,20,27,25,20,19,15,15,18,17,20,17,18,21,20,18,21,19,19,22,12,9,10,11,12,11,10,12,10,11,9,8,9,9,11,9,7,6,8,5,5,10,9,12,17,14,15,15,13,14,11,9,11,13,15,14,16,14,16,18,0,16,15,13,15,14,14,15,15,18,15,15,15,18,17,17,14,10,12,11,14,13,10,14,15,17,12,12,13,10,11,11,10,8,3,5,3,1,0,0
2022-03-05 12:00:00,0,3,6,4,12,11,13,15,14,13,8,15,16,18,20,20,17,18,19,15,15,15,19,20,22,22,24,22,22,16,23,22,22,30,22,27,27,29,16,27,24,20,19,21,23,27,25,22,22,22,22,25,21,17,12,12,11,16,16,20,18,19,15,18,16,17,14,15,17,12,17,16,14,12,14,8,11,14,20,13,25,28,28,18,17,24,25,26,24,24,20,18,18,18,21,19,16,15,11,14,11,10,10,9,8,5,6,5,5,4,3,0,0,0
2022-03-05 13:00:00,0,2,4,5,10,12,13,12,5,12,9,11,11,12,15,16,18,14,16,19,16,21,22,27,23,19,22,21,16,16,24,22,23,25,20,19,18,13,14,17,15,18,16,16,17,18,20,18,16,16,13,12,12,10,7,13,12,17,19,24,20,20,19,24,21,18,19,18,18,17,18,17,20,21,22,26,23,23,20,11,21,12,12,17,25,20,26,26,12,15,9,9,11,14,13,14,12,12,13,16,13,10,13,13,12,14,10,11,9,5,4,3,0,0
